"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09132-243675","CERTIFIED",7/14/2010 9:06:36,"H-1B",12/15/2010 0:00:00,12/15/2013 0:00:00,"BRITISH SCHOOL OF AMERICA, LLC","4211 WATONGA BLVD.","HOUSTON","TX","77092","25-2022.00","Middle School Teachers, Except Special and Vocatio","MIDDLE SCHOOL TEACHER/IB COORDINATOR","51577.63",,"Year","Y",1,"HOUSTON","TX","47827.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611110",7/20/2010 0:00:00
"I-200-09132-205637","WITHDRAWN",11/16/2009 19:12:11,"H-1B",4/1/2010 0:00:00,3/31/2013 0:00:00,"FIDUS SYSTEMS CORPORATION","1900 MCCARTHY BLVD., SUITE 106","MILPITAS","CA","95035","11-9042.00","Engineering Managers,Non R&D (ACWIA Only)","SENIOR DEVELOPMENT ENGINEER","134500","145000","Year","Y",1,"MILPITAS","CA","134451.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"425110",11/17/2009 0:00:00
"I-200-09132-833830","CERTIFIED",1/27/2010 10:18:36,"H-1B",6/24/2010 0:00:00,6/24/2013 0:00:00,"ALLSCRIPTS","8529 SIX FORKS ROAD","RALEIGH","NC","27615-","15-1032.00","Computer Software Engineers, Systems Software","SENIOR SOFTWARE ENGINEER","82483",,"Year","Y",1,"RALEIGH","NC","71011.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"514511",2/2/2010 0:00:00
"I-200-09132-233625","CERTIFIED",11/5/2009 11:13:54,"H-1B",4/9/2010 0:00:00,4/8/2013 0:00:00,"TOWERS PERRIN","CENTRE SQUARE EAST","PHILADELPHIA","PA","19102-4790","15-2011.00","Actuaries","SENIOR CONSULTANT","142000",,"Year","Y",1,"IRVINE","CA","97157","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"54161",11/12/2009 0:00:00
"I-200-09133-426072","WITHDRAWN",3/2/2010 18:03:01,"H-1B",8/10/2010 0:00:00,8/10/2013 0:00:00,"KEY ENERGY SERVICES, INC.","1301 MCKINEEY","HOUSTON","TX","77010","11-3031.00","Financial Managers","DIRECTOR, INTERNATIONAL ACCOUNTING.","98134",,"Year","Y",1,"HOUSTON","TX","123365","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"77010",3/10/2010 0:00:00
"I-200-09133-078700","CERTIFIED",3/5/2010 17:06:40,"H-1B",9/3/2010 0:00:00,9/3/2013 0:00:00,"RSG MEDIA SYSTEMS, LLC","14 EAST 38TH STREET","NEW YORK","NY","10016","15-2031.00","Operations Research Analysts","MODELING ANALYST","60000",,"Year","Y",1,"NEW YORK","NY","52166.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541519",3/11/2010 0:00:00
"I-200-09133-292157","CERTIFIED-WITHDRAWN",3/5/2010 17:16:09,"H-1B",4/1/2010 0:00:00,3/31/2013 0:00:00,"KAYNE ANDERSON CAPITAL ADVISORS, L.P.","1800 AVENUE OF THE STARS, 2ND FLR.","LOS ANGELES","CA","90067","13-2052.00","Personal Financial Advisors","PRIVATE EQUITY SENIOR ASSOCIATE","110000",,"Year","Y",1,"LOS ANGELES","CA","87610.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"523930",3/11/2010 0:00:00
"I-200-09134-029406","DENIED",10/13/2009 16:43:01,"H-1B",3/8/2010 0:00:00,3/7/2012 0:00:00,"ANA-DATA CONSULTING, INC.","1 EXCHANGE PLACE SUITE 300","JERSEY CITY","NJ","07302","15-1031.00","Computer Software Engineers, Applications","SENIOR SOFTWARE DEVELOPER (.NET DEVELOPER II)","100000","150000","Year","Y",1,"JERSEY CITY","NJ","95555.00","Year","CBA","OFLC ONLINE DATA CENTER","2009","JERSEY CITY","NJ","95555.00","Year","Other","OFLC ONLINE DATA CENTER","2009","518210",10/19/2009 10:16:29
"I-200-09134-031343","CERTIFIED",11/19/2009 13:14:01,"H-1B",12/7/2009 0:00:00,12/6/2012 0:00:00,"LIFESIZE COMMUNICATIONS, INC.","901 S. MOPAC","AUSTIN","TX","78746","17-2061.00","Computer Hardware Engineers","HARDWARE DESIGN ENGINEER","90000",,"Year","Y",1,"AUSTIN","TX","84864.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334220",11/25/2009 0:00:00
