"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09278-493589","CERTIFIED-WITHDRAWN",10/6/2009 17:49:35,"H-1B",10/26/2009 0:00:00,10/25/2012 0:00:00,"QUALCOMM INCORPORATED","5775 MOREHOUSE DRIVE","SAN DIEGO","CA","92121-","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER","72549","95520","Year","Y",1,"BOULDER","CO","72459.00","Year","Other","RADFORD BENCHMARK SURVEY - 5162","2009",,,,,,,,"334220",10/13/2009 0:00:00
"I-200-09278-282762","CERTIFIED",10/5/2009 16:29:11,"H-1B",12/1/2009 0:00:00,12/1/2012 0:00:00,"SAS INSTITUTE, INC.","100 CAMPUS DRIVE","CARY","NC","27513","15-1051.00","Computer Systems Analysts","ANALYTIC ENGINEER 2","65000",,"Year","Y",1,"CARY","NC","62358.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"511210",10/9/2009 0:00:00
"I-200-09278-842609","DENIED",10/5/2009 14:21:43,"H-1B",10/6/2009 0:00:00,10/5/2012 0:00:00,"PCS NITROGEN, INC.","1101 SKOKIE BLVD","NORTHBROOK","IL","60062","11-9121.00","Natural Sciences Managers","NITRIC ACID/AM NITRATE TECHNICAL MANAGER","124994",,"Year","Y",1,"GEISMAR","LA","92061","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"212391",10/6/2009 14:38:19
"I-200-09278-637268","CERTIFIED",10/7/2009 12:26:44,"H-1B",10/13/2009 0:00:00,10/12/2012 0:00:00,"BANK OF AMERICA N.A.","1100 NORTH KING ST, DE5-002-04-02","WILMINGTON","DE","19884","15-2031.00","Operations Research Analysts","AVP; QUANTITATIVE FINANCE ANALYST","71000","91000","Year","Y",1,"NEW YORK","NY","52166.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"522110",10/14/2009 0:00:00
"I-200-09278-682978","CERTIFIED",10/5/2009 14:01:52,"H-1B",10/16/2009 0:00:00,4/19/2010 0:00:00,"GIC ASSET MANAGEMENT PTE. LTD.","335 MADISON AVE, 24TH FLOOR","NEW YORK","NY","10017-","11-3031.00","Financial Managers","HEAD, NORTH AMERICAN EQUITIES","318750",,"Year","Y",1,"NEW YORK","NY","186181.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"523920",10/9/2009 0:00:00
"I-200-09278-622815","CERTIFIED",10/5/2009 14:08:43,"H-1B",10/12/2009 0:00:00,10/12/2012 0:00:00,"VALUEMOMENTUM, INC.","3001 HADLEY ROAD","SOUTH PLAINFIELD","NJ","07080","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","60000",,"Year","Y",7,"SOUTH PLAINFIELD","NJ","53227.00","Year","OES","OFLC ONLINE DATA CENTER","2009","KEENE","NH","50336.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",10/9/2009 0:00:00
"I-200-09278-567165","CERTIFIED",10/7/2009 10:55:25,"H-1B",2/28/2010 0:00:00,2/27/2013 0:00:00,"CEREBRAL INFOTECH, LLC","6200 AURORA AVENUE,","URBANDALE","IA","50322","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","55000",,"Year","Y",1,"URBANDALE","IA","54163.00","Year","OES","OFLC ONLINE DATA CENTER","2009","BENTONVILLE","AR","44533.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",10/14/2009 0:00:00
"I-200-09278-713673","CERTIFIED",10/5/2009 13:58:49,"H-1B",10/13/2009 0:00:00,10/12/2012 0:00:00,"BILINGUALS INC.","60 MADISON AVE, 8TH FL","NEW YORK","NY","10010","29-1127.00","Speech-Language Pathologists","SPEECH LANGUAGE PATHOLOGISTS","65250",,"Year","Y",1,"NEW YORK","NY","65250","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"62134",10/9/2009 0:00:00
"I-200-09278-877999","DENIED",10/5/2009 16:59:47,"H-1B",11/2/2009 0:00:00,11/1/2012 0:00:00,"PICKED FRESH, LLC","1385 BROADWAY, 16TH FL","NEW YORK","NY","10018","27-1022.00","Fashion Designers","FASHION DESIGNER","90000",,"Year","Y",1,"NEW YORK","NY","62504","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"31521",10/9/2009 17:15:27
"I-200-09278-456924","CERTIFIED-WITHDRAWN",10/5/2009 13:56:20,"H-1B",10/7/2009 0:00:00,2/23/2011 0:00:00,"XENOSOFT TECHNOLOGIES, INC","18170 DALLAS PARKWAY","DALLAS","TX","75287","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","57000",,"Year","Y",1,"DALLAS","TX","49317.00","Year","Other","FLC DATA CENTER","2009","HERNDON","VA","56680.00","Year","Other","FLC DATA CENTER","2009","541511",10/9/2009 0:00:00
"I-200-09278-295175","CERTIFIED",10/5/2009 17:10:05,"H-1B",3/25/2010 0:00:00,4/9/2012 0:00:00,"DELOITTE SERVICES LP","1700 MARKET STREET","PHILADELPHIA","PA","19103","15-1031.00","Computer Software Engineers, Applications","APPLICATION DEVELOPMENT ANALYST","99200",,"Year","Y",1,"HERMITAGE","TN","73320","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541611",10/9/2009 0:00:00
"I-200-09278-476974","CERTIFIED",10/5/2009 14:21:53,"H-1B",10/13/2009 0:00:00,10/13/2012 0:00:00,"NANDA INFOTECH SERVICES INC","1332 STREET ROAD","BENSALEM","PA","19020-","15-1071.00","Network and Computer Systems Administrators","LINUX SYSTEMS ADMINISTRATOR","60000",,"Year","Y",1,"COLUMBUS","OH","44242.00","Year","OES","OFLC ONLINE DATA CENTER","2009","BENSALEM","PA","48277.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",10/9/2009 0:00:00
"I-200-09278-486609","CERTIFIED",10/5/2009 14:00:22,"H-1B",10/5/2009 0:00:00,10/4/2012 0:00:00,"APTEC, LLC","121 EAST 23RD STREET, SUITE 8B","NEW YORK","NY","10010","15-1031.00","Computer Software Engineers, Applications","SENIOR SOFTWARE ENGINEER","80000",,"Year","Y",1,"SYRACUSE","NY","68494","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",10/9/2009 0:00:00
"I-200-09278-747756","CERTIFIED",10/5/2009 13:58:48,"H-1B",1/9/2010 0:00:00,9/15/2010 0:00:00,"INFORMATICA CORPORATION","100 CARDINAL WAY","REDWOOD CITY","CA","94063-","15-1041.00","Computer Support Specialists","SENIOR TECHNICAL SUPPORT ENGINEER","89360",,"Year","Y",1,"REDWOOD CITY","CA","87628","Year","Other","RADFORD BENCHMARK SALARY SURVEY","2009",,,,,,,,"541510",10/9/2009 0:00:00
"I-200-09278-011109","CERTIFIED",10/5/2009 14:26:15,"H-1B",3/4/2010 0:00:00,3/3/2013 0:00:00,"KOFAX, INC.","15211 LAGUNA CANYON ROAD","IRVINE","CA","92618-","15-1081.00","Network Systems and Data Communications Analysts","SENIOR USER SUPPORT SPECIALIST","66504",,"Year","Y",1,"IRVINE","CA","63419.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",10/9/2009 0:00:00
"I-200-09278-042087","CERTIFIED",10/5/2009 14:35:00,"H-1B",11/16/2009 0:00:00,11/15/2012 0:00:00,"A & S ELECTRONICS, INC.","372 TURQUOISE ST","MILPITAS","CA","95035","15-1061.00","Database Administrators","DATABASE ADMINISTRATOR","54663",,"Year","Y",1,"MILPITAS","CA","54662.40","Year","OES","N/A","2009",,,,,,,,"541519",10/9/2009 0:00:00
