"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09282-854898","CERTIFIED",10/9/2009 16:49:07,"H-1B",11/2/2009 0:00:00,11/2/2012 0:00:00,"SEVEN NETWORKS, INC.","2100 SEAPORT BLVD., SUITE 100","REDWOOD CITY","CA","94063-","15-1031.00","Computer Software Engineers, Applications","SR. SOFTWARE ENGINEER","107000",,"Year","Y",1,"REDWOOD CITY","CA","102149.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5112",10/16/2009 0:00:00
"I-200-09282-218800","CERTIFIED",10/9/2009 16:46:53,"H-1B",1/1/2010 0:00:00,6/30/2011 0:00:00,"COLUMBIA UNIVERSITY","2960 BROADWAY, MC5724","NEW YORK","NY","10027","25-1067.00","Sociology Teachers, Postsecondary","LECTURER","50000",,"Year","Y",1,"NEW YORK","NY","45500.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",10/16/2009 0:00:00
"I-200-09282-958585","CERTIFIED-WITHDRAWN",10/9/2009 16:39:04,"H-1B",11/16/2009 0:00:00,11/15/2012 0:00:00,"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","262 DANNY THOMAS PLACE","MEMPHIS","TN","38105-","19-1021.00","Biochemists and Biophysicists","POSTDOCTORAL RESEARCH ASSOCIATE","42345","65571","Year","Y",1,"MEMPHIS","TN","34154","Year","OES","OFLC ON-LINE DATA CENTER","2009",,,,,,,,"622310",10/16/2009 0:00:00
"I-200-09282-058555","CERTIFIED",10/19/2009 13:45:52,"H-1B",12/1/2009 0:00:00,11/30/2012 0:00:00,"CAROLINAS HEALTHCARE SYSTEM","400 EAST BLVD.","CHARLOTTE","NC","28203-","19-1021.00","Biochemists and Biophysicists","RESEARCH SCIENTIST","48000",,"Year","Y",1,"CHARLOTTE","NC","43742.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"622110",10/23/2009 0:00:00
"I-200-09282-066383","CERTIFIED",10/9/2009 16:35:56,"H-1B",12/15/2009 0:00:00,12/14/2012 0:00:00,"UNIVERSITY OF VIRGINIA","914 EMMET STREET","CHARLOTTESVILLE","VA","22904","19-3099.99","Social Scientists and Related Workers, All Other","SENIOR SCIENTIST","68000",,"Year","Y",1,"CHARLOTTESVILLE","VA","30950","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"611310",10/16/2009 0:00:00
"I-200-09282-079679","DENIED",10/9/2009 16:40:01,"H-1B",12/1/2009 0:00:00,11/30/2012 0:00:00,"LSU SYSTEM - PENNINGTON BIOMEDICAL RESEARCH CENTER","6400 PERKINS ROAD","BATON ROUGE","LA","70808","19-1042.00","Medical Scientists, Except Epidemiologists","POST-DOCTORAL RESEARCHER","49500",,"Year","Y",1,"BATON ROUGE","LA","37482","Year","OES",,"2009",,,,,,,,"611310",10/14/2009 15:17:19
"I-200-09282-761403","CERTIFIED",10/9/2009 17:05:11,"H-1B",10/15/2009 0:00:00,10/14/2011 0:00:00,"ARIZONA STATE UNIVERSITY","CENTER FOR GLOBAL EDUCATION SERVICES","TEMPE","AZ","85287","17-2144.00","Mechanical Engineers, R&D","FACULTY RESEARCH ASSOCIATE","51000",,"Year","Y",1,"TEMPE","AZ","45011.00","Year","OES","N/A","2009",,,,,,,,"611310",10/16/2009 0:00:00
"I-200-09282-011086","CERTIFIED",12/2/2009 16:21:41,"H-1B",12/2/2009 0:00:00,12/1/2012 0:00:00,"PERFICIENT, INC.","622 EMERSON ROAD","ST. LOUIS","MO","63141-","15-1031.00","Computer Software Engineers, Applications","LEAD TECHNICAL CONSULTANT","77293","127000","Year","Y",2,"MIRAMAR","FL","77293.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",12/8/2009 0:00:00
"I-200-09282-588994","CERTIFIED",10/9/2009 17:02:09,"H-1B",11/1/2009 0:00:00,11/1/2012 0:00:00,"GLOBAL PROJECT STRATEGY, INC","7220 NW 36TH ST SUITE 308-C","MIAMI","FL","33166","17-2051.00","Civil Engineers","DIRECTOR OF BUSINESS OPERATIONS","55000",,"Year","Y",1,"MIAMI","FL","51979.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"234990",10/16/2009 0:00:00
"I-200-09282-530620","CERTIFIED",10/19/2009 19:47:55,"H-1B",10/23/2009 0:00:00,10/22/2012 0:00:00,"HEWLETT-PACKARD COMPANY","19483 PRUNERIDGE AVE.","CUPERTINO","CA","95014","15-1051.00","Computer Systems Analysts","TECHNOLOGY CONSULTANT IV","85550","128250","Year","Y",1,"OAKLAND","CA","85550","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"33411",10/23/2009 0:00:00
