"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09289-177431","DENIED",10/16/2009 13:03:41,"H-1B",10/26/2009 0:00:00,10/1/2012 0:00:00,"ASSOCIATED SPECIALISTS OF SOUTHEASTERN CONNECTICUT","365 MONTAUK AVENUE","NEW LONDON","CT","06320","29-1063.00","Internists, General","MEDICAL DIRECTOR - SLEEP CENTER","215000",,"Year","Y",1,"NEW LONDON","CT","174138","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621111",10/19/2009 15:09:46
"I-203-09289-113443","DENIED",10/16/2009 13:15:17,"E-3 Australian",11/16/2009 0:00:00,11/15/2011 0:00:00,"VITAL MARKETING, LLC","115 EAST 23RD STREET","NEW YORK","NY","10010","27-3031.00","Public Relations Specialists","PUBLICIST","60000","75000","Year","Y",1,"NEW YORK","NY","51280","Year","OES","BUREAU OF LABOR STATISTICS OFLC ONLINE DATA CENTER","2008",,,,,,,,"54182",10/19/2009 16:33:36
"I-200-09289-865657","CERTIFIED",10/16/2009 13:02:19,"H-1B",10/22/2009 0:00:00,10/21/2012 0:00:00,"INTERONE CORP","4141 ROCKSIDE ROAD","SEVEN HILLS","OH","44131","15-1031.00","Computer Software Engineers, Applications","PROGRAMMER ANALYST","65000",,"Year","Y",1,"JOPLIN","MO","41080.00","Year","OES","'OFLC ONLINE DATA CENTER'","2009",,,,,,,,"541511",10/22/2009 0:00:00
"I-200-09289-832274","CERTIFIED",10/16/2009 13:02:34,"H-1B",11/1/2009 0:00:00,10/31/2010 0:00:00,"UNIVERSITY OF OREGON","5209 UNIVERSITY OF OREGON","EUGENE","OR","97403","19-1029.00","Biological Scientists, All Other","RESEARCH ASSOCIATE","58422",,"Year","Y",1,"EUGENE","OR","49504.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",10/22/2009 0:00:00
"I-200-09289-621232","CERTIFIED",10/16/2009 13:02:01,"H-1B",2/15/2010 0:00:00,2/14/2013 0:00:00,"UNIVERSITY OF KANSAS MEDICAL CENTER","INTERNATIONAL PROGRAMS, MS 3033","KANSAS CITY","KS","66160","19-4021.00","Biological Technicians","RESEARCH ASSISTANT","12.87",,"Hour","N",1,"KANSAS CITY","KS","12.67","Hour","Other","ACWIA","2009",,,,,,,,"611310",10/22/2009 0:00:00
"I-200-09289-485080","CERTIFIED",10/21/2009 10:22:08,"H-1B",4/3/2010 0:00:00,4/2/2011 0:00:00,"WACHOVIA BANK, N.A., A SUBSIDIARY OF WELLS FARGO &","301 SOUTH TRYON STREET, 12TH FLOOR, NC0673","CHARLOTTE","NC","28288","15-1021.00","Computer Programmers","APPLICATIONS PROGRAMMER, LEAD","105113",,"Year","Y",1,"CHARLOTTE","NC","57366","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"522110",10/27/2009 0:00:00
"I-200-09289-885296","CERTIFIED",10/16/2009 14:37:17,"H-1B",4/2/2010 0:00:00,10/11/2012 0:00:00,"FERMI RESEARCH ALLIANCE, LLC","FERMILAB, PINE STREET AND KIRK ROAD","BATAVIA","IL","60510","19-2099.99","Physical Scientists, All Other","RESEARCH ASSOCIATE","17.7","37.69","Hour","N",1,"BATAVIA","IL","17.70","Hour","Other","ACWIA","2009",,,,,,,,"541710",10/22/2009 0:00:00
"I-200-09289-087513","CERTIFIED",10/21/2009 12:15:40,"H-1B",11/16/2009 0:00:00,11/16/2012 0:00:00,"STRATEGIC STAFFING SOLUTIONS, INC.","645 GRISWOLD STREET","DETROIT","MI","48226-","15-1031.00","Computer Software Engineers, Applications","QTP TESTER","70000",,"Year","Y",1,"CHARLOTTE","NC","62338.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",10/27/2009 0:00:00
"I-200-09289-957619","CERTIFIED",2/8/2010 11:12:38,"H-1B",4/30/2010 0:00:00,4/29/2013 0:00:00,"TEKELEC","5200 PARAMOUNT PARKWAY","MORRISVILLE","NC","27560","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER III, NSG, SOFTWARE SYSTEMS","85758",,"Year","Y",1,"MORRISVILLE","NC","85758.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"517910",2/12/2010 0:00:00
"I-200-09289-208880","DENIED",10/16/2009 13:15:51,"H-1B",11/13/2009 0:00:00,11/13/2012 0:00:00,"EAST MISSISSIPPI STATE HOSPITAL","4555 HIGHLAND PARK DRIVE","MERIDIAN","MS","39307","11-1021.00","General and Operations Managers","SENIOR VP OF OPERATIONS","24.17",,"Hour","Y",1,"MERIDIAN","MS","24.17","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"622110",10/19/2009 16:50:09
