"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09295-525123","CERTIFIED",10/22/2009 18:38:37,"H-1B",3/31/2010 0:00:00,3/30/2013 0:00:00,"APPLE INC.","ONE INFINITE LOOP, M/S 84-REL","CUPERTINO","CA","95014","17-2141.00","Mechanical Engineers","MECHANICAL ENGINEER","97344",,"Year","Y",1,"CUPERTINO","CA","85363","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334119",10/28/2009 0:00:00
"I-200-09295-903783","WITHDRAWN",10/22/2009 18:56:11,"H-1B",4/3/2010 0:00:00,4/2/2013 0:00:00,"SYMYX TECHNOLOGIES, INC.","2440 CAMINO RAMON","SAN RAMON","CA","94583","15-1031.00","Computer Software Engineers, Applications","ADVISORY SOFTWARE ENGINEER","104507",,"Year","Y",1,"SAN RAMON","CA","102357","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",10/26/2009 0:00:00
"I-200-09295-161440","CERTIFIED",10/22/2009 18:52:12,"H-1B",11/1/2009 0:00:00,11/1/2012 0:00:00,"MINDTREE LIMITED","2001 GATEWAY PLACE","SAN JOSE","CA","95110","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","70304",,"Year","Y",1,"SAN JOSE","CA","70304.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",10/28/2009 0:00:00
"I-200-09295-720734","CERTIFIED",10/22/2009 19:03:44,"H-1B",10/23/2009 0:00:00,9/30/2011 0:00:00,"JASS & ASSOCIATES, INC..,","2099 GATEWAY PLACE","SAN JOSE","CA","95110","15-1031.00","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER, APPLICATIONS","64085",,"Year","Y",1,"HERNDON","VA","64085.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",10/28/2009 0:00:00
"I-200-09295-943510","CERTIFIED",10/22/2009 18:49:14,"H-1B",10/22/2009 0:00:00,10/22/2012 0:00:00,"NETSOL TECHNOLOGIES, INC.","23901 CALABASAS ROAD, SUITE 2072","CALABASAS","CA","91302","15-1051.00","Computer Systems Analysts","SOFTWARE ENGINEER","24.5",,"Hour","Y",1,"CALABASAS","CA","24.15","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5415",10/28/2009 0:00:00
"I-200-09295-499942","CERTIFIED",10/23/2009 20:04:35,"H-1B",11/2/2009 0:00:00,11/1/2012 0:00:00,"APTINA LLC","3080 NORTH FIRST STREET","SAN JOSE","CA","95134","17-2072.00","Electronics Engineers, Except Computer","DESIGN & CHARACTERIZATION ENGINEER","99854","122044","Year","Y",1,"SAN JOSE","CA","91187.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334413",10/29/2009 0:00:00
"I-200-09295-806102","CERTIFIED",10/22/2009 18:45:03,"H-1B",2/9/2010 0:00:00,2/9/2013 0:00:00,"SPRINT NEXTEL CORPORATION","6450 SPRINT PARKWAY","OVERLAND PARK","KS","66251","15-2031",,"INVENTORY ANALYST II","69688",,"Year","Y",1,"OVERLAND PARK","KS","65229","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"517212",10/28/2009 0:00:00
"I-200-09295-979602","WITHDRAWN",10/22/2009 18:51:00,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"MEADA CORPORATION","9319 TELSTAR AVE.","EL MONTE","CA","91731","15-1061.00","Database Administrators","DATABASE ADMINISTRATOR","25",,"Hour","N",1,"EL MONTE","CA","23.98","Hour","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"316992",10/24/2009 0:00:00
"I-200-09295-247507","CERTIFIED",10/23/2009 10:05:08,"H-1B",11/15/2009 0:00:00,11/14/2012 0:00:00,"ICMA RETIREMENT CORPORATION","777 NORTH CAPITOL STREET, N.E.","WASHINGTON","DC","20002","13-2011.01","Accountants","SENIOR FINANCIAL REPORTING ACCOUNTANT","50000","70000","Year","Y",1,"WASHINGTON","DC","47362.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",10/29/2009 0:00:00
"I-200-09295-696377","DENIED",10/22/2009 18:55:05,"H-1B",11/2/2009 0:00:00,11/1/2012 0:00:00,"MOENCOPI DAY SCHOOL","PO BOX 185","TUBA CITY","AZ","86045","25-2021.00","Elementary School Teachers, Except Special Educati","PUBLIC SCHOOL TEACHER","14.72",,"Hour","Y",1,"TUBA CITY","AZ","14.72","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611110",10/23/2009 17:45:29
