"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09302-999407","CERTIFIED",10/29/2009 14:49:01,"H-1B",10/29/2009 0:00:00,10/28/2012 0:00:00,"CSM SOFTEWARE USA, LLC.","17187 N. LAUREL PARK DRIVE SUITE 135","LIVONIA","MI","48152","17-2141.00","Mechanical Engineers","PROJECT ENGINEER","43160",,"Year","Y",1,"GRASSLAKE","MI","43160.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541330",11/4/2009 0:00:00
"I-200-09302-917463","CERTIFIED",10/29/2009 14:45:39,"H-1B",12/27/2009 0:00:00,12/27/2012 0:00:00,"COMSYS SERVICES LLC","15455 N. DALLAS PKWY., SUITE 300","ADDISON","TX","75001","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","53227","74518","Year","Y",1,"ALBANY","NY","53227.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",11/4/2009 0:00:00
"I-200-09302-600567","CERTIFIED",11/3/2009 10:08:04,"H-1B",12/1/2009 0:00:00,11/30/2012 0:00:00,"HUMBOLDT GENERAL HOSPITAL","118 EAST HASKELL STREET","WINNEMUCCA","NV","89445","29-2011.00","Medical and Clinical Laboratory Technologists","MEDICAL TECHNOLOGIST","25.76",,"Hour","Y",1,"WINNEMUCCA","NV","25.76","Hour","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"622110",11/9/2009 0:00:00
"I-200-09302-432677","CERTIFIED",10/29/2009 14:39:30,"H-1B",12/1/2009 0:00:00,12/1/2012 0:00:00,"GLOBAL IT EXPERTS, LLC","11210 STEEPLECREST DRIVE","HOUSTON","TX","77065","15-1099.02","Computer Systems Engineers/Architects","COMPUTER SYSTEMS ENGINEER","55000",,"Year","Y",1,"FRISCO","TX","49899","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",11/4/2009 0:00:00
"I-200-09302-123889","CERTIFIED",10/29/2009 14:55:12,"H-1B",11/2/2009 0:00:00,11/1/2012 0:00:00,"SCANDENT GROUP, INC.","1000 SOUTH JEFFERSON ROAD","WHIPPANY","NJ","07981","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","62379",,"Year","Y",1,"ESSEX","MD","62379.00","Year","OES","OFLC ONLINE DATE CENTER","2009",,,,,,,,"541511",11/4/2009 0:00:00
"I-200-09302-779855","DENIED",11/2/2009 13:55:12,"H-1B",11/15/2009 0:00:00,11/14/2012 0:00:00,"E-EMPHASYS TECHNOLOGIES INC","2401 WESTON PARKWAY","CARY","NC","27513","15-1021.00","Computer Programmers","SOFTWARE PROGRAMMER","60000",,"Year","Y",2,"PHILADELPHIA","PA","48381.00","Year","Other","OFLC ONLINE DATA CENTER","2009","CARY","NC","44491.00","Year","Other","OFLC ONLINE DATA CENTER","2009","541511",11/9/2009 15:12:27
"I-200-09302-333456","CERTIFIED",10/29/2009 14:47:37,"H-1B",10/30/2009 0:00:00,9/30/2012 0:00:00,"ST. MARK'S PHYSICAL THERAPY, P.C.","235 SHERIDAN BLVD.","MINEOLA","NY","11501","29-9199.00","Health professionals and technicians, all other","REHAB COORDINATOR","60000",,"Year","Y",1,"BROOKLYN","NY","59363.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621610",11/4/2009 0:00:00
"I-200-09302-439622","CERTIFIED",10/30/2009 12:59:11,"H-1B",11/22/2009 0:00:00,9/18/2011 0:00:00,"INTERNATIONAL PLANT SERVICES, LLC","1602 OLD UNDERWOOD ROAD","LA PORTE","TX","77571","17-2141.00","Mechanical Engineers","FIELD ENGINEER","29",,"Hour","Y",1,"GOOSE CREEK","SC","26.60","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"211111",11/5/2009 0:00:00
"I-200-09302-094894","CERTIFIED",10/29/2009 14:44:48,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"BRUCE K. BARR D.D.S. P.C.","1369 LASKIN ROAD","VIRGINIA BEACH","VA","23451","29-1029.99","Dentists, All Other Specialists","PERIODONTIST","168000",,"Year","Y",1,"VIRGINIA BEACH","VA","83866.00","Year","OES","N/A","2009",,,,,,,,"621210",11/4/2009 0:00:00
"I-200-09302-652878","CERTIFIED",10/29/2009 14:49:06,"H-1B",2/18/2010 0:00:00,2/18/2013 0:00:00,"BIRLASOFT INC.","2035 LINCOLN HIGHWAY","EDISON","NJ","08817","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","54400",,"Year","Y",1,"RESEARCH TRIANGLE PARK","NC","54371.00","Year","Other","DOL FLC DATACENTER WIZARD","2009",,,,,,,,"541511",11/4/2009 0:00:00
