"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09308-104686","CERTIFIED",11/6/2009 16:40:22,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"THE BOARD OF TRUSTEES OF THE LELAND STANFORD, JR. ","584 CAPISTRANO WAY","STANFORD","CA","94305","17-2031.00","Biomedical Engineers","POSTDOCTORAL RESEARCH AFFILIATE","42076",,"Year","Y",1,"STANFORD","CA","40082.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",11/13/2009 0:00:00
"I-200-09308-507293","CERTIFIED",11/4/2009 18:37:44,"H-1B",11/9/2009 0:00:00,11/8/2012 0:00:00,"SMART ONLINE INC","4505 EMPEROR BLVD","DURHAM","NC","27703","15-1099.02","Computer Systems Engineers/Architects","JAVA DEVELOPER","70000",,"Year","Y",1,"DURHAM","NC","58781","Year","OES",,"2009",,,,,,,,"541511",11/10/2009 0:00:00
"I-200-09308-936257","CERTIFIED",12/2/2009 15:17:17,"H-1B",6/1/2010 0:00:00,5/31/2013 0:00:00,"EASTERN LONG ISLAND HOSPITAL","201 MANOR PLACE","GREENPORT","NY","11944","29-2011.00","Medical and Clinical Laboratory Technologists","MEDICAL TECHNOLOGIST","33.87",,"Hour","Y",1,"GREENPORT","NY","31.22","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"622110",12/8/2009 0:00:00
"I-200-09308-669612","CERTIFIED",11/4/2009 18:38:23,"H-1B",11/9/2009 0:00:00,10/1/2012 0:00:00,"IT PARK LLC","22525 SE 64TH PLACE","ISSAQUAH","WA","98027","15-1031.00","Computer Software Engineers, Applications","SOFTWARE DEVELOPER ENGINEER","75000",,"Year","Y",1,"REDMOND","WA","69160","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",11/10/2009 0:00:00
"I-200-09308-946643","CERTIFIED",11/4/2009 18:28:48,"H-1B",1/2/2010 0:00:00,1/1/2011 0:00:00,"LITTLE LIGHTHOUSE CHILDREN'S REHAB","503 W. OCEAN BLVD.","LOS FRESNOS","TX","78566","29-1127.00","Speech-Language Pathologists","SPEECH LANGUAGE PATHOLOGIST ASSISTANT","75000",,"Year","Y",1,"LOS FRESNOS","TX","46301.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621340",11/10/2009 0:00:00
"I-200-09308-942666","CERTIFIED",11/4/2009 19:56:36,"H-1B",2/18/2010 0:00:00,7/5/2011 0:00:00,"STATE OF WA DEPARTMENT OF REVENUE","6500 LINDERSON WAY SW","OLYMPIA","WA","98501","15-1099.04","Web Developers","INFORMATION TECHNOLOGY SPECIALIST 3","64740",,"Year","Y",1,"OLYMPIA","WA","64740.00","Year","CBA","COLLECTIVE BARGAINING AGREEMENT","2009",,,,,,,,"921130",11/10/2009 0:00:00
"I-200-09308-682506","CERTIFIED",11/4/2009 18:26:31,"H-1B",2/6/2010 0:00:00,2/5/2013 0:00:00,"LIQUATEC CORPORATION","2133 S. GREEN PRIVADO","ONTARIO","CA","91761","13-2011.01","Accountants","COST ACCOUNTANT","24.04",,"Hour","Y",1,"ONTARIO","CA","20.65","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"423800",11/10/2009 0:00:00
"I-200-09308-700733","CERTIFIED",11/4/2009 18:24:31,"H-1B",11/23/2009 0:00:00,11/22/2012 0:00:00,"VHG BISTRO PARTNERS, LLC","3483 BLACKHAWK PLAZA CIRCLE","DANVILLE","CA","94506","11-9051.00","Food Service Managers","RESTAURANT MANAGER","55000",,"Year","Y",1,"DANVILLE","CA","43763","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"722110",11/10/2009 0:00:00
"I-200-09308-583637","CERTIFIED",11/4/2009 18:22:20,"H-1B",11/4/2009 0:00:00,11/4/2012 0:00:00,"ZIPCAST, LLC","510 BERING, SUITE 455","HOUSTON","TX","77057","15-1051",,"COMPUTER SYSTEMS ANALYST","47400","70000","Year","Y",1,"HOUSTON","TX","47362.00","Year","OES","N/A","2009",,,,,,,,"541850",11/10/2009 0:00:00
"I-200-09308-350033","CERTIFIED",11/4/2009 18:28:56,"H-1B",11/5/2009 0:00:00,11/4/2012 0:00:00,"OPPORTUNITY FUND NORTHERN CALIFORNIA","111 WEST ST. JOHN STREET","SAN JOSE","CA","95113-","19-3021.00","Market Research Analysts","MARKET RESEARCH ANALYST","75000",,"Year","Y",1,"SAN JOSE","CA","59218","Year","OES","OFLC ONLINE DATE CENTER","2009",,,,,,,,"522298",11/10/2009 0:00:00
"I-200-09308-390708","CERTIFIED",11/20/2009 11:35:07,"H-1B",11/30/2009 0:00:00,11/29/2012 0:00:00,"HEALTHPRO INTERNATIONAL, INC.","481A FATHER CAPODANNO BLVD., SUITE 1","STATEN ISLAND","NY","10305","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","28.54",,"Hour","Y",1,"LONG ISLAND CITY","NY","28.54","Hour","OES","N/A","2009",,,,,,,,"621340",11/27/2009 0:00:00
"I-200-09308-190432","CERTIFIED-WITHDRAWN",11/4/2009 18:37:04,"H-1B",1/16/2010 0:00:00,1/15/2013 0:00:00,"B-BRIDGE INTERNATIONAL, INC.","320 LOGUE AVENUE","MOUNTAIN VIEW","CA","94043","15-1061.00","Database Administrators","DATABASE ADMINISTRATOR","61000",,"Year","Y",1,"MOUNTAIN VIEW","CA","54662.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"454111",11/10/2009 0:00:00
"I-200-09308-813460","CERTIFIED",11/4/2009 18:31:18,"H-1B",11/16/2009 0:00:00,11/15/2012 0:00:00,"ICSN, INC.","1826 POMONA ROAD","CORONA","CA","92880","19-3021.00","Market Research Analysts","INTERNATIONAL MARKET RESEARCH ANALYST","17.84",,"Hour","N",1,"CORONA","CA","17.84","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"423830",11/10/2009 0:00:00
"I-200-09308-335083","CERTIFIED",11/11/2009 14:36:38,"H-1B",11/23/2009 0:00:00,11/23/2012 0:00:00,"NORGREN INC.","5400 S DELAWARE STREET","LITTLETON","CO","80120","13-2051.00","Financial Analysts","SR. FINANCIAL ANALYST NORGREN AMERICAS","62525","65651.25","Year","Y",1,"LITTLETON","CO","62525","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"333294",11/17/2009 0:00:00
