"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09315-818529","CERTIFIED",11/11/2009 11:49:41,"H-1B",1/1/2010 0:00:00,1/1/2013 0:00:00,"WELL-CARE HOME HEALTH, INC.","10518 KIPP WAY DR.","HOUSTON","TX","77099","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","22.09",,"Hour","Y",1,"HOUSTON","TX","22.09","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621610",11/17/2009 0:00:00
"I-200-09315-413215","CERTIFIED",11/11/2009 11:56:41,"H-1B",11/11/2009 0:00:00,11/10/2012 0:00:00,"SOFTNET SOLUTIONS INC","40W, 38ST, 6TH FLOOR","NEWYORK","NY","10018","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","65000",,"Year","Y",1,"SAN CLEMENTE","CA","64168.00","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"541511",11/17/2009 0:00:00
"I-200-09315-901793","CERTIFIED",11/11/2009 12:33:02,"H-1B",11/19/2009 0:00:00,11/18/2012 0:00:00,"MOGO INC.","414 PLAZA DRIVE","WESTMONT","IL","60559","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","52000",,"Year","Y",1,"WESTMONT","IL","50045.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",11/17/2009 0:00:00
"I-200-09315-191406","CERTIFIED",11/11/2009 11:45:17,"H-1B",11/11/2009 0:00:00,11/11/2012 0:00:00,"COSMOS FOUNDATION","9431 W. SAM HOUSTON PKWY. S.","HOUSTON","TX","77099-","25-2031.00","Secondary School Teachers, Except Special and Voca","SECONDARY MATHEMATICS TEACHER","44000",,"Year","Y",1,"SAN ANTONIO","TX","41650","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611110",11/17/2009 0:00:00
"I-200-09315-383981","CERTIFIED",11/13/2009 15:47:57,"H-1B",12/1/2009 0:00:00,11/30/2012 0:00:00,"GOODMAN NETWORKS, INC.","6400 INTERNATIONAL PARKWAY","PLANO","TX","75093","17-2071.00","Electrical Engineers","TECHNICAL SUPPORT ENGINEER","94000",,"Year","Y",1,"NAPERVILLE","IL","85467.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"513300",11/19/2009 0:00:00
"I-200-09315-255533","CERTIFIED",11/12/2009 18:35:31,"H-1B",11/12/2009 0:00:00,9/30/2010 0:00:00,"VENSITI INC","1304 W.WALNUT HILL LANE","IRVING","TX","75038","15-1051.00","Computer Systems Analysts","SYSTEM ANALYST","53000",,"Year","Y",1,"ALISO VIEJO","CA","49442.00","Year","OES","OFLC ONLINE DATA CENTER","2009","IRVING","TX","47736.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",11/20/2009 0:00:00
"I-200-09315-241307","CERTIFIED",11/11/2009 11:58:38,"H-1B",11/11/2009 0:00:00,11/10/2012 0:00:00,"LUXURY DYNASTIC CORPORATION","1 WEST 58TH STREET","NEW YORK","NY","10019","27-1029.99","Designers, All Other","DESIGNER","26.5","26.5","Hour","Y",1,"NEW YORK","NY","26.50","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541490",11/17/2009 0:00:00
"I-200-09315-950568","CERTIFIED",11/11/2009 12:49:04,"H-1B",1/31/2010 0:00:00,1/31/2013 0:00:00,"DEPARTMENT OF VETERANS AFFAIRS -","500 FOOTHILL BLVD.","SALT LAKE CITY","UT","84148","29-1062.00","Family and General Practitioners","PHYSICIAN","179757",,"Year","Y",1,"SALT LAKE CITY","UT","166670.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"622110",11/17/2009 0:00:00
"I-200-09315-024379","CERTIFIED",11/11/2009 11:51:24,"H-1B",11/11/2009 0:00:00,9/22/2010 0:00:00,"XCELTECH, INC.","2136 GALLOWS RD.","DUNN LORING","VA","22027-","13-1111.00","Management Analysts","BUSINESS ANALYST","26.4","30","Hour","N",1,"WESTBOROUGH","MA","26.40","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",11/17/2009 0:00:00
"I-200-09315-250713","CERTIFIED",11/11/2009 11:48:05,"H-1B",1/4/2010 0:00:00,1/3/2013 0:00:00,"HDR ENGINEERING, INC.","8404 INDIAN HILLS DRIVE","OMAHA","NE","68114","19-3011.00","Economists","SENIOR ECONOMIST","91600",,"Year","Y",1,"SILVER SPRING","MD","91600","Year","Other","WATSON WYATT: SURVEY REPORT ON PROFESSIONAL ADMINI","2009",,,,,,,,"541330",11/17/2009 0:00:00
