"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09321-011618","CERTIFIED",11/17/2009 10:41:23,"H-1B",3/15/2010 0:00:00,3/14/2013 0:00:00,"METHODIST MEDICAL CENTER OF ILLINOIS","221 NE GLEN OAK AVENUE","PEORIA","IL","61636","29-1069.99","Physicians and Surgeons, All Other","RESIDENT PHYSICIAN","49226",,"Year","Y",1,"PEORIA","IL","41038.00","Year","OES",,"2009",,,,,,,,"622110",11/23/2009 0:00:00
"I-200-09321-778475","CERTIFIED",11/17/2009 9:18:49,"H-1B",5/5/2010 0:00:00,5/1/2013 0:00:00,"NYS OFFICE OF CHILDREN AND FAMILY SERVICES","52 WASHINGTON ST","RENSSELAER","NY","12144","19-3099.99","Social Scientists and Related Workers, All Other","RESEARCH SCIENTIST","62614",,"Year","Y",1,"RENSSELAER","NY","57470.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"921190",11/23/2009 0:00:00
"I-200-09321-713876","WITHDRAWN",11/17/2009 11:15:34,"H-1B",11/25/2009 0:00:00,11/24/2012 0:00:00,"FUJITSU AMERICA, INC.","1250 EAST ARQUES AVENUE","SUNNYVALE","CA","94085","15-1031.00","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER, APPLICATION","108181",,"Year","Y",7,"SAN JOSE","CA","108181.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541510",11/17/2009 0:00:00
"I-200-09321-638776","CERTIFIED",11/17/2009 9:11:51,"H-1B",2/11/2010 0:00:00,2/11/2013 0:00:00,"LEO BURNETT COMPANY, INC.","35 WEST WACKER DRIVE","CHICAGO","IL","60601-","27-1011.00","Art Directors","SENIOR ART DIRECTOR","80000",,"Year","Y",1,"CHICAGO","IL","70995","Year","Other","AMERICAN ASSOCIATION OF ADVERTISING AGENCIES EMPLO","2008",,,,,,,,"541810",11/23/2009 0:00:00
"I-200-09321-530212","CERTIFIED",11/17/2009 9:20:32,"H-1B",4/11/2010 0:00:00,4/11/2013 0:00:00,"FRS AMERICA INC.","119 RUSSELL ST.","LITTLETON","MA","01460","11-3021.00","Computer and Information Systems Managers","SOFTWARE DEVELOPMENT MANAGER","88005",,"Year","Y",1,"LITTLETON","MA","88005.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"511210",11/23/2009 0:00:00
"I-200-09321-163003","CERTIFIED",11/17/2009 9:16:53,"H-1B",2/8/2010 0:00:00,2/8/2013 0:00:00,"INEUM CONSULTING","1355 PEACHTREE STREET NE, SUITE 700","ATLANTA","GA","30309-","15-1021.00","Computer Programmers","SENIOR CONSULTANT, PROGRAMMER ANALYST","117000",,"Year","Y",1,"IRVING","CA","64168","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541611",11/23/2009 0:00:00
"I-200-09321-710296","CERTIFIED",11/17/2009 9:18:24,"H-1B",11/23/2009 0:00:00,11/23/2012 0:00:00,"NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH, INC.","250 MASSACHUSETTS AVENUE","CAMBRIDGE","MA","02139","19-1029.00","Biological Scientists, All Other","SCIENTIFIC ASSOCIATE II","69000",,"Year","Y",1,"CAMBRIDGE","MA","67621.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541710",11/23/2009 0:00:00
"I-200-09321-641888","CERTIFIED",11/17/2009 10:10:38,"H-1B",12/8/2009 0:00:00,12/7/2012 0:00:00,"BRIGHTSTAR CORP.","9725 N.W. 117TH AVENUE","MIAMI","FL","33178-","15-2031.00","Operations Research Analysts","SUPPLY CHAIN OPTIMIZATION MANAGER","60000",,"Year","Y",1,"CAMBRIDGE","MA","54163.00","Year","Other","OFLC ON-LINE DATA CENTER","2009",,,,,,,,"517212",11/23/2009 0:00:00
"I-200-09321-630710","CERTIFIED",11/23/2009 15:41:52,"H-1B",11/25/2009 0:00:00,11/25/2012 0:00:00,"ERNST & YOUNG LLP","200 PLAZA DRIVE","SECAUCUS","NJ","07094","13-1111.00","Management Analysts","MANAGER - PERFORMANCE IMPROVEMENT USA","98842","187000","Year","Y",1,"NEW YORK","NY","98842","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541211",11/30/2009 0:00:00
"I-200-09321-677236","WITHDRAWN",11/17/2009 11:16:50,"H-1B",11/25/2009 0:00:00,11/24/2012 0:00:00,"FUJITSU AMERICA, INC.","1250 EAST ARQUES AVENUE","SUNNYVALE","CA","94085","15-1031.00","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER, APPLICATION","102149",,"Year","Y",7,"SAN MATEO","CA","102149","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541510",11/17/2009 0:00:00
"I-200-09321-934336","CERTIFIED",11/17/2009 9:27:51,"H-1B",3/9/2010 0:00:00,3/8/2011 0:00:00,"REDBUD FARM","942 TABLER STATION ROAD","INWOOD","WV","25428-4578","19-1010.00","Agricultural and Food Scientists","AGRONOMIST","32084",,"Year","Y",1,"INWOOD","WV","31907","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541690",11/23/2009 0:00:00
"I-200-09321-745921","DENIED",11/19/2009 10:20:15,"H-1B",5/13/2010 0:00:00,9/22/2011 0:00:00,"AEA INVESTORS LP","55 EAST 52ND STREET","NEW YORK","NY","10055","13-2011.01","Accountants","FUND ACCOUNTING SPECIALIST","85000",,"Year","Y",1,"NEW YORK","NY","68266.00","Month","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"523920",11/25/2009 12:09:35
"I-200-09321-191874","CERTIFIED",11/17/2009 9:36:43,"H-1B",11/25/2009 0:00:00,11/24/2010 0:00:00,"SAINT ROSE HIGH SCHOOL","607 7TH AVENUE","BELMAR","NJ","07719","25-2031.00","Secondary School Teachers, Except Special and Voca","HIGH SCHOOL PHYSICS TEACHER","45520",,"Year","Y",1,"BELMAR","NJ","45520.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"61110",11/23/2009 0:00:00
"I-200-09321-851842","CERTIFIED",11/17/2009 10:51:41,"H-1B",11/30/2009 0:00:00,11/29/2012 0:00:00,"THE BRAZIL FOUNDATION, INC.","345 7TH AVENUE","NEW YORK","NY","10001","27-3031.00","Public Relations Specialists","DEVELOPMENT OFFICER","41018","52000","Year","Y",1,"NEW YORK","NY","41018.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"813410",11/23/2009 0:00:00
