"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09326-570076","CERTIFIED",11/22/2009 18:56:32,"H-1B",1/17/2010 0:00:00,1/17/2013 0:00:00,"UNIQUE INNOVATIONS INC.","12565 SLAUSON AVENUE","WHITTIER","CA","90606","19-3021.00","Market Research Analysts","MARKET RESEARCH ANALYST","18.69",,"Hour","Y",1,"WHITTIER","CA","18.69","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"323100",11/27/2009 0:00:00
"I-200-09326-268743","CERTIFIED",11/22/2009 19:19:49,"H-1B",11/30/2009 0:00:00,11/29/2012 0:00:00,"ZOUNDS HEARING, INC.","4405 EAST BASELINE ROAD","PHOENIX","AZ","85042-7459","17-2071.00","Electrical Engineers","DSP SOFTWARE ENGINEER","95000",,"Year","Y",1,"PHOENIX","AZ","68099","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334510",11/27/2009 0:00:00
"I-200-09326-733490","CERTIFIED",11/22/2009 19:11:55,"H-1B",12/14/2009 0:00:00,6/30/2011 0:00:00,"TAMARACK SCIENTIFIC CO., INC.","220 KLUG CIRCLE","CORONA","CA","92880","17-2141.00","Mechanical Engineers","MECHANICAL ENGINEER","88000",,"Year","Y",1,"CORONA","CA","61714.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"333295",11/27/2009 0:00:00
"I-200-09326-653023","CERTIFIED",11/22/2009 19:18:54,"H-1B",11/23/2009 0:00:00,1/18/2012 0:00:00,"SOURCEINFOTECH INC.","120 WOOD AVENUE SOUTH","ISELIN","NJ","08830","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","54000",,"Year","Y",1,"PORTLAND","OR","46010.00","Year","OES","OFLC ONLINE DATA CENTER","2009","ISELIN","NJ","53227","Year","OES","OFLC ONLINE DATA CENTER","2009","514210",11/27/2009 0:00:00
"I-200-09326-580319","CERTIFIED",11/22/2009 19:47:32,"H-1B",11/30/2009 0:00:00,9/26/2012 0:00:00,"MMC SYSTEMS INC.","13800 COPPERMINE ROAD","HERNDON","VA","20171","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","55000",,"Year","Y",1,"JACKSONVILLE","FL","46093","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",11/27/2009 0:00:00
"I-200-09326-237637","CERTIFIED",11/24/2009 0:50:13,"H-1B",3/26/2010 0:00:00,3/25/2013 0:00:00,"SILICON MOTION, INC.","1591 MCCARTHY BLVD.","MILPITAS","CA","95035","15-1032.00","Computer Software Engineers, Systems Software","DSP SOFTWARE ENGINEER","85284",,"Year","Y",1,"MILPITAS","CA","83158.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541510",12/1/2009 0:00:00
"I-200-09326-445853","CERTIFIED",11/22/2009 20:25:41,"H-1B",12/7/2009 0:00:00,12/7/2012 0:00:00,"CAPGEMINI U.S. LLC","111 N. CANAL STREET, SUITE 1500","CHICAGO","IL","60606","15-1031.00","Computer Software Engineers, Applications","MANAGER II","124000",,"Year","Y",1,"ATLANTA","GA","108098","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5416",11/27/2009 0:00:00
"I-200-09326-781935","CERTIFIED",11/22/2009 20:54:39,"H-1B",5/12/2010 0:00:00,5/11/2013 0:00:00,"SUNERA TECHNOLOGIES, INC","631 E. BIG BEAVER, SUITE 109","TROY","MI","48083","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","70000",,"Year","Y",1,"BETHESDA","MD","67850.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5415",11/27/2009 0:00:00
"I-200-09326-680773","CERTIFIED",11/22/2009 20:25:04,"H-1B",11/23/2009 0:00:00,9/27/2011 0:00:00,"SOURCEINFOTECH INC.","120 WOOD AVENUE SOUTH","ISELIN","NJ","08830","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER ANALYST","60000",,"Year","Y",1,"NEWARK","NJ","52957.00","Year","OES","OFLC ONLINE DATA CENTER","2009","ISELIN","NJ","53227","Year","OES","OFLC ONLINE DATA CENTER","2009","514210",11/27/2009 0:00:00
"I-200-09326-713454","CERTIFIED",11/22/2009 21:06:58,"H-1B",11/23/2009 0:00:00,9/26/2010 0:00:00,"SOURCEINFOTECH INC.","120 WOOD AVENUE SOUTH","ISELIN","NJ","08830","13-1111.00","Management Analysts","BUSINESS ANALYST","65000",,"Year","Y",1,"WESTERVILLE","OH","47590.00","Year","OES","OFLC ONLINE DATA CENTER","2009","ISELIN","NJ","53539","Year","OES","OFLC ONLINE DATA CENTER","2009","514210",11/27/2009 0:00:00
"I-200-09326-973760","CERTIFIED",11/22/2009 22:51:28,"H-1B",3/1/2010 0:00:00,2/28/2013 0:00:00,"MICROSOFT CORPORATION","1 MICROSOFT WAY","REDMOND","WA","98052","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE DEVELOPMENT ENGINEER","80000",,"Year","Y",1,"REDMOND","WA","74755","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"51121",11/27/2009 0:00:00
"I-200-09326-859246","CERTIFIED",11/22/2009 22:53:57,"H-1B",11/23/2009 0:00:00,9/27/2011 0:00:00,"SOURCEINFOTECH INC.","120 WOOD AVENUE SOUTH","ISELIN","NJ","08830","13-1111.00","Management Analysts","MANAGEMENT INFORMATION SYSTEMS ANALYST","60000",,"Year","Y",1,"DETROIT","MI","50066.00","Year","OES","OFLC ONLINE DATA CENTER","2009","ISELIN","NJ","53539","Year","OES","OFLC ONLINE DATA CENTER","2009","514210",11/27/2009 0:00:00
"I-200-09326-798676","CERTIFIED",11/22/2009 23:03:55,"H-1B",12/1/2009 0:00:00,12/1/2012 0:00:00,"THE VARNETTE PUBLIC SCHOOL","5025 SOUTH WILLOW DRIVE","HOUSTON","TX","77035","25-2021.00","Elementary School Teachers, Except Special Educati","ELEMENTARY SCHOOL TEACHER","38900","38900","Year","Y",1,"HOUSTON","TX","38900","Year","Other","FOREIGN LABOR CERTIFICATION DATA CENTER","2009",,,,,,,,"611110",11/27/2009 0:00:00
"I-200-09326-070734","CERTIFIED",11/22/2009 22:59:19,"H-1B",5/15/2010 0:00:00,5/14/2013 0:00:00,"MICROSOFT CORPORATION","1 MICROSOFT WAY","REDMOND","WA","98052","11-9199.99","Managers, All Other","PROGRAM MANAGER","80000",,"Year","Y",1,"REDMOND","WA","70138","Year","OES",,"2009",,,,,,,,"51121",11/27/2009 0:00:00
