"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09334-427465","CERTIFIED",12/1/2009 13:38:55,"H-1B",3/1/2010 0:00:00,2/28/2013 0:00:00,"GUESS?, INC.","1444 SOUTH ALAMEDA STREET","LOS ANGELES","CA","90021","15-1021.00","Computer Programmers","APPLICATION DEVELOPER","51585",,"Year","Y",1,"LOS ANGELES","CA","51584.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"448140",12/7/2009 0:00:00
"I-200-09334-243916","CERTIFIED",12/15/2009 10:33:15,"H-1B",1/11/2010 0:00:00,1/11/2013 0:00:00,"SIMMONS FIRST NATIONAL CORPORATION","501 MAIN STREET","PINE BLUFF","AR","71601-","13-2041.00","Credit Analysts","LOAN REVIEW SPECIALIST II","46110",,"Year","Y",1,"FORT SMITH","AR","37398","Year","OES","OFLC ONLINE DATA CENTER","2009","CLINTON","AR","39582","Year","OES","OFLC ONLINE DATA CENTER","2009","52212",12/21/2009 0:00:00
"I-200-09334-311468","CERTIFIED",11/30/2009 20:21:59,"H-1B",12/1/2009 0:00:00,11/30/2012 0:00:00,"NATIONAL STAFFING SOLUTIONS, INC","603 6TH STREET NW","WINTER HAVEN","FL","33881","29-1123.00","Physical Therapists","PHISICAL THERAPIST","25.81",,"Hour","Y",1,"BROOMALL","PA","25.81","Hour","OES","FLC DATA CENTER ONLINE LIBRARY","2009",,,,,,,,"561310",12/4/2009 0:00:00
"I-200-09334-605291","CERTIFIED",11/30/2009 20:02:43,"H-1B",11/30/2009 0:00:00,11/30/2012 0:00:00,"ADITI TECHNOLOGIES PVT. LTD.","2002 156TH AVENUE NE, SUITE 200","BELLEVUE","WA","98007-","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST/PROGRAMMER (APPLICATIONS)","75200","95000","Year","Y",1,"NEW YORK","NY","75200","Year","Other","MERCER BENCHMARK","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-344441","CERTIFIED",12/4/2009 13:26:52,"H-1B",12/4/2009 0:00:00,12/4/2012 0:00:00,"NETWORK LEARNING, INC.","375 N. STEPHANIE STREET, STE. 2111","HENDERSON","NV","89014","25-9099.99","Education, Training, and Library Workers, All Othe","TECHNICAL INSTRUCTOR/ENGINEER","100000",,"Year","Y",1,"HENDERSON","NV","50065.00","Year","OES",,"2009",,,,,,,,"6117",12/10/2009 0:00:00
"I-200-09334-406957","WITHDRAWN",11/30/2009 19:47:06,"H-1B",12/10/2009 0:00:00,12/9/2012 0:00:00,"T-FORCE, INC.","19800 MACARTHUR BLVD., STE. 300","IRVINE","CA","92612","15-1031.00","Computer Software Engineers, Applications","SENIOR SERVICE ENGINEER","91790",,"Year","Y",1,"PLANO","TX","91790","Year","OES","OFLC DATA CENTER","2009",,,,,,,,"517212",12/2/2009 0:00:00
"I-200-09334-982742","CERTIFIED",11/30/2009 19:56:27,"H-1B",11/30/2009 0:00:00,11/29/2011 0:00:00,"E BUSINESS INTERNATIONAL INC.","1200 TICES LANE","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","66500","74000","Year","Y",1,"MECHANICSBURG","PA","57491.00","Year","OES","OFLC ONLINE DATA CENTER","2009","EAST BRUNSWICK","NJ","66310.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",12/4/2009 0:00:00
"I-200-09334-044331","CERTIFIED",11/30/2009 20:32:53,"H-1B",12/9/2009 0:00:00,9/30/2012 0:00:00,"CORE PROVIDERS, LLC","4851 KELLER SPRINGS RD #210","ADDISON","TX","75001","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","53000",,"Year","Y",1,"OROSI","CA","52728.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",12/4/2009 0:00:00
"I-200-09334-539220","CERTIFIED",12/2/2009 15:08:06,"H-1B",1/4/2010 0:00:00,1/4/2013 0:00:00,"ANCHORAGE SCHOOL DISTRICT","5530 E. NORTHERN LIGHTS BLVD.","ANCHORAGE","AK","99504-3135","25-2031.00","Secondary School Teachers, Except Special and Voca","CLASSROOM TEACHER, SECONDARY","42917",,"Year","Y",1,"ANCHORAGE","AK","42917.00","Year","CBA","N/A","2009",,,,,,,,"611110",12/8/2009 0:00:00
"I-200-09334-764793","CERTIFIED",12/1/2009 19:04:38,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"SANTINI FOODS INC","16505 WORTHLEY DRIVE","SAN LORENZO","CA","94580","19-1012.00","Food Scientists and Technologists","FOOD PRODUCTION SPECIALIST (QUALITY ASSURANCE)","21.62",,"Hour","Y",1,"SAN LORENZO","CA","21.62","Hour","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"311514",12/7/2009 0:00:00
"I-200-09334-002057","CERTIFIED",12/1/2009 18:11:10,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"NEOWIZ ENTERTAINMENT, INC.","7 CORPORATE PARK, SUITE 150","IRVINE","CA","92606","27-2012.01","Producers","GAME PRODUCER","50000",,"Year","Y",1,"IRVINE","CA","48090.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"519130",12/7/2009 0:00:00
"I-200-09334-932570","CERTIFIED",11/30/2009 20:21:52,"H-1B",12/10/2009 0:00:00,12/10/2012 0:00:00,"ASTRE CONSULTING SERVICES INC","8300 GREENSBORO DR","MCLEAN","VA","22102","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","65000",,"Year","Y",1,"ROANOKE","VA","43285.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-023734","CERTIFIED",11/30/2009 20:28:46,"H-1B",1/15/2010 0:00:00,1/14/2013 0:00:00,"APOLLO GARMENTS LTD.","377 S. LEMON AVENUE  STE G","WALNUT","CA","91789","13-2031.00","Budget Analysts","BUDGET ANALYST","23.97","23.97","Hour","Y",1,"WALNUT","CA","23.97","Hour","OES",,"2009",,,,,,,,"424310",12/4/2009 0:00:00
"I-200-09334-889555","CERTIFIED-WITHDRAWN",11/30/2009 20:00:45,"H-1B",11/30/2009 0:00:00,9/24/2010 0:00:00,"BUSINESS INTEGRA TECHNOLOGY SOLUTIONS INC.","7229 HANOVER PARKWAY","GREENBELT","MD","20770","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","52000",,"Year","Y",1,"LOS ANGLES","CA","51584.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-455686","CERTIFIED",12/1/2009 11:51:48,"H-1B",6/1/2010 0:00:00,6/1/2013 0:00:00,"SURFACE SYSTEMS, INC.","1862 CRAIG PARK COURT","ST. LOUIS","MO","63146","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ARCHITECT","102750",,"Year","Y",1,"ST. LOUIS","MO","70283.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334519",12/7/2009 0:00:00
"I-200-09334-627538","CERTIFIED",12/15/2009 10:34:27,"H-1B",1/11/2010 0:00:00,1/11/2013 0:00:00,"SIMMONS FIRST NATIONAL CORPORATION","501 MAIN STREET","PINE BLUFF","AR","71601-","13-2041.00","Credit Analysts","LOAN REVIEW SPECIALIST II","46110",,"Year","Y",1,"HOT SPRINGS","AR","44491","Year","OES","OFLC ONLINE DATA CENTER","2009","JONESBORO","AR","45157","Year","OES","OFLC ONLINE DATA CENTER","2009","52212",12/21/2009 0:00:00
"I-200-09334-707377","CERTIFIED",11/30/2009 20:10:19,"H-1B",12/15/2009 0:00:00,12/14/2012 0:00:00,"INFORMATICA CORPORATION","100 CARDINAL WAY","REDWOOD CITY","CA","94063-","15-1031.00","Computer Software Engineers, Applications","LEAD/SENIOR SOFTWARE ENGINEER","105000",,"Year","Y",1,"REDWOOD CITY","CA","102949","Year","Other","RADFORD BENCHMARK SALARY SURVEY","2009",,,,,,,,"541510",12/4/2009 0:00:00
"I-200-09334-682210","CERTIFIED",11/30/2009 20:23:57,"H-1B",2/15/2010 0:00:00,2/14/2013 0:00:00,"PRIME TECHNOLOGY GROUP, INC.","1006 WEST 9TH AVENUE","KING OF PRUSSIA","PA","19406","15-1099.99","Computer Specialists, All Other","SYSTEM ARCHITECT","46000",,"Year","Y",1,"KING OF PRUSSIA","PA","45302.00","Year","Other","FLC DATA CENTER","2009",,,,,,,,"541519",12/4/2009 0:00:00
"I-200-09334-842562","CERTIFIED",11/30/2009 20:09:02,"H-1B",12/7/2009 0:00:00,12/6/2012 0:00:00,"TUVOX, INC.","550 S. WINCHESTER BLVD., STE # 300","SAN JOSE","CA","95128","15-1031.00","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER APPLICATIONS/SR. FIELD ","116500",,"Year","Y",1,"SAN JOSE","CA","108181.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541519",12/4/2009 0:00:00
"I-200-09334-138624","CERTIFIED",12/2/2009 19:07:00,"H-1B",2/1/2010 0:00:00,1/31/2013 0:00:00,"LUMILEDS LIGHTING LLC","370 WEST TRIMBLE ROAD","SAN JOSE","CA","95131","17-2071.00","Electrical Engineers","RELIABILITY ENGINEER","88733","143000","Year","Y",1,"SAN JOSE","CA","88733.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334413",12/8/2009 0:00:00
"I-200-09334-299581","CERTIFIED-WITHDRAWN",11/30/2009 20:05:02,"H-1B",12/1/2009 0:00:00,11/30/2012 0:00:00,"EMPRISE CONSULTING, INC.","200 EAST SANDPOINTE AVENUE","SANTA ANA","CA","92707","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","75000",,"Year","Y",1,"PHILADELPHIA","CA","51542","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-203-09334-357086","CERTIFIED",12/1/2009 5:46:03,"E-3 Australian",1/1/2010 0:00:00,1/1/2011 0:00:00,"AUSTRALIS FOODS USA LLC","7260 W. AZURE DR SUITE 140-721","LAS VEGAS","NV","89130","13-2011.01","Accountants","CHIEF FINANCIAL OFFICER","94000",,"Year","Y",1,"LAS VEGAS","NV","93662.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"42441",12/7/2009 0:00:00
"I-200-09334-448808","CERTIFIED",11/30/2009 20:08:47,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"SOFTWARE SOLUTIONS GROUP INC","3885 CRESTWOOD PKWY,","DULUTH","GA","30096","15-1052.00","Computer Systems Analysts, Non R&D (ACWIA Only)","COMPUTER SYSTEMS ANALYST","54246","54246","Year","Y",1,"DULUTH","GA","54246.00","Year","Other","OFLC DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-044023","DENIED",11/30/2009 20:19:03,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"SILICON VALLEY WEST, INC.","15813 POPPY LANE","MONTE SERENO","CA","95030","13-2011.00","Accountants and Auditors","ACCOUNTANT","24.66",,"Hour","N",1,"MONTE SERENO","CA","24.66","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541219",12/4/2009 15:17:59
"I-200-09334-396864","CERTIFIED",11/30/2009 20:00:50,"H-1B",12/10/2009 0:00:00,12/9/2012 0:00:00,"T-FORCE, INC.","19800 MACARTHUR BLVD., STE. 300","IRVINE","CA","92612","15-1031.00","Computer Software Engineers, Applications","SENIOR SERVICE ENGINEER","104728",,"Year","Y",1,"PLANO","TX","104728","Year","OES","OFLC DATA CENTER","2009",,,,,,,,"517212",12/4/2009 0:00:00
"I-200-09334-514296","CERTIFIED",11/30/2009 20:03:23,"H-1B",12/1/2009 0:00:00,12/1/2012 0:00:00,"DGN TECHNOLOGIES INC.","701 BRICKELL AVENUE","MIAMI","FL","33131-","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","60000",,"Year","Y",1,"MIAMI","FL","47299","Year","OES","OFLC ONLINE CENTER","2009","FREMONT","CA","52790","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",12/4/2009 0:00:00
"I-200-09334-806407","CERTIFIED",11/30/2009 20:53:32,"H-1B",12/7/2009 0:00:00,12/6/2012 0:00:00,"EXILANT CONSULTING PVT. LTD.","5201 GREAT AMERICA PARKWAY, SUITE #320","SANTA CLARA","CA","95054","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","5859","6692","Month","Y",1,"CUPERTINO","CA","5859.00","Month","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-074519","CERTIFIED",11/30/2009 20:10:22,"H-1B",11/30/2009 0:00:00,9/30/2011 0:00:00,"BUSINESS INTEGRA TECHNOLOGY SOLUTIONS INC.","7229 HANOVER PARKWAY","GREENBELT","MD","20770","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","60000",,"Year","Y",1,"MINNEAPOLIS","MN","47154.00","Year","Other","OFLC ONLINE DATA CENTER","2009","GREENBELT","MD","56680.00","Year","Other","OFLC ONLINE DATA CENTER","2009","541511",12/4/2009 0:00:00
"I-200-09334-440800","CERTIFIED",11/30/2009 20:05:21,"H-1B",12/1/2009 0:00:00,12/1/2012 0:00:00,"DGN TECHNOLOGIES INC.","701 BRICKELL AVENUE","MIAMI","FL","33131-","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","60000",,"Year","Y",1,"MIAMI","FL","47299","Year","OES","OFLC ONLINE DATA CENTER","2009","FREMONT","CA","52790","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",12/4/2009 0:00:00
"I-200-09334-689373","CERTIFIED",11/30/2009 20:07:16,"H-1B",11/30/2009 0:00:00,11/29/2012 0:00:00,"ELITE SOFTWARE INC","4320 STEVENS CREEK BLVD","SAN JOSE","CA","95129","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","67000",,"Year","Y",1,"SANTA CLARA","CA","66976","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-255713","CERTIFIED",12/15/2009 10:31:53,"H-1B",1/11/2010 0:00:00,1/11/2013 0:00:00,"SIMMONS FIRST NATIONAL CORPORATION","501 MAIN STREET","PINE BLUFF","AR","71601-","13-2041.00","Credit Analysts","LOAN REVIEW SPECIALIST II","46110",,"Year","Y",1,"RUSSELLVILLE","AR","39582","Year","OES","OFLC ONLINE DATA CENTER","2009","SEARCY","AR","39582","Year","OES","OFLC ONLINE DATA CENTER","2009","52212",12/21/2009 0:00:00
"I-200-09334-520001","CERTIFIED",11/30/2009 20:07:55,"H-1B",12/14/2009 0:00:00,12/13/2010 0:00:00,"LAWRENCE BERKELEY NATIONAL LABORATORY","1 CYCLOTRON ROAD, 65A","BERKELEY","CA","94720","19-2031.00","Chemists","CHEMIST POSTDOCTORAL FELLOW","42612",,"Year","Y",1,"BERKELEY","CA","39915.00","Year","OES","N/A","2009",,,,,,,,"541710",12/4/2009 0:00:00
"I-200-09334-089050","CERTIFIED",11/30/2009 20:07:44,"H-1B",12/1/2009 0:00:00,12/1/2012 0:00:00,"DGN TECHNOLOGIES INC.","701 BRICKELL AVENUE","MIAMI","FL","33131-","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","60000",,"Year","Y",1,"MIAMI","FL","47299","Year","OES","OFLC ONLINE DATA CENTER","2009","FREMONT","CA","52790","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",12/4/2009 0:00:00
"I-200-09334-027231","CERTIFIED-WITHDRAWN",11/30/2009 20:11:08,"H-1B",12/1/2009 0:00:00,11/30/2012 0:00:00,"XYLOTECH SYSTEMS, INC.","1851 EAST 1ST STREET","SANTA ANA","CA","92705","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","92000",,"Year","Y",1,"WICHITA","KS","39874","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-384773","CERTIFIED-WITHDRAWN",11/30/2009 20:22:33,"H-1B",12/2/2009 0:00:00,12/2/2012 0:00:00,"MU SIGMA, INC.","1450 EAST AMERICAN LANE, SUITE 1400","SCHAUMBURG","IL","60173","13-1111.00","Management Analysts","MANAGER","75000",,"Year","Y",1,"ROUND ROCK","TX","63045.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5416",12/4/2009 0:00:00
"I-200-09334-763568","CERTIFIED-WITHDRAWN",11/30/2009 20:16:08,"H-1B",12/1/2009 0:00:00,11/30/2012 0:00:00,"XYLOTECH SYSTEMS, INC.","1851 EAST 1ST STREET","SANTA ANA","CA","92705","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","55000",,"Year","Y",1,"MOUNTAIN VIEW","CA","52000","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-297319","CERTIFIED-WITHDRAWN",11/30/2009 20:18:00,"H-1B",11/30/2009 0:00:00,11/28/2010 0:00:00,"BUSINESS INTEGRA TECHNOLOGY SOLUTIONS INC.","7229 HANOVER PARKWAY","GREENBELT","MD","20770","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","46400",,"Year","Y",1,"COLUMBUS","OH","46342.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-473832","CERTIFIED",11/30/2009 20:18:33,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"SOFTWARE SOLUTIONS GROUP INC","3885 CRESTWOOD PKWY,","DULUTH","GA","30096","15-1052.00","Computer Systems Analysts, Non R&D (ACWIA Only)","COMPUTER SYSTEMS ANALYST","62130","62130","Year","Y",1,"HERNDON","VA","62130.00","Year","Other","OFLC DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-541702","CERTIFIED",11/30/2009 20:17:08,"H-1B",12/9/2009 0:00:00,12/8/2012 0:00:00,"BROADCOM CORPORATION","5300 CALIFORNIA AVE.","IRVINE","CA","92617","17-2071.00","Electrical Engineers","ENGINEER, STAFF - IC DESIGN","105000",,"Year","Y",1,"SANTA CLARA","CA","94245","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334413",12/4/2009 0:00:00
"I-200-09334-471996","DENIED",11/30/2009 20:46:37,"H-1B",1/18/2010 0:00:00,1/17/2013 0:00:00,"ART REPRODUCTIVE CENTER, INC.","450 N. ROXBURY DRIVE, #520","BEVERLY HILLS","CA","90210","29-2011.00","Medical and Clinical Laboratory Technologists","LABORATORY TECHNOLOGIST","73964.8",,"Year","Y",1,"BEVERLY HILLS","CA","58198.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621111",12/1/2009 14:19:23
"I-200-09334-450762","CERTIFIED",12/1/2009 16:52:05,"H-1B",12/15/2009 0:00:00,12/15/2012 0:00:00,"MINERVA SURGICAL, INC.","20195 STEVENS CREEK BOULEVARD, SUITE 120","CUPERTINO","CA","95014","17-2031.00","Biomedical Engineers","PRINCIPAL ENGINEER","82014",,"Year","Y",1,"CUPERTINO","CA","81578","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"339112",12/7/2009 0:00:00
"I-200-09334-437297","DENIED",11/30/2009 20:29:19,"H-1B",12/5/2009 0:00:00,12/4/2012 0:00:00,"DESINNOVA TECHNOLOGIES INC.","2828 SW CORBETT AVE","PORTLAND","OR","97201","15-1031.00","Computer Software Engineers, Applications","COMPUTER SOFTWARE DEVELOPER","65000",,"Year","Y",1,"PORTLAND","OR","64314","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"54151",12/1/2009 14:16:52
"I-200-09334-052277","CERTIFIED",11/30/2009 20:35:55,"H-1B",12/1/2009 0:00:00,11/30/2012 0:00:00,"SUNSET & GREEN VALLEY, INC.","4427 SUNSET RD.","HENDERSON","NV","89014","15-1021.00","Computer Programmers","PROGRAMMER-ANALYST","42432",,"Year","Y",1,"HENDERSON","NV","42432","Year","Other","FLC DATA CENTER","2008",,,,,,,,"4453",12/4/2009 0:00:00
"I-200-09334-007496","CERTIFIED-WITHDRAWN",11/30/2009 20:24:39,"H-1B",11/30/2009 0:00:00,9/25/2010 0:00:00,"BUSINESS INTEGRA TECHNOLOGY SOLUTIONS INC.","7229 HANOVER PARKWAY","GREENBELT","MD","20770","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","52000",,"Year","Y",1,"MINEOLA","NY","51854.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-891739","CERTIFIED",11/30/2009 20:33:17,"H-1B",12/15/2009 0:00:00,12/15/2012 0:00:00,"OSSUR NORTH AMERICA INC","27412 ALISO VIEJO PARKWAY","ALISO VIEJO","CA","92656","17-2141.00","Mechanical Engineers","MECHANICAL ENGINEER","125000",,"Year","Y",1,"FOOTHILL RANCH","CA","95202.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"339113",12/4/2009 0:00:00
"I-200-09334-507621","DENIED",11/30/2009 20:30:43,"H-1B",11/30/2009 0:00:00,9/30/2012 0:00:00,"ROSEY INTERNATIONAL INC.","709 HWY 87 NORTH","NEWTON","TX","75966-","13-2011.01","Accountants","ACCOUNTANT","35173",,"Year","Y",1,"NEWTON","TX","35173.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"447110",12/1/2009 9:00:12
"I-200-09334-252417","CERTIFIED-WITHDRAWN",11/30/2009 20:31:35,"H-1B",1/23/2010 0:00:00,1/22/2012 0:00:00,"SOFTWARE SOLUTIONS GROUP INC","3885 CRESTWOOD PKWY,","DULUTH","GA","30096","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","70304","70304","Year","Y",1,"SAN JOSE","CA","70304.00","Year","Other","OFLC DATA CENTER","2009",,,,,,,,"541511",12/4/2009 0:00:00
"I-200-09334-073778","DENIED",11/30/2009 20:32:37,"H-1B",12/15/2009 0:00:00,12/14/2012 0:00:00,"HISTORIC HOTELS OF NASHVILLE, LLC","231 6TH AVENUE NORTH","NASHVILLE","TN","37219","13-2011.01","Accountants","MANAGEMENT ACCOUNTANT","19.47",,"Hour","N",1,"NASHVILLE","TN","19.47","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"721110",12/4/2009 15:11:57
"I-200-09334-530594","CERTIFIED",11/30/2009 20:27:59,"H-1B",12/1/2009 0:00:00,12/1/2012 0:00:00,"DGN TECHNOLOGIES INC.","701 BRICKELL AVENUE","MIAMI","FL","33131-","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","60000",,"Year","Y",1,"MIAMI","FL","47299","Year","OES","OFLC ONLINE DATA CENTER","2009","FREMONT","CA","52790","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",12/4/2009 0:00:00
"I-200-09334-907787","CERTIFIED",11/30/2009 20:33:49,"H-1B",11/30/2009 0:00:00,9/22/2011 0:00:00,"SATYAM BPO LIMITED","ONE GATEHALL DRIVE","PARSIPPANY","NJ","07054","17-2112.00","Industrial Engineers","INDUSTRIAL ENGINEER","60000",,"Year","Y",1,"BATESVILLE","IN","52083.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541500",12/4/2009 0:00:00
"I-200-09334-526338","CERTIFIED",11/30/2009 20:32:10,"H-1B",11/30/2009 0:00:00,9/26/2010 0:00:00,"BUSINESS INTEGRA TECHNOLOGY SOLUTIONS INC.","7229 HANOVER PARKWAY","GREENBELT","MD","20770","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","57500",,"Year","Y",1,"CHARLOTTE","NC","57366.00","Year","Other","OFLC ONLINE DATA CENTER","2009","GREENBELT","MD","56680.00","Year","Other","OFLC ONLINE DATA CENTER","2009","541511",12/4/2009 0:00:00
"I-200-09334-012143","CERTIFIED",11/30/2009 21:02:38,"H-1B",2/15/2010 0:00:00,2/14/2013 0:00:00,"PRIME TECHNOLOGY GROUP, INC.","1006 WEST 9TH AVENUE","KING OF PRUSSIA","PA","19406","15-1099.99","Computer Specialists, All Other","SYSTEM ARCHITECT","46000",,"Year","Y",1,"KING OF PRUSSIA","PA","45302.00","Year","Other","FLC DATA CENTER","2009",,,,,,,,"541519",12/4/2009 0:00:00
