"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09338-018397","CERTIFIED",12/4/2009 16:25:15,"H-1B",12/18/2009 0:00:00,12/17/2012 0:00:00,"COILS INCORPORATED","11716 ALGONQUIN ROAD","HUNTLEY","IL","60142","15-2031.00","Operations Research Analysts","PRODUCTION AND OPERATIONS ANALYST","47000",,"Year","Y",1,"KENTLAND","IN","41226.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334416",12/10/2009 0:00:00
"I-200-09338-388552","CERTIFIED",12/4/2009 16:26:06,"H-1B",1/19/2010 0:00:00,1/18/2011 0:00:00,"FOX LATIN AMERICAN CHANNEL, INC.","1440 SEPULVEDA","LOS ANGELES","CA","90025-","11-2011.00","Advertising and Promotions Managers","ACCOUNT MANAGER","75600",,"Year","Y",1,"CORAL GABLES","FL","56118","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"51321",12/10/2009 0:00:00
"I-200-09338-919864","CERTIFIED",12/4/2009 18:33:03,"H-1B",12/4/2009 0:00:00,12/4/2012 0:00:00,"NTRUST INFOTECH PRIVATE LIMITED","2700 N MAIN STREET","SANTA ANA","CA","92705","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","50000",,"Year","Y",5,"SANTA ANA","CA","49442.00","Year","OES","OFLC ONLINE DATA CENTER","2009","CALEDONIA","MI","46883.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",12/10/2009 0:00:00
"I-200-09338-786577","CERTIFIED-WITHDRAWN",12/17/2009 9:19:25,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"CITIBANK, N.A.","111 WALL STREET","NEW YORK","NY","10005-","13-2051.00","Financial Analysts","BALANCE SHEET MANAGEMENT ANALYST 4","85842",,"Year","Y",1,"NEW YORK","NY","85842","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"523110",12/23/2009 0:00:00
"I-200-09338-040550","CERTIFIED",12/4/2009 16:20:35,"H-1B",12/21/2009 0:00:00,12/20/2012 0:00:00,"MICRON TECHNOLOGY, INC.","8000 S. FEDERAL WAY, MAIL STOP 1-507","BOISE","ID","83716","17-2071.00","Electrical Engineers","FACTORY NETWORK ENGINEER","81534",,"Year","Y",1,"BOISE","ID","51251","Year","OES",,"2009",,,,,,,,"334413",12/10/2009 0:00:00
"I-200-09338-629812","CERTIFIED",12/15/2009 10:27:36,"H-1B",12/15/2009 0:00:00,12/15/2012 0:00:00,"LIFELOCK, INC.","60 E. RIO SALADO PARKWAY","TEMPE","AZ","85281-","15-1021.00","Computer Programmers","SOFTWARE ENGINEER","80000","90000","Year","Y",1,"TEMPLE CITY","CA","78645.00","Year","OES","OFLC ONLINE DATA CENTER","2009","TEMPE","AZ","71344.00","Year","OES","OFLC ONLINE DATA CENTER","2009","522320",12/21/2009 0:00:00
"I-200-09338-583078","CERTIFIED",12/4/2009 17:00:33,"H-1B",12/14/2009 0:00:00,12/13/2012 0:00:00,"SAMSUNG TELECOMMUNICATIONS AMERICA, LLC","1301 EAST LOOKOUT DRIVE","RICHARDSON","TX","75082-","15-1032.00","Computer Software Engineers, Systems Software","SYSTEMS ENGINEER II","80000",,"Year","Y",1,"RICHARDSON","TX","76253.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541519",12/10/2009 0:00:00
"I-202-09338-906600","CERTIFIED",12/8/2009 17:41:23,"H-1B1 Singapore",12/21/2009 0:00:00,12/20/2010 0:00:00,"CR INTRINSIC INVESTORS, LLC","72 CUMMINGS POINT ROAD","STAMFORD","CT","06902","13-2051.00","Financial Analysts","FINANCIAL RESEARCH ANALYST","125000",,"Year","Y",1,"NEW YORK","NY","111114.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5239",12/14/2009 0:00:00
"I-200-09338-731358","DENIED",12/4/2009 16:32:31,"H-1B",12/10/2009 0:00:00,12/9/2012 0:00:00,"DONUR TECHNICAL SERVICES, INC.","18 BARD DRIVE","MONROE","NJ","08831-","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","95000",,"Year","Y",1,"MONROE","NJ","77584","Year","OES","OFLC ONLINE DATA CENTER","2009","WOODCLIFF LAKE","NJ","76440","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",12/7/2009 12:47:47
"I-200-09338-447813","CERTIFIED",12/4/2009 16:26:59,"H-1B",3/1/2010 0:00:00,2/28/2013 0:00:00,"VDC RESEARCH","679 WORCESTER ROAD","NATICK","MA","01760-","19-3021.00","Market Research Analysts","RESEARCH ANALYST","47000",,"Year","Y",1,"NATICK","MA","44138","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541910",12/10/2009 0:00:00
