"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09344-047504","DENIED",12/11/2009 15:38:57,"H-1B",1/11/2010 0:00:00,1/10/2013 0:00:00,"SERIOUS BUSINESS, INC.","580 MARKET STREET, 6TH FLOOR","SAN FRANCISCO","CA","94104-5401","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER","97219","110000","Year","Y",1,"SAN FRANCISCO","CA","97219.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"516110",12/15/2009 17:53:21
"I-200-09344-797967","CERTIFIED",12/21/2009 14:06:44,"H-1B",12/21/2009 0:00:00,12/13/2012 0:00:00,"COLLISSE GROUP LIMITED","2211 26TH STREET","SAN FRANCISCO","CA","94107","15-1031.00","Computer Software Engineers, Applications","USER INTERFACE (UI) ARCHITECT","90000",,"Year","Y",1,"SAN FRANCISCO","CA","71386.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"516110",12/28/2009 0:00:00
"I-200-09344-543936","CERTIFIED",12/11/2009 16:18:53,"H-1B",12/31/2009 0:00:00,12/31/2012 0:00:00,"GERBER PLUMBING FIXTURES LLC","2500 INTERNATIONALE PARKWAY","WOODRIDGE","IL","60517-","11-3051.00","Industrial Production Managers","FITTINGS PRODUCT DEVELOPMENT MANAGER","61963","71963","Year","Y",1,"WOODRIDGE","IL","61963.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"327111",12/17/2009 0:00:00
"I-200-09344-085675","CERTIFIED",12/10/2009 14:17:55,"H-1B",12/21/2009 0:00:00,12/20/2012 0:00:00,"RAPIDIT INC.","5480 MCGINNIS VILLAGE PL","ALPHARETTA","GA","30005","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER/ANALYST, LEVEL 2","61000",,"Year","Y",1,"ALPHARETTA","GA","60778.00","Year","Other","FLC DATA CENTER-ONLINE WAGE LIBRARY","2009","MEMPHIS","TN","59634.00","Year","Other","FLC DATA CENTER-ONLINE WAGE LIBRARY","2009","541511",12/16/2009 0:00:00
"I-200-09344-966322","CERTIFIED",12/10/2009 14:20:46,"H-1B",12/10/2009 0:00:00,12/10/2012 0:00:00,"ACCOLITE, INC.","1801 GATEWAY BLVD.","RICHARDSON","TX","75080-","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","61797",,"Year","Y",1,"REDWOOD CITY","CA","61797.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/16/2009 0:00:00
"I-200-09344-450843","DENIED",12/10/2009 20:27:02,"H-1B",6/10/2010 0:00:00,6/9/2013 0:00:00,"THE 17/21 GROUP, LLC.","4719 BOYLE AVENUE","VERNON","CA","90058","27-1024.00","Graphic Designers","GRAPHIC DESIGNER","15.92","15.92","Hour","Y",1,"VERNON","CA","15.92","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"315239",12/15/2009 16:51:25
"I-200-09344-194146","CERTIFIED",12/10/2009 14:13:29,"H-1B",4/1/2010 0:00:00,4/5/2011 0:00:00,"UNIVERSITY OF MICHIGAN","PIERPONT COMMONS, INTERNATIONAL CENTER","ANN ARBOR","MI","48109","29-1061.00","Anesthesiologists","CLINICAL INSTRUCTOR","167400",,"Year","Y",1,"ANN ARBOR","MI","167400.00","Year","Other","AAMC","2007",,,,,,,,"611310",12/16/2009 0:00:00
"I-200-09344-468802","CERTIFIED",12/10/2009 14:27:13,"H-1B",12/11/2009 0:00:00,8/3/2011 0:00:00,"VENSOFT LLC","260 CHAPMAN RD","NEWARK","DE","19702","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","53000",,"Year","Y",1,"BEAVERTON","OR","46010.00","Year","Other","OFLC ONLINE DATA CENTER","2009","NEWARK","DE","51584.00","Year","Other","OFLC ONLINE DATA CENTER","2009","541511",12/16/2009 0:00:00
"I-200-09344-788145","DENIED",12/10/2009 14:20:18,"H-1B",1/15/2010 0:00:00,1/15/2013 0:00:00,"SHAMBHALA MOUNTAIN CENTER","4921 COUNTY ROAD 68C","RED FEATHER LAKES","CO","80545","13-2011.00","Accountants and Auditors","FINANCE ASSISTANT","20.92",,"Hour","Y",1,"RED FEATHER LAKES","CO","19.17","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"813110",12/15/2009 9:08:01
"I-200-09344-094166","CERTIFIED",12/18/2009 16:06:34,"H-1B",1/4/2010 0:00:00,1/4/2013 0:00:00,"BURNHAM INSTITUTE FOR MEDICAL RESEARCH","10901 N. TORREY PINES ROAD","LA JOLLA","CA","92037-","19-1029.99","Biological Scientists, All Other","POSTDOCTORAL ASSOCIATE","45000",,"Year","Y",1,"LA JOLLA","CA","33405.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541711",12/24/2009 0:00:00
"I-200-09344-614980","CERTIFIED",12/10/2009 14:58:53,"H-1B",12/14/2009 0:00:00,12/13/2012 0:00:00,"SANTA BARBARA COMMUNITY DIALYSIS CENTER, INC.","5251 DTC PARKWAY, SUITE 500","GREENWOOD VILLAGE","CO","80111-","29-1111.00","Registered Nurses","TEAM LEADER / STAFF REGISTERED NURSE","62213","64188","Year","Y",1,"SANTA BARBARA","CA","62213","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621399",12/16/2009 0:00:00
"I-200-09344-725789","CERTIFIED",12/10/2009 14:47:52,"H-1B",12/30/2009 0:00:00,12/30/2012 0:00:00,"ULTIMATE CARE INC","16089 POPPYSEED CIRCLE UNIT 2008","DELRAY BEACH","FL","33484","11-9111.00","Medical and Health Services Managers","MANAGER OF REHAB - P.T. OUTPATIENT SERVICES","34.51",,"Hour","Y",1,"HARRISON","NY","34.51","Hour","OES","N/A","2009",,,,,,,,"561320",12/16/2009 0:00:00
"I-200-09344-410824","DENIED",12/10/2009 14:31:21,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"HSU'S GINSENG ENTERPRISES, INC.","T6819 CO. HWY. W","WAUSAU","WI","54402","19-3021.00","Market Research Analysts","SALES AND MARKETING SPECIALIST","15.4",,"Hour","N",1,"WAUSAU","WI","15.41","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"424990",12/15/2009 15:02:23
