"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09351-628573","CERTIFIED",12/17/2009 11:48:33,"H-1B",5/20/2010 0:00:00,5/19/2011 0:00:00,"NATIONAL INSTITUTES OF HEALTH, HHS","DIVISION OF INTERNATIONAL SERVICES/ORS","BETHESDA","MD","20892","19-1021.00","Biochemists and Biophysicists","RESEARCH FELLOW","75231",,"Year","Y",1,"BETHESDA","MD","34154.00","Year","OES",,"2009",,,,,,,,"541712",12/23/2009 0:00:00
"I-200-09351-875855","CERTIFIED",12/17/2009 20:17:00,"H-1B",2/1/2010 0:00:00,1/31/2013 0:00:00,"QUALCOMM INNOVATION CENTER INC.","5775 MOREHOUSE DRIVE","SAN DIEGO","CA","92121","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER","73713","95520","Year","Y",1,"SEATTLE","WA","73713.00","Year","Other","RADFORD BENCHMARK SURVEY - 5162","2009",,,,,,,,"334220",12/23/2009 0:00:00
"I-200-09351-548455","DENIED",12/17/2009 11:58:46,"H-1B",12/18/2009 0:00:00,12/17/2012 0:00:00,"E TOWN SWIM & FITNESS MANAGEMENT","3026 RING ROAD","ELIZABETH TOWN","KY","42701","27-2022.00","Coaches and Scouts","HEAD COACH","19.23",,"Hour","N",1,"ELIZABETH TOWN","KY","15250.00","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"61162",12/21/2009 15:45:05
"I-200-09351-899459","CERTIFIED",12/18/2009 15:54:54,"H-1B",3/16/2010 0:00:00,3/15/2013 0:00:00,"EKTRON, INC.","542 AMHERST STREET","NASHUA","NH","03063","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","70000",,"Year","Y",1,"NASHUA","NH","62941.00","Year","OES","OFLC ONLINE DATA CENTER","2008",,,,,,,,"334611",12/24/2009 0:00:00
"I-200-09351-349035","CERTIFIED",12/17/2009 11:46:16,"H-1B",1/31/2010 0:00:00,1/31/2013 0:00:00,"COX COMMUNICATIONS-ARIZONA","1550 W. DEER VALLEY ROAD","PHOENIX","AZ","85027-","15-1081.00","Network Systems and Data Communications Analysts","NETWORK ENGINEER I","67000",,"Year","Y",1,"PHOENIX","AZ","63336","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334220",12/23/2009 0:00:00
"I-200-09351-037128","CERTIFIED",12/17/2009 12:06:01,"H-1B",2/1/2010 0:00:00,2/1/2013 0:00:00,"SYNECHRON, INC.","15 CORPORATE PLACE SOUTH","PISCATAWAY","NJ","08854-","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","69150",,"Year","Y",1,"FLORHAM PARK","NJ","69100.00","Year","Other","WATSON WYATT: SURVEY REPORT ON PROFESSIONAL SPECIA","2009",,,,,,,,"541511",12/23/2009 0:00:00
"I-200-09351-470055","CERTIFIED",12/17/2009 13:01:36,"H-1B",1/26/2010 0:00:00,1/25/2013 0:00:00,"OMAHA CHILDREN'S MUSEUM","500 S. 20TH STREET","OMAHA","NE","68102-2505","39-9032.00","Recreation Workers","IMAGINATION CREW","8.5",,"Hour","N",1,"OMAHA","NE","7.76","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"712110",12/23/2009 0:00:00
"I-200-09351-029533","CERTIFIED",12/17/2009 12:36:14,"H-1B",12/17/2009 0:00:00,9/30/2012 0:00:00,"FRONTAGE LABORATORIES, INC.","105 GREAT VALLEY PARKWAY","MALVERN","PA","19355","19-1042.00","Medical Scientists, Except Epidemiologists","RESEARCH AND DEVELOPMENT ASSOCIATE","55000",,"Year","Y",1,"EXTON","PA","47040.00","Year","Other","KFORCE SALARY SURVEY","2009",,,,,,,,"5417",1/12/2010 0:00:00
"I-200-09351-727861","DENIED",12/17/2009 12:42:21,"H-1B",1/29/2010 0:00:00,1/28/2013 0:00:00,"DELUXE ENTERPRISES, INC.","2006 NORTH W.S. YOUNG DR. SUITE # 40","KILLEEN","TX","76543","19-3021.00","Market Research Analysts","MARKET RESEARCH ANALYST","30000",,"Year","Y",1,"KILLEEN","TX","17472.00","Year","OES",,"2009",,,,,,,,"812320",12/17/2009 13:30:36
"I-200-09351-202948","DENIED",12/17/2009 13:42:01,"H-1B",12/20/2009 0:00:00,12/19/2012 0:00:00,"UHS PHYSICIANS, LLC","2100 STANTONSBURG RD.","GREENVILLE","NC","27835-","29-1062.00","Family and General Practitioners","HOSPITALIST/FAMILY PRACTICE PHYSICIAN","190000","225000","Year","Y",1,"TARBORO","NC","136448","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"622110",12/18/2009 9:25:26
"I-200-09351-727369","WITHDRAWN",12/17/2009 12:46:17,"H-1B",1/6/2010 0:00:00,1/5/2013 0:00:00,"NEOAGE SERVICES, LLC","6420 RICHMOND AVE.","HOUSTON","TX","77057","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","55000",,"Year","Y",1,"NORWALK","CT","54101","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/23/2009 0:00:00
"I-200-09351-028038","CERTIFIED",12/17/2009 13:37:21,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"PATNI AMERICAS INC.","ONE BROADWAY","CAMBRIDGE","MA","02142","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","60800",,"Year","Y",1,"ALPHARETTA","GA","60778","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/23/2009 0:00:00
"I-200-09351-061780","CERTIFIED",12/17/2009 16:13:55,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"MANAGEMENT SCIENCES FOR HEALTH, INC.","784 MEMORIAL DRIVE","CAMBRIDGE","MA","02139-","13-1111.00","Management Analysts","SENIOR OFFICER FOR COUNTRY OPERATIONS ANALYSIS AND","100194","120000","Year","Y",3,"CAMBRIDGE","MA","100194.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"923120",12/23/2009 0:00:00
"I-200-09351-691797","CERTIFIED",12/17/2009 14:24:50,"H-1B",4/1/2010 0:00:00,4/1/2013 0:00:00,"COLLECTIONS ETC.","2521 BUSSE RD","ELK GROVE VILLAGE","IL","60007","15-1061.00","Database Administrators","MARKETING ANALYST","51000",,"Year","Y",1,"ELK GROVE VILLAGE","IL","48651.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"454100",12/23/2009 0:00:00
"I-200-09351-426589","DENIED",12/17/2009 16:01:50,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"HYDRO ALUMINUM PRECISION TUBING NORTH AMERICA, LLC","100 GUS HIPP BOULEVARD","ROCKLEDGE","FL","32955-","11-2022.00","Sales Managers","AREA SALES MANAGER","58760",,"Year","Y",1,"ROCKLEDGE","FL","58760.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"331316",12/22/2009 12:39:48
"I-200-09351-865659","CERTIFIED",12/17/2009 13:48:24,"H-1B",4/2/2010 0:00:00,4/1/2013 0:00:00,"WILSON COUNTY SCHOOLS","117 NE TARBORO STREET","WILSON","NC","27893","25-2022.00","Middle School Teachers, Except Special and Vocatio","SCIENCE TEACHER","37710",,"Year","Y",1,"WILSON","NC","35873.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611110",12/23/2009 0:00:00
"I-200-09351-619933","CERTIFIED",12/17/2009 13:43:29,"H-1B",12/17/2009 0:00:00,9/25/2012 0:00:00,"COSMOS FOUNDATION, INC.","9431 W. SAM HOUSTON PARKWAY S.","HOUSTON","TX","77099","25-2031.00","Secondary School Teachers, Except Special and Voca","MATH TEACHER","41380",,"Year","Y",1,"HOUSTON","TX","41380.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611110",12/23/2009 0:00:00
"I-200-09351-952642","DENIED",12/17/2009 16:55:59,"H-1B",12/17/2009 0:00:00,12/16/2012 0:00:00,"LEACHING INTL INC","124 WEST 36TH STREET","NEW YORK","NY","10018","13-1199.99","Business Operations Specialists, All Other","BUSINESS ANALYST","21.35",,"Hour","Y",1,"NEW YORK","NY","21.35","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"422300",12/21/2009 11:54:42
"I-200-09351-022238","CERTIFIED",12/17/2009 16:54:46,"H-1B",2/11/2010 0:00:00,2/9/2011 0:00:00,"MULTIVISION INC","1220 IROQUOIS AVENUE SUITE 210","NAPERVILLE","IL","60563","15-1021.00","Computer Programmers","PROGRAMMER ANALYST LEVEL 2","70000",,"Year","Y",1,"JACKSONVILLE","FL","58802","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2009",,,,,,,,"541511",12/23/2009 0:00:00
"I-200-09351-408436","CERTIFIED",12/17/2009 16:53:18,"H-1B",12/22/2009 0:00:00,12/21/2012 0:00:00,"BUSINESS TECHNOLOGY INTEGRATION INC.","283 MATADERO ST","SAN JUAN","PR","00920","15-1021.00","Computer Programmers","PROGRAMMER","30000",,"Year","Y",1,"SAN JUAN","PR","25626","Year","OES","N/A","2009",,,,,,,,"541511",12/23/2009 0:00:00
"I-200-09351-637586","CERTIFIED",12/18/2009 15:31:55,"H-1B",1/4/2010 0:00:00,1/3/2013 0:00:00,"V-SOFT CONSULTING GROUP, INC","12305 WESTPORT RD.","LOUISVILLE","KY","40245","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","66000","125000","Year","Y",1,"TEWKSBURY","MA","65146","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"541511",12/24/2009 0:00:00
"I-200-09351-363527","CERTIFIED",12/21/2009 16:05:26,"H-1B",1/1/2010 0:00:00,12/31/2012 0:00:00,"PURDUE UNIVERSITY","475 STADIUM MALL DRIVE","WEST LAFAYETTE","IN","47907","19-1042.00","Medical Scientists, Except Epidemiologists","POST DOCTORAL RESEARCH ASSOCIATE","45000",,"Year","Y",1,"WEST LAFAYETTE","IN","37482.00","Year","OES",,"2009",,,,,,,,"611310",12/28/2009 0:00:00
"I-200-09351-807017","CERTIFIED",12/17/2009 16:59:54,"H-1B",6/1/2010 0:00:00,2/3/2012 0:00:00,"SAMSUNG TELECOMMUNICATIONS AMERICA, LLC","1301 EAST LOOKOUT DRIVE","RICHARDSON","TX","75082-","15-1051.00","Computer Systems Analysts","SENIOR STAFF ENGINEER","120000",,"Year","Y",1,"HERNDON","VA","109886","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541519",12/23/2009 0:00:00
"I-200-09350-403748","CERTIFIED",12/18/2009 15:59:11,"H-1B",1/18/2010 0:00:00,1/18/2013 0:00:00,"NETGEAR, INC","350 EAST PLUMERIA DRIVE","SAN JOSE,","CA","95134","15-1031",,"SOFTWARE ENGINEER","73632","80000","Year","Y",1,"SAN JOSE","CA","73632.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541519",12/24/2009 0:00:00
"I-200-09350-919314","CERTIFIED",12/28/2009 22:27:41,"H-1B",1/1/2010 0:00:00,12/30/2012 0:00:00,"JAMES S. HONG","3600 WILSHIRE BLVD., STE 2214","LOS ANGELES","CA","90010","23-1011.00","Lawyers","LAWYER","40.4",,"Hour","N",1,"LOS ANGELES","CA","40.40","Hour","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"54111",1/1/2010 0:00:00
"I-200-09350-101471","CERTIFIED",12/16/2009 21:06:04,"H-1B",12/21/2009 0:00:00,5/21/2012 0:00:00,"WESTWATER CORPORATION","33 WOOD AVENUE SOUTH, SUITE 442","ISELIN","NJ","08830","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","96000",,"Year","Y",1,"ISELIN","NJ","74734.00","Year","OES","OFLC ONLINE DATA CENTER","2009","NEW YORK","NY","80475.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541519",12/22/2009 0:00:00
"I-200-09350-567410","CERTIFIED",12/16/2009 19:38:46,"H-1B",12/23/2009 0:00:00,2/9/2012 0:00:00,"INTUIT INC.","2800 E. COMMERCE CENTER PLACE","TUCSON","AZ","85706","11-9041.00","Engineering Managers","SOFTWARE DEVELOPMENT MANAGER","163000",,"Year","Y",1,"MENLO PARK","CA","140275","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",12/22/2009 0:00:00
"I-200-09350-301840","CERTIFIED",12/16/2009 19:50:39,"H-1B",12/23/2009 0:00:00,1/27/2012 0:00:00,"THE UNIVERSITY OF HOUSTON","4800 CALHOUN RD","HOUSTON","TX","77204","15-1081.00","Network Systems and Data Communications Analysts","LEAD NETWORK ANALYST","80000",,"Year","Y",1,"HOUSTON","TX","59280.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",12/22/2009 0:00:00
"I-200-09350-308100","CERTIFIED",12/16/2009 20:04:21,"H-1B",1/1/2010 0:00:00,1/1/2013 0:00:00,"SAKHI FOR SOUTH ASIAN WOMEN","110 W. 34TH STREET","NEW YORK","NY","10001","21-1029.00","Social Workers, All Other","ECONOMIC EMPOWERMENT & DV PROGRAM ADVOCATE","35700",,"Year","Y",1,"NEW YORK","NY","35318.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"813319",12/22/2009 0:00:00
"I-200-09350-947371","CERTIFIED-WITHDRAWN",12/16/2009 19:52:44,"H-1B",4/1/2010 0:00:00,2/28/2013 0:00:00,"CALIFORNIA INSTITUTE OF TECHNOLOGY","1200 E. CALIFORNIA BLVD","PASADENA","CA","91125","19-2099.99","Physical Scientists, All Other","RESEARCHER","52500",,"Year","Y",1,"PASADENA","CA","38126","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",12/22/2009 0:00:00
"I-200-09350-205926","DENIED",12/16/2009 19:49:39,"H-1B",4/28/2010 0:00:00,4/27/2012 0:00:00,"ANIMAL LOGIC, LLC","2644 30TH STREET","SANTA MONICA","CA","90405-","27-4032.00","Film and Video Editors","VFX SUPERVISOR/SENIOR COMPOSITOR","84594","157000","Year","Y",1,"SANTA MONICA","CA","84594","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"512110",12/17/2009 13:36:15
"I-200-09350-044100","DENIED",12/16/2009 20:09:13,"H-1B",12/28/2009 0:00:00,12/27/2012 0:00:00,"LAW OFFICES OF JAMES S. HONG","3600 WILSHIRE BLVD. #2214","LOS ANGELES","CA","90010","23-1011.00","Lawyers","LAWYER","40.4",,"Hour","N",1,"LOS ANGELES","CA","40.40","Hour","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"54111",12/17/2009 15:32:04
"I-200-09350-870933","CERTIFIED",12/17/2009 13:39:21,"H-1B",1/1/2010 0:00:00,1/1/2013 0:00:00,"ORACLE USA, INC.","500 ORACLE PARKWAY","REDWOOD SHORES","CA","94065-","15-1031.00","Computer Software Engineers, Applications","SOFTWARE DEVELOPER 2","76800","100000","Year","Y",1,"EDEN PRAIRIE","MN","76800.00","Year","Other","WATSON WYATT PROFESSIONAL SPECIALIZED SERVICES","2009",,,,,,,,"541500",12/23/2009 0:00:00
"I-203-09350-215182","CERTIFIED",12/16/2009 20:00:22,"E-3 Australian",1/15/2010 0:00:00,1/15/2012 0:00:00,"WORLD VISION, INC.","34834 SOUTH WEYERHAEUSER WAY","FEDERAL WAY","WA","98001","27-3031.00","Public Relations Specialists","SOCIAL MEDIA SPECIALIST","45000","55000","Year","Y",1,"FEDERAL WAY","WA","40664.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"624230",12/22/2009 0:00:00
"I-200-09350-864166","WITHDRAWN",12/16/2009 20:39:06,"H-1B",1/1/2010 0:00:00,1/1/2013 0:00:00,"TAHITIAN NONI INTERNATIONAL, INC.","333 WEST RIVER PARK DRIVE","PROVO","UT","84604","41-1012.00","First-Line Supervisors/Managers of Non-Retail Sale","QUALITY ANALYST","28704",,"Year","Y",1,"PROVO","UT","28704.00","Year","OES","N/A","2009",,,,,,,,"3121",12/16/2009 0:00:00
"I-200-09350-774378","DENIED",12/16/2009 19:59:40,"H-1B",12/28/2009 0:00:00,12/27/2012 0:00:00,"ENDURA, INC.","1661 HANOVER ROAD","CITY OF INDUSTRY","CA","91748","13-2011.01","Accountants","ACCOUNTANT","20.48",,"Hour","N",1,"CITY OF INDUSTRY","CA","20.48","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"423210",12/18/2009 13:11:37
