"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-09357-542334","CERTIFIED",12/23/2009 15:55:12,"H-1B",12/23/2009 0:00:00,9/20/2011 0:00:00,"JCG TECHNOLOGIES, INC.","50 SOUTH BELCHER ROAD","CLEARWATER","FL","33765","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","60000","65000","Year","Y",1,"HIGHLAND HEIGHTS","KY","54870","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/30/2009 0:00:00
"I-200-09357-393427","CERTIFIED",12/23/2009 15:53:48,"H-1B",6/10/2010 0:00:00,6/9/2013 0:00:00,"A2R IT SOLUTIONS, INC","4134 LEXINGTON AVENUE NORTH","SAINT PAUL","MN","55126","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","60000",,"Year","Y",1,"SYRACUSE","NY","51355","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",12/30/2009 0:00:00
"I-200-09357-598844","CERTIFIED",12/23/2009 15:54:23,"H-1B",12/23/2009 0:00:00,12/23/2012 0:00:00,"MICHIGAN STATE UNIVERSITY","103 INTERNATIONAL CENTER","EAST LANSING","MI","48824","19-1013.00","Soil and Plant Scientists","VISITING RESEARCH ASSOCIATE/POST DOC","42000",,"Year","Y",1,"HICKORY CORNERS","MI","37368","Year","Other","NIH","2009","EAST LANSING","MI","37368","Year","Other","NIH","2009","611310",12/30/2009 0:00:00
"I-200-09357-698878","CERTIFIED",12/28/2009 12:38:03,"H-1B",3/16/2010 0:00:00,3/16/2013 0:00:00,"CHICAGO STOCK EXCHANGE, INC.","ONE FINANCIAL PLACE","CHICAGO","IL","60605","15-1031.00","Computer Software Engineers, Applications","SYSTEMS ARCHITECT","105000","150000","Year","Y",1,"CHICAGO","IL","103480","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"523210",1/1/2010 0:00:00
"I-200-09357-177543","CERTIFIED",12/23/2009 15:56:19,"H-1B",12/23/2009 0:00:00,12/23/2012 0:00:00,"CORE EDUCATION & CONSULTING SOLUTIONS, INC.","5 INDEPENDENCE WAY, SUITE 160","PRINCETON","NJ","08540-","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","63300","90000","Year","Y",5,"ATLANTA","GA","54246.00","Year","OES","OFLC ONLINE DATA CENTER","2009","PRINCETON","NJ","63294","Year","OES","OFLC ONLINE DATA CENTER","2009","541614",12/30/2009 0:00:00
"I-203-09357-239065","CERTIFIED",12/23/2009 16:03:10,"E-3 Australian",2/4/2010 0:00:00,2/4/2012 0:00:00,"EXCIRA TECHNOLOGIES, INC.","2440 BROADWAY 123","NEW YORK","NY","10024","15-1099.02","Computer Systems Engineers/Architects","SENIOR SYSTEMS ANALYST","120000",,"Year","Y",1,"NEW YORK","NY","110656","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5415",12/30/2009 0:00:00
"I-200-09357-144205","CERTIFIED",12/23/2009 16:02:03,"H-1B",2/14/2010 0:00:00,2/14/2013 0:00:00,"ERICSSON INC.","6300 LEGACY DRIVE","PLANO","TX","75024","17-2199.99","Engineers, All Other","ENGINEER V, SERVICES RF","92754","125490","Year","Y",1,"PLANO","TX","87256","Year","Other","DIETRICH ENGINEERING SALARY SURVEY","2009",,,,,,,,"334220",12/30/2009 0:00:00
"I-200-09357-349938","CERTIFIED",12/23/2009 16:07:45,"H-1B",4/1/2010 0:00:00,3/31/2013 0:00:00,"BAYLOR COLLEGE OF MEDICINE","ONE BAYLOR PLAZA","HOUSTON","TX","77030","19-1029.99","Biological Scientists, All Other","POSTDOCTORAL ASSOCIATE/FELLOW","41000",,"Year","Y",1,"HOUSTON","TX","28122.00","Year","OES","N/A","2009",,,,,,,,"611310",12/30/2009 0:00:00
"I-200-09357-350466","CERTIFIED",12/24/2009 8:30:09,"H-1B",1/4/2010 0:00:00,1/4/2013 0:00:00,"THE MWW GROUP, INC.","ONE MEADOWLANDS PLAZA, 6TH FLOOR","EAST RUTHERFORD","NJ","07073","11-2031.00","Public Relations Managers","DIGITAL STRATEGIST","85000","95000","Year","Y",1,"EAST RUTHERFORD","NJ","82680.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541820",12/31/2009 0:00:00
"I-200-09357-941655","DENIED",12/23/2009 16:17:55,"H-1B",12/28/2009 0:00:00,12/27/2012 0:00:00,"UNIVERSAL HOME HEALTH CARE, INC.","24315 NORTHWESTERN HIGHWAY","SOUTHFIELD","MI","48075-","11-9111.00","Medical and Health Services Managers","QUALITY ASSURANCE COORDINATOR","25.3",,"Hour","Y",1,"SOUTHFIELD","MI","25.30","Hour","Other","MDLEG","2009",,,,,,,,"621610",12/23/2009 17:25:45
