"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-203-10006-095226","CERTIFIED",1/6/2010 16:00:48,"E-3 Australian",7/1/2010 0:00:00,6/30/2011 0:00:00,"GREG STALLER DVM, PC","118 FAIRMOUNT ROAD, WEST","CALIFON","NJ","07830","29-1131.00","Veterinarians","EQUINE VETERINARY INTERN","20000",,"Year","Y",1,"CALIFON","NJ","20000.00","Year","Other","AMERICAN ASSOCIATION OF EQUINE PRACTITIONERS","2010",,,,,,,,"54194",1/12/2010 0:00:00
"I-200-10006-789870","CERTIFIED",1/6/2010 16:06:50,"H-1B",5/21/2010 0:00:00,5/21/2013 0:00:00,"WHI SOLUTIONS INCORPORATED","5 INTERNATIONAL DRIVE","RYE BROOK","NY","10573","15-1031.00","Computer Software Engineers, Applications","SOFTWARE DEVELOPER","86240","86240","Year","Y",1,"RYE BROOK","NY","80475.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",1/12/2010 0:00:00
"I-200-10006-498903","CERTIFIED",1/6/2010 15:47:47,"H-1B",1/11/2010 0:00:00,1/11/2013 0:00:00,"ISPACE, INC.","2141 ROSECRANS AVE., STE. 5175","EL SEGUNDO","CA","90245","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","55000",,"Year","Y",10,"EL SEGUNDO","CA","51584","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5415",1/12/2010 0:00:00
"I-200-10006-475687","CERTIFIED",1/8/2010 8:35:29,"H-1B",6/21/2010 0:00:00,6/20/2013 0:00:00,"STATEN ISLAND UNIVERSITY HOSPITAL","475 SEAVIEW AVENUE","STATEN ISLAND","NY","10305-","29-1069.99","Physicians and Surgeons, All Other","PHYSICIAN IN A POST GRADUATE TRAINING PROGRAM","57433",,"Year","Y",5,"STATEN ISLAND","NY","49700.00","Year","Other","AAMC SURVEY OF RESIDENT/FELLOW STIPENDS & BENEFITS","2009",,,,,,,,"622110",1/14/2010 0:00:00
"I-200-10006-528813","CERTIFIED",1/6/2010 15:50:03,"H-1B",1/6/2010 0:00:00,1/6/2013 0:00:00,"CAMBRIDGE GLOBAL SERVICES, INC.","14155 NEWBROOK DRIVE","CHANTILLY","VA","20151","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","30.07","32","Hour","Y",1,"LAKE CITY","FL","30.07","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"561311",1/12/2010 0:00:00
"I-200-10006-293385","CERTIFIED",1/7/2010 14:42:57,"H-1B",2/1/2010 0:00:00,1/31/2013 0:00:00,"OPNET TECHNOLOGIES, INC.","7255 WOODMONT AVENUE","BETHESDA","MD","20814-","15-1031.00","Computer Software Engineers, Applications","SENIOR SOFTWARE ENGINEER, NETWORK MODELING AND SIM","82000",,"Year","Y",1,"BETHESDA","MD","69410.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",1/13/2010 0:00:00
"I-200-10006-148556","CERTIFIED-WITHDRAWN",1/6/2010 15:51:17,"H-1B",5/1/2010 0:00:00,4/30/2011 0:00:00,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","77 MASSACHUSETTS AVENUE","CAMBRIDGE","MA","02139","19-1021.00","Biochemists and Biophysicists","POSTDOCTORAL ASSOCIATE","40000",,"Year","Y",1,"CAMBRIDGE","MA","38126","Year","OES",,"2009",,,,,,,,"611300",1/12/2010 0:00:00
"I-200-10006-617191","CERTIFIED",1/7/2010 12:11:09,"H-1B",1/7/2010 0:00:00,1/5/2013 0:00:00,"TRIUNE TECHNOLOGIES INC.","5406 THORNWOOD DRIVE,","SAN JOSE","CA","95123","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","63274",,"Year","Y",1,"ALPHARETTA,","GA","63274.00","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"541511",1/13/2010 0:00:00
"I-200-10006-056450","CERTIFIED",1/6/2010 16:13:18,"H-1B",3/31/2010 0:00:00,3/30/2013 0:00:00,"SAPPHIRE TECHNOLOGIES, LP","10 PRESIDENTIAL WAY SUITE 101","WOBURN","MA","01801-","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","75000",,"Year","Y",1,"MAYFIELD","OH","52354","Year","Other","FLC WAGE LIBRARY","2009",,,,,,,,"541511",1/12/2010 0:00:00
"I-200-10006-760667","CERTIFIED",1/6/2010 15:50:45,"H-1B",1/11/2010 0:00:00,1/11/2013 0:00:00,"ISPACE, INC.","2141 ROSECRANS AVE., STE. 5175","EL SEGUNDO","CA","90245","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","52000",,"Year","Y",1,"NEWPORT BEACH","CA","50710","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5415",1/12/2010 0:00:00
"I-200-10006-862447","CERTIFIED",1/6/2010 16:23:06,"H-1B",2/1/2010 0:00:00,9/30/2011 0:00:00,"ST. ANTHONY'S DAY SCHOOL","321 FIRST STREET","ALEXANDRIA","VA","22314","25-2011.00","Preschool Teachers, Except Special Education","PRESCHOOL TEACHER","29640",,"Year","Y",1,"ALEXANDRIA","VA","24898.00","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"61169",1/12/2010 0:00:00
"I-200-10006-367455","CERTIFIED",1/7/2010 14:43:46,"H-1B",1/7/2010 0:00:00,1/7/2013 0:00:00,"CLC ENTERPRISES, INC","11231 NW 20TH AVE","MIAMI","FL","33172","15-1071.00","Network and Computer Systems Administrators","SYSTEMS ANALYST","50000",,"Year","Y",1,"MIAMI","FL","48485.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"421990",1/13/2010 0:00:00
"I-200-10006-940825","DENIED",1/6/2010 16:02:54,"H-1B",2/3/2010 0:00:00,2/2/2013 0:00:00,"HOT TRENDS, CORP","322 WOODBRIDGE CENTER DR.","WOODBRIDGE","NJ","07095","27-1022.00","Fashion Designers","FASHION DESIGNER","17.35",,"Hour","N",1,"WOODBRIDGE","NJ","17.35","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"448150",1/6/2010 16:22:02
"I-200-10006-671534","CERTIFIED",1/6/2010 15:54:16,"H-1B",1/10/2010 0:00:00,1/10/2013 0:00:00,"ISPACE, INC.","2141 ROSECRANS AVE., STE. 5175","EL SEGUNDO","CA","90245","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","50000",,"Year","Y",1,"KING OF PRUSSIA","PA","48381","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5415",1/12/2010 0:00:00
"I-200-10006-557112","CERTIFIED",1/6/2010 16:11:32,"H-1B",1/6/2010 0:00:00,1/5/2013 0:00:00,"GLOBAL INFORMATION SYSTEMS, INC","29777 TELEGRAPH ROAD SUITE 2450","SOUTHFIELD","MI","48034","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","53914",,"Year","Y",1,"AUBURN HILLS","MI","53914.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",1/12/2010 0:00:00
"I-200-10006-498579","CERTIFIED",1/6/2010 16:00:11,"H-1B",1/13/2010 0:00:00,1/13/2013 0:00:00,"STARPOINT SOLUTIONS","54-D SUNNYSIDE BLVD.","PLAINVIEW","NY","11803","15-1031.00","Computer Software Engineers, Applications","JAVA DEVELOPER","64000",,"Year","Y",1,"MELVILLE","NY","58947","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",1/12/2010 0:00:00
"I-200-10006-185948","CERTIFIED",2/2/2010 16:23:57,"H-1B",2/3/2010 0:00:00,3/31/2010 0:00:00,"VIRTUSOFT INC","10 FULLER AVE","ATTLEBORO","MA","02703","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","68800",,"Year","Y",1,"ATTLEBORO","MA","56638.00","Year","Other","WWW.FLCDATACENTER.COM","2010","WESTFORD","MA","68182.00","Year","Other","WWW.FLCDATACENTER.COM","2010","541511",2/8/2010 0:00:00
