"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10014-276734","CERTIFIED",1/14/2010 12:29:24,"H-1B",7/14/2010 0:00:00,7/14/2013 0:00:00,"COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","500 FRANK W BURR BLVD, 7TH FLOOR","TEANECK","NJ","07666","15-1051.00","Computer Systems Analysts","ASSISTANT PROJECT MANAGER","82597",,"Year","Y",20,"DENVER","CO","82597.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",1/21/2010 0:00:00
"I-200-10014-847302","DENIED",1/14/2010 12:08:09,"H-1B",1/27/2010 0:00:00,1/27/2013 0:00:00,"EMBARQ MANAGEMENT COMPANY","100 CENTURYTEL DRIVE","MONROE","LA","71203","15-1031",,"APPLICATIONS DEVELOPER II","82076.8",,"Year","Y",1,"OVERLAND PARK","KS","72907","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"517212",1/14/2010 12:54:18
"I-200-10014-682758","CERTIFIED",1/14/2010 12:10:47,"H-1B",5/3/2010 0:00:00,5/3/2013 0:00:00,"HALLMARK REHABILITATION GP, LLC","27442 PORTOLA PARKWAY","FOOTHILL RANCH","CA","92610","29-1122.00","Occupational Therapists","OCCUPATIONAL THERAPIST","40.31",,"Hour","Y",1,"LOS ANGELES","CA","39.98","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621340",1/21/2010 0:00:00
"I-200-10014-314016","CERTIFIED",1/26/2010 11:51:31,"H-1B",2/19/2010 0:00:00,2/19/2013 0:00:00,"AMERICAN EXPRESS TRAVEL RELATED SERVICES CO., INC.","200 VESEY STREET","NEW YORK","NY","10285","11-3031.00","Financial Managers","DIRECTOR, RISK MANAGEMENT","104000",,"Year","Y",1,"PHOENIX","AZ","93226.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"522210",2/2/2010 0:00:00
"I-203-10014-686320","CERTIFIED-WITHDRAWN",1/15/2010 9:48:42,"E-3 Australian",1/25/2010 0:00:00,1/24/2012 0:00:00,"CITIZENS FINANCIAL GROUP, INC.","910 DOUGLAS PIKE","SMITHFIELD","RI","02917-","11-3021.00","Computer and Information Systems Managers","TECHNOLOGY PROGRAM MANAGER, COMMERCIAL LENDING PRO","164800","278200","Year","Y",1,"CRANSTON","RI","104208.00","Year","OES","OFLC ONLINE DATA CENTER","2009","EAST PROVIDENCE","RI","104208.00","Year","OES","OFLC ONLINE DATA CENTER","2009","551111",1/22/2010 0:00:00
"I-200-10014-951667","CERTIFIED",2/16/2010 11:03:04,"H-1B",6/1/2010 0:00:00,8/31/2012 0:00:00,"TRUSTEES OF BOSTON UNIVERSITY","OFFICE OF THE PRESIDENT","BOSTON","MA","2215","25-1011.00","Business Teachers, Postsecondary","ASSISSTANT PROFESSOR","140000",,"Year","Y",1,"BOSTON","MA","54390.00","Year","OES",,"2009",,,,,,,,"611310",2/22/2010 0:00:00
"I-200-10014-826527","CERTIFIED",1/15/2010 13:13:10,"H-1B",2/1/2010 0:00:00,1/31/2011 0:00:00,"TRUSTEES OF BOSTON UNIVERSITY","OFFICE OF THE PRESIDENT","BOSTON","MA","02215","15-1035.00","Computer Software Engineers, Applications,R&D","POSTDOCTORAL ASSOCIATE","40789",,"Year","Y",1,"BOSTON","MA","40789","Year","OES",,"2009",,,,,,,,"611310",1/22/2010 0:00:00
"I-200-10014-197270","CERTIFIED",1/14/2010 12:17:33,"H-1B",3/1/2010 0:00:00,2/28/2013 0:00:00,"J.B. HUNT TRANSPORT, INC.","615 JB HUNT CORPORATE DRIVE","LOWELL","AR","72745","15-1021.00","Computer Programmers","SR. PROGRAMMING SPECIALIST","74100",,"Year","Y",1,"LOWELL","AR","51106","Year","OES","N/A","2009",,,,,,,,"306199",1/21/2010 0:00:00
"I-200-10014-115950","CERTIFIED",2/18/2010 0:26:08,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"MONTEFIORE MEDICAL CENTER","111 EAST 210 STREET","BRONX","NY","10467","29-1065.00","Pediatricians, General","ATTENDING NEONATOLOGIST","175000",,"Year","Y",1,"BRONX","NY","140691.00","Year","OES","N/A","2009","BRONX","NY","140691.00","Year","OES","N/A","2009","621111",2/24/2010 0:00:00
"I-200-10014-354340","CERTIFIED",3/25/2010 15:58:39,"H-1B",6/21/2010 0:00:00,6/30/2012 0:00:00,"AHS HOSPITAL CORP.","475 SOUTH STREET, P.O. BOX 1905","MORRISTOWN","NJ","07962","29-9099.99","Healthcare Practitioners and Technical Workers, Al","MEDICAL RESIDENT","52000",,"Year","Y",1,"SUMMIT","NJ","47902.00","Year","OES","OFLC ONLINE DATA CENTER","2009","MORRISTOWN","NJ","47902.00","Year","OES","OFLC ONLINE DATA CENTER","2009","622110",3/31/2010 0:00:00
"I-200-10014-426310","CERTIFIED",1/14/2010 12:18:02,"H-1B",5/21/2010 0:00:00,5/21/2013 0:00:00,"HALLMARK REHABILITATION GP, LLC","27442 PORTOLA PARKWAY","FOOTHILL RANCH","CA","92610","29-1122.00","Occupational Therapists","OCCUPATIONAL THERAPIST","47",,"Hour","Y",1,"CLOVIS","CA","42.08","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621340",1/21/2010 0:00:00
"I-200-10014-792782","CERTIFIED",1/14/2010 12:27:33,"H-1B",1/25/2010 0:00:00,1/25/2013 0:00:00,"NICOINFO SYSTEMS, INC.","12218 N. 56TH ST.","TAMPA","FL","33617-","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","54808",,"Year","Y",1,"ROCKVILLE","MD","54808","Year","OES","OFLC ONLINE DATA CENTER","2009","TAMPA","FL","45427","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",1/21/2010 0:00:00
"I-200-10014-151515","DENIED",1/14/2010 12:21:09,"H-1B",1/15/2010 0:00:00,1/15/2013 0:00:00,"MUNISUVRAT INC","3111 BROCKHAMPTON CT","CHARLOTTE","NC","28269-","13-1111.00","Management Analysts","MANAGEMENT ANALYST","49000",,"Year","Y",1,"BLACKSBURG","SC","44658","Year","Other","WWW.FLCDATACENTER.COM","2009",,,,,,,,"447190",1/14/2010 12:50:26
"I-200-10014-135756","CERTIFIED",1/14/2010 12:19:03,"H-1B",2/1/2010 0:00:00,1/31/2013 0:00:00,"CROSSVIEW, INC.","1512 NORTH ALTADENA","ROYAL OAK","MI","48067","15-1051.00","Computer Systems Analysts","SENIOR BUSINESS ANALYST","47861","75000","Year","Y",1,"CLEVELAND","OH","47861.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",1/21/2010 0:00:00
"I-200-10014-369455","CERTIFIED",1/14/2010 12:19:42,"H-1B",1/27/2010 0:00:00,1/27/2013 0:00:00,"MILLENNIUM SOFTWARE, INC.","2000 TOWN CENTER DRIVE","SOUTHFIELD","MI","48075","15-1031",,"SOFTWARE ENGINEER/TECHNICAL CONSULTANT","100000",,"Year","Y",1,"ATLANTA","GA","93163.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",1/21/2010 0:00:00
"I-200-10014-908440","CERTIFIED",1/14/2010 12:22:24,"H-1B",6/15/2010 0:00:00,6/14/2013 0:00:00,"APOLLO GROUP, INC.","4025 SOUTH RIVERPOINT PARKWAY","PHOENIX","AZ","85040-","15-1031.00","Computer Software Engineers, Applications","IT ENGINEER","91592",,"Year","Y",1,"PHOENIX","AZ","59405.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",1/21/2010 0:00:00
