"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10022-406601","DENIED",1/22/2010 17:51:03,"H-1B",5/19/2010 0:00:00,5/19/2013 0:00:00,"IN VOGUE STUDIOS LTD.","545 EIGHTH AVENUE","NEW YORK","NY","10018","27-1029.00","Designers, All Other","TEXTILE DESIGN CONSULTANT","22547",,"Year","Y",1,"NEW YORK","NY","22547.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"54149",1/25/2010 12:37:25
"I-200-10022-474895","CERTIFIED",1/22/2010 17:16:25,"H-1B",6/14/2010 0:00:00,6/13/2013 0:00:00,"KEISER CORPORATION","2470 S CHERRY AVENUE","FRESNO","CA","93706","17-2112.00","Industrial Engineers","INDUSTRIAL ENGINEER","53000","65000","Year","Y",1,"FRESNO","CA","52894.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"339920",1/28/2010 0:00:00
"I-200-10022-820998","CERTIFIED",1/22/2010 17:14:53,"H-1B",1/30/2010 0:00:00,1/29/2013 0:00:00,"BOGOTA GOLF CENTER, INC.","650 FOUNTAIN AVENUE","BROOKLYN","NY","11208","13-1111.00","Management Analysts","MANAGEMENT ANALYST","27.55",,"Hour","N",1,"BOGOTA","NJ","27.55","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"713910",1/28/2010 0:00:00
"I-200-10022-073546","CERTIFIED",1/22/2010 20:22:47,"H-1B",2/1/2010 0:00:00,1/31/2013 0:00:00,"SANTINI FOODS INC","16505 WORTHLEY DRIVE","SAN LORENZO","CA","94580","19-1012.00","Food Scientists and Technologists","QUALITY ASSURANCE MANAGER","55000",,"Year","Y",1,"SAN LORENZO","CA","44970","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"311514",1/28/2010 0:00:00
"I-200-10022-224264","CERTIFIED",3/12/2010 12:17:21,"H-1B",9/10/2010 0:00:00,9/10/2013 0:00:00,"SYN-TECH SYSTEMS, INC.","100 FOUR POINTS WAY","TALLAHASSEE","FL","32314","15-1032.00","Computer Software Engineers, Systems Software","EMBEDDED SYSTEMS ENGINEER","62004.8",,"Year","Y",1,"TALLAHASSEE","FL","57907","Year","OES","OFLC ONLINE WAGE CENTER","2009",,,,,,,,"541330",3/18/2010 0:00:00
"I-200-10022-326877","WITHDRAWN",2/25/2010 15:43:21,"H-1B",6/13/2010 0:00:00,6/12/2013 0:00:00,"INOVA HEALTH SYSTEM","1007 SLATER ROAD","DURHAM","NC","27703","31-9092.00","Medical Assistants","PGY-3 RESIDENT","50232",,"Year","Y",1,"FALLS CHURCH","VA","48196.00","Year","Other","AAMC SURVEY RESIDENT FELLOW STIPENDS","2009",,,,,,,,"621110",2/26/2010 0:00:00
"I-200-10022-690258","DENIED",1/22/2010 17:16:04,"H-1B",1/25/2010 0:00:00,1/24/2013 0:00:00,"INTERONE CORP","4141 ROCKSIDE ROAD","SEVEN HILLS","OH","44131","15-1031.00","Computer Software Engineers, Applications","PROGRAMMER ANALYST","55226",,"Year","Y",1,"SEVEN HILLS","OH","55266","Year","OES","OFLC ONLINE DATA CENTRE","2010",,,,,,,,"541511",1/26/2010 16:33:58
"I-200-10022-596134","DENIED",1/22/2010 17:57:16,"H-1B",3/21/2010 0:00:00,3/21/2013 0:00:00,"GLOBALSOFT CONSULTING, INC","4040 E MCDOWELL RD STE. 118-B","PHOENIX","AZ","85008","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","70000",,"Year","Y",1,"PHOENIX","AZ","59405.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",1/26/2010 13:48:52
"I-200-10022-198522","DENIED",1/27/2010 23:17:07,"H-1B",7/18/2010 0:00:00,7/17/2013 0:00:00,"RF-LAMBDA USA LLC.","2708 WICKHAM CT.","PLANO","TX","75093","17-2075.00","Electronics Engineers, Except Computer, Non R&D","ELECTRONIC ENGINEER","65312",,"Year","Y",1,"PLANO","TX","65312.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"334419",2/2/2010 15:03:21
"I-200-10022-774240","CERTIFIED-WITHDRAWN",2/16/2010 12:39:45,"H-1B",5/23/2010 0:00:00,12/14/2012 0:00:00,"AMERICAN LIFE INSURANCE COMPANY","ONE ALICO PLAZA","WILMINGTON","DE","19801","15-2011.00","Actuaries","ACTUARIAL ASSOCIATE","70200",,"Year","Y",1,"WILMINGTON","DE","62691","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"524113",2/22/2010 0:00:00
