"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10033-305776","CERTIFIED",2/2/2010 16:20:07,"H-1B",5/13/2010 0:00:00,5/12/2013 0:00:00,"ELECTRIC INSURANCE COMPANY","75 SAM FONZO DRIVE","BEVERLY","MA","01915","15-1061.00","Database Administrators","DATA ARCHITECT","125079",,"Year","Y",1,"BEVERLY","MA","93974.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5241",2/8/2010 0:00:00
"I-200-10033-187409","DENIED",2/2/2010 16:26:00,"H-1B",2/11/2010 0:00:00,2/10/2013 0:00:00,"REDSTAR TRAVEL COMPANY","622 HUNGERFORD DRIVE","ROCKVILLE","MD","20850","15-1061.00","Database Administrators","SYSTEM ADMINISTRATOR","25.62",,"Hour","Y",1,"ROCKVILLE","MD","25.60","Hour","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"561510",2/3/2010 11:47:46
"I-200-10033-701894","CERTIFIED",2/2/2010 16:23:41,"H-1B",2/11/2010 0:00:00,2/11/2013 0:00:00,"EMPOWERED SOLUTIONS, INC.","5960 W. PARKER ROAD, SUITE 278","PLANO","TX","75093","15-1051.00","Computer Systems Analysts","PRINCIPAL CONSULTANT","120000",,"Year","Y",1,"MILWAUKIE","OR","88026.00","Year","OES","ONLINE FLC DATA CENTER","2009","RADFORD","VA","85384.00","Year","OES","ONLINE FLC DATA CENTER","2009","54151",2/8/2010 0:00:00
"I-200-10033-138609","CERTIFIED-WITHDRAWN",2/2/2010 16:20:06,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"APOGEE MEDICAL GROUP, MISSOURI, INC","2525 EAST CAMELBACK ROAD","PHOENIX","AZ","85016","29-1063.00","Internists, General","HOSPITALIST PHYSICIAN","180000",,"Year","Y",1,"JOPLIN","MO","139651.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621111",2/8/2010 0:00:00
"I-200-10033-406293","CERTIFIED",2/2/2010 16:20:28,"H-1B",7/31/2010 0:00:00,7/31/2013 0:00:00,"THE SCHOOL BOARD OF BROWARD COUNTY","600 SE 3RD AVE","FORT LAUDERDALE","FL","33301","25-2031.00","Secondary School Teachers, Except Special and Voca","READING TEACHER, HIGH SCHOOL","55316",,"Year","Y",1,"MIRAMAR","FL","38400","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611110",2/8/2010 0:00:00
"I-200-10033-933606","CERTIFIED",2/12/2010 11:42:12,"H-1B",2/12/2010 0:00:00,9/21/2010 0:00:00,"XPEDITE TECHNOLOGIES INC","8830 STANFORD BLVD","COLUMBIA","MD","21045","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","51584",,"Year","Y",1,"WILMINGTON","DE","51584.00","Year","OES","OFLC ONLINE DATA CENTER","2009","COLUMBIA","MD","50606.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",2/19/2010 0:00:00
"I-200-10033-169908","CERTIFIED",2/2/2010 16:33:56,"H-1B",6/8/2010 0:00:00,10/16/2011 0:00:00,"GROUP GOETZ ARCHITECTS","2900 K STREET, N.W. SUITE 550","WASHINGTON","DC","20007","17-1011.00","Architects, Except Landscape and Naval","PROJECT ARCHITECT","81000",,"Year","Y",1,"WASHINGTON","DC","66206.00","Year","Other","OES/SOC FLC ONLINE WAGE LIBRARY","2009",,,,,,,,"541310",2/8/2010 0:00:00
"I-200-10033-397608","CERTIFIED",2/2/2010 16:25:26,"H-1B",2/8/2010 0:00:00,9/30/2011 0:00:00,"VEDASOFT, INC.","801 COMPASS WAY","ANNAPOLIS","MD","21401","15-1061.00","Database Administrators","SAP BASIS ADMINISTRATOR","60000","70000","Year","Y",1,"MILWAUKEE","WI","56534.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"54151",2/8/2010 0:00:00
"I-200-10033-699006","CERTIFIED-WITHDRAWN",2/2/2010 16:19:43,"H-1B",2/3/2010 0:00:00,9/30/2012 0:00:00,"INDSOFT, INC","3755 E.MAIN ST","ST CHARLES","IL","60174","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","60694",,"Year","Y",1,"TEMPLE TERRACE","FL","60694","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541500",2/8/2010 0:00:00
"I-200-10033-299260","CERTIFIED-WITHDRAWN",2/4/2010 9:23:56,"H-1B",2/15/2010 0:00:00,5/17/2011 0:00:00,"CSC HOLDINGS, INC.","1111 STEWART AVENUE","BETHPAGE","NY","11714","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ARCHITECT","125000",,"Year","Y",1,"BETHPAGE","NY","93579","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",2/11/2010 0:00:00
