"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10039-852281","CERTIFIED",2/8/2010 18:04:10,"H-1B",2/9/2010 0:00:00,2/8/2013 0:00:00,"HTC GLOBAL SERVICES, INC.","3270 W. BIG BEAVER RD","TROY","MI","48084","15-1021.00","Computer Programmers","COMPUTER SPECIALIST (SYSTEMS PROGRAMMER)","55000",,"Year","Y",1,"EAST LANSING","MI","54600.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",2/12/2010 0:00:00
"I-200-10039-020355","CERTIFIED",2/8/2010 18:06:02,"H-1B",2/8/2010 0:00:00,6/30/2012 0:00:00,"UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER","1100 N LINDSAY","OKLAHOMA CITY","OK","73104","29-1069.99","Physicians and Surgeons, All Other","ASSISTANT PROFESSOR","41.2",,"Hour","N",1,"OKLAHOMA CITY","OK","41.20","Hour","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",2/12/2010 0:00:00
"I-200-10039-866203","CERTIFIED",2/8/2010 18:03:46,"H-1B",6/30/2010 0:00:00,6/30/2013 0:00:00,"FONTANA UNIFIED SCHOOL DISTRICT","9680 CITRUS AVENUE","FONTANA","CA","92334","25-2022.00","Middle School Teachers, Except Special and Vocatio","TEACHER, MIDDLE SCHOOL","82178",,"Year","Y",1,"FONTANA","CA","82178","Year","CBA",,"2009",,,,,,,,"611110",2/12/2010 0:00:00
"I-200-10039-163976","CERTIFIED",2/9/2010 12:32:05,"H-1B",4/1/2010 0:00:00,3/31/2013 0:00:00,"DFS SAIPAN LTD.","P.O. BOX 500528","SAIPAN","MP","96950","11-2021.00","Marketing Managers","MARKETING MANAGER (KOREA)","47860",,"Year","Y",1,"SAIPAN","MP","29328","Year","Other","NATIONAL PREVAILING WAGE AND HELPDESK CENTER","2009",,,,,,,,"453220",2/16/2010 0:00:00
"I-200-10039-152409","CERTIFIED",2/8/2010 18:17:16,"H-1B",2/8/2010 0:00:00,8/31/2010 0:00:00,"ASTIR IT SOLUTIONS INC.","50 CRAGWOOD RD","SOUTH PLAINFIELD","NJ","07080","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","52500",,"Year","Y",1,"JUNO BEACH","FL","52395.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",2/12/2010 0:00:00
"I-200-10039-699749","CERTIFIED",2/9/2010 10:43:55,"H-1B",6/27/2010 0:00:00,6/27/2013 0:00:00,"ABILENE CHRISTIAN UNIVERSITY","HARDIN ADMIN BLDG ROOM 111","ABILENE","TX","79699-9125","11-9033.00","Education Administrators, Postsecondary","DIRECTOR OF FACULTY ENRICHMENT","67500",,"Year","Y",1,"ABILENE","TX","60965.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",2/16/2010 0:00:00
"I-200-10039-377871","CERTIFIED",2/8/2010 18:09:59,"H-1B",2/15/2010 0:00:00,2/14/2013 0:00:00,"SAMLAND HEALTH CARE, INC.","4320 W. MONTROSE AVE.","CHICAGO","IL","60641","11-9111.00","Medical and Health Services Managers","NURSE SUPERVISOR","25.9",,"Hour","Y",1,"CHICAGO","IL","25.90","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621610",2/12/2010 0:00:00
"I-200-10039-930018","CERTIFIED",2/16/2010 14:55:14,"H-1B",7/9/2010 0:00:00,7/8/2013 0:00:00,"AMGEN INC.","ONE AMGEN CENTER DRIVE","THOUSAND OAKS","CA","91320","15-2031.00","Operations Research Analysts","SR. ASSOCIATE, IS BUSINESS SYSTEMS ANALYST","81700",,"Year","Y",1,"THOUSAND OAKS","CA","71198","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"54171",2/22/2010 0:00:00
"I-200-10039-150840","CERTIFIED",2/11/2010 19:11:21,"H-1B",8/9/2010 0:00:00,8/9/2013 0:00:00,"PRODUCT PARTNERS, LLC","3301 EXPOSITION BOULEVARD","SANTA MONICA","CA","90404","11-3021.00","Computer and Information Systems Managers","SR. DIRECTOR OF ENGINEERING","175000",,"Year","Y",1,"SANTA MONICA","CA","124924.80","Year","OES",,"2009",,,,,,,,"812191",2/18/2010 0:00:00
"I-200-10039-561707","DENIED",2/9/2010 20:07:34,"H-1B",2/15/2010 0:00:00,9/25/2012 0:00:00,"GREEN CROSS ACUPUNCTURE AND HERB CENTER, INC.","1233 NORTH VERMONT AVENUE","LOS ANGELES","CA","90029-1749","29-1199.99","Health Diagnosing and Treating Practitioners, All ","ACUPUNCTURIST","14.41",,"Hour","N",1,"LOS ANGELES","CA","14.41","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621399",2/16/2010 15:35:15
