"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10047-937890","CERTIFIED",2/17/2010 10:07:34,"H-1B",4/1/2010 0:00:00,4/1/2013 0:00:00,"COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","500 FRANK W BURR BLVD, 7TH FLOOR","TEANECK","NJ","07666","15-1051.00","Computer Systems Analysts","SENIOR SYSTEMS ANALYST","64646",,"Year","Y",15,"RICHMOND","VA","64646","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",2/23/2010 0:00:00
"I-200-10047-164842","CERTIFIED",2/16/2010 18:58:03,"H-1B",3/1/2010 0:00:00,9/30/2012 0:00:00,"@BUSINESS, INC.","201 SOUTH LAKE AVENUE","PASADENA","CA","91101","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","24.8",,"Hour","N",1,"PASADENA","CA","24.80","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541519",2/22/2010 0:00:00
"I-200-10047-804666","CERTIFIED",2/16/2010 16:47:41,"H-1B",2/16/2010 0:00:00,2/15/2013 0:00:00,"SALEM ASSOCIATES, INC.","7074 PEACHTREE INDUSTRIAL BLVD., SUITE 210","NORCROSS","GA","30071","15-1021.00","Computer Programmers","SOFTWARE PROGRAMMER","43725",,"Year","Y",3,"DES MOINES","IA","43722","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",2/22/2010 0:00:00
"I-200-10047-453805","CERTIFIED-WITHDRAWN",2/16/2010 16:48:36,"H-1B",2/16/2010 0:00:00,2/15/2013 0:00:00,"CYBER RESOURCE GROUP INC","208 NORTH CENTER DRIVE","NORTH BRUNSWICK","NJ","08902","15-1021.00","Computer Programmers","PROGRAMMER  ANALYST","54870",,"Year","Y",1,"FAIRFIELD","OH","54870.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",2/22/2010 0:00:00
"I-200-10047-938904","CERTIFIED",2/16/2010 17:09:37,"H-1B",3/5/2010 0:00:00,3/4/2013 0:00:00,"PRO PIANO INC.","85 JANE STREET","NEW YORK","NY","10014","13-1199.99","Business Operations Specialists, All Other","MANAGER/ MUSICAL MANAGEMENT DIRECTOR","67420",,"Year","Y",1,"NEW YORK","NY","57949.00","Year","OES","FLC DATA CENTER","2010",,,,,,,,"711410",2/22/2010 0:00:00
"I-200-10047-441371","CERTIFIED",2/16/2010 17:00:04,"H-1B",7/16/2010 0:00:00,7/16/2013 0:00:00,"WM. BOLTHOUSE FARMS, INC.","7200 EAST BRUNDAGE LANE","BAKERSFIELD","CA","93307","15-1031.00","Computer Software Engineers, Applications","JDE DEVELOPER","87000",,"Year","Y",1,"BAKERSFIELD","CA","76253.00","Year","Other","FLC DATACENTER","2010",,,,,,,,"311991",2/22/2010 0:00:00
"I-200-10047-941802","CERTIFIED",2/16/2010 17:24:14,"H-1B",2/28/2010 0:00:00,2/27/2013 0:00:00,"PROTIRO, INC.","3401 QUEBEC ST.","DENVER","CO","80207-2324","19-2012.00","Physicists","SPECIALIST SCIENTIST","116688","122948","Year","Y",1,"BOULDER","CO","102211.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"561310",2/22/2010 0:00:00
"I-200-10047-549471","CERTIFIED",2/16/2010 17:07:52,"H-1B",2/16/2010 0:00:00,2/15/2013 0:00:00,"IDHASOFT, INC.","5655 PEACHTREE PKWY","NORCROSS","GA","30092","13-1111.00","Management Analysts","BUSINESS ANALYST","41000","71000","Year","Y",1,"PHOENIX","AZ","40602.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",2/22/2010 0:00:00
"I-200-10047-739928","CERTIFIED",2/16/2010 16:58:40,"H-1B",3/1/2010 0:00:00,2/28/2013 0:00:00,"THE UNIVERSITY OF HOUSTON","4800 CALHOUN RD","HOUSTON","TX","77204","15-1052.00","Computer Systems Analysts, Non R&D (ACWIA Only)","FUNCTIONAL ANALYST 3","67000",,"Year","Y",1,"HOUSTON","TX","55390.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",2/22/2010 0:00:00
"I-200-10047-049613","CERTIFIED",2/16/2010 16:55:03,"H-1B",2/22/2010 0:00:00,2/21/2013 0:00:00,"MAVRICK SOFTWARE AND TELECOM SERVICES, INC.","GATEWAY TOWER","DALLAS","TX","75251","15-1021.00","Computer Programmers","COMPUTER PROGRAMMERS","27.92",,"Hour","Y",1,"SAN FRANCISCO","CA","27.62","Hour","Other","FLC DATA CENTER -ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",2/22/2010 0:00:00
