"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10054-846326","CERTIFIED",2/23/2010 10:19:30,"H-1B",8/23/2010 0:00:00,8/22/2013 0:00:00,"IBM INDIA PRIVATE LIMITED","3039 CORNWALLIS ROAD","RTP","NC","27709","15-1051",,"COMPUTER SYSTEMS ANALYST","93600","93600","Year","Y",1,"ALBANY","NY","69826.00","Year","OES","OFLC ONLINE DATACENTER","2010",,,,,,,,"541510",3/1/2010 0:00:00
"I-200-10054-173582","CERTIFIED",3/1/2010 17:50:25,"H-1B",8/30/2010 0:00:00,8/30/2013 0:00:00,"BAIN AND COMPANY, INC.","131 DARTMOUTH STREET","BOSTON","MA","02116","11-2021.00","Marketing Managers","MANAGER","165000",,"Year","Y",1,"SAN FRANCISCO","CA","125133","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541611",3/5/2010 0:00:00
"I-200-10054-247352","CERTIFIED",2/23/2010 10:24:43,"H-1B",2/23/2010 0:00:00,2/23/2013 0:00:00,"COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","500 FRANK W BURR BLVD, 7TH FLOOR","TEANECK","NJ","07666","15-1051.00","Computer Systems Analysts","SENIOR SYSTEMS ANALYST","60382",,"Year","Y",20,"FORT WORTH","TX","60382","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",3/1/2010 0:00:00
"I-200-10054-795066","CERTIFIED",2/23/2010 10:39:52,"H-1B",3/1/2010 0:00:00,9/21/2010 0:00:00,"ORIONSOFT, INC.","1001 DURHAM AVE, SUITE# 306","SOUTH PLAINFIELD","NJ","07080","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST (SAS CLINICAL)","64000",,"Year","Y",1,"SOUTH PLAINFIELD","NJ","63294.00","Year","Other","OFLC ONLINE DATA CENTER","2010","ROCHELLE PARK","NJ","60944.00","Year","Other","OFLC ONLINE DATA CENTER","2010","541511",3/1/2010 0:00:00
"I-200-10054-955722","CERTIFIED-WITHDRAWN",2/23/2010 15:22:30,"H-1B",5/25/2010 0:00:00,5/24/2013 0:00:00,"JUNO HEALTHCARE STAFFING SYSTEM, INC.","411 FIFTH AVENUE, SUITE 1006","NEW YORK CITY","NY","10016","11-9111.00","Medical and Health Services Managers","MEDIAL RECORDS ADMINISTRATOR","7200000",,"Year","Y",1,"NEW YORK CITY","NY","7178100.00","Year","Other","FOREIGN LABOR CERTIFICATION DATA CENTER","2009",,,,,,,,"561310",3/1/2010 0:00:00
"I-200-10054-905499","CERTIFIED",2/23/2010 10:31:38,"H-1B",3/2/2010 0:00:00,3/1/2013 0:00:00,"IN VOGUE STUDIOS, LTD.","545 8TH AVENUE","NEW YORK","NY","10018","27-1021.00","Commercial and Industrial Designers","TEXTILE DESIGNER","43500",,"Year","Y",1,"NEW YORK","NY","41600.00","Year","Other","OLFC ONLINE DATA CENTER","2009",,,,,,,,"812990",3/1/2010 0:00:00
"I-200-10054-802303","CERTIFIED",2/23/2010 10:27:48,"H-1B",3/15/2010 0:00:00,3/14/2013 0:00:00,"AMERICAN UNIT, INC","HALL OFFICE PARK 2801 NETWORK BLVD. STE. 810","FRISCO","TX","75034","15-1051.00","Computer Systems Analysts","SAP BUSINESS ANALYST","64334","85000","Year","Y",1,"FRISCO","TX","64334","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2009","EAST PEORIA","IL","60133","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2009","541511",3/1/2010 0:00:00
"I-200-10054-650830","CERTIFIED",3/1/2010 9:40:17,"H-1B",3/15/2010 0:00:00,3/14/2013 0:00:00,"DERRICK MICHAEL MARTIN","3731 BRANCH AVENUE, SUITE 301","TEMPLE HILLS","MD","20748","29-1021.00","Dentists, General","GENERAL DENTIST","43.23",,"Hour","N",1,"TEMPLE HILLS","MD","43.23","Hour","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621210",3/5/2010 0:00:00
"I-200-10054-447632","CERTIFIED",2/23/2010 10:41:29,"H-1B",2/23/2010 0:00:00,9/10/2010 0:00:00,"EBUSINESSWARE, INC.","18 EAST LANCASTER AVENUE","MALVERN","PA","19355","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","51730",,"Year","Y",1,"HIGHLAND RANCH","CO","51730","Year","OES","OFLC ONLINE DATA CENTER","2009","MALVERN","PA","48381","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",3/1/2010 0:00:00
"I-200-10054-597901","CERTIFIED",2/23/2010 10:34:12,"H-1B",4/28/2010 0:00:00,7/3/2010 0:00:00,"UNIVERSITY OF MARYLAND COLLEGE PARK","3117 MITCHELL BUILDING","COLLEGE PARK","MD","20742","25-1032.00","Engineering Teachers, Postsecondary","ASSISTANT PROFESSOR","82500",,"Year","Y",1,"COLLEGE PARK","MD","80955.00","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"611310",3/1/2010 0:00:00
"I-203-10054-675033","CERTIFIED",2/23/2010 10:34:08,"E-3 Australian",3/1/2010 0:00:00,2/1/2012 0:00:00,"VISUAL DATA INCORPORATED","301 SOUTH WEST END AVENUE #2","LANCASTER","PA","17603","15-1031.00","Computer Software Engineers, Applications","SENIOR SOFTWARE DEVELOPER","1730",,"Week","Y",1,"NEW YORK","NY","80475.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/1/2010 0:00:00
"I-200-10054-401371","DENIED",2/23/2010 10:42:56,"H-1B",4/1/2010 0:00:00,4/1/2013 0:00:00,"RUSSELCO, INC.","66 BROADWAY","STATEN ISLAND","NY","10310","13-2011.00","Accountants and Auditors","STAFF ACCOUNTANT","53500","53500","Year","Y",1,"STATEN ISLAND","NY","25.54","Hour","Other","FLC DATASET","2010",,,,,,,,"541219",3/1/2010 15:43:53
"I-200-10054-598200","CERTIFIED",2/23/2010 10:39:29,"H-1B",8/23/2010 0:00:00,8/23/2013 0:00:00,"FOREST LABORATORIES, INC.","909 THIRD AVENUE","NEW YORK","NY","10022","19-3021.00","Market Research Analysts","SENIOR MARKETING SCIENCES ANALYST","89500","89500","Year","Y",1,"NEW YORK","NY","88878","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"325410",3/1/2010 0:00:00
"I-203-10054-011989","CERTIFIED",2/24/2010 10:09:55,"E-3 Australian",4/20/2010 0:00:00,4/20/2012 0:00:00,"GLOBE NEWSPAPER COMPANY, INC.","135 MORRISSEY BLVD","BOSTON","MA","02125","27-3022.00","Reporters and Correspondents","ART CRITIC","110906",,"Year","Y",1,"BOSTON","MA","72133.00","Year","CBA","BOSTON NEWSPAPER GUILD/ THENEWSPAPER GLD CWAL31245","2010",,,,,,,,"511110",3/2/2010 0:00:00
"I-200-10054-441779","CERTIFIED",2/23/2010 10:41:29,"H-1B",8/1/2010 0:00:00,5/30/2011 0:00:00,"DEMING PUBLIC SCHOOLS","1001 DIAMOND STREET","DEMING","NM","88030","25-2022.00","Middle School Teachers, Except Special and Vocatio","6TH GRADE TECHNOLOGY ENRICHMENT TEACHER","30810",,"Year","Y",1,"DEMING","NM","30810.00","Year","CBA",,"2009",,,,,,,,"611110",3/1/2010 0:00:00
"I-200-10054-105698","CERTIFIED",2/23/2010 10:39:25,"H-1B",4/1/2010 0:00:00,4/1/2013 0:00:00,"COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","500 FRANK W BURR BLVD, 7TH FLOOR","TEANECK","NJ","07666","15-1051.00","Computer Systems Analysts","SENIOR SYSTEMS ANALYST","60382",,"Year","Y",20,"FORT WORTH","TX","60382","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",3/1/2010 0:00:00
"I-200-10054-252780","DENIED",2/23/2010 10:31:41,"H-1B",3/1/2010 0:00:00,2/28/2013 0:00:00,"UNIVERSITY OF VIRGINIA","914 EMMET STREET","CHARLOTTESVILLE","VA","22904","19-4021.00","Biological Technicians","RESEARCH ASSOCIATE","36000",,"Year","Y",1,"CHARLOTTESVILLE","VA","38392.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",3/2/2010 13:30:42
"I-200-10054-157740","CERTIFIED",2/24/2010 10:50:45,"H-1B",3/1/2010 0:00:00,3/1/2013 0:00:00,"SOUTH SOUND INPATIENT PHYSICIANS, PLLC","1123 PACIFIC AVE","TACOMA","WA","98402","29-1063",,"INTERNIST","200000",,"Year","Y",1,"SPOKANE","WA","160971.00","Year","OES","OFLC ONLINE DATA CENTER","2008","SPOKANE","WA","160971.00","Year","OES","OFLC ONLINE DATA CENTER","2008","621111",3/2/2010 0:00:00
"I-200-10054-570560","CERTIFIED",2/24/2010 15:06:59,"H-1B",6/1/2010 0:00:00,5/31/2013 0:00:00,"APOTEX CORP","2400 N. COMMERCE PARKWAY, SUITE 400","WESTON","FL","33326","15-1031.00","Computer Software Engineers, Applications","COMPUTER APPLICATIONS SOFTWARE ENGINEER","87125.22",,"Year","Y",1,"WESTON","FL","77293.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"325412",3/2/2010 0:00:00
"I-200-10054-583867","CERTIFIED",2/23/2010 10:39:30,"H-1B",2/23/2010 0:00:00,2/22/2013 0:00:00,"ICONNECT LC","11465 SUNSET HILLS ROAD","RESTON","VA","20190","15-1021.00","Computer Programmers","PROGRAMMER","80912",,"Year","Y",1,"HILLSBORO","OR","67226","Year","Other","FLC DATA CENTER","2010",,,,,,,,"541511",3/1/2010 0:00:00
"I-200-10054-995688","CERTIFIED",2/23/2010 10:35:28,"H-1B",8/23/2010 0:00:00,8/22/2013 0:00:00,"IBM INDIA PRIVATE LIMITED","3039 CORNWALLIS ROAD","RTP","NC","27709","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","67771","71706","Year","Y",1,"DALLAS","TX","64854.00","Year","OES","OFLC ONLINE DATACENTER","2010",,,,,,,,"541510",3/1/2010 0:00:00
"I-200-10054-508455","DENIED",2/23/2010 11:27:10,"H-1B",3/2/2010 0:00:00,3/1/2013 0:00:00,"MAQUILOGISTICS, INC.","6620 SOUTH 33RD STREET","MCALLEN","TX","78503","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","40000",,"Year","Y",1,"MCALLEN","TX","39374.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"488510",3/1/2010 14:29:11
"I-200-10054-690851","CERTIFIED",2/23/2010 11:19:17,"H-1B",4/12/2010 0:00:00,6/15/2010 0:00:00,"UNIVERSITY OF PITTSBURGH","3959 FIFTH AVENUE","PITTSBURGH","PA","15260","19-4021.00","Biological Technicians","RESEARCH ASSOCIATE","39000",,"Year","Y",1,"PITTSBURGH","PA","29557.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",3/1/2010 0:00:00
"I-200-10054-544100","CERTIFIED",2/23/2010 10:45:55,"H-1B",2/23/2010 0:00:00,2/22/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1071.00","Network and Computer Systems Administrators","SYSTEM ADMINISTRATOR","67891","88000","Year","Y",1,"REDMOND","WA","67891.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/1/2010 0:00:00
