"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10060-640895","CERTIFIED",3/1/2010 14:39:42,"H-1B",6/1/2010 0:00:00,5/31/2013 0:00:00,"BAPTIST HEALTH CARE","GULF BREEZE HOSPITAL1110 GULF BREEZE PARKWAY","GULF BREEZE","FL","32561","29-2011",,"MEDICAL TECHNOLOGIST","47507",,"Year","Y",1,"GULF BREEZE","FL","38604.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"622110",3/5/2010 0:00:00
"I-200-10060-827937","CERTIFIED",3/19/2010 12:54:26,"H-1B",8/24/2010 0:00:00,8/24/2013 0:00:00,"ACCENTURE TECHNOLOGY SOLUTIONS","161 N. CLARK ST.","CHICAGO","IL","60601","15-1051.00","Computer Systems Analysts","SAP SD FUNCTIONAL CONSULTANT","80300",,"Year","Y",6,"DUBLIN","OH","80205","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5416",3/25/2010 0:00:00
"I-200-10060-204772","CERTIFIED",3/1/2010 11:40:50,"H-1B",3/26/2010 0:00:00,3/26/2013 0:00:00,"PROFESSIONAL PLACEMENT RESOURCES, LLC","333 FIRST STREET NORTH, STE. 200","JACKSONVILLE BEACH","FL","32250","29-1127.00","Speech-Language Pathologists","SPEECH LANGUAGE PATHOLOGIST","60",,"Hour","Y",1,"BALTIMORE","MD","25.08","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"561320",3/5/2010 0:00:00
"I-200-10060-823597","CERTIFIED",3/1/2010 11:57:00,"H-1B",8/28/2010 0:00:00,7/19/2013 0:00:00,"MILLENNIUM REHAB OF ARKANSAS, LLC","810 JOE BROOKS DRIVE","JONESBORO","AR","72401","29-1122.00","Occupational Therapists","OCCUPATIONAL THERAPIST","66144",,"Year","Y",1,"JONESBORO","AR","66144","Year","OES","OFLC ONLINE DATA CENTER","2009","NEWPORT","AR","66144","Year","OES","OFLC ONLINE DATA CENTER","2009","621340",3/5/2010 0:00:00
"I-203-10060-886698","DENIED",3/1/2010 11:48:26,"E-3 Australian",3/15/2010 0:00:00,3/12/2012 0:00:00,"GROUP AMERICAR TRANSPORTATION, LLC","522 WEST 37TH STREET","NEW YORK","NY","10018","23-2099.99","Legal Support Workers, All Other","IN HOUSE LEGAL ADVISOR","60000",,"Year","Y",1,"NEW YORK","NY","58282.00","Year","Other","FOREIGN LABOR CERTIFICATION DATA CENTER ONLINE WAG","2009",,,,,,,,"485320",3/2/2010 17:02:42
"I-200-10060-798690","CERTIFIED",3/10/2010 10:50:20,"H-1B",9/8/2010 0:00:00,9/7/2013 0:00:00,"IBM INDIA PRIVATE LIMITED","3039 CORNWALLIS ROAD","RTP","NC","27709","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","80895","80895","Year","Y",1,"ALBANY","NY","58614.00","Year","OES","OFLC ONLINE DATACENTER","2010",,,,,,,,"541510",3/16/2010 0:00:00
"I-200-10060-059707","CERTIFIED",3/1/2010 11:42:31,"H-1B",5/1/2010 0:00:00,5/1/2013 0:00:00,"FLORIDA HOSPITAL","900 WINDERLEY PLACE","MAITLAND","FL","32751","29-1111.00","Registered Nurses","CRITICAL CARE NURSE, BSN","22.41",,"Hour","Y",1,"ORLANDO","FL","21.76","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"62211",3/5/2010 0:00:00
"I-200-10060-623361","CERTIFIED",3/1/2010 14:11:53,"H-1B",3/8/2010 0:00:00,1/11/2013 0:00:00,"COVENTRY HEALTH CARE, INC.","6705 ROCKLEDGE DRIVE, SUITE 900","BETHESDA","MD","20817","13-1111.00","Management Analysts","BUSINESS ANALYST CONSULTANT","95000",,"Year","Y",1,"DOWNERS GROVE","IL","68869","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/5/2010 0:00:00
"I-200-10060-862044","CERTIFIED",3/1/2010 12:03:30,"H-1B",8/30/2010 0:00:00,8/29/2013 0:00:00,"SIBER SYSTEMS, INC.","11781 LEE JACKSON HWY., STE. 380","FAIRFAX","VA","22033","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","70000",,"Year","Y",1,"FAIRFAX","VA","64085","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/5/2010 0:00:00
"I-200-10060-414313","CERTIFIED",3/1/2010 11:51:52,"H-1B",8/28/2010 0:00:00,8/27/2013 0:00:00,"GAIN CAPITAL GROUP, LLC","550 HILLS DRIVE","BEDMINSTER","NJ","07921","41-9099.99","Sales and Related Workers, All Other","CLIENT SERVICES ASSOCIATE","35000",,"Year","Y",1,"NEW YORK","NY","33509.00","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"523130",3/5/2010 0:00:00
