"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10063-193394","CERTIFIED",3/4/2010 14:51:17,"H-1B",5/7/2010 0:00:00,5/7/2013 0:00:00,"PROGRESSIVE CASUALTY INSURANCE COMPANY","6300 WILSON MILLS ROAD","MAYFIELD VILLAGE","OH","44143","15-2041.00","Statisticians","DATA ANALYST","67650",,"Year","Y",1,"MAYFIELD HEIGHTS","OH","60098","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"524126",3/10/2010 0:00:00
"I-200-10063-527114","CERTIFIED",3/4/2010 14:52:15,"H-1B",3/15/2010 0:00:00,3/14/2013 0:00:00,"INFOSTEP, INC.","2350 MISSION COLLEGE BLVD.","SANTA CLARA","CA","95054","15-1031.00","Computer Software Engineers, Applications","SOFTWARE APPLICATIONS ENGINEER","85000",,"Year","Y",1,"SANTA CLARA","CA","77238","Year","Other","ASSETS UNLIMITED, INC. SALARY TRACKING AND RETRIEV","2009",,,,,,,,"541511",3/10/2010 0:00:00
"I-200-10063-957869","CERTIFIED",3/9/2010 17:06:18,"H-1B",3/10/2010 0:00:00,3/10/2013 0:00:00,"ERNST & YOUNG LLP","200 PLAZA DRIVE","SECAUCUS","NJ","07094","13-2011.01","Accountants","TAX STAFF","42598","100000","Year","Y",1,"LOS ANGELES","CA","42598","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541211",3/15/2010 0:00:00
"I-200-10063-205802","CERTIFIED",3/5/2010 17:48:46,"H-1B",9/1/2010 0:00:00,9/1/2013 0:00:00,"MCKINSEY & COMPANY, INC. UNITED STATES","PARK AVENUE PLAZA","NEW YORK","NY","10055","13-1111.00","Management Analysts","ASSOCIATE (MANAGEMENT CONSULTANT)","120000","178000","Year","Y",5,"HOUSTON","TX","57429","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541610",3/11/2010 0:00:00
"I-200-10063-358837","CERTIFIED",3/11/2010 11:30:57,"H-1B",9/4/2010 0:00:00,9/3/2013 0:00:00,"WESTERN WASHINGTON UNIVERSITY","516 HIGH STREET","BELLINGHAM","WA","98225","25-1193.00","Recreation and Fitness Studies Teachers, Postsecon","ASSISTANT PROFESSOR","51862",,"Year","Y",1,"BELLINGHAM","WA","51862.00","Year","CBA",,"2010",,,,,,,,"611310",3/17/2010 0:00:00
"I-200-10063-055733","CERTIFIED",3/4/2010 15:15:57,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"OHANA CAPITAL, LLC","10601 RIVERS BEND LANE","POTOMAC","MD","20854","13-1111.00","Management Analysts","MANAGEMENT ANALYST","24.05",,"Hour","N",1,"BETHESDA","MD","24.05","Hour","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"722211",3/10/2010 0:00:00
"I-200-10063-150401","CERTIFIED",3/4/2010 14:58:02,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"LYCEE FRANCAIS LA PEROUSE","1201 ORTEGA STREET","SAN FRANCISCO","CA","94117","25-2031.00","Secondary School Teachers, Except Special and Voca","BILINGUAL TEACHER","67164",,"Year","Y",1,"SAN FRANCISCO","CA","62637","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611110",3/10/2010 0:00:00
"I-200-10063-196667","CERTIFIED",3/4/2010 15:21:46,"H-1B",9/2/2010 0:00:00,9/2/2013 0:00:00,"ESI US R&D, INC.","32605 W. 12 MILE ROAD","FARMINGTON HILLS","MI","48334","15-1031.00","Computer Software Engineers, Applications","SOFTWARE DEVELOPMENT ENGINEER","62000","62000","Year","Y",1,"HUNTSVILLE","AL","59093.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541710",3/10/2010 0:00:00
"I-200-10063-823484","CERTIFIED",3/4/2010 14:59:19,"H-1B",9/1/2010 0:00:00,9/1/2013 0:00:00,"AMITY INSTITUTE LTD.","3065 ROSECRANS PLACE","SAN DIEGO","CA","92110","25-9031.00","Instructional Coordinators","INSTRUCTIONAL COORDINATOR (NEW PROGRAM DEVELOPMENT","57658",,"Year","Y",1,"SAN DIEGO","CA","57658.00","Year","OES",,"2009",,,,,,,,"92110",3/10/2010 0:00:00
"I-200-10063-656735","CERTIFIED",3/5/2010 15:33:54,"H-1B",3/15/2010 0:00:00,3/15/2013 0:00:00,"HSBC BANK USA, N.A.","ONE HSBC CENTER, 11TH FLOOR","BUFFALO","NY","14203","15-1032.00","Computer Software Engineers, Systems Software","LEAD ANALYST CUST. INFO MGMT.","85499.08",,"Year","Y",1,"METTAWA","IL","81765.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"522110",3/11/2010 0:00:00
"I-200-10063-452137","CERTIFIED",3/4/2010 14:59:31,"H-1B",6/1/2010 0:00:00,8/31/2010 0:00:00,"LAWRENCE BERKELEY NATIONAL LABORATORY","1 CYCLOTRON ROAD, 65A","BERKELEY","CA","94720","19-2032.00","Materials Scientists","VISITING RESEARCHER","133200",,"Year","Y",1,"BERKELEY","CA","50398.00","Year","OES","N/A","2009",,,,,,,,"541710",3/10/2010 0:00:00
"I-200-10063-647837","CERTIFIED",3/4/2010 15:00:40,"H-1B",8/31/2010 0:00:00,8/31/2012 0:00:00,"DALLAS INDEPENDENT SCHOOL DISTRICT","3807 ROSS AVENUE","DALLAS","TX","75204","25-2022.00","Middle School Teachers, Except Special and Vocatio","SECONDARY SCIENCE TEACHER","54551",,"Year","Y",1,"DALLAS","TX","41100.00","Year","OES",,"2009",,,,,,,,"611110",3/10/2010 0:00:00
