"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10068-779046","CERTIFIED",4/9/2010 15:47:32,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"OPUS SOFTWARE SOLUTIONS","116 VILLAGE BOULEVARD","PRINCETON","NJ","08540","15-1031.00","Computer Software Engineers, Applications","SENIOR SYSTEM ENGINEER","72000",,"Year","Y",1,"MONTVALE","NJ","65374.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/15/2010 0:00:00
"I-203-10068-640094","DENIED",3/9/2010 12:18:48,"E-3 Australian",3/20/2010 0:00:00,3/20/2012 0:00:00,"DASHA WELLNESS CHIROPRACTIC,PC","115 EAST 57TH ST. SUITE 520","NEW YORK","NY","10022","29-1125.00","Recreational Therapists","RECREATIONAL THERAPIST","7.25",,"Hour","Y",1,"NEW YORK","NY","15.00","Hour","OES",,"2009",,,,,,,,"621310",3/11/2010 12:56:07
"I-200-10068-859136","DENIED",3/9/2010 11:52:37,"H-1B",9/7/2010 0:00:00,9/7/2013 0:00:00,"PROGRESSIVE CASUALTY INSURANCE COMPANY","6300 WILSON MILLS ROAD","MAYFIELD VILLAGE","OH","44143","15-1031.00","Computer Software Engineers, Applications","IT APPLICATIONS PROGRAMMER","60000",,"Year","Y",1,"COLORADO SPRINGS","CO","62296","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"524126",3/11/2010 12:53:07
"I-200-10068-009828","CERTIFIED",3/9/2010 17:04:43,"H-1B",8/29/2010 0:00:00,8/28/2013 0:00:00,"TEXAS INSTRUMENTS INCORPORATED","7839 CHURCHILL WAY, MS 3999","DALLAS","TX","75251","17-2071.00","Electrical Engineers","ELECTRICAL DESIGN ENGINEER","83640",,"Year","Y",1,"DALLAS","TX","70000","Year","Other","WATSON WYATT DATA SERVICES-PROF. SPECIALIZED SERV.","2009",,,,,,,,"334410",3/15/2010 0:00:00
"I-200-10068-176672","CERTIFIED",5/26/2010 10:47:00,"H-1B",6/23/2010 0:00:00,6/22/2011 0:00:00,"SUSSEX COUNTY PUBLIC SCHOOLS","21302 SUSSEX DRIVE","SUSSEX","VA","23884","25-2031.00","Secondary School Teachers, Except Special and Voca","MATH TEACHER","53058",,"Year","Y",1,"SUSSEX","VA","40190.00","Year","Other","OWL","2009",,,,,,,,"611110",6/2/2010 0:00:00
"I-200-10068-223512","CERTIFIED",3/9/2010 14:39:59,"H-1B",3/9/2010 0:00:00,9/3/2012 0:00:00,"MALAX SOLUTIONS INC.","200 CENTENNIAL AVE. SUITE 200","PISCATAWAY","NJ","08854","15-1099.02","Computer Systems Engineers/Architects","SOFTWARE ARCHITECT","60000",,"Year","Y",1,"PISCATAWAY","NJ","57803.00","Year","OES","OFLC ONLINE DATA CENTER","2010","INDIANOLA","PA","56514.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",3/15/2010 0:00:00
"I-200-10068-212850","CERTIFIED",3/9/2010 16:22:07,"H-1B",4/23/2010 0:00:00,2/1/2013 0:00:00,"ETEAM INC","1001 DURHAM AVE","SOUTH PLAINFIELD","NJ","07080","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","29",,"Hour","Y",1,"SEATTLE","WA","28.98","Hour","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",3/15/2010 0:00:00
"I-200-10068-945314","CERTIFIED",3/10/2010 20:26:34,"H-1B",9/8/2010 0:00:00,9/8/2013 0:00:00,"LOS ANGELES COLLEGE TOUR INC.","1650 WESTWOOD BLVD. #300","LOS ANGELES","CA","90024-5629","27-3043.00","Writers and Authors","WRITER","44429",,"Year","Y",1,"LOS ANGELES","CA","44429.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"56131",3/16/2010 0:00:00
"I-200-10068-144555","CERTIFIED",3/9/2010 14:35:28,"H-1B",9/5/2010 0:00:00,9/4/2013 0:00:00,"MANAGEMENT HEALTH SYSTEMS, INC.","5608 PRINCETON AVENUE","COLUMBUS","GA","31904","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","29",,"Hour","Y",2,"BREWSTER","NY","28.54","Hour","OES","OFLC- ONLINE DATA CENTER","2009",,,,,,,,"561310",3/15/2010 0:00:00
"I-200-10068-163310","CERTIFIED-WITHDRAWN",3/9/2010 14:35:47,"H-1B",7/31/2010 0:00:00,7/30/2013 0:00:00,"ALDINE INDEPENDENT SCHOOL DISTRICT","15010 ALDINE WESTFIELD ROAD","HOUSTON","TX","77032","25-2021.00","Elementary School Teachers, Except Special Educati","ELEMENTARY SCHOOL TEACHER","46000",,"Year","Y",1,"HOUSTON","TX","43170","Year","OES",,"2010",,,,,,,,"611110",3/15/2010 0:00:00
"I-200-10068-069014","CERTIFIED",3/9/2010 14:45:12,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"DYKEMA GOSSETT PLLC","400 RENAISSANCE CENTER","DETROIT","MI","48243","23-1011.00","Lawyers","ASSOCIATE ATTORNEY","100000",,"Year","Y",1,"DETROIT","MI","69160.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541110",3/15/2010 0:00:00
"I-200-10068-380943","CERTIFIED",3/9/2010 14:37:56,"H-1B",3/9/2010 0:00:00,3/8/2013 0:00:00,"DATAMETRICS SOFTWARE SYSTEMS INC","15 CORPORATE PLACE SOUTH, SUITE # 351","PISCATAWAY","NJ","08854","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","52541",,"Year","Y",1,"MALVERN","PA","48381.00","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2010","PISCATAWAY","NJ","52541.00","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2010","541511",3/15/2010 0:00:00
"I-200-10068-864241","CERTIFIED",3/9/2010 15:25:35,"H-1B",9/5/2010 0:00:00,9/5/2013 0:00:00,"ADMERASIA INC.","159 WEST 25TH STREET","NEW YORK","NY","10001","41-3011.00","Advertising Sales Agents","ACCOUNT EXECUTIVE","17.8",,"Hour","Y",2,"NEW YORK","NY","17.80","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541840",3/15/2010 0:00:00
"I-200-10068-783191","CERTIFIED",3/10/2010 13:14:53,"H-1B",9/6/2010 0:00:00,9/5/2013 0:00:00,"ORGANOGENESIS, INC.","150 DAN ROAD","CANTON","MA","02021","19-4021.00","Biological Technicians","QC ANALYST II","50000",,"Year","Y",1,"CANTON","MA","44512","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541710",3/16/2010 0:00:00
"I-200-10068-884220","CERTIFIED",3/12/2010 16:21:34,"H-1B",9/1/2010 0:00:00,9/1/2013 0:00:00,"ERNST & YOUNG LLP","200 PLAZA DRIVE","SECAUCUS","NJ","07094","13-2011.02","Auditors","IT RISK AND ASSURANCE STAFF","41330","71000","Year","Y",1,"CLEVELAND","OH","41330.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541211",3/18/2010 0:00:00
"I-200-10068-594175","DENIED",3/9/2010 14:49:41,"H-1B",5/5/2010 0:00:00,5/5/2011 0:00:00,"KABS OF TAMPA, INC.","2812 E. BEARSS AVENUE","TAMPA","FL","33613","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER/ANALYST","27.5","27.5","Hour","Y",1,"TAMPA","FL","25.31","Hour","OES","OFLC","2008",,,,,,,,"446110",3/11/2010 8:42:47
"I-200-10068-341884","CERTIFIED",3/9/2010 14:50:09,"H-1B",3/12/2010 0:00:00,3/11/2013 0:00:00,"CSC COVANSYS CORPORATION","3170 FAIRVIEW PARK DRIVE","FALLS CHURCH","VA","22042","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEERS","72000","105000","Year","Y",3,"SAN FRANCISCO","CA","71386.00","Year","OES","OFLC ONLINE DATACENTER","2010",,,,,,,,"541511",3/15/2010 0:00:00
"I-200-10068-746963","CERTIFIED",3/12/2010 17:14:05,"H-1B",9/5/2010 0:00:00,9/5/2013 0:00:00,"RIVERBED TECHNOLOGY, INC.","199 FREMONT STREET","SAN FRANCISCO","CA","94105","41-9031.00","Sales Engineers","TECHNICAL MARKETING ENGINEER","68000","135200","Year","Y",1,"SAN FRANCISCO","CA","51266.00","Year","Other","AON CORPORATION RADFORD BENCHMARK SURVEY","2009","SUNNYVALE","CA","51266.00","Year","Other","AON CORPORATION RADFORD BENCHMARK SURVEY","2009","541519",3/18/2010 0:00:00
"I-200-10068-450253","CERTIFIED",3/9/2010 13:01:22,"H-1B",4/1/2010 0:00:00,3/31/2013 0:00:00,"BHRIGUS, INC.","180 RARITAN CENTER PARKWAY","EDISON","NJ","08837","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","63500",,"Year","Y",1,"EDISON","NJ","63294.00","Year","OES","OFLC ONLINE DATA CENTER","2009","SILVER SPRING","MD","60050.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",3/15/2010 0:00:00
"I-200-10068-931611","CERTIFIED",3/9/2010 12:57:48,"H-1B",9/5/2010 0:00:00,9/4/2013 0:00:00,"TENACORE","647 E. YOUNG ST.","SANTA ANA","CA","92705","17-2111.03","Product Safety Engineers","PRODUCT SAFETY REGULATORY ENGINEER","31.62",,"Hour","Y",1,"SANTA ANA","CA","31.62","Hour","OES","N/A","2009",,,,,,,,"3391",3/15/2010 0:00:00
"I-200-10068-254493","CERTIFIED-WITHDRAWN",3/9/2010 12:55:42,"H-1B",9/7/2010 0:00:00,9/7/2013 0:00:00,"PROGRESSIVE CASUALTY INSURANCE COMPANY","6300 WILSON MILLS ROAD","MAYFIELD VILLAGE","OH","44143","15-1099.01","Software Quality Assurance Engineers and Testers","SOFTWARE TEST ENGINEER","60000",,"Year","Y",1,"MAYFIELD VILLAGE","OH","45552","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"524126",3/15/2010 0:00:00
"I-200-10068-682879","CERTIFIED",3/9/2010 12:56:33,"H-1B",8/1/2010 0:00:00,8/1/2013 0:00:00,"COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","500 FRANK W BURR BLVD, 7TH FLOOR","TEANECK","NJ","07666","15-1051.00","Computer Systems Analysts","SENIOR SYSTEMS ANALYST","52874",,"Year","Y",10,"APPLETON","WI","52874","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",3/15/2010 0:00:00
"I-200-10068-449137","DENIED",3/9/2010 13:09:26,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"BLACK SERUM, INC.","430 WEST, 14TH STREET, 2ND FLOOR","NEW YORK","NY","10014","15-2031.00","Operations Research Analysts","BUSINESS DEVELOPMENT ANALYST","60000",,"Year","Y",1,"NEW YORK","NY","52166.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"722110",3/10/2010 8:47:50
"I-200-10068-141420","CERTIFIED",3/10/2010 12:21:24,"H-1B",3/10/2010 0:00:00,9/8/2010 0:00:00,"VIRGO INC","333 N.OXFORDVALLEY RD,#405","FAIRLESS HILLS","PA","19030","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","54080",,"Year","Y",1,"FAIRLESS HILLS","PA","51542.00","Year","OES","OFLC ONLINE DATA CENTER","2010","FARMINGTON HILLS","MI","51542.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",3/16/2010 0:00:00
"I-200-10068-126714","CERTIFIED",3/9/2010 14:42:28,"H-1B",9/7/2010 0:00:00,9/7/2013 0:00:00,"VIRTRUE CAPITAL CORPORTATION","3151 AIRWAY AVE., BLDG. 3G","COSTA MESA","CA","92626","15-1099.99","Computer Specialists, All Other","WEB DEVELOPMENT ENGINEER","21",,"Hour","Y",1,"COSTA MESA","CA","20.99","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541519",3/15/2010 0:00:00
"I-200-10068-832190","CERTIFIED",3/19/2010 14:48:06,"H-1B",3/22/2010 0:00:00,3/21/2013 0:00:00,"OLR AMERICA INC.","1200 WASHINGTON AVENUE SOUTH","MINNEAPOLIS","MN","55415","15-1051.00","Computer Systems Analysts","TECHNICAL CONSULTANT","127000",,"Year","Y",1,"MINNEAPOLIS","MN","75442.00","Year","OES","'OFLC ONLINE DATA CENTER'","2009","JACKSONVILLE","FL","68744","Year","OES","'OFLC ONLINE DATA CENTER'","2009","541511",3/25/2010 0:00:00
"I-200-10068-494865","CERTIFIED",3/10/2010 14:39:01,"H-1B",9/5/2010 0:00:00,9/4/2013 0:00:00,"GRAPNEL TECH SERVICES, LLC","6905 VISTA DRIVE","WEST DES MOINES","IA","50266","15-1051.00","Computer Systems Analysts","BUSINESS SYSTEMS ANALYST","49171",,"Year","Y",1,"PLANO","TX","47736.00","Year","OES","OFLC ONLINE DATA CENTER","2010","WEST DES MOINES","IA","49171.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",3/16/2010 0:00:00
"I-200-10068-701225","CERTIFIED",3/12/2010 17:33:13,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"HEWLETT-PACKARD COMPANY","19483 PRUNERIDGE AVE.","CUPERTINO","CA","95014","15-1051.00","Computer Systems Analysts","TECHNOLOGY CONSULTANT II","89586","89775","Year","Y",25,"THOUSAND OAKS","CA","89586","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"33411",3/18/2010 0:00:00
