"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10070-090747","CERTIFIED",3/11/2010 16:29:38,"H-1B",3/11/2010 0:00:00,3/10/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","63086","84000","Year","Y",2,"SAN DIEGO","CA","63086.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/17/2010 0:00:00
"I-200-10070-740283","CERTIFIED",3/15/2010 12:36:21,"H-1B",3/19/2010 0:00:00,3/19/2013 0:00:00,"CISCO CONSUMER PRODUCTS, LLC","131 THEORY DRIVE","IRVINE","CA","92617","41-9031.00","Sales Engineers","PRODUCT MANAGER","120564","130000","Year","Y",1,"SAN FRANCISCO","CA","120564.00","Year","Other","RADFORD BENCHMARK SURVEY","2010",,,,,,,,"334111",3/19/2010 0:00:00
"I-200-10070-350147","CERTIFIED",3/11/2010 17:11:54,"H-1B",9/9/2010 0:00:00,9/8/2013 0:00:00,"CONSTANTIN ASSOCIATES LLP","575 MADISON AVENUE","NEW YORK","NY","10022","13-2011.00","Accountants and Auditors","ACCOUNTING COORDINATOR","53123",,"Year","Y",1,"NEW YORK","NY","53123.00","Year","OES","FLC DATA CENTER","2010",,,,,,,,"541211",3/17/2010 0:00:00
"I-200-10070-095777","CERTIFIED",3/12/2010 13:01:38,"H-1B",9/9/2010 0:00:00,9/9/2013 0:00:00,"EVEREST CAPITAL LLC","2601 SOUTH BAYSHORE DRIVE","MIAMI","FL","33133","15-2011.00","Actuaries","ACTUARY","100000","150000","Year","Y",1,"MIAMI","FL","87069.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"52300",3/18/2010 0:00:00
"I-203-10070-789250","DENIED",3/11/2010 16:33:27,"E-3 Australian",3/22/2010 0:00:00,3/21/2012 0:00:00,"TRANSFORM HOLDINGS, INC.","8000 S. FEDERAL WAY","BOISE","ID","83716","11-1011.00","Chief Executives","EXECUTIVE MANAGER","329458",,"Year","Y",1,"BOISE","ID","179608","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334413",3/16/2010 13:28:02
"I-200-10070-181854","WITHDRAWN",3/11/2010 16:41:50,"H-1B",4/6/2010 0:00:00,4/5/2013 0:00:00,"ENENABLING TECHNOLOGIES, INC.","1101 PENNSYLVANIA AVENUE, NW","WASHINGTONG","DC","20004","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","114400",,"Year","Y",1,"WASHINGTON","DC","109886.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541519",3/16/2010 0:00:00
"I-200-10070-931610","CERTIFIED",3/11/2010 16:35:26,"H-1B",9/1/2010 0:00:00,9/1/2013 0:00:00,"ESPIRITO SANTO BANK","1395 BRICKELL AVENUE","MIAMI","FL","33131","13-2099.99","Financial Specialists, All Other","FINANCIAL ANALYST - PRIVATE BANKING","120000",,"Year","Y",1,"MIAMI","FL","66186.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"522110",3/17/2010 0:00:00
"I-200-10070-437826","DENIED",3/11/2010 16:50:49,"H-1B",9/12/2010 0:00:00,9/11/2013 0:00:00,"IKON GLOBAL MARKETS INC","99 WALL STREET","NEW YORK","NY","10005","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","29.3",,"Hour","Y",1,"NEW YORK","NY","29.30","Hour","OES","OFCL ON LINE DATA CENTER","2009",,,,,,,,"522291",3/15/2010 9:06:56
"I-200-10070-294242","DENIED",3/11/2010 16:49:28,"H-1B",4/1/2010 0:00:00,3/31/2011 0:00:00,"ACCESS BIO, INC.","2033 US HIGHWAY 130","MONMOUTH JUNCTION","NJ","08852","19-1021.01","Biochemists","RESEARCH SCIENTIST","33.54",,"Hour","N",1,"MONMOUTH JUNCTION","NJ","33.54","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541710",3/15/2010 13:51:05
"I-200-10070-460028","CERTIFIED",3/16/2010 11:06:51,"H-1B",9/9/2010 0:00:00,9/8/2013 0:00:00,"SIEMENS IT SOLUTIONS AND SERVICES, INC.","101 MERRITT 7","NORWALK","CT","06851","15-1032.00","Computer Software Engineers, Systems Software","IT ENGINEER/MODULE LEAD","74520",,"Year","Y",1,"NORCROSS","GA","74422","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"221111",3/22/2010 0:00:00
