"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10074-438341","CERTIFIED",3/15/2010 22:38:53,"H-1B",9/13/2010 0:00:00,9/13/2013 0:00:00,"JOONGANG DAILY NEWS WASHINGTON, INC.","7023 LITTLE RIVER TURNPIKE 3FL","ANNANDALE","VA","22003","27-1011.00","Art Directors","PUBLICATION ART DIRECTOR","24.04",,"Hour","N",1,"ANNANDALE","VA","19.73","Hour","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"511110",3/19/2010 0:00:00
"I-200-10074-585816","DENIED",3/15/2010 23:03:37,"H-1B",7/1/2010 0:00:00,7/1/2013 0:00:00,"LOMA LINDA FOOT AND ANKLE CENTER","11332 MOUNTAIN VIEW AVENUE","LOMA LINDA","CA","92354","29-1081.00","Podiatrists","PODIATRIST","79000",,"Year","Y",1,"LOMA LINDA","CA","52146.00","Year","OES",,"2009",,,,,,,,"621391",3/17/2010 11:19:03
"I-200-10074-003993","CERTIFIED",3/15/2010 22:54:47,"H-1B",9/13/2010 0:00:00,9/12/2013 0:00:00,"SYNTAX SOLUTIONS INC","93 MEADOW ROAD","NORTHBOROUGH","MA","01532","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","56000",,"Year","Y",1,"NORTHBOROUGH","MA","55328.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/19/2010 0:00:00
"I-200-10074-577569","CERTIFIED",3/15/2010 22:38:40,"H-1B",9/13/2010 0:00:00,9/12/2013 0:00:00,"RREM, INC.","2155 W. PIERCE AVE.","CHICAGO","IL","60622","11-9111.00","Medical and Health Services Managers","RESTORATIVE PROGRAM DEVELOPMENT SPECIALIST","25.9",,"Hour","Y",1,"CHICAGO","IL","25.90","Hour","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"623110",3/19/2010 0:00:00
"I-200-10074-970511","CERTIFIED",3/15/2010 22:50:04,"H-1B",3/15/2010 0:00:00,7/11/2011 0:00:00,"WAVSYS LLC","101 BROADWAY","BROOKLYN","NY","11211","17-2075.00","Electronics Engineers, Except Computer, Non R&D","FIELD ENGINEER","33",,"Hour","Y",1,"DENVER","CO","31.12","Hour","OES","OFLC ONLINE DATA CENTER","2010","W. NORRITON","PA","32.34","Hour","OES","OFLC ONLINE DATA CENTER","2010","541330",3/19/2010 0:00:00
"I-200-10074-151864","CERTIFIED",3/15/2010 23:23:12,"H-1B",9/13/2010 0:00:00,9/12/2013 0:00:00,"MANAGEMENT CONCEPTS SYSTEMS AND SERVICES, INC.","281 HIGHWAY 79, SUITE 207","MORGANVILLE","NJ","07751","11-9021.00","Construction Managers","PROJECT CONTROL ENGINEER","93600",,"Year","Y",1,"MORGANVILLE","NJ","92706.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"237990",3/19/2010 0:00:00
"I-200-10074-515038","CERTIFIED",3/18/2010 16:34:55,"H-1B",6/10/2010 0:00:00,6/9/2013 0:00:00,"AGILENT TECHNOLOGIES, INC.","5301 STEVENS CREEK BLVD.","SANTA CLARA","CA","95051","17-2071.00","Electrical Engineers","MANUFACTURING ENGINEER, EXPERT, MASTER LEVEL","104978","147672","Year","Y",10,"SANTA ROSA","CA","104978.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334419",3/24/2010 0:00:00
"I-200-10074-746167","DENIED",3/24/2010 11:25:55,"H-1B",9/20/2010 0:00:00,9/19/2013 0:00:00,"OVERSEAS BRAZIL INC.","10826 VENICE BLVD.","CULVER CITY","CA","90232","27-2012.00","Producers and Directors","PROGRAMMING DIRECTOR","45",,"Hour","N",1,"CULVER CITY","CA","42.41","Hour","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"515112",3/26/2010 12:35:53
"I-200-10074-225425","CERTIFIED",3/15/2010 23:57:53,"H-1B",3/15/2010 0:00:00,5/26/2011 0:00:00,"WAVSYS LLC","101 BROADWAY","BROOKLYN","NY","11211","17-2075.00","Electronics Engineers, Except Computer, Non R&D","SWITCH ENGINEER","33",,"Hour","Y",1,"BELTSVILLE","MD","32.74","Hour","OES","OFLC ONLINE DATA CENTER","2010","PARSIPPANY","NJ","31.32","Hour","OES","OFLC ONLINE DATA CENTER","2010","541330",3/19/2010 0:00:00
"I-200-10074-383499","CERTIFIED",3/19/2010 9:32:32,"H-1B",9/17/2010 0:00:00,9/16/2013 0:00:00,"STRATEGIC EDGE COMMUNICATIONS, INC.","163 MADISON AVENUE, SUITE 400","MORRISTOWN","NJ","07960","15-1021.00","Computer Programmers","SENIOR PROGRAMMER","99000",,"Year","Y",1,"MORRISTOWN","NJ","52957.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541613",3/25/2010 0:00:00
