"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10077-198365","CERTIFIED",3/18/2010 12:30:20,"H-1B",3/22/2010 0:00:00,10/1/2012 0:00:00,"DOLI SYSTEMS INC.","353 WEST 48TH STREET","NEW YORK","NY","10036","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","62000",,"Year","Y",1,"GREELEY","CO","61963.00","Year","OES","OFLC ONLINE DATACENTER","2009","NEW YORK","NY","60944.00","Year","OES","OFLC ONLINE DATACENTER","2009","541519",3/24/2010 0:00:00
"I-200-10077-967814","CERTIFIED",3/31/2010 18:36:57,"H-1B",9/13/2010 0:00:00,9/12/2013 0:00:00,"INTEL CORPORATION","2200 MISSION COLLEGE BLVD","SANTA CLARA","CA","95054","17-2072.00","Electronics Engineers, Except Computer","COMPONENT DESIGN ENGINEER","78603","94700","Year","Y",1,"HILLSBORO","OR","78603","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"3344",4/6/2010 0:00:00
"I-200-10077-575001","CERTIFIED",3/18/2010 12:29:31,"H-1B",9/16/2010 0:00:00,9/15/2013 0:00:00,"ADAGIO M. INC.","15484 S. WESTERN AVENUE, SUITE 110","GARDENA","CA","90249","29-9091.00","Athletic Trainers","ATHLETIC TRAINER","31000",,"Year","Y",1,"GARDENA","CA","31000","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621310",3/24/2010 0:00:00
"I-200-10077-344749","CERTIFIED",3/18/2010 12:27:20,"H-1B",7/11/2010 0:00:00,7/11/2013 0:00:00,"ALCATEL-LUCENT USA INC.","600 MOUNTAIN AVE.","MURRAY HILL","NJ","07974","15-1051.00","Computer Systems Analysts","SYSTEM ANALYST","89200",,"Year","Y",1,"LISLE","IL","81411.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"517910",3/24/2010 0:00:00
"I-200-10077-061868","CERTIFIED",3/18/2010 13:14:15,"H-1B",9/16/2010 0:00:00,9/15/2013 0:00:00,"SOFTENTIAL, INC.","607 HERNDON PARKWAY, SUITE 102","HERNDON","VA","20170","15-1071.00","Network and Computer Systems Administrators","SYSTEM NETWORK ENGINEER / IT SPECIALIST","50523",,"Year","Y",1,"HERNDON","VA","50523.00","Year","OES","OFLC ONLINE DATA CENTER","2010","WASHINGTON","DC","50523.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541519",3/24/2010 0:00:00
"I-200-10077-377262","CERTIFIED",3/19/2010 12:12:05,"H-1B",6/4/2010 0:00:00,6/3/2013 0:00:00,"TARGET HEALTH INC.","261 MADISON AVENUE, 24TH FLOOR","NEW YORK CITY,","NY","10016","15-2041.00","Statisticians","BIOSTATISTICIAN","66000","75000","Year","Y",1,"NEW YORK CITY","NY","65749.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541710",3/25/2010 0:00:00
"I-200-10077-446355","CERTIFIED-WITHDRAWN",3/23/2010 9:43:31,"H-1B",9/7/2010 0:00:00,10/22/2011 0:00:00,"SCHLUMBERGER TECHNOLOGY CORPORATION","300 SCHLUMBERGER DRIVE, MD-9","SUGAR LAND","TX","77478","17-2171.00","Petroleum Engineers","PRODUCTION CONSULTANT","93000",,"Year","Y",1,"HOUSTON","TX","75213","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",3/29/2010 0:00:00
"I-200-10077-975704","DENIED",3/19/2010 16:32:28,"H-1B",9/17/2010 0:00:00,9/17/2013 0:00:00,"INSIGHT CARD SERVICES, LLC","600 BEACON PARKWAY WEST","BIRMINGHAM","AL","35209","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","44512",,"Year","Y",1,"BIRMINGHAM","AL","44512.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"522210",3/22/2010 16:47:30
"I-200-10077-566577","CERTIFIED",3/18/2010 17:22:20,"H-1B",9/16/2010 0:00:00,9/16/2013 0:00:00,"ALWAYS ON CALL, LLC","9900 MAIN STREET","FAIRFAX","VA","22031","15-1071.00","Network and Computer Systems Administrators","SYSTEMS ENGINEER","50523",,"Year","Y",1,"FAIRFAX","VA","50523.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",3/24/2010 0:00:00
"I-200-10077-544333","CERTIFIED",3/18/2010 12:25:44,"H-1B",7/15/2010 0:00:00,7/14/2012 0:00:00,"BRIGHAM AND WOMEN'S HOSPITAL","PARTNERS INTERNATIONAL OFFICE","BOSTON","MA","02114","19-1042.00","Medical Scientists, Except Epidemiologists","RESEARCH FELLOW","38000",,"Year","Y",1,"BOSTON","MA","37482","Year","OES","N/A","2009",,,,,,,,"622110",3/24/2010 0:00:00
