"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10081-403367","CERTIFIED",3/22/2010 14:05:49,"H-1B",3/23/2010 0:00:00,3/22/2013 0:00:00,"INJ SOFTWARE SOLUTIONS LLC","16 WILLET CT","PITTSBURG","CA","94565","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","60000",,"Year","Y",1,"TAMPA","FL","48131.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/26/2010 0:00:00
"I-200-10081-085124","CERTIFIED",3/22/2010 13:58:06,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"3 S NETWORK, INC.","16301 NE 8TH STREET","BELLEVUE","WA","98008","17-2072.00","Electronics Engineers, Except Computer","RF ENGINEER","38000",,"Year","Y",1,"KING OF PRUSSIA","PA","36000","Year","OES","OFLC ONLINE DATA CENTER","2009","NEW PROVIDENCE","NJ","36000","Year","OES","OFLC ONLINE DATA CENTER","2009","517212",3/26/2010 0:00:00
"I-200-10081-347838","CERTIFIED",3/22/2010 14:58:43,"H-1B",9/20/2010 0:00:00,9/19/2013 0:00:00,"SPECTRAWATT, INC.","7175 NW EVERGREEN PARKWAY","HILLSBORO","OR","97124","19-2031.00","Chemists","SENIOR RESEARCH SCIENTIST","92500",,"Year","Y",1,"HILLSBORO","OR","53976.00","Year","OES","'OFLC ONLINE DATA CENTER'","2009",,,,,,,,"334413",3/26/2010 0:00:00
"I-200-10081-101463","CERTIFIED",3/22/2010 14:01:11,"H-1B",6/1/2010 0:00:00,6/30/2012 0:00:00,"REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSI","900 UNIVERSITY AVENUE","RIVERSIDE","CA","92521","25-1022.00","Mathematical Science Teachers, Postsecondary","VISITING ASSISTANT PROFESSOR","49960",,"Year","Y",1,"RIVERSIDE","CA","49960","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",3/26/2010 0:00:00
"I-200-10081-517722","CERTIFIED",3/22/2010 14:27:36,"H-1B",9/20/2010 0:00:00,9/20/2013 0:00:00,"ST. CLOUD AREA SCHOOL DISTRICT 742","1000 - 44TH AVENUE NORTH","ST. CLOUD","MN","56303","25-2021.00","Elementary School Teachers, Except Special Educati","ELEMENTARY TEACHER, CHINESE IMMERSION, K-2","44820",,"Year","Y",2,"ST. CLOUD","MN","34620.00","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"611110",3/26/2010 0:00:00
"I-200-10081-794454","CERTIFIED",3/22/2010 14:41:49,"H-1B",3/22/2010 0:00:00,3/21/2013 0:00:00,"CELCITE MANAGEMENT SOLUTIONS, LLC","13800 COPPERMINE ROAD","HERNDON","VA","20171","17-2071.00","Electrical Engineers","SR. RF ENGINEER I","85000",,"Year","Y",1,"CERRITOS","CA","73798.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541330",3/26/2010 0:00:00
"I-200-10081-767239","CERTIFIED",3/22/2010 13:58:03,"H-1B",9/16/2010 0:00:00,9/16/2013 0:00:00,"HALIWA-SAPONI TRIBAL SCHOOL","130 HALIWA-SAPONI TRAIL","HOLLISTER","NC","27844","25-2021.00","Elementary School Teachers, Except Special Educati","SPANISH TEACHER","31910",,"Year","Y",1,"HOLLISTER","NC","31910.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611110",3/26/2010 0:00:00
"I-200-10081-139619","CERTIFIED",3/25/2010 12:41:28,"H-1B",9/18/2010 0:00:00,9/18/2013 0:00:00,"BIONOVO, INC.","5858 HORTON STREET","EMERYVILLE","CA","94608","19-2031.00","Chemists","NATURAL PRODUCT CHEMIST","72322",,"Year","Y",1,"EMERYVILLE","CA","72322.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"325412",3/31/2010 0:00:00
"I-200-10081-226401","CERTIFIED",3/22/2010 14:03:03,"H-1B",9/20/2010 0:00:00,9/20/2013 0:00:00,"BROWARD COUNTY MEDICAL CENTER, LLC","1084 SUNSET STRIP","SUNRISE","FL","33313","15-2031.00","Operations Research Analysts","OPERATIONS ANALYST","37500",,"Year","Y",1,"SUNRISE","FL","37211","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621420",3/26/2010 0:00:00
"I-200-10081-908252","CERTIFIED",3/22/2010 14:35:37,"H-1B",9/20/2010 0:00:00,9/19/2013 0:00:00,"AMERICAN TURKISH FRIENDSHIP ASSOCIATION (ATFA)","3949 UNIVERSITY  DR.","FAIRFAX","VA","22300","13-2011.00","Accountants and Auditors","BUSINESS MANAGER","22.77",,"Hour","N",1,"OAKTON","VA","22.77","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"61111",3/26/2010 0:00:00
