"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10083-476998","CERTIFIED",3/24/2010 15:19:46,"H-1B",8/3/2010 0:00:00,8/2/2013 0:00:00,"ARIZONA DEPARTMENT OF TRANSPORTATION","206 S 17TH AVENUE","PHOENIX","AZ","85007","17-2051.00","Civil Engineers","TRANSPORTATION ENGINEER I","64560",,"Year","Y",1,"PHOENIX","AZ","53685.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"237310",3/30/2010 0:00:00
"I-200-10083-463872","CERTIFIED",3/24/2010 18:50:06,"H-1B",6/24/2010 0:00:00,6/30/2012 0:00:00,"LANKENAU HOSPITAL","100 LANCASTER AVENUE","WYNNEWOOD","PA","19096","29-1069.99","Physicians and Surgeons, All Other","MEDICAL RESIDENT","50627",,"Year","Y",1,"WYNNEWOOD","PA","48670","Year","Other","AAMC SURVEY OF RESIDENT/FELLOW STIPENDS & BENEFITS","2009",,,,,,,,"622110",3/30/2010 0:00:00
"I-200-10083-200879","CERTIFIED",3/24/2010 15:57:49,"H-1B",9/22/2010 0:00:00,9/21/2013 0:00:00,"DAEDONG HI-LEX OF AMERICA, INC.","1195 COUNTY ROAD 177","CUSSETA","AL","36852","11-9041.00","Engineering Managers","MATERIAL AND SALES ENGINEERING MANAGER","69954",,"Year","Y",1,"CUSSETA","AL","67350","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"54133",3/30/2010 0:00:00
"I-200-10083-891196","CERTIFIED",3/24/2010 16:05:30,"H-1B",9/21/2010 0:00:00,9/21/2013 0:00:00,"CYBERSOURCE CORPORATION","1295 CHARLESTON ROAD","MOUNTAIN VIEW","CA","94043","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","27",,"Hour","Y",1,"MOUNTAIN VIEW","CA","25.00","Hour","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"522320",3/30/2010 0:00:00
"I-200-10083-382610","CERTIFIED",3/24/2010 15:28:22,"H-1B",9/22/2010 0:00:00,9/21/2013 0:00:00,"TWIN PEAKS, INC.","37-39 30TH STREET","LONG ISLAND CITY","NY","11101","17-2051.00","Civil Engineers","CIVIL ENGINEER","57138",,"Year","Y",1,"LONG ISLAND CITY","NY","57138","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"238220",3/30/2010 0:00:00
"I-200-10083-715937","CERTIFIED",3/24/2010 15:18:13,"H-1B",9/20/2010 0:00:00,9/20/2013 0:00:00,"AMERICAN CHURCH GROUP OF NEW YORK, LLC","6400 BROTHERHOOD WAY","FORT WAYNE","IN","46825","13-2099.99","Financial Specialists, All Other","RISK MANAGER AND DIRECTOR OF MARKETING","37500",,"Year","Y",1,"GETZVILLE","NY","37398","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"524210",3/30/2010 0:00:00
"I-200-10083-232709","CERTIFIED",3/24/2010 15:31:39,"H-1B",9/22/2010 0:00:00,9/21/2013 0:00:00,"REHABONE PHYSICAL THERAPY, PC","360 COURT STREET","BROOKLYN","NY","11231","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","59363",,"Year","Y",1,"STATEN ISLAND","NY","59363","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"621340",3/30/2010 0:00:00
"I-200-10083-872839","DENIED",3/24/2010 17:01:36,"H-1B",9/22/2010 0:00:00,9/22/2013 0:00:00,"MICHAEL CINDRICH, DC","15 EAST 10TH STREET","NEW YORK","NY","10003","29-1199.99","Health Diagnosing and Treating Practitioners, All ","HOMEOPATHIC PRACTITIONER","175",,"Hour","N",1,"NEW YORK","NY","58.67","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621310",3/29/2010 16:32:00
"I-200-10083-777507","CERTIFIED",3/24/2010 15:28:56,"H-1B",9/19/2010 0:00:00,9/18/2013 0:00:00,"TALENTLINK, INC","2600 GRAND AVENUE","DES MOINES","IA","50312","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","60000",,"Year","Y",1,"DES MOINES","IA","54163.00","Year","Other","OFLC ONLINE DATA CENTER","2009","WEST DES MOINES","IA","54163.00","Year","Other","OFLC ONLINE DATA CENTER","2009","541511",3/30/2010 0:00:00
"I-200-10083-479096","CERTIFIED",3/24/2010 16:24:02,"H-1B",3/24/2010 0:00:00,3/24/2013 0:00:00,"UST GLOBAL INC.","120 VANTIS","ALISO VIEJO","CA","92656","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","43576",,"Year","Y",1,"CARMEL","IN","43576","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",3/30/2010 0:00:00
"I-200-10083-486685","CERTIFIED",5/4/2010 12:42:35,"H-1B",5/10/2010 0:00:00,5/9/2013 0:00:00,"MERRITT TECHNICAL ASSOCIATES INC.","114 ST. JOHNS ROAD","WILTON","CT","06897","13-1071.00","Employment, Recruitment, and Placement Specialists","TECHNICAL RECRUITER","55100",,"Year","Y",1,"WILTON","CT","55099.00","Year","Other","ONLINE WAGE LIBRARY","2010","REGO PARK","NY","54579.00","Year","Other","ONLINE WAGE LIBRARY","2010","541500",5/10/2010 0:00:00
"I-200-10083-847514","CERTIFIED",3/24/2010 15:13:54,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"UNIVERSITY OF ILLINOIS AT CHICAGO","1200 W. HARRISON ST., 2160 SSB","CHICAGO","IL","60607","19-1042.00","Medical Scientists, Except Epidemiologists","POSTDOCTORAL RESEARCH ASSOCIATE","40000",,"Year","Y",1,"CHICAGO","IL","37481.60","Year","OES",,"2010",,,,,,,,"611310",3/30/2010 0:00:00
"I-200-10083-386774","CERTIFIED",3/24/2010 15:24:02,"H-1B",9/22/2010 0:00:00,9/22/2013 0:00:00,"CGGVERITAS SERVICES (US) INC.","10300 TOWN PARK DRIVE","HOUSTON","TX","77072","15-2031.00","Operations Research Analysts","JR. SEISMIC IMAGING ANALYST","60000",,"Year","Y",1,"HOUSTON","TX","45198.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541360",3/30/2010 0:00:00
"I-200-10083-702394","CERTIFIED",3/29/2010 10:30:43,"H-1B",4/12/2010 0:00:00,4/11/2013 0:00:00,"ISHI SYSTEMS INC","HARBORSIDE FINANCIAL CENTER","JERSEY CITY","NJ","07311","15-1099.01","Software Quality Assurance Engineers and Testers","SENIOR QUALITY ASSURANCE ANALYST","74000",,"Year","Y",1,"JERSEY CITY","NJ","73736.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/2/2010 0:00:00
"I-200-10083-759902","CERTIFIED",3/24/2010 15:17:21,"H-1B",4/26/2010 0:00:00,4/25/2013 0:00:00,"NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH, INC.","250 MASSACHUSETTS AVENUE","CAMBRIDGE","MA","02139","19-1042.00","Medical Scientists, Except Epidemiologists","SCIENTIFIC ASSOCIATE II","66000",,"Year","Y",1,"CAMBRIDGE","MA","51314.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541710",3/30/2010 0:00:00
"I-200-10083-862286","CERTIFIED",3/24/2010 15:16:10,"H-1B",9/22/2010 0:00:00,9/22/2013 0:00:00,"NEW VERNON CAPITAL MANAGEMENT, LLC","2330 PLAZA FIVE","JERSEY CITY","NJ","07311","13-2099.99","Financial Specialists, All Other","FINANCIAL ANALYST","50000",,"Year","Y",1,"JERSEY CITY","NJ","49629.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"523920",3/30/2010 0:00:00
"I-200-10083-824860","CERTIFIED",3/24/2010 15:48:36,"H-1B",3/24/2010 0:00:00,3/24/2013 0:00:00,"TIBCO SOFTWARE INC.","3307 HILLVIEW AVENUE","PALO ALTO","CA","94304","15-1051.00","Computer Systems Analysts","SENIOR SUPPORT ENGINEER","95000",,"Year","Y",1,"PALO ALTO","CA","88629.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",3/30/2010 0:00:00
"I-200-10083-220728","CERTIFIED",3/24/2010 15:18:10,"H-1B",4/5/2010 0:00:00,4/5/2013 0:00:00,"COLLABERA INC.: PREVIOUSLY KNOW AS GCI","25 AIRPORT ROAD","MORRISTOWN","NJ","07960","15-1021.00","Computer Programmers","SOFTWARE DEVELOPER","60000",,"Year","Y",1,"IRVING","TX","49317.00","Year","OES","OFLC ONLINE DATA CENTER","2009","MORRISTOWN","NJ","52957.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",3/30/2010 0:00:00
"I-200-10083-275103","CERTIFIED",3/26/2010 11:44:19,"H-1B",9/15/2010 0:00:00,9/15/2013 0:00:00,"M. ARTHUR GENSLER, JR. & ASSOCIATES, INC.","TWO HARRISON STREET, SUITE 400","SAN FRANCISCO","CA","94105","27-1025.00","Interior Designers","INTERIOR DESIGNER","36.31",,"Hour","N",1,"WASHINGTON","DC","17.70","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541310",4/1/2010 0:00:00
"I-200-10083-209616","CERTIFIED",3/24/2010 15:15:30,"H-1B",9/22/2010 0:00:00,9/21/2013 0:00:00,"INDIANA MATH AND SCIENCE ACADEMY-NORTH INDIANAPOLI","7435 KEYSTONE AVENUE","INDIANAPOLIS","IN","46240","25-2022.00","Middle School Teachers, Except Special and Vocatio","MATHEMATICS TEACHER","43100",,"Year","Y",1,"INDIANAPOLIS","IN","43053.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611110",3/31/2010 0:00:00
"I-200-10083-230411","DENIED",3/24/2010 15:45:19,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"CLASSIC GRANITE & MARBLE, INC.","8246 SANDY COURT","JESSUP","MD","20794","17-2051.00","Civil Engineers","CIVIL ENGINEER","41579",,"Year","Y",1,"JESSUP","MD","41579.00","Year","OES","N/A","2010",,,,,,,,"2379",3/26/2010 13:36:33
"I-200-10083-267556","CERTIFIED",3/24/2010 15:25:46,"H-1B",9/21/2010 0:00:00,9/20/2013 0:00:00,"FIRST TEK TECHNOLOGIES, INC.","622 GEORGES ROAD","NORTH BRUNSWICK","NJ","08902","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","60000",,"Year","Y",1,"JACKSONVILLE","FL","58802.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/30/2010 0:00:00
"I-200-10083-074995","CERTIFIED",3/24/2010 15:16:12,"H-1B",9/20/2010 0:00:00,9/20/2013 0:00:00,"ORACLE FINANCIAL SERVICES SOFTWARE INC.,","399, THORNALL ST","EDISON","NJ","08837","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","65500",,"Year","Y",1,"LONG ISLAND CITY","NY","65374.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/30/2010 0:00:00
"I-200-10083-016532","CERTIFIED",3/24/2010 15:16:45,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"HENKELS & MCCOY, INC.","985 JOLLY ROAD","BLUE BELL","PA","19422-0900","17-2051.00","Civil Engineers","INTERNATIONAL SUPERINTENDENT/ENGINEER","104041",,"Year","Y",1,"POMONA","CA","97157","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"237110",3/31/2010 0:00:00
"I-200-10083-136541","CERTIFIED",3/26/2010 18:05:52,"H-1B",9/9/2010 0:00:00,9/9/2013 0:00:00,"INTERPLEX INDUSTRIES","2961 DOW AVENUE","TUSTIN","CA","92780","17-2112.00","Industrial Engineers","QUALITY ENGINEER","53123",,"Year","Y",1,"TUSTIN","CA","53123.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"333513",4/1/2010 0:00:00
"I-200-10083-754705","CERTIFIED",3/24/2010 15:51:43,"H-1B",9/22/2010 0:00:00,9/21/2013 0:00:00,"FOXCONN ELECTRONICS, INC.","288 MAYO AVE","CITY OF INDUSTRY","CA","91789-3091","41-9031.00","Sales Engineers","SALES ENGINEER","70637",,"Year","Y",1,"SANTA CLARA","CA","70637.00","Year","OES","OFLC ONLINE DATA CENTER","2008",,,,,,,,"334111",3/30/2010 0:00:00
"I-200-10083-597420","CERTIFIED",3/25/2010 13:23:02,"H-1B",9/23/2010 0:00:00,9/22/2013 0:00:00,"BOREI CORPORATION","1630 OAKLAND ROAD, SUITE A103","SAN JOSE","CA","95131","17-2071.00","Electrical Engineers","ANALOG SYSTEM ENGINEER","71885",,"Year","Y",1,"SAN JOSE","CA","71885.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"33993",3/31/2010 0:00:00
"I-200-10083-101768","DENIED",3/24/2010 16:04:17,"H-1B",9/22/2010 0:00:00,9/21/2013 0:00:00,"DARWIN'S LTD.","148 MOUNT AUBURN STREET","CAMBRIDGE","MA","02138","11-3011.00","Administrative Services Managers","ADMINISTRATIVE SERVICES MANAGER","60000",,"Year","Y",1,"CAMBRIDGE","MA","59051.00","Year","OES","OFLC ONLINE DATA CENTER","2010","CAMBRIDGE","MA","59051.00","Year","OES","OFLC ONLINE DATA CENTER","2010","722211",3/31/2010 15:12:35
"I-200-10083-338846","CERTIFIED",3/25/2010 11:59:20,"H-1B",6/1/2010 0:00:00,5/31/2012 0:00:00,"DIVISION OF CULTURE AND HISTORY","1900 KANAWHA BLVD. EAST","CHARLESTON","WV","25305","17-3031.02","Mapping Technicians","GIS TECHNICIAN","13",,"Hour","N",1,"CHARLESTON","WV","10.02","Hour","OES",,"2009",,,,,,,,"92119",3/31/2010 0:00:00
"I-200-10083-142808","CERTIFIED",3/24/2010 18:48:28,"H-1B",6/24/2010 0:00:00,6/30/2012 0:00:00,"LANKENAU HOSPITAL","100 LANCASTER AVENUE","WYNNEWOOD","PA","19096","29-1069.99","Physicians and Surgeons, All Other","MEDICAL RESIDENT","50627",,"Year","Y",1,"100 LANCASTER AVENUE","PA","48670","Year","Other","AAMC SURVEY OF RESIDENT/FELLOW STIPENDS & BENEFITS","2009",,,,,,,,"622110",3/30/2010 0:00:00
"I-200-10083-452903","CERTIFIED",3/24/2010 15:24:01,"H-1B",9/17/2010 0:00:00,9/17/2013 0:00:00,"ADVANTAGE TECHNICAL SERVICES, INC.","303 CONGRESS STREET","BOSTON","MA","02210","27-1021.00","Commercial and Industrial Designers","PRODUCT DESIGN ENGINEER","42.8",,"Hour","Y",1,"GREENSBORO","NC","30.39","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",3/30/2010 0:00:00
"I-200-10083-658980","DENIED",3/24/2010 15:18:32,"H-1B",9/22/2010 0:00:00,9/21/2013 0:00:00,"INDIANA MATH AND SCIENCE ACADEMY-NORTH INDIANAPOLI","7435 KEYSTONE AVENUE","INDIANAPOLIS","IN","46240","25-2022.00","Middle School Teachers, Except Special and Vocatio","SCIENCE/CHEMISTRY TEACHER","43100",,"Year","Y",1,"INDIANAPOLIS","IN","43053","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611110",3/26/2010 8:57:55
"I-200-10083-429491","CERTIFIED",3/24/2010 15:52:35,"H-1B",9/22/2010 0:00:00,9/21/2013 0:00:00,"NAAN STUDIO, INC.","148 CASTRO STREET","MOUNTAIN VIEW","CA","94041","15-1031.00","Computer Software Engineers, Applications","SENIOR APPLICATION SOFTWARE ENGINEER","100000",,"Year","Y",1,"MOUNTAIN VIEW","CA","73632.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",3/30/2010 0:00:00
"I-200-10083-317102","CERTIFIED",3/29/2010 15:53:04,"H-1B",8/31/2010 0:00:00,8/31/2013 0:00:00,"URS CORPORATION","600 MONTGOMERY ST.","SAN FRANCISCO","CA","94111","17-2051.00","Civil Engineers","SENIOR CIVIL-GEOTECHNICAL ENGINEER","75566",,"Year","Y",1,"OAKLAND","CA","75566.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541330",4/2/2010 0:00:00
"I-200-10083-735357","DENIED",3/28/2010 20:43:30,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"AUDIO TECHNOLOGIES AND CODECS, INC.","105 LOCK STREET","NEWARK","NJ","07103","17-2074.00","Electrical Engineers, R&D","SIGNAL PROCESSING RESEARCH ENGINEER","70000",,"Year","Y",1,"NEWARK","NJ","68224","Year","OES",,"2009",,,,,,,,"541512",4/2/2010 11:25:27
"I-200-10083-140867","CERTIFIED",3/30/2010 18:37:17,"H-1B",8/13/2010 0:00:00,8/12/2013 0:00:00,"OTIS SPUNKMEYER, INC.","14490 CATALINA STREET","SAN LEANDRO","CA","94577","19-1012.00","Food Scientists and Technologists","BAKERY TECHNOLOGIST, RESEARCH & DEVELOPMENT","44970","56925","Year","Y",1,"SAN LEANDRO","CA","44970.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"311320",4/5/2010 0:00:00
"I-200-10083-877313","CERTIFIED",3/24/2010 16:15:24,"H-1B",9/22/2010 0:00:00,9/22/2013 0:00:00,"INTERFYSIO, LLC.","200 WEST 57TH STREET","NEW YORK","NY","10019","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","28.54",,"Hour","Y",1,"EDGEWATER","NJ","28.54","Hour","OES","OFLC ONLINE DATA CENTER","2009","NEW YORK","NY","28.54","Hour","OES","OFLC ONLINE DATA CENTER","2009","621340",3/30/2010 0:00:00
