"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10086-761582","CERTIFIED",3/27/2010 18:00:41,"H-1B",9/25/2010 0:00:00,9/24/2013 0:00:00,"CHANG, CHANG, CHEN & COMPANY","21671 GATEWAY CENTER DRIVE","DIAMOND BAR","CA","91765","13-2011.00","Accountants and Auditors","STAFF ACCOUNTANT","18.97",,"Hour","N",1,"DIAMOND BAR","CA","18.97","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541211",4/1/2010 0:00:00
"I-200-10087-076813","CERTIFIED",3/28/2010 19:17:01,"H-1B",3/28/2010 0:00:00,3/27/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","58739","79000","Year","Y",1,"WESTERVILLE","OH","58739.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/1/2010 0:00:00
"I-200-10087-666387","CERTIFIED",3/28/2010 19:23:59,"H-1B",7/1/2010 0:00:00,2/20/2011 0:00:00,"COLUMBIA UNIVERSITY","630 WEST 168TH STREET","NEW YORK","NY","10032","19-1099.99","Life Scientists, All Other","ASSOCIATE RESEARCH SCIENTIST","51500",,"Year","Y",1,"NEW YORK","NY","39912.60","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",4/1/2010 0:00:00
"I-200-10087-580999","DENIED",3/28/2010 19:27:44,"H-1B",9/25/2010 0:00:00,9/25/2013 0:00:00,"DOMINENA ENTERPRISES, INC.","9853 FOOTHILL BLVD.","RANCHO CUCAMONGA","CA","91730","13-2011.00","Accountants and Auditors","FINANCIAL AUDITOR","20.65",,"Hour","N",1,"RANCHO CUCAMONGA","CA","20.65","Hour","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"445110",3/31/2010 11:40:16
"I-200-10087-036709","CERTIFIED",3/29/2010 10:17:47,"H-1B",4/12/2010 0:00:00,4/11/2013 0:00:00,"PERFICIENT, INC.","622 EMERSON ROAD","ST. LOUIS","MO","63141-6727","15-1021.00","Computer Programmers","SENIOR TECHNICAL CONSULTANT","86000","105000","Year","Y",1,"SAN JOSE","CA","85946.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",4/2/2010 0:00:00
"I-200-10087-086506","CERTIFIED",3/28/2010 19:28:05,"H-1B",3/28/2010 0:00:00,3/27/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","64085","85000","Year","Y",1,"NORTHBROOK","IL","64085.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/1/2010 0:00:00
"I-200-10088-737593","CERTIFIED",3/29/2010 12:08:32,"H-1B",9/27/2010 0:00:00,9/27/2013 0:00:00,"CITY SIGHTSEEING WASHINGTON DC INC.","5500 TUXEDO ROAD","HYATTSVILLE","MD","20781","13-2011.01","Accountants","ACCOUNTANT","50000",,"Year","Y",1,"HYATTSVILLE","MD","47362","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"487110",4/2/2010 0:00:00
"I-200-10088-107890","WITHDRAWN",3/29/2010 10:24:41,"H-1B",8/26/2010 0:00:00,8/25/2013 0:00:00,"SCHOOL OF THE HOLY CHILD","2225 WESTCHESTER AVENUE","RYE","NY","10580","25-2031.00","Secondary School Teachers, Except Special and Voca","HIGH SCHOOL PHYSICS TEACHER","66300",,"Year","Y",1,"RYE","NY","56113","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611110",3/29/2010 0:00:00
"I-200-10088-949760","CERTIFIED",3/29/2010 10:22:03,"H-1B",3/30/2010 0:00:00,9/20/2010 0:00:00,"FRIENDLY CONSULTANTS, INC.","14 WASHINGTON ROAD","PRINCETON JUNCTION","NJ","08550","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","48000",,"Year","Y",1,"AUSTIN","TX","47362","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/2/2010 0:00:00
"I-200-10088-969200","CERTIFIED-WITHDRAWN",3/29/2010 11:40:17,"H-1B",9/26/2010 0:00:00,9/25/2013 0:00:00,"DINEFF TRADEMARK LAW LIMITED","160 N. WACKER","CHICAGO","IL","60606","13-1041.00","Compliance Officers, Except Agriculture, Construct","LATIN AMERICAN TRADEMARK SPECIALIST","32136",,"Year","Y",1,"CHICAGO","IL","32136","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541110",4/2/2010 0:00:00
