"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10090-356783","DENIED",3/31/2010 14:18:14,"H-1B",9/29/2010 0:00:00,9/28/2013 0:00:00,"ASK DECOM COMPUTER SOLUTIONS, INC.","99 BELL STREET","WEST BABYLON","NY","11704","15-1021.00","Computer Programmers","SOFTWARE PROGRAMMER","51854",,"Year","Y",1,"WEST BABYLON","NY","51854","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/2/2010 14:05:50
"I-200-10090-609155","CERTIFIED",3/31/2010 14:27:59,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"BANK OF HAWAII","130 MERCHANT STREET, 14TH FLOOR","HONOLULU","HI","96813","13-2052.00","Personal Financial Advisors","MODEL ADMINISTRATOR - PORTFOLIO MANAGEMENT TEAM","40477","44000","Year","Y",1,"HONOLULU","HI","40477.00","Year","Other","FLCDATACENTER.COM","2010",,,,,,,,"522110",4/6/2010 0:00:00
"I-200-10090-925797","CERTIFIED",3/31/2010 14:18:47,"H-1B",9/15/2010 0:00:00,9/15/2013 0:00:00,"SCHLUMBERGER TECHNOLOGY CORPORATION","300 SCHLUMBERGER DRIVE","SUGAR LAND","TX","77478","19-4041.01","Geological Data Technicians","FIELD ENGINEER","23150","75000","Year","Y",1,"WILLISTON","ND","23150","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"333130",4/6/2010 0:00:00
"I-200-10090-104666","CERTIFIED",3/31/2010 14:22:42,"H-1B",9/28/2010 0:00:00,9/27/2013 0:00:00,"SCIVANTAGE, INC.","10 EXCHANGE PLACE","JERSEY CITY","NJ","07302","15-1099.99","Computer Specialists, All Other","PROJECT MANAGER","77500",,"Year","Y",1,"JERSEY CITY","NY","73736.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541513",4/6/2010 0:00:00
"I-200-10090-275457","WITHDRAWN",4/1/2010 12:47:58,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"JAISANGUINE","71 SPIT BROOK ROAD ST 407","NASHUA","NH","03060","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","52000",,"Year","Y",1,"NASHUA","NH","51700.00","Year","Other","O NET ONLINE","2009",,,,,,,,"541511",4/6/2010 0:00:00
"I-200-10090-466016","CERTIFIED",4/1/2010 2:13:24,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"NEWBRIDGE SECURITIES CORPORATION","1451 WEST CYPRESS CREEK ROAD","FORT LAUDERDALE","FL","33309","13-2051.00","Financial Analysts","FINANCIAL ANALYST","50000",,"Year","Y",1,"WOODBURRY","NY","48880.00","Year","OES","N/A","2010",,,,,,,,"523110",4/7/2010 0:00:00
"I-200-10090-667981","CERTIFIED",4/2/2010 13:18:13,"H-1B",10/2/2010 0:00:00,12/20/2012 0:00:00,"PAYDAY PAYROLL SERVICE, INC.","625 THE CITY DRIVE, #250","ORANGE","CA","92868","17-2112.00","Industrial Engineers","INDUSTRIAL ENGINEER","99225",,"Year","Y",1,"ORANGE","CA","91312.00","Year","OES","OFC ONLINE DATA CENTER","2009",,,,,,,,"541214",4/8/2010 0:00:00
"I-200-10090-399375","CERTIFIED",3/31/2010 14:21:55,"H-1B",5/16/2010 0:00:00,5/15/2013 0:00:00,"TECHNOLOGY CONSULTANTS INC","33505 STATE ST","FARMINGTON","MI","48335","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","47000",,"Year","Y",1,"LANSING","MI","46738","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",4/6/2010 0:00:00
"I-200-10090-379197","DENIED",3/31/2010 14:46:35,"H-1B",9/16/2010 0:00:00,9/15/2013 0:00:00,"A-1 SPECIALIZED SERVICES & SUPPLIES, INC.","2707 STATE ROAD","CROYDON","PA","19021","15-2031.00","Operations Research Analysts","OPERATIONS RESEARCH ANALYST","54200",,"Year","Y",1,"CROYDON","PA","48922.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"562920",4/1/2010 9:57:54
"I-200-10090-606934","CERTIFIED",3/31/2010 14:19:54,"H-1B",3/31/2010 0:00:00,9/15/2012 0:00:00,"BOOS & ASSOCIATES, A PROFESSIONAL COROPRATION","5260 N. PALM, SUITE 120","FRESNO","CA","93704","13-2011.00","Accountants and Auditors","ASSOCIATE STAFF ACCOUNTANT","20.34",,"Hour","Y",1,"FRESNO","CA","20.34","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",4/6/2010 0:00:00
"I-200-10090-070459","CERTIFIED",3/31/2010 14:21:11,"H-1B",4/10/2010 0:00:00,4/9/2011 0:00:00,"TRANS ATLANTIC SYSTEMS INC","1945 CLIFF VALLEY WAY","ATLANTA","GA","30329","15-1051.00","Computer Systems Analysts","BUSINESS SYSTEMS ANALYST","62250",,"Year","Y",1,"RESTON","VA","62130","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",4/6/2010 0:00:00
"I-200-10090-391576","CERTIFIED",3/31/2010 14:15:59,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"PERITUS, INC.","222 W. LAS COLINAS BLVD.","IRVING","TX","75039","15-1051.00","Computer Systems Analysts","PROGRAMMER/ANALYST","52000",,"Year","Y",1,"HOLYOKE","MA","52000.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/6/2010 0:00:00
"I-200-10090-589096","CERTIFIED",3/31/2010 14:15:36,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"A1 KAISER INC","510 LORNA SQUARE","BIRMINGHAM","AL","35216","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","50100",,"Year","Y",1,"CHICAGO","IL","50045","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",4/6/2010 0:00:00
"I-200-10090-802884","CERTIFIED",4/16/2010 15:11:18,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"HEINEKEN AMERICAS, INC.","405 LEXINGTON AVENUE, 55TH FLOOR","NEW YORK","NY","100","11-2021.00","Marketing Managers","INNOVATION COMMERCIALIZATION MANAGER","86800",,"Year","Y",1,"NY","NY","86800.00","Year","Other","WATSON WYATT DATA SVCS - MIDDLE MGMT","2009",,,,,,,,"312120",4/22/2010 0:00:00
