"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10095-626678","CERTIFIED",4/7/2010 18:27:25,"H-1B",6/6/2010 0:00:00,6/5/2013 0:00:00,"EDWARD HYNES CHARTER SCHOOL","3774 GENTILLY BLVD.","NEW ORLEANS","LA","70122","25-2021",,"FRENCH TEACHER","25.45",,"Hour","N",1,"NEW ORLEANS","LA","17.43","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611111",4/13/2010 0:00:00
"I-200-10095-519832","CERTIFIED-WITHDRAWN",4/5/2010 12:08:21,"H-1B",7/1/2010 0:00:00,5/31/2013 0:00:00,"UNIVERSITY OF ILLINOIS AT CHICAGO","1200 W. HARRISON ST., 2160 SSB","CHICAGO","IL","60607","19-1042.00","Medical Scientists, Except Epidemiologists","VISITING SENIOR RESEARCH SPECIALIST IN HEALTH SCIE","50000",,"Year","Y",1,"CHICAGO","IL","37482.00","Year","OES","N/A","2010",,,,,,,,"611310",4/9/2010 0:00:00
"I-200-10095-159770","CERTIFIED",4/5/2010 11:53:43,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"UNIVERSITY OF PITTSBURGH","3959 FIFTH AVENUE","PITTSBURGH","PA","15260","19-4021.00","Biological Technicians","RESEARCH SPECIALIST III","30000",,"Year","Y",1,"PITTSBURGH","PA","29557","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",4/9/2010 0:00:00
"I-200-10095-027192","CERTIFIED",4/5/2010 12:02:06,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"ECOM CONSULTING, INC.","3400 SILVERSTONE DRIVE","PLANO","TX","75023","15-1071.00","Network and Computer Systems Administrators","NETWORK ENGINEER","56056",,"Year","Y",1,"MIDDLETOWN","NJ","56056.00","Year","OES","OFLC ONLINE DATA CENTER","2009","PLANO","TX","50149.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541519",4/9/2010 0:00:00
"I-200-10095-432643","CERTIFIED",4/5/2010 11:54:42,"H-1B",7/1/2010 0:00:00,7/1/2013 0:00:00,"FLORIDA HOSPITAL","900 WINDERLEY PLACE","MAITLAND","FL","32751","29-1111.00","Registered Nurses","CRITICAL CARE NURSE, BSN","22.41",,"Hour","Y",1,"CELEBRATION","FL","21.76","Hour","OES","OFLC ONLINE DATA CENTER","2009","KISSIMMEE","FL","21.76","Hour","OES","OFLC ONLINE DATA CENTER","2009","62211",4/9/2010 0:00:00
"I-200-10095-813545","DENIED",4/5/2010 11:59:33,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"ACCESS PLUS REHAB LLC","20526 PLYMOUTH ROAD","DETROIT","MI","48228","11-9111.00","Medical and Health Services Managers","PRACTICE ADMINISTRATOR","54600",,"Year","Y",1,"DETROIT","MI","54600.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621340",4/12/2010 14:38:21
"I-200-10095-130628","CERTIFIED",4/5/2010 13:36:27,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"UNIVERSITY OF MIAMI - MILLER SCHOOL OF MEDICINE","PARK PLAZA WEST PARKING GARAGE, FIRST FLOOR, SUITE","MIAMI","FL","33136","29-1069.99","Physicians and Surgeons, All Other","PEDIATRIC CARDIOLOGIST/ASST. PROFESSOR OF CLINICAL","152600.04",,"Year","Y",1,"MIAMI","FL","117894.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",4/9/2010 0:00:00
"I-200-10095-516435","CERTIFIED",4/8/2010 10:08:26,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"GLAXOSMITHKLINE CONSUMER HEALTHCARE L.P.","1000 GSK DRIVE","MOON TOWNSHIP","PA","15108","13-2051.00","Financial Analysts","FINANCE MANAGER","76500","127550","Year","Y",1,"PARSIPPANY","NJ","51501.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"325410",4/14/2010 0:00:00
"I-200-10095-049228","CERTIFIED-WITHDRAWN",4/5/2010 11:57:05,"H-1B",7/14/2010 0:00:00,7/13/2013 0:00:00,"ALIEF INDEPENDENT SCHOOL DISTRICT","4250 COOK RD.","HOUSTON","TX","77072","25-2021",,"BILINGUAL ELEMENTARY SCHOOOL TEACHER","49000",,"Year","Y",1,"HOUSTON","TX","43170.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"61111",4/9/2010 0:00:00
"I-200-10095-538292","CERTIFIED",4/5/2010 12:12:12,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"NETSOFT HOLDINGS LLC","24 WEST 25 STREET","NEW YORK","NY","10010","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","77000",,"Year","Y",1,"NEW YORK","NY","76440","Year","Other","FOREIGN LABOR CERTIFICATION ONLINE WAGE LIBRARY","2009",,,,,,,,"541512",4/9/2010 0:00:00
