"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10098-863843","CERTIFIED",4/8/2010 11:20:34,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"TAP N TAP INC","ONE BROADWAY","CAMBRIDGE","MA","02142","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","70221",,"Year","Y",1,"CAMBRIDGE","MA","70221","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",4/14/2010 0:00:00
"I-200-10098-400751","CERTIFIED",4/8/2010 11:22:11,"H-1B",8/31/2010 0:00:00,8/31/2013 0:00:00,"ALBERT EINSTEIN MEDICAL CENTER","5401 OLD YORK ROAD","PHILADELPHIA","PA","19141","21-1029.00","Social Workers, All Other","ADOLESCENT HEALTH EDUCATOR","42027.57",,"Year","Y",1,"PHILADELPHIA","PA","40414.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"62211",4/14/2010 0:00:00
"I-200-10098-678923","DENIED",4/8/2010 11:31:54,"H-1B",5/10/2010 0:00:00,5/10/2013 0:00:00,"BLUE ROCK PROJECTS, CORP","9655 SOUTH DIXIE HWY SUITE 101","MIAMI","FL","33156","19-3021.00","Market Research Analysts","MARKET RESEARCH ANALYST","38000",,"Year","Y",1,"MIAMI","FL","35422.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541611",4/12/2010 16:31:37
"I-200-10098-736151","CERTIFIED",4/9/2010 15:06:46,"H-1B",4/12/2010 0:00:00,9/15/2011 0:00:00,"SURYA SYSTEMS, INC","1200 OLD VETERANS HIGHWAY","BRISTOL","PA","19007","15-1031.00","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER","59051","65602","Year","Y",1,"MADISON","WI","52874.00","Year","OES","OFLC ONLINE DATE CENTER","2010",,,,,,,,"541511",4/15/2010 0:00:00
"I-200-10098-530856","CERTIFIED",4/8/2010 11:19:54,"H-1B",8/15/2010 0:00:00,8/14/2013 0:00:00,"THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTE","1515 HOLCOMBE BLVD.","HOUSTON","TX","77030","19-4021.00","Biological Technicians","RESEARCH ASSISTANT II","34362",,"Year","Y",1,"HOUSTON","TX","19053","Year","OES","N/A","2010",,,,,,,,"611310",4/14/2010 0:00:00
"I-200-10098-126895","CERTIFIED",4/8/2010 11:15:42,"H-1B",4/12/2010 0:00:00,4/11/2013 0:00:00,"MANAGED STAFFING INC.","15770 DALLAS PARKWAY","DALLAS","TX","75248","15-1081.00","Network Systems and Data Communications Analysts","NETWORK ENGINEER","104000",,"Year","Y",1,"MIDDLETOWN","NJ","91978.","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541512",4/14/2010 0:00:00
"I-200-10098-428643","CERTIFIED",4/8/2010 11:13:33,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"RNR SOFTWARE INC","406 MAIN STREET, SUITE 7","METUCHEN","NJ","08840","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","53500",,"Year","Y",1,"METUCHEN","NJ","53227","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",4/14/2010 0:00:00
"I-200-10098-453469","CERTIFIED",4/8/2010 11:52:34,"H-1B",7/29/2010 0:00:00,7/28/2013 0:00:00,"THE UNIVERSITY OF IOWA","1 W. PRENTISS STREET","IOWA CITY","IA","52242","19-1042.00","Medical Scientists, Except Epidemiologists","ASSISTANT RESEARCH SCIENTIST","50744",,"Year","Y",1,"IOWA CITY","IA","49400","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",4/14/2010 0:00:00
"I-200-10098-012887","CERTIFIED",4/8/2010 11:16:52,"H-1B",9/14/2010 0:00:00,9/13/2013 0:00:00,"JUNCTION SOLUTIONS","250 PARKWAY DR.","LINCOLNSHIRE","IL","60069","15-1031.00","Computer Software Engineers, Applications","SENIOR CONSULTANT","70000",,"Year","Y",1,"ENGLEWOOD","CO","63440","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541519",4/14/2010 0:00:00
"I-200-10098-727001","WITHDRAWN",4/15/2010 13:04:21,"H-1B",9/2/2010 0:00:00,9/2/2013 0:00:00,"BODYCOTE IMT, INC.","155 RIVER STREET","ANDOVER","MA","01810","17-2131.00","Materials Engineers","RESEARCH ENGINEER","77896","92896","Year","Y",1,"ANDOVER","MA","77896","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"332811",4/15/2010 0:00:00
