"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10103-112050","CERTIFIED",4/15/2010 15:14:17,"H-1B",7/8/2010 0:00:00,7/7/2013 0:00:00,"DUBLIN GASTROENTEROLOGY ASSOCIATES LLC","104 FAIRVIEW PARK DRIVE","DUBLIN","GA","31021","29-1063.00","Internists, General","GASTROENTEROLOGIST","525000",,"Year","Y",1,"DUBLIN","GA","166400","Year","OES",,"2010",,,,,,,,"621111",4/22/2010 0:00:00
"I-200-10103-387782","CERTIFIED",4/13/2010 13:28:21,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"EVANS ANALYTICAL GROUP LLC","810 KIFER ROAD","SUNNYVALE","CA","94086","17-2072.00","Electronics Engineers, Except Computer","SEMICONDUCTOR TEST ENGINEER","58100","65780","Year","Y",1,"SANTA CLARA","CA","58100.00","Year","Other","TOWERS WATSON PROFESSIONAL SPECIALIZED SERVICES","2010",,,,,,,,"541711",4/19/2010 0:00:00
"I-200-10103-969683","CERTIFIED",4/13/2010 13:09:31,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"COMPUTER CONCEPTS, INC.","801 WYANDOT STREET","DENVER","CO","80204","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","26.21",,"Hour","Y",1,"DENVER","CO","24.87","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541513",4/19/2010 0:00:00
"I-200-10103-944719","CERTIFIED",4/13/2010 16:14:45,"H-1B",5/16/2010 0:00:00,5/16/2013 0:00:00,"DELOITTE CONSULTING LLP","1700 MARKET STREET","PHILADELPHIA","PA","19103","15-1032.00","Computer Software Engineers, Systems Software","MANAGER","111000",,"Year","Y",1,"WASHINGTON","DC","108118","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541610",4/19/2010 0:00:00
"I-200-10103-524721","CERTIFIED",4/19/2010 10:38:43,"H-1B",9/10/2010 0:00:00,9/10/2013 0:00:00,"NUNHEMS USA, INC.","1200 ANDERSON CORNER ROAD","PARMA","ID","83660","19-2031.00","Chemists","RESEARCH ASSISTANT/PRODUCE QUALITY ANALYST","4542.58","6489.34","Month","Y",1,"DAVIS","CA","4525.75","Month","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541710",4/23/2010 0:00:00
"I-200-10103-401320","CERTIFIED",4/20/2010 12:27:06,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"PRUTECH SOLUTIONS, INC.","555 US HIGHWAY 1 SOUTH","ISELIN","NJ","08830","15-1021.00","Computer Programmers","SENIOR PROGRAMMER ANALYST","100000",,"Year","Y",1,"ISELIN","NJ","66310.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/26/2010 0:00:00
"I-200-10103-904087","CERTIFIED",4/13/2010 13:44:03,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"SONY PICTURES IMAGEWORKS INC.","10202 WEST WASHINGTON BOULEVARD","CULVER CITY","CA","90232","27-1014.00","Multi-Media Artists and Animators","MODELER, ASSOCIATE","62400",,"Year","Y",1,"CULVER CITY","CA","45531","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"512110",4/19/2010 0:00:00
"I-200-10103-963427","DENIED",4/13/2010 13:41:52,"H-1B",8/30/2010 0:00:00,6/30/2013 0:00:00,"U.S. NAVAL POSTGRADUATE SCHOOL","1 UNIVERSITY CIRCLE","MONTEREY","CA","93943-5000","25-1065.00","Political Science Teachers, Postsecondary","ASSISTANT PROFESSOR","89297",,"Year","Y",1,"MONTEREY","CA","85927.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",4/15/2010 13:54:29
"I-200-10103-257328","CERTIFIED",4/13/2010 13:14:59,"H-1B",5/1/2010 0:00:00,5/1/2013 0:00:00,"ADROIT SOFTWARE & CONSULTING, INC.","24 EMERSON PLAZA WEST","EMERSON","NJ","07630","15-1071.00","Network and Computer Systems Administrators","NETWORK ENGINEER","27","34","Hour","Y",1,"BEDMINSTER","NJ","26.95","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541519",4/19/2010 0:00:00
"I-200-10103-715906","CERTIFIED",4/13/2010 13:25:29,"H-1B",9/27/2010 0:00:00,9/26/2013 0:00:00,"VIRAJ LLC","1255 PEACHTREE PKWY","CUMMING","GA","30041","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","61000",,"Year","Y",1,"CUMMING","GA","54246.00","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2009","NEW YORK","NY","60944.00","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2009","541511",4/19/2010 0:00:00
