"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10106-765610","CERTIFIED",4/19/2010 15:32:59,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"LANDMARK GRAPHICS CORPORATION","2107 CITY WEST BOULEVARD","HOUSTON","TX","77042","19-2042.00","Geoscientists, Except Hydrologists and Geographers","PRIN. TECH. PROFESSIONAL-GEO-SCIENCE APPLICATIONS","98325",,"Year","Y",1,"HOUSTON","TX","93174","Year","Other","DIETRICH ENGINEERING SALARY SURVEY","2009",,,,,,,,"541330",4/23/2010 0:00:00
"I-200-10106-898134","CERTIFIED",4/16/2010 18:01:14,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"DYNATRON CORPORATION","41458 CHRISTY STREET","FREMONT","CA","94538","13-1111.00","Management Analysts","PROJECT MANAGEMENT ANALYST","27.66",,"Hour","N",1,"FREMONT","CA","27.66","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"334112",4/22/2010 0:00:00
"I-200-10106-647973","CERTIFIED",4/16/2010 17:50:03,"H-1B",5/22/2010 0:00:00,5/21/2013 0:00:00,"THE JOHNS HOPKINS UNIVERSITY","1620 MCELDERRY STREET","BALTIMORE","MD","21205","19-4061.00","Social Science Research Assistants","SENIOR RESEARCH PROGRAM COORDINATOR II","52000",,"Year","Y",1,"BALTIMORE","MD","33550","Year","OES","FLC DATA CENTER ONLINE WAGE LIBRARY","2010",,,,,,,,"611310",4/22/2010 0:00:00
"I-200-10106-051342","CERTIFIED",4/16/2010 18:10:57,"H-1B",5/10/2010 0:00:00,5/10/2013 0:00:00,"SAICON CONSULTANTS, INC.","9300 WEST 110TH STREET","OVERLAND PARK","KS","66210","11-3011.00","Administrative Services Managers","RESOURCE MANAGER","55000",,"Year","Y",1,"OVERLAND PARK","KS","47008.00","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"541511",4/22/2010 0:00:00
"I-200-10106-457170","CERTIFIED",4/16/2010 18:14:32,"H-1B",9/16/2010 0:00:00,9/15/2013 0:00:00,"BEECHWOOD COMPUTING, LTD.","4677 OLD IRONSIDES DR. SUITE #250","SANTA CLARA","CA","95054","15-1031.00","Computer Software Engineers, Applications","PROGRAMMER","62000",,"Year","Y",1,"LITTLE ROCK","AR","55765.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"336411",4/22/2010 0:00:00
"I-200-10106-676111","CERTIFIED",4/16/2010 17:56:10,"H-1B",9/27/2010 0:00:00,9/26/2013 0:00:00,"PARAM CONSULTING SERVICES, INC","200 MIDDLESEX ESSEX TPK","ISELIN","NJ","08830","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","54500",,"Year","Y",1,"ISELIN","NJ","53227","Year","Other","'OFLC ONLINE DATA CENTER'","2010",,,,,,,,"541511",4/22/2010 0:00:00
"I-200-10106-876668","CERTIFIED",4/16/2010 17:55:35,"H-1B",10/15/2010 0:00:00,10/15/2013 0:00:00,"MORGAN STANLEY & CO. INC.","787 SEVENTH AVENUE","NEW YORK","NY","10019","13-2051.00","Financial Analysts","EXECUTIVE DIRECTOR, TRADING","250000",,"Year","Y",1,"NEW YORK","NY","136365.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"523110",4/22/2010 0:00:00
"I-200-10106-350765","CERTIFIED",4/23/2010 16:49:54,"H-1B",6/2/2010 0:00:00,6/1/2013 0:00:00,"H. LEE MOFFITT CANCER CENTER &AMP; RESEARCH INSTIT","12902 MAGNOLIA DRIVE","TAMPA","FL","33612","19-1042.00","Medical Scientists, Except Epidemiologists","RESEARCH SCIENTIST","44345.6",,"Year","Y",1,"TAMPA","FL","35859.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"622310",4/29/2010 0:00:00
"I-200-10106-973472","CERTIFIED",4/16/2010 18:00:29,"H-1B",5/3/2010 0:00:00,5/3/2013 0:00:00,"THE FRESH GROUP LTD","4287 N PORT WASHINGTON RD","GLENDALE","WI","53212","19-4011.02","Food Science Technicians","FOOD SAFETY & QUALITY ASSURANCE MANAGER","55000",,"Year","Y",1,"GLENDALE","WI","53995.00","Year","OES",,"2010",,,,,,,,"3119",4/22/2010 0:00:00
"I-200-10106-376791","CERTIFIED",4/16/2010 18:16:36,"H-1B",5/16/2010 0:00:00,5/16/2013 0:00:00,"IMAGEMOVERS DIGITAL LLC","500 SOUTH BUENA VISTA STREET","BURBANK","CA","91521-0153","27-1019.00","Artists and Related Workers, All Other","CHARACTER FX TECHNICAL DIRECTOR","95680",,"Year","Y",1,"NOVATO","CA","81396.64","Year","CBA","N/A","2010",,,,,,,,"51211",4/22/2010 0:00:00
