"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10112-252060","CERTIFIED",4/23/2010 11:06:51,"H-1B",4/23/2010 0:00:00,4/22/2013 0:00:00,"CLD & ASSOCIATES CONSULTING INC.","190 LINCOLN HIGHWAY","EDISON","NJ","08820","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","52790",,"Year","Y",1,"WAYNE","PA","48381.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/29/2010 0:00:00
"I-200-10112-063977","CERTIFIED",4/23/2010 14:08:05,"H-1B",4/26/2010 0:00:00,4/25/2013 0:00:00,"SYSTEM SOFT TECHNOLOGIES LLC","2600 MCCORMICK DRIVE","CLEARWATER","FL","33759","15-1021.00","Computer Programmers","PROGRAMMER AND TEST ANALYST","46000","56000","Year","Y",1,"CLEARWATER","FL","45427.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/29/2010 0:00:00
"I-200-10112-907762","CERTIFIED",4/22/2010 16:15:09,"H-1B",9/24/2010 0:00:00,9/23/2013 0:00:00,"EPL, INC.","22 INVERNESS CENTER PARKWAY","BIRMINGHAM","AL","35242","15-1032.00","Computer Software Engineers, Systems Software","SENIOR JAVA ENGINEER","70000",,"Year","Y",1,"BIRMINGHAM","AL","61360.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/28/2010 0:00:00
"I-200-10112-086612","CERTIFIED",4/28/2010 9:17:42,"H-1B",5/6/2010 0:00:00,5/6/2013 0:00:00,"NESTLE USA, INC.","800 NORTH BRAND BOULEVARD","GLENDALE","CA","91203","15-1051.00","Computer Systems Analysts","ANALYST, TECHNICAL BUSINESS","95000","130000","Year","Y",1,"GLENDALE","CA","95000.00","Year","Other","TOWERS WATSON DATA SERVICES : PROFESSIONAL SPECIAL","2009",,,,,,,,"311991",5/4/2010 0:00:00
"I-200-10112-559897","CERTIFIED",4/22/2010 10:18:08,"H-1B",4/22/2010 0:00:00,4/21/2013 0:00:00,"CUSTOM SOFTWARE SYSTEMS, INC.","709 SEATON COURT, S.E.","LEESBURG","VA","20175","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","125000",,"Year","Y",1,"ARLINGTON","VA","110240.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",4/28/2010 0:00:00
"I-200-10112-759975","CERTIFIED",4/22/2010 9:56:09,"H-1B",5/15/2010 0:00:00,5/14/2013 0:00:00,"UNIVERSITY OF WISCONSIN-MADISON","C/O INTERNATIONAL FACULTY & STAFF SERVICES","MADISON","WI","53715","13-2011.00","Accountants and Auditors","ACCOUNTANT JOURNEY","56376",,"Year","Y",1,"MADISON","WI","43098","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",4/28/2010 0:00:00
"I-200-10112-327883","CERTIFIED",4/22/2010 10:11:47,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"AMERICAN SAFETY INSURANCE HOLDINGS, LTD.","100 GALLERIA PARKWAY","ATLANTA","GA","30339","13-2051.00","Financial Analysts","FINANCIAL ANALYST","55000",,"Year","Y",1,"ATLANTA","GA","45344.00","Year","Other","WWW.FLCDATACENTER.COM","2010",,,,,,,,"524126",4/28/2010 0:00:00
"I-200-10112-174161","CERTIFIED",4/22/2010 10:06:19,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"JOHNS HOPKINS COMMUNITY PHYSICIANS","3100 WYMAN PARK DRIVE","BALTIMORE","MD","21211","29-1069.99","Physicians and Surgeons, All Other","HOSPITALIST","130000",,"Year","Y",3,"COLUMBIA","MD","116792.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"62111",4/28/2010 0:00:00
"I-200-10112-499955","CERTIFIED",4/22/2010 10:23:58,"H-1B",4/22/2010 0:00:00,4/21/2011 0:00:00,"ORDUSION TECHNOLOGIES, INC.","3883 ROGERS BRIDGE RD, SUITE 504","DULUTH","GA","30097","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","51000","82950","Year","Y",1,"LAKE FOREST","IL","50398.00","Year","OES","FLC ONLINE DATA CENTER","2010",,,,,,,,"541511",4/28/2010 0:00:00
"I-200-10112-642070","CERTIFIED",4/30/2010 14:18:56,"H-1B",10/2/2010 0:00:00,10/1/2013 0:00:00,"UNITED AIRLINES, INC.","1200 E. ALGONQUIN ROAD","ELK GROVE VILLAGE","IL","60007","11-3031.00","Financial Managers","MANAGER - PERFORMANCE ANALYSIS","120276",,"Year","Y",1,"CHICAGO","IL","97802","Year","OES","OFLC ONLINE DATA CENTER","2010","ELK GROVE VILLAGE","IL","97802","Year","OES","OFLC ONLINE DATA CENTER","2010","481000",5/6/2010 0:00:00
