"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10117-906309","CERTIFIED-WITHDRAWN",4/27/2010 15:23:26,"H-1B",7/1/2010 0:00:00,6/30/2011 0:00:00,"THE JOHNS HOPKINS UNIVERSITY","1620 MCELDERRY STREET","BALTIMORE","MD","21205","29-1063.00","Internists, General","CLINICAL AND RESEARCH FELLOW","56355",,"Year","Y",1,"BALTIMORE","MD","56355","Year","Other","AAMC SURVEY OF RESIDENT /FELLOWSHIP STIPENDS","2010",,,,,,,,"611310",5/4/2010 0:00:00
"I-200-10117-781871","CERTIFIED",4/28/2010 14:04:44,"H-1B",10/16/2010 0:00:00,10/15/2013 0:00:00,"APN, LLC","555 WEST 18TH STREET","NEW YORK","NY","10011","15-1031.00","Computer Software Engineers, Applications","CHIEF ARCHITECT","130000",,"Year","Y",1,"OAKLAND","CA","120931.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"518112",5/4/2010 0:00:00
"I-200-10117-220114","CERTIFIED",4/27/2010 15:33:37,"H-1B",4/27/2010 0:00:00,4/27/2013 0:00:00,"QUINNOX, INC.","2056 WESTINGS AVENUE","NAPERVILLE","IL","60563","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE CONSULTANT","69000",,"Year","Y",1,"HOUSTON","TX","61901","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541519",5/4/2010 0:00:00
"I-200-10117-738950","CERTIFIED",4/27/2010 17:38:34,"H-1B",5/3/2010 0:00:00,5/3/2013 0:00:00,"SPECTOR ASSOCIATES, LLP","220 CROSSWAYS PARK WEST","WOODBURY","NY","11797","17-3011.01","Architectural Drafters","INTERMEDIATE ARCHITECT","45000",,"Year","Y",1,"WOODBURY","NY","43243.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541310",5/4/2010 0:00:00
"I-200-10117-687988","CERTIFIED",5/11/2010 17:54:02,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"UNIVERSITY OF MINNESOTA","INTERNATIONAL STUDENT & SCHOLAR SERVICES","MINNEAPOLIS","MN","55455","15-2031.00","Operations Research Analysts","POSTDOCTORAL ASSOCIATE","50000",,"Year","Y",1,"MINNEAPOLIS","MN","38813","Year","OES","OFLC ONLINE DATA CENTER","2009","NEW YORK","NY","38813","Year","OES","N/A","2009","611310",5/17/2010 0:00:00
"I-200-10117-395082","CERTIFIED",4/27/2010 15:29:20,"H-1B",8/13/2010 0:00:00,8/12/2013 0:00:00,"VIRTUSA CORPORATION","2000 WEST PARK DRIVE","WESTBOROUGH","MA","01581","15-1051.00","Computer Systems Analysts","SOFTWARE CONSULTANT - ANALYST II","73000",,"Year","Y",1,"MARBLEHEAD","MA","65874.00","Year","OES","OFLC ONLINE DATA CENTER","2010","WESTBOROUGH","MA","65416","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",5/4/2010 0:00:00
"I-200-10117-001866","DENIED",4/27/2010 15:29:57,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"TRITECH SOFTWARE DEVELOPMENT CORP.","1205 S. GREENVILLE AVENUE","ALLEN","TX","75002","13-2011.01","Accountants","TAX ACCOUNTANT","57000",,"Year","Y",1,"ALLEN","TX","40851","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"5415",4/30/2010 17:51:08
"I-200-10117-647643","CERTIFIED",4/27/2010 16:54:13,"H-1B",9/27/2010 0:00:00,9/27/2013 0:00:00,"AVIVA USA CORPORATION","699 WALNUT STREET","DES MOINES","IA","50309","15-2011.00","Actuaries","ACTUARIAL ASSOCIATE","66500","110900","Year","Y",1,"DES MOINES","IA","49962","Year","OES","OFLC ONLINE DATA CENTER","2010","WEST DES MOINES","IA","49962","Year","OES","OFLC ONLINE DATA CENTER","2010","524113",5/4/2010 0:00:00
"I-200-10117-585744","CERTIFIED",4/28/2010 14:51:19,"H-1B",6/15/2010 0:00:00,6/15/2013 0:00:00,"ISLAND DOLPHIN CARE, INC.","150 LORELANE PLACE","KEY LARGO","FL","33037","21-1091.00","Health Educators","HEALTH EDUCATOR","16.38",,"Hour","N",1,"KEY LARGO","FL","16.38","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621340",5/4/2010 0:00:00
"I-200-10117-079142","CERTIFIED-WITHDRAWN",4/27/2010 16:59:56,"H-1B",5/3/2010 0:00:00,9/20/2011 0:00:00,"WEBILENT TECHNOLOGY INC","360 BLOOMFIELD AVENUE, SUITE 401","WINDSOR","CT","06095","15-1031.00","Computer Software Engineers, Applications","SENIOR SOFTWARE ENGINEER","90000",,"Year","Y",1,"SAN MATEO","CA","86757","Year","OES","OFLC ONLINE DATACENTER","2009",,,,,,,,"541511",5/4/2010 0:00:00
