"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10121-286009","CERTIFIED",5/1/2010 11:23:52,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"MESQUITE INDEPENDENT SCHOOL DISTRICT","405 EAST DAVIS ST","MESQUITE","TX","75149","25-2022.00","Middle School Teachers, Except Special and Vocatio","HIGH SCHOOL SCIENCE TEACHER","47888",,"Year","Y",1,"MESQUITE","TX","44977","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611110",5/6/2010 0:00:00
"I-200-10121-068119","CERTIFIED",5/7/2010 13:00:53,"H-1B",7/1/2010 0:00:00,6/30/2011 0:00:00,"NEW YORK METHODIST HOSPITAL","506 SIXTH ST","BROOKLYN","NY","11215","29-1069.99","Physicians and Surgeons, All Other","RESIDENT PHYSICIAN","2212.81",,"Bi-Weekly","Y",1,"BROOKLYN","NY","57533.00","Year","CBA","N/A","2010",,,,,,,,"622110",5/13/2010 0:00:00
"I-200-10121-925768","CERTIFIED",5/1/2010 15:06:02,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"ADVAITAA TECHNOLOGIES, INC.","2028 BEDFORD ROAD","BEDFORD","TX","76040","15-1051.00","Computer Systems Analysts","PROGRAMMER/ ANALYST","55827",,"Year","Y",1,"LUTHERVILLE-TIMONIUM","MD","55827.00","Year","Other","OLFC ONLINE DATA CENTER","2009","BEDFORD","TX","46238.00","Year","Other","OLFC ONLINE DATA CENTER","2009","54151",5/6/2010 0:00:00
"I-200-10121-179603","CERTIFIED",5/1/2010 14:51:30,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"COLUMBIA UNIVERSITY","630 WEST 168TH STREET","NEW YORK","NY","10032","19-1099.99","Life Scientists, All Other","POSTDOCTORAL RESEARCH SCIENTIST","45000",,"Year","Y",1,"NEW YORK","NY","31686.20","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",5/6/2010 0:00:00
"I-200-10121-666044","CERTIFIED",5/1/2010 15:06:43,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"COLUMBIA UNIVERSITY","630 WEST 168TH STREET","NEW YORK","NY","10032","19-1099.99","Life Scientists, All Other","ASSOCIATE RESEARCH SCIENTIST","45835",,"Year","Y",1,"NEW YORK","NY","39912.60","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",5/6/2010 0:00:00
"I-200-10121-509143","CERTIFIED",5/1/2010 15:05:20,"H-1B",7/1/2010 0:00:00,7/1/2013 0:00:00,"CIBECUE COMMUNITY SCHOOL","1001 MAIN ST.","CIBECUE","AZ","85911","25-2031.00","Secondary School Teachers, Except Special and Voca","PUBLIC SCHOOL TEACHER","28500",,"Year","Y",1,"CIBECUE","AZ","28140","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611110",5/6/2010 0:00:00
"I-200-10121-087310","CERTIFIED",5/1/2010 15:22:25,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"COLUMBIA UNIVERSITY","630 WEST 168TH STREET","NEW YORK","NY","10032","19-1099.99","Life Scientists, All Other","TECHNICIAN B","36271",,"Year","Y",1,"NEW YORK","NY","36271","Year","CBA","N/A","2009",,,,,,,,"611310",5/6/2010 0:00:00
"I-200-10121-840883","CERTIFIED",5/1/2010 15:40:43,"H-1B",5/17/2010 0:00:00,5/16/2013 0:00:00,"SIRITEK INC","1600 GOLF ROAD  SUITE#1200","ROLLING MEADOWS","IL","60008","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","60000",,"Year","Y",1,"SEATTLE","WA","58864.00","Year","Other","OFLC ONLINE DATA CENTER","2010","ROLLING MEADOWS","IL","55557.00","Year","Other","OFLC ONLINE DATA CENTER","2010","541511",5/6/2010 0:00:00
"I-200-10121-575845","CERTIFIED",5/1/2010 15:51:26,"H-1B",5/17/2010 0:00:00,5/16/2013 0:00:00,"SIRITEK INC","1600 GOLF ROAD  SUITE#1200","ROLLING MEADOWS","IL","60008","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","60000",,"Year","Y",1,"BELLEVUE","WA","58864","Year","OES","ONLINE WAGE LIBRARY","2010","ROLLING MEADOWS","IL","55557","Year","Other","ONLINE OES WAGE LIBRARY","2010","541511",5/6/2010 0:00:00
"I-200-10121-773533","CERTIFIED",5/2/2010 22:29:26,"H-1B",5/21/2010 0:00:00,5/20/2013 0:00:00,"THE EVOLVERS GROUP, L.P.","2504 STILLWATER CT","FLOWER MOUND","TX","75022","15-1031.00","Computer Software Engineers, Applications","SR. SOFTWARE ENGINEER","90500",,"Year","Y",1,"CLEVELAND","OH","90002.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",5/6/2010 0:00:00
"I-200-10121-587678","CERTIFIED",5/1/2010 16:00:24,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"COSMOS FOUNDATION, INC.","9431 W. SAM HOUSTON PKWY. S, SUITE 202","HOUSTON","TX","77099","25-2031.00","Secondary School Teachers, Except Special and Voca","SCIENCE TEACHER","31500",,"Year","Y",1,"DALLAS","TX","31500","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611110",5/6/2010 0:00:00
"I-200-10121-513576","CERTIFIED",5/1/2010 16:39:05,"H-1B",6/24/2010 0:00:00,6/24/2013 0:00:00,"LOS ANGELES UNIFIED SCHOOL DISTRICT","333 SOUTH BEAUDRY AVE.","LOS ANGELES","CA","90017","25-2042.00","Special Education Teachers, Middle School","TEACHER","45637",,"Year","Y",1,"LOS ANGELES","CA","45637","Year","CBA","N/A","2010",,,,,,,,"611110",5/6/2010 0:00:00
"I-200-10121-417116","CERTIFIED-WITHDRAWN",5/4/2010 13:33:01,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"TRANSFAIR N. AMERICA INT'L FREIGHT SERVICES, INC.","18850 8TH AVENUE SOUTH","SEATTLE","WA","98148","19-3021.00","Market Research Analysts","ROUTE DEVELOPMENT SPECIALIST - TURKEY","55000","75000","Year","Y",1,"NEWARK","NJ","50253.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541614",5/10/2010 0:00:00
"I-200-10121-012442","CERTIFIED",5/20/2010 19:49:52,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"INNER CITY EDUCATION FOUNDATION","5150 W. GOLDLEAF CIRCLE","LOS ANGELES","CA","90056","25-2021.00","Elementary School Teachers, Except Special Educati","TEACHER","37",,"Hour","N",1,"LOS ANGELES","CA","28.55","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"61111",5/26/2010 0:00:00
"I-200-10121-157318","CERTIFIED",5/21/2010 19:41:43,"H-1B",7/3/2010 0:00:00,7/2/2013 0:00:00,"CRICKET COMMUNICATIONS, INC.","5887 COPLEY DRIVE","SAN DIEGO","CA","92111","11-9041.00","Engineering Managers","ENGINEER APPS II (NETWORK ENGINEERING AND DEVELOPM","135842",,"Year","Y",1,"CHARLOTTE","NC","121992.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"513300",5/27/2010 0:00:00
"I-200-10121-772949","DENIED",5/1/2010 18:01:45,"H-1B",10/4/2010 0:00:00,10/4/2013 0:00:00,"JOBAIRE GROUP, INC.","7524 N. LA CHOLLA BLVD.","TUCSON","AZ","85741","49-3011.01","Airframe-and-Power-Plant Mechanics","AIRFRAME AND POWERPLANT SPECIALIST","39582",,"Year","Y",1,"MOBILE","AL","39582","Year","OES","N/A","2009",,,,,,,,"488190",5/6/2010 15:04:26
"I-200-10121-627166","CERTIFIED",5/5/2010 17:11:11,"H-1B",5/24/2010 0:00:00,11/22/2012 0:00:00,"DHANVANTRI INC.","3416 WILLIAMSON ROAD NORTHWEST","ROANOKE","VA","24012-4051","29-1051.00","Pharmacists","GRADUATE PHARMACY INTERN","45",,"Hour","N",1,"ROANOKE","VA","44.38","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"446110",5/11/2010 0:00:00
