"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10126-637630","CERTIFIED",5/6/2010 14:15:08,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"BEAM BAYESIAN EFFICIENT ASSET MANAGEMENT LLC","33-42 NEWARK STREET","HOBOKEN","NJ","07030","19-3021.00","Market Research Analysts","RESEARCH ANALYST","116000",,"Year","Y",1,"HOBOKEN","NJ","108202.00","Year","OES","OFLC ON-LINE WAGE LIBRARY","2010",,,,,,,,"523930",5/12/2010 0:00:00
"I-200-10126-773859","DENIED",5/6/2010 14:17:34,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"PINNACLE MEDIA, LLC","14524 CANTRELL RD","LITTLE ROCK","AR","72223","27-3021.00","Broadcast News Analysts","BROADCAST INTERVIEW","30971",,"Year","Y",1,"LITTLE ROCK,","AR","30971","Year","Other","DOL ONLINE WAGE LIBRARY","2010",,,,,,,,"515120",5/11/2010 15:24:22
"I-200-10126-666603","CERTIFIED",5/24/2010 19:17:38,"H-1B",7/31/2010 0:00:00,7/30/2013 0:00:00,"EAST BATON ROUGE PARISH SCHOOL SYSTEM","1050 SOUTH FOSTER DRIVE","BATON ROUGE","LA","70806","25-2021.00","Elementary School Teachers, Except Special Educati","TEACHER, ELEMENTARY SCHOOL","43536","62814","Year","Y",1,"BATON ROUGE","LA","36680.00","Year","OES","N/A","2009",,,,,,,,"611110",5/28/2010 0:00:00
"I-200-10126-686976","CERTIFIED",5/7/2010 11:26:51,"H-1B",8/1/2010 0:00:00,8/1/2013 0:00:00,"PRICEWATERHOUSECOOPERS, LLP","3109 W DR. MARTIN LUTHER KING JR., BLVD.","TAMPA","FL","33607","13-2011.00","Accountants and Auditors","MANAGER (ASSURANCE)","88900","122100","Year","Y",25,"DETROIT","MI","68848","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541611",5/13/2010 0:00:00
"I-200-10126-887578","CERTIFIED",5/10/2010 11:55:15,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"AMERICAN PROFESSIONALS, INC.","1000 US HIGHWAY 9 NORTH","WOODBRIDGE","NJ","07095","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","55000",,"Year","Y",1,"WOODBRIGE","NJ","53227.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",5/14/2010 0:00:00
"I-200-10126-522231","CERTIFIED",5/6/2010 14:18:28,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"SSINFOTEK INC.","9560 RESEARCH DRIVE","IRVINE","CA","92618","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","49442",,"Year","Y",1,"IRVINE","CA","49442","Year","OES","OFLC ONLINE DATA CENTER","2009","COLORADO SPRINGS","CO","48610","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",5/12/2010 0:00:00
"I-200-10126-640471","CERTIFIED",5/6/2010 16:04:45,"H-1B",5/6/2010 0:00:00,11/23/2012 0:00:00,"NEWEDGE USA, LLC","550 W. JACKSON BLVD.","CHICAGO","IL","60661","15-1031.00","Computer Software Engineers, Applications","DEVELOPER, IT SALES TECHNOLOGIES","90000",,"Year","Y",1,"CHICAGO","IL","88317.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"523120",5/12/2010 0:00:00
"I-200-10126-598788","WITHDRAWN",5/6/2010 14:32:57,"H-1B",6/1/2010 0:00:00,5/31/2013 0:00:00,"PRAMICHI HOTEL, INC.","313 SALEM DRIVE","FAIRVIEW HEIGHTS","IL","62208","11-3031.00","Financial Managers","CONTROLLER","66000",,"Year","Y",1,"FAIRVIEW HEIGHTS","IL","65936.00","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"72111",5/6/2010 0:00:00
"I-200-10126-380592","CERTIFIED",5/6/2010 14:13:37,"H-1B",8/15/2010 0:00:00,8/14/2013 0:00:00,"CHILDREN'S HOSPITAL CORPORATION","300 LONGWOOD AVENUE","BOSTON","MA","02115","19-1022.00","Microbiologists","POST-DOCTORAL RESEARCH FELLOW","37368",,"Year","Y",1,"BOSTON","MA","33592","Year","OES","N/A","2009",,,,,,,,"622310",5/12/2010 0:00:00
"I-200-10126-456264","CERTIFIED",6/22/2010 11:46:05,"H-1B",8/30/2010 0:00:00,8/30/2013 0:00:00,"GOLDMAN, SACHS & CO.","200 WEST STREET","NEW YORK","NY","10282","13-2051.00","Financial Analysts","SPECIALIST","55000",,"Year","Y",1,"JERSEY CITY","NJ","47600","Year","Other","TOWERS WATSON DATA SERVICES ACCOUNTING & FINANCE PERSONNEL (GEOGRAPHIC ANALYSIS)","2009",,,,,,,,"523110",6/28/2010 0:00:00
