"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10131-639838","CERTIFIED",5/11/2010 15:17:22,"H-1B",5/11/2010 0:00:00,5/10/2013 0:00:00,"INTELLISWIFT SOFTWARE, INC.","2201 WALNUT AVE.","FREMONT","CA","94538","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","67000",,"Year","Y",1,"PALO ALTO","CA","66976.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",5/17/2010 0:00:00
"I-200-10131-854908","CERTIFIED",5/12/2010 15:39:22,"H-1B",7/17/2010 0:00:00,7/17/2013 0:00:00,"SRI INTERNATIONAL","333 RAVENSWOOD AVENUE","MENLO PARK","CA","94025","17-2071.00","Electrical Engineers","RESEARCH ENGINEER II","68400","123100","Year","Y",1,"LARGO","FL","63482","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"5417",5/18/2010 0:00:00
"I-200-10131-787293","DENIED",5/11/2010 15:18:58,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"BARBARO ELECTRIC CO.","144 LODI ST","HACKENSACK","NJ","07601","17-2071.00","Electrical Engineers","JR. ELECTRICAL ENGINEER","57512",,"Year","Y",1,"HACKENSACK","NJ","57512.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"238210",5/13/2010 15:05:57
"I-200-10131-352665","DENIED",5/11/2010 15:44:31,"H-1B",6/1/2010 0:00:00,5/31/2011 0:00:00,"NEW JERSEY INSTITUTE OF TECHNOLOGY","323 MARTIN LUTHER KING BLVD.","NEWARK","NJ","07102","17-2031.00","Biomedical Engineers","POST DOCTORAL FELLOW","40000",,"Year","Y",1,"NEWARK","NJ","40082","Year","OES",,"2009",,,,,,,,"611310",5/14/2010 13:08:18
"I-200-10131-771127","CERTIFIED",5/11/2010 15:24:11,"H-1B",5/31/2010 0:00:00,5/31/2012 0:00:00,"HORIZON BLUE CROSS BLUE SHIELD","3 PENN PLAZA EAST","NEWARK","NJ","07105","11-3021.00","Computer and Information Systems Managers","PROJECT MANAGER","45.62",,"Hour","Y",1,"NEWARK","NJ","45.62","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541990",5/17/2010 0:00:00
"I-200-10131-133124","DENIED",5/11/2010 15:59:03,"H-1B",6/18/2010 0:00:00,6/30/2012 0:00:00,"STATE UNIVERSITY OF NEW YORK AT BUFFALO","117 CARY HALL","BUFFALO","NY","14214","29-1069.99","Physicians and Surgeons, All Other","MEDICAL RESIDENT PGY-3","45001",,"Year","Y",1,"BUFFALO","NY","45001.00","Year","Other","UNIVERSITY AT BUFFALO; 2010 SURVEY OF MEDICAL RESI","2010","BUFFALO","NY","45001","Year","Other","UNIVERSITY AT BUFFALO; 2010 SURVEY OF MEDICAL RESI","2010","611310",5/18/2010 18:10:02
"I-200-10131-427858","CERTIFIED",5/11/2010 15:28:52,"H-1B",6/7/2010 0:00:00,6/7/2013 0:00:00,"VMWARE, INC.","3401 HILLVIEW AVENUE","PALO ALTO","CA","94304-1320","15-1031.00","Computer Software Engineers, Applications","MEMBER OF TECHNICAL STAFF (SOFTWARE ENGINEER)","88400","126000","Year","Y",1,"PALO ALTO","CA","88374","Year","Other","RADFORD BENCHMARK SURVEY","2010",,,,,,,,"541511",5/17/2010 0:00:00
"I-200-10131-664258","CERTIFIED",5/13/2010 13:25:04,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"QUALCOMM INCORPORATED","5775 MOREHOUSE DR.","SAN DIEGO","CA","92121","17-2072.00","Electronics Engineers, Except Computer","SR. VLSI CAD ENGINEER","92601.6",,"Year","Y",1,"SAN DIEGO","CA","91977.00","Year","Other","RADFORD BENCHMARK SURVEY","2010",,,,,,,,"334220",5/19/2010 0:00:00
"I-200-10131-735887","CERTIFIED",5/11/2010 15:50:43,"H-1B",6/4/2010 0:00:00,9/30/2011 0:00:00,"AMERICAN SOFTWARE RESOURCES, INC.","55 BROAD ST.","NEW YORK","NY","10004","15-1051.00","Computer Systems Analysts","COMPUTER PROGRAMMER/ANALYST","60950",,"Year","Y",1,"LANSING","MI","46738.00","Year","OES","OFLC ONLINE DATA CENTER","2010","NEW YORK","NY","60944.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541519",5/17/2010 0:00:00
"I-200-10131-990161","CERTIFIED",5/11/2010 15:26:12,"H-1B",10/12/2010 0:00:00,10/12/2013 0:00:00,"ILINK SYSTEMS, INC.","18200 NE UNION HILL ROAD, SUITE 100","REDMOND","WA","98052","15-1051.00","Computer Systems Analysts","COMPUTER PROGRAMMER ANALYST","84000",,"Year","Y",1,"REDMOND","WA","58864","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",5/17/2010 0:00:00
