"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10134-074666","CERTIFIED",5/14/2010 19:19:32,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"CAMBIUM BUSINESS GROUP, INC.","6950 NORITSU AVE.","BUENA PARK","CA","90620","15-1041.00","Computer Support Specialists","INFORMATION TECHNOLOGY SPECIALIST","37000",,"Year","Y",1,"BUENA PARK","CA","33426","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"423210",5/20/2010 0:00:00
"I-200-10134-738541","CERTIFIED",5/14/2010 19:19:02,"H-1B",6/1/2010 0:00:00,5/31/2013 0:00:00,"THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTE","1515 HOLCOMBE BLVD.","HOUSTON","TX","77030","19-1042.00","Medical Scientists, Except Epidemiologists","RESEARCH SCIENTIST","48000",,"Year","Y",1,"SMITHVILLE","TX","33155.00","Year","OES","N/A","2010",,,,,,,,"611310",5/20/2010 0:00:00
"I-200-10134-857217","CERTIFIED",5/14/2010 19:22:33,"H-1B",5/17/2010 0:00:00,9/30/2012 0:00:00,"VISAM TECHNOLOGIES, INC.","2601 NETWORK BLVD, SUITE 450","FRISCO","TX","75034","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","61000",,"Year","Y",1,"NEW YORK","NY","60944","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"541511",5/20/2010 0:00:00
"I-200-10134-721260","DENIED",5/14/2010 19:21:30,"H-1B",8/1/2010 0:00:00,7/31/2013 0:00:00,"TRINITY COLLEGE OF GRADUATE STUDIES","1661 N. RAYMOND AVENUE, SUITE 140","ANAHEIM","CA","92801","21-1013.00","Marriage and Family Therapists","MARRIAGE AND FAMILY LICENSED THERAPIST","12.9",,"Hour","N",1,"ANAHEIM","CA","12.90","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",5/20/2010 8:40:48
"I-200-10134-638706","CERTIFIED",5/18/2010 20:27:16,"H-1B",5/18/2010 0:00:00,8/4/2012 0:00:00,"SMARTEK21 LLC","12910 TOTEM LAKE BLVD. NE","KIRKLAND","WA","98034","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","75000",,"Year","Y",1,"KIRKLAND","WA","69160.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"54151",5/24/2010 0:00:00
"I-200-10134-551734","DENIED",5/14/2010 19:30:57,"H-1B",10/1/2010 0:00:00,10/1/2012 0:00:00,"A LIST INC.","115 S. ROBERTSON BLVD.","LOS ANGELES","CA","90048","27-1022.00","Fashion Designers","FASHION DESIGNER","18.2","20","Hour","Y",1,"LOS ANGELES","CA","18.20","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"3152",5/17/2010 9:54:48
"I-200-10135-107076","CERTIFIED",5/15/2010 15:14:47,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"NITYA SOFTWARE SOLUTIONS, INC","9690 SOUTH 300 WEST","SALT LAKE CITY","UT","84070","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","59550",,"Year","Y",1,"WARRENVILLE","IL","59550.00","Year","Other","ONLINE WAGE LIBRARY","2009",,,,,,,,"541511",5/20/2010 0:00:00
"I-200-10135-627254","CERTIFIED",5/15/2010 15:07:42,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"KIM & KIM CPAS, INC.","23416 HIGHWAY 99, SUITE B","EDMONDS","WA","98026","13-2011.01","Accountants","ACCOUNTANT","22.19",,"Hour","N",1,"EDMONDS","WA","22.19","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"54121",5/20/2010 0:00:00
"I-200-10135-461557","CERTIFIED",5/15/2010 15:08:39,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"INGENIUM TECHNOLOGIES CORP.","4216 MARAY DRIVE","ROCKFORD","IL","61107","17-2072.00","Electronics Engineers, Except Computer","SYSTEMS FLIGHT TEST ENGINEER","57.5",,"Hour","Y",1,"ROCKFORD","IL","38.39","Hour","OES","OFLC ONLINE DATA CENTER","2010","ROCKFORD","IL","38.39","Hour","OES","OFLC ONLINE DATA CENTER","2010","541330",5/20/2010 0:00:00
"I-200-10135-275509","CERTIFIED",5/15/2010 15:13:28,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"INGENIUM TECHNOLOGIES CORP.","4216 MARAY DRIVE","ROCKFORD","IL","61107","17-2072.00","Electronics Engineers, Except Computer","SYSTEMS FLIGHT TEST ENGINEER","57.5",,"Hour","Y",1,"EVERETT","WA","44.17","Hour","OES","OFLC ONLINE DATA CENTER","2010","KIRKLAND","WA","44.17","Hour","OES","OFLC ONLINE DATA CENTER","2010","541330",5/20/2010 0:00:00
"I-200-10135-496290","CERTIFIED",5/15/2010 15:32:09,"H-1B",9/30/2010 0:00:00,6/11/2012 0:00:00,"LOS ANGELES UNIFIED SCHOOL DISTRICT","333 SOUTH BEAUDRY AVE.","LOS ANGELES","CA","90017","25-2031.00","Secondary School Teachers, Except Special and Voca","TEACHER","45637",,"Year","Y",1,"NORTHRIDGE","CA","45637","Year","CBA","N/A","2010",,,,,,,,"611110",5/20/2010 0:00:00
