"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10140-057530","DENIED",5/21/2010 11:51:20,"H-1B",7/1/2010 0:00:00,9/25/2012 0:00:00,"AMERICAN INDUSTRIAL PARTNERS","535 FIFTH AVENUE","NEW YORK","NY","10017","13-2051.00","Financial Analysts","ASSOCIATE","100000","120000","Year","Y",1,"ALLEN","TX","50544.00","Year","OES","OFLC ONLINE DATA CENTER","2010","NEW YORK","NY","85842","Year","OES","OFLC ONLINE DATA CENTER","2010","52399",5/24/2010 16:06:48
"I-200-10140-364216","CERTIFIED",5/20/2010 11:30:24,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"LSU HEALTH SCIENCES CENTER","1501 KINGS HWY","SHREVEPORT","LA","71130-3932","25-1071",,"ASSISTANT PROFESSOR OF CLINICAL MEDICINE","103938",,"Year","Y",1,"SHREVEPORT","LA","56110.00","Year","OES","OFLC ONLINE DATA CENTER","2009","PINEVILLE","LA","69200.00","Year","Other","OFLC ONLINE DATA CENTER","2009","611310",5/26/2010 0:00:00
"I-200-10140-781313","DENIED",5/24/2010 10:28:20,"H-1B",11/19/2010 0:00:00,9/30/2012 0:00:00,"MARATHON SYSTEMS, INC.","125 OLD MILL ROAD","CARTERSVILLE","GA","30120","11-3031.00","Financial Managers","CONTROLLER","77000",,"Year","Y",1,"CARTERSVILLE","GA","65437","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"336340",6/1/2010 12:00:56
"I-200-10140-227865","DENIED",5/20/2010 11:16:59,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"SHENOY STONE USA, INC.","5808 W SAM HOUSTON PKWY N","HOUSTON","TX","77041","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","55000",,"Year","Y",1,"HOUSTON","TX","47362.00","Year","Other","OWL","2010",,,,,,,,"423320",5/24/2010 10:42:05
"I-200-10140-396709","CERTIFIED",5/20/2010 11:06:41,"H-1B",5/31/2010 0:00:00,5/31/2013 0:00:00,"ABBOTT LABORATORIES","100 ABBOTT PARK ROAD","ABBOTT PARK","IL","60064","11-3021.00","Computer and Information Systems Managers","SAP HR TECHNO-FUNCTIONAL LEAD","114000",,"Year","Y",1,"ABBOTT PARK","IL","98010","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"325400",5/26/2010 0:00:00
"I-200-10140-224273","DENIED",5/20/2010 11:28:58,"H-1B",9/27/2010 0:00:00,9/26/2013 0:00:00,"FINANCIAL INVESTMENTS, INC.","462 HERNDON PARKWAY, SUITE 205","HERNDON","VA","20170","13-2051.00","Financial Analysts","FINANCIAL ANALYST","80000",,"Year","Y",1,"HERNDON","VA","66040","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"523930",5/21/2010 13:32:27
"I-200-10140-163782","CERTIFIED",5/20/2010 11:06:50,"H-1B",6/1/2010 0:00:00,5/31/2013 0:00:00,"JOHN MILLER","820 WEST END AVENUE","NEW YORK","NY","10025","13-1199.99","Business Operations Specialists, All Other","BUSINESS OPERATIONS COORDINATOR","44500",,"Year","Y",1,"NEW YORK","NY","44408","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"512230",5/26/2010 0:00:00
"I-200-10140-732579","CERTIFIED",5/20/2010 11:12:04,"H-1B",6/7/2010 0:00:00,6/6/2013 0:00:00,"KINDRED REHAB SERVICES","680 SOUTH 4TH STREET","LOUISVILLE","KY","40202","29-1122.00","Occupational Therapists","OCCUPATIONAL THERAPIST","17.94",,"Hour","N",1,"TWIN CITY","GA","17.94","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621340",5/26/2010 0:00:00
"I-200-10140-771741","CERTIFIED",5/20/2010 11:20:54,"H-1B",9/18/2010 0:00:00,1/27/2012 0:00:00,"DRT STRATEGIES, INC.","4300 WILSON BLVD, SUITE 220","ARLINGTON","VA","22203","15-2011.00","Actuaries","ACTUARY","72000",,"Year","Y",1,"LANDOVER","MD","66088.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"5416",5/26/2010 0:00:00
"I-200-10140-637325","CERTIFIED",5/21/2010 10:11:45,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"PENN STATE MILTON S. HERSHEY MEDICAL CENTER","500 UNIVERSITY DRIVE","HERSHEY","PA","17033","29-1069.99","Physicians and Surgeons, All Other","MEDICAL RESIDENT","47528",,"Year","Y",1,"HERSHEY","PA","47385","Year","Other","AAMC SURVEY OF RESIDENT/FELLOW STIPENDS & BENEFITS","2009","HARRISBURG","PA","47385","Year","Other","AAMC SURVEY OF RESIDENT/FELLOW STIPENDS & BENEFITS","2009","622110",5/27/2010 0:00:00
