"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10145-036664","DENIED",5/26/2010 15:23:31,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"LSU AGRICULTURAL CENTER","P.O. BOX 25203","BATON ROUGE","LA","70894","19-1010.00","Agricultural and Food Scientists","ASSISTANT PROFESSOR - RESEARCH","60000",,"Year","Y",1,"ST. GABRIEL","LA","40623.00","Year","Other","OKLAHOMA STATE UNIVERSITY FACULTY SALARY SURVEY","2010",,,,,,,,"611310",6/3/2010 16:47:24
"I-200-10145-510258","CERTIFIED",5/25/2010 16:19:42,"H-1B",5/25/2010 0:00:00,5/25/2013 0:00:00,"CENTRAL STATE UNIVERSITY","1400 BRUSH ROW RD","WILBERFORCE","OH","45384","25-1199.99","Postsecondary Teachers, All Other","ASSISTANT PROFESSOR","47000",,"Year","Y",1,"WILBERFORCE","OH","40700.00","Year","CBA","N/A","2008",,,,,,,,"611310",6/1/2010 0:00:00
"I-200-10145-814539","CERTIFIED",5/25/2010 16:21:42,"H-1B",8/16/2010 0:00:00,8/15/2013 0:00:00,"BRADLEY UNIVERSITY","1501 WEST BRADLEY AVENUE","PEORIA","IL","61625","25-1032.00","Engineering Teachers, Postsecondary","ASST. PROFESSOR OF INDUSTRIAL & MANUFACTURING ENG.","67000",,"Year","Y",1,"PEORIA","IL","44857.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",6/1/2010 0:00:00
"I-200-10145-163719","CERTIFIED",5/25/2010 16:26:59,"H-1B",9/29/2010 0:00:00,9/28/2013 0:00:00,"LIAO, KIN & COMPANY, P.C.","6901 CORPORATE DRIVE, SUITE 220","HOUSTON","TX","77036","13-2011.01","Accountants","ACCOUNTANT","50420",,"Year","Y",1,"HOUSTON","TX","41766.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541211",6/1/2010 0:00:00
"I-200-10145-412153","CERTIFIED",6/2/2010 15:36:35,"H-1B",8/22/2010 0:00:00,8/21/2013 0:00:00,"SOUTH DAKOTA STATE UNIVERSITY","321 ADMINISTRATION BUILDING","BROOKINGS","SD","57007","25-1192.00","Home Economics Teachers, Postsecondary","ASSISTANT PROFESSOR OF INTERIOR DESIGN","50000",,"Year","Y",1,"BROOKINGS","SD","38430","Year","OES","N/A","2010",,,,,,,,"611310",6/8/2010 0:00:00
"I-200-10145-513017","CERTIFIED",5/25/2010 16:21:09,"H-1B",6/7/2010 0:00:00,6/6/2013 0:00:00,"SYNERGY CARE, INC.","ONE LAKESHORE PLAZA, 127 W BROAD ST","LAKE CHARLES","LA","70601-4291","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","33.45",,"Hour","Y",1,"DERIDDER","LA","33.45","Hour","OES","OFLC ONLINE DATA CENTER","2009","DERIDDER","LA","33.45","Hour","OES","OFLC ONLINE DATA CENTER","2009","621340",6/1/2010 0:00:00
"I-200-10145-352278","CERTIFIED",5/25/2010 16:17:18,"H-1B",8/17/2010 0:00:00,8/16/2013 0:00:00,"UNIVERSITY OF PITTSBURGH","3959 FIFTH AVENUE","PITTSBURGH","PA","15260","25-1032.00","Engineering Teachers, Postsecondary","ASSISTANT PROFESSOR","70000",,"Year","Y",1,"PITTSBURGH","PA","56040","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",6/1/2010 0:00:00
"I-200-10145-441378","DENIED",5/26/2010 15:47:22,"H-1B",6/1/2010 0:00:00,9/24/2011 0:00:00,"THE NATIONAL CENTER FOR DRUG FREE SPORT, INC.","2537 MADISON AVENUE","KANSAS CITY","MO","64108","21-1011.00","Substance Abuse and Behavioral Disorder Counselors","SPORT DRUG TESTING COLLECTOR","32822",,"Year","Y",1,"VERONA","NJ","32822.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"813319",5/27/2010 10:54:53
"I-200-10145-469715","CERTIFIED",5/25/2010 16:18:26,"H-1B",6/12/2010 0:00:00,5/31/2013 0:00:00,"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY","1000 HILLTOP CIRCLE","BALTIMORE","MD","21250","19-2021.00","Atmospheric and Space Scientists","RESEARCH ASSOCIATE","58344",,"Year","Y",1,"GREENBELT","MD","52374.00","Year","Other","ONLINE WAGE LIBRARY ACWIA DATABASE","2010",,,,,,,,"611310",6/1/2010 0:00:00
"I-200-10145-158741","CERTIFIED",5/26/2010 13:43:57,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"RANDSTAD A/K/A VEDIOR","489 5TH AVE, 4 FL","NEW YORK","NY","10017","13-1071.02","Personnel Recruiters","PERSONNEL RECRUITER","55000",,"Year","Y",1,"NEW YORK","NY","54579.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541612",6/2/2010 0:00:00
"I-200-10145-837527","CERTIFIED",5/27/2010 12:13:55,"H-1B",6/21/2010 0:00:00,6/20/2013 0:00:00,"GENESIS ELDERCARE REHABILITATION SERVICES, INC.","101 EAST STATE STREET","KENNETT SQUARE","PA","19348","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","27.7","45.87","Hour","Y",1,"CHICAGO","IL","27.70","Hour","OES","OFLC ONLINE DATA CENTER","2010","CHICAGO","IL","27.70","Hour","OES","OFLC ONLINE DATA CENTER","2010","621340",6/3/2010 0:00:00
"I-200-10145-447051","CERTIFIED",5/25/2010 16:23:08,"H-1B",6/10/2010 0:00:00,6/9/2013 0:00:00,"MEDICAL RESOURCES GROUP","43750 GARFIELD ROAD","CLINTON TOWNSHIP","MI","48038","29-1063.00","Internists, General","PHYSICIAN (HOSPITALIST)","160000",,"Year","Y",1,"WARREN","MI","116210.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621111",6/1/2010 0:00:00
"I-200-10145-800599","CERTIFIED-WITHDRAWN",5/25/2010 16:28:51,"H-1B",7/1/2010 0:00:00,7/1/2013 0:00:00,"CHILDREN'S NATIONAL MEDICAL CENTER","111 MICHIGAN AVENUE, NW","WASHINGTON","DC","20010","29-1065.00","Pediatricians, General","FELLOW, PEDIATRIC HEMATOLOGY AND ONCOLOGY","56945",,"Year","Y",1,"WASHINGTON","DC","52713","Year","Other","AAMC SURVEY OF RESIDENT/FELLOW STIPENDS AND BENEFI","2009",,,,,,,,"622110",6/1/2010 0:00:00
"I-200-10145-273793","CERTIFIED",5/26/2010 14:03:13,"H-1B",6/14/2010 0:00:00,2/11/2011 0:00:00,"TYCO VALVES & CONTROLS LP","9700 WEST GULF BANK","HOUSTON","TX","77040","17-2011.00","Aerospace Engineers","SENIOR PRODUCT ENGINEER","74776","85000","Year","Y",1,"STAFFORD","TX","74776.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"332911",6/2/2010 0:00:00
"I-200-10145-091546","CERTIFIED",5/25/2010 16:21:33,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"RITE AID CORP.","30 HUNTER LANE","CAMP HILL","PA","17011","29-1051.00","Pharmacists","PHARMACIST MANAGER","56.5",,"Hour","Y",1,"CARLISLE","PA","35.34","Hour","Other","DOL ONLINE WAGE LIBRARY","2010","CARLISLE","PA","35.34","Hour","Other","DOL ONLINE WAGE LIBRARY","2010","446110",6/1/2010 0:00:00
