"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10151-384608","CERTIFIED",5/31/2010 17:44:25,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"TECNOLOGIA INDUSTRIAL AVANZADA, INC..","3549 EAST 14TH STREET SUITE C","BROWNSVILLE","TX","78521","13-1111.00","Management Analysts","MANAGEMENT ANALYST","31100",,"Year","Y",1,"BROWNSVILLE","TX","29078","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"621610",6/4/2010 0:00:00
"I-200-10151-723389","CERTIFIED",5/31/2010 17:56:42,"H-1B",7/10/2010 0:00:00,7/9/2013 0:00:00,"SYSTECH SOLUTIONS, INC","14145 ROBERT PARIS CT","CHANTILLY","VA","20151","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","60000",,"Year","Y",1,"SOMERSET","NJ","53227.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/4/2010 0:00:00
"I-200-10151-627802","CERTIFIED",5/31/2010 17:58:34,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"RICH PRODUCTS CORPORATION","ONE ROBERT RICH WAY","BUFFALO","NY","14213","13-2011.00","Accountants and Auditors","INTERNAL AUDITOR","43700",,"Year","Y",1,"BUFFALO","NY","43597.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"311000",6/4/2010 0:00:00
"I-200-10151-424944","CERTIFIED",5/31/2010 17:57:01,"H-1B",8/31/2010 0:00:00,8/31/2013 0:00:00,"U.S. GREEN BUILDING COUNCIL, INC.","2101 L STREET, NW","WASHINGTON","DC","20037","15-1021.00","Computer Programmers","SOFTWARE DEVELOPER","87000",,"Year","Y",1,"WASHINGTON","DC","70013","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"233000",6/4/2010 0:00:00
"I-200-10151-305665","CERTIFIED",5/31/2010 18:17:08,"H-1B",6/1/2010 0:00:00,5/31/2013 0:00:00,"ISITE TECHNOLOGIES INC","1151 S TROOPER ROAD","NORRISTOWN","PA","19403","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","60000",,"Year","Y",1,"PLANO","TX","53373","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",6/4/2010 0:00:00
"I-200-10151-588036","CERTIFIED",6/16/2010 13:04:48,"H-1B",7/1/2010 0:00:00,9/30/2012 0:00:00,"PROLANTIS, INC.","11 PENN PLAZA 5TH FLOOR","NEW YORK","NY","10001","15-1031.00","Computer Software Engineers, Applications","CONSULTANT","105000",,"Year","Y",1,"NEW YORK","NY","31.43","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/23/2010 0:00:00
"I-200-10151-293737","CERTIFIED",6/3/2010 13:12:53,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"UNIVERSITY OF ARKANSAS AT LITTLE ROCK","2801 SOUTH UNIVERSITY","LITTLE ROCK","AR","72204","19-1021.01","Biochemists","RESEARCH ASSISTANT PROFESSOR","56480",,"Year","Y",1,"LITTLE ROCK","AR","42578.00","Year","Other","ACWIA","2009",,,,,,,,"611310",6/9/2010 0:00:00
"I-200-10151-499090","CERTIFIED",5/31/2010 18:47:16,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"HOUSTON OCTG GROUP, INC.","3040 POST OAK BLVD","HOUSTON","TX","77056","13-1111.00","Management Analysts","MANAGEMENT CONSULTANT","17.02",,"Hour","N",1,"HOUSTON","TX","17.02","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"237120",6/4/2010 0:00:00
"I-200-10151-248681","CERTIFIED",5/31/2010 18:54:38,"H-1B",8/16/2010 0:00:00,8/15/2013 0:00:00,"THE UNIVERSITY OF ALABAMA","105 BB COMER HALL","TUSCALOOSA","AL","35487","25-1065.00","Political Science Teachers, Postsecondary","ASSISTANT PROFESSOR","51500",,"Year","Y",1,"TUSCALOOSA","AL","39780.00","Year","OES","N/A","2010",,,,,,,,"61131",6/4/2010 0:00:00
"I-200-10151-346537","CERTIFIED",6/3/2010 19:54:18,"H-1B",12/1/2010 0:00:00,11/30/2013 0:00:00,"GONZAGA UNIVERSITY","502 E. BOONE AVENUE","SPOKANE","WA","99258","25-1126.00","Philosophy and Religion Teachers, Postsecondary","LECTURER","46519",,"Year","Y",1,"SPOKANE","WA","38380.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",6/9/2010 0:00:00
"I-200-10151-303499","CERTIFIED",5/31/2010 20:19:49,"H-1B",7/21/2010 0:00:00,9/30/2011 0:00:00,"GEONINE INC.","33045 HAMILTON CT. #101","FARMINGTON HILLS","MI","48334","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","60000",,"Year","Y",1,"OKEMOS","MI","48589.00","Year","Other","ONLINE WAGE LIBRARY","2010","FARMINGTON HILLS","MI","58282.00","Year","Other","ONLINE WAGE LIBRARY","2010","541511",6/4/2010 0:00:00
"I-200-10151-842076","CERTIFIED",6/1/2010 17:28:18,"H-1B",9/20/2010 0:00:00,9/19/2013 0:00:00,"CENGAGE LEARNING","200 FIRST STAMFORD PLACE, SUITE 400","STAMFORD","CT","06902","27-3041.00","Editors","MANAGING MEDIA EDITOR","55000","65000","Year","Y",1,"MASON","OH","54309.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"511110",6/7/2010 0:00:00
"I-200-10151-460984","CERTIFIED",6/2/2010 9:39:21,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"LUCORAL CO. INC.","10 W 46TH STREET","NEW YORK","NY","10036","13-2011.01","Accountants","ACCOUNTANT","30",,"Hour","N",1,"NEW YORK","NY","25.54","Hour","OES","FLC ONLINE DATA CENTER","2010",,,,,,,,"42394",6/8/2010 0:00:00
"I-200-10151-753216","CERTIFIED",5/31/2010 20:44:51,"H-1B",5/31/2010 0:00:00,5/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1051.00","Computer Systems Analysts","BUSINESS SYSTEM ANALYST","67309","88000","Year","Y",1,"VERNON HILLS","IL","67309","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/4/2010 0:00:00
"I-200-10151-599201","CERTIFIED",5/31/2010 21:04:00,"H-1B",5/31/2010 0:00:00,5/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1071.00","Network and Computer Systems Administrators","BUSINESS SYSTEM ANALYST","65146","86000","Year","Y",1,"RICHFIELD","MN","65146","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/4/2010 0:00:00
"I-200-10151-915151","CERTIFIED-WITHDRAWN",5/31/2010 21:16:23,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"CORE TECH INTERNATIONAL","500 MARINER AVENUE","BARRIGADA","GU","96913","17-2051.00","Civil Engineers","CIVIL ENGINEER","16.81",,"Hour","Y",2,"BARRIGADA","GU","16.81","Hour","Other","FLCDC","2009",,,,,,,,"236220",6/4/2010 0:00:00
"I-200-10151-625355","CERTIFIED",5/31/2010 21:50:12,"H-1B",6/27/2010 0:00:00,6/27/2013 0:00:00,"MGL AMERICAS INC.","1699 E. WOODFIELD ROAD","SCHAUMBURG","IL","60173","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","85000",,"Year","Y",1,"WEST DES MOINES","IA","72238.00","Year","OES","OFLC ONLINE DATA CENTER","2009","SCHAUMBURG","IL","81411.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",6/4/2010 0:00:00
"I-200-10151-913144","CERTIFIED",6/2/2010 12:54:16,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"MILLIKEN & COMPANY","920 MILLIKEN ROAD","SPARTANBURG","SC","29303","19-2031.00","Chemists","RESEARCH CHEMIST","90000",,"Year","Y",1,"SPARTANBURG","SC","66227.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"313312",6/8/2010 0:00:00
"I-200-10151-198039","CERTIFIED",5/31/2010 22:53:37,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"THE UNIVERSITY OF MEMPHIS","102 BRISTER HALL","MEMPHIS","TN","38152","17-2063.00","Computer Hardware Engineers, R&D","POSTDOCTORAL RESEARCH ASSOCIATE","67000",,"Year","Y",1,"MEMPHIS","TN","38189.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",6/4/2010 0:00:00
"I-200-10151-918380","CERTIFIED",5/31/2010 23:00:29,"H-1B",10/1/2010 0:00:00,9/30/2011 0:00:00,"MOMENTUM TRADING GROUP, LLC.","200 S. ANDREWS AVENUE","FT. LAUDERDALE","FL","33301","13-2011.00","Accountants and Auditors","ACCOUNTANT AND TECHNOLOGY CONSULTANT","76700",,"Year","Y",1,"FT. LAUDERDALE","FL","53498.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"523999",6/4/2010 0:00:00
"I-200-10151-422737","CERTIFIED",5/31/2010 23:19:46,"H-1B",6/1/2010 0:00:00,9/27/2011 0:00:00,"SOURCEINFOTECH INC.","40 BRUNSWICK AVENUE","EDISON","NJ","08817","13-1111.00","Management Analysts","MANAGEMENT INFORMATION SYSTEMS ANALYST","61000",,"Year","Y",1,"NEWARK","NJ","60528.00","Year","OES","OFLC ONLINE DATA CENTER","2009","EDISON","NJ","53539.00","Year","OES","OFLC ONLINE DATA CENTER","2009","514210",6/4/2010 0:00:00
"I-200-10151-136789","CERTIFIED",6/3/2010 15:46:29,"H-1B",10/15/2010 0:00:00,10/14/2013 0:00:00,"FLORIDA HOSPITAL ZEPHYRHILLS, INC.","7050 GALL BOULEVARD","ZEPHYRHILLS","FL","33541","29-2011.00","Medical and Clinical Laboratory Technologists","MEDICAL TECHNOLOGIST","21.02",,"Hour","Y",1,"ZEPHYRHILLS","FL","19.70","Hour","OES",,"2009",,,,,,,,"622110",6/9/2010 0:00:00
"I-200-10151-527579","CERTIFIED",6/1/2010 1:57:58,"H-1B",9/15/2010 0:00:00,9/15/2013 0:00:00,"MGL AMERICAS INC.","1699 E. WOODFIELD ROAD","SCHAUMBURG","IL","60173","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","60000",,"Year","Y",1,"FOUNTAIN VALLEY","CA","49442.00","Year","OES","OFLC ONLINE DATA CENTER","2009","SCHAUMBURG","IL","55557.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",6/7/2010 0:00:00
"I-200-10151-037677","CERTIFIED",6/4/2010 17:08:32,"H-1B",9/24/2010 0:00:00,9/23/2013 0:00:00,"EISAI, INC.","100 TICE BOULEVARD","WOODCLIFF LAKE","NJ","07677","19-1021.01","Biochemists","SENIOR RESEARCHER, BIOLOGY","79000","95000","Year","Y",1,"ANDOVER","MA","78624.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541710",6/10/2010 0:00:00
"I-200-10152-243883","CERTIFIED",6/1/2010 0:27:40,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"LARSEN & TOUBRO INFOTECH LIMITED","2035 LINCOLN HIGHWAY, EDISON SQUARE WEST","EDISON","NJ","08817","15-1099.10",,"BUSINESS SYSTEMS ANALYST","63269",,"Year","Y",1,"WARREN","NJ","42141.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/7/2010 0:00:00
"I-200-10152-810867","CERTIFIED",6/1/2010 0:28:50,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"SATYAM COMPUTER SERVICES LIMITED","ONE GATEHALL DRIVE","PARSIPPANY","NJ","07054","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","67725","77725","Year","Y",3,"SHELTON","CT","67725","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/7/2010 0:00:00
"I-200-10152-270518","CERTIFIED",6/1/2010 1:09:21,"H-1B",9/25/2010 0:00:00,9/24/2013 0:00:00,"DYNAMIC ENTERPRISE SOLUTIONS INC","150 N MARTINGALE ROAD","SCHAUMBURG","IL","60173","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","55600",,"Year","Y",1,"SCHAUMBURG","IL","55557.00","Year","OES","OFLC ONLINE DATA CENTER","2009","KALAMAZOO","MI","45136.00","Year","OES","OFLC ONLINE DATA CENTER","2009","5416",6/7/2010 0:00:00
