"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10155-344683","WITHDRAWN",6/7/2010 13:16:45,"H-1B",6/21/2010 0:00:00,6/20/2013 0:00:00,"MOVE, INC.","30700 RUSSELL RANCH ROAD","WESTLAKE VILLAGE","CA","91362","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ARCHITECT","125000","135000","Year","Y",1,"WESTLAKE VILLAGE","CA","103168","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"531390",6/7/2010 0:00:00
"I-200-10155-087609","CERTIFIED",6/15/2010 19:32:25,"H-1B",9/21/2010 0:00:00,9/20/2013 0:00:00,"CYPRESS SEMICONDUCTOR CORPORATION","198 CHAMPION COURT","SAN JOSE","CA","95134","15-1031.00","Computer Software Engineers, Applications","SENIOR SOFTWARE ENGINEER","69160",,"Year","Y",1,"LYNNWOOD","WA","69160.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334413",6/23/2010 0:00:00
"I-200-10155-761500","CERTIFIED",6/4/2010 20:03:38,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"NOVELLUS SYSTEMS, INC.","4000 NORTH FIRST STREET","SAN JOSE","CA","95134","17-2141.00","Mechanical Engineers","MODELING ENGINEER III","93000",,"Year","Y",1,"SAN JOSE","CA","90700.00","Year","Other","WATSON WYATT SURVEY REPORT ON ENGINEERING, DESIGN","2009",,,,,,,,"334413",6/10/2010 0:00:00
"I-200-10155-874313","CERTIFIED",6/4/2010 15:44:21,"H-1B",6/8/2010 0:00:00,6/8/2013 0:00:00,"GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC.","3000 N. GRANDVIEW BLVD.","WAUKESHA","WI","53188","17-2112.00","Industrial Engineers","DESIGN TRANSFER LEADER, MSDCAR","64000","74000","Year","Y",1,"MILWAUKEE","WI","62150.00","Year","OES","OFLC ONLINE DATA CENTER","2009","WAUWATOSA","WI","62150.00","Year","OES","OFLC ONLINE DATA CENTER","2009","334510",6/10/2010 0:00:00
"I-200-10155-742853","CERTIFIED",6/4/2010 15:08:41,"H-1B",9/5/2010 0:00:00,9/4/2013 0:00:00,"UMA PARTNERSHIP","3627 DAYTON BOULEVARD","RED BANK","TN","37415","15-1061.00","Database Administrators","DATABASE ADMINISTRATOR","16.02",,"Hour","N",1,"RED BANK","TN","16.02","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"445120",6/10/2010 0:00:00
"I-200-10155-253976","CERTIFIED",6/4/2010 15:02:46,"H-1B",9/28/2010 0:00:00,9/28/2013 0:00:00,"UNIFY SOLUTIONS, INC.","4 WEST ROLLING CROSSROADS, SUITE # 9","CATONSVILLE","MD","21228","15-1021.00","Computer Programmers","PROGRAMMER / ANALYST","55000",,"Year","Y",1,"FRANKFORT","KY","40934.00","Year","OES","OFLC ONLINE DATA CENTER","2009","CATONSVILLE","MD","50606.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",6/10/2010 0:00:00
"I-200-10155-410060","DENIED",6/4/2010 20:44:55,"H-1B",9/1/2010 0:00:00,9/1/2013 0:00:00,"IMI USA INC.","14312 FRANKLIN AVENUE","TUSTIN","CA","92780","17-2141.00","Mechanical Engineers","PROCESS AND TEST DEVELOPMENT ENGINEER","67475",,"Year","Y",1,"TUSTIN","CA","67475.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334418",6/11/2010 9:24:23
"I-200-10155-972309","CERTIFIED",6/18/2010 9:02:10,"H-1B",12/1/2010 0:00:00,11/30/2013 0:00:00,"THE UNIVERSITY OF TENNESSEE","CENTER FOR INTERNATIONAL EDUCATION","KNOXVILLE","TN","37996","25-1063.00","Economics Teachers, Postsecondary","ASSISTANT PROFESSOR","73000",,"Year","Y",1,"KNOXVILLE","TN","46310.00","Year","OES","N/A","2009","MILAN","TN","46320.00","Year","OES","N/A","2009","611310",6/24/2010 0:00:00
"I-200-10155-590972","CERTIFIED",6/4/2010 15:14:17,"H-1B",6/21/2010 0:00:00,6/19/2013 0:00:00,"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)","1 BETHEL VALLEY ROAD","OAK RIDGE","TN","37831","19-1029.00","Biological Scientists, All Other","PLANT MOLECULAR BIOLOGIST/GENETICIST","83004",,"Year","Y",1,"OAK RIDGE","TN","34154.00","Year","OES",,"2010",,,,,,,,"541710",6/10/2010 0:00:00
"I-200-10155-324857","CERTIFIED",6/4/2010 15:22:13,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"DAYTON LUNG AND SLEEP MEDICINE, INC","8881 NORTH MAIN STREET","DAYTON","OH","45415","29-1062.00","Family and General Practitioners","PULMONOLOGIST","200000",,"Year","Y",1,"DAYTON","OH","108701.00","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"62111",6/10/2010 0:00:00
