"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10160-967956","CERTIFIED",6/11/2010 12:44:46,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"THE OHIO STATE UNIVERSITY","1712 NEIL AVENUE","COLUMBUS","OH","43210-1219","25-1022.00","Mathematical Science Teachers, Postsecondary","ASSISTANT PROFESSOR","34.53",,"Hour","N",1,"NEWARK","OH","34.53","Hour","Other","ACWIA","2009",,,,,,,,"611310",6/17/2010 0:00:00
"I-200-10160-366305","CERTIFIED",6/9/2010 17:55:41,"H-1B",6/17/2010 0:00:00,6/16/2013 0:00:00,"NEW YORK UNIVERSITY HOSPITALS CENTER","550 FIRST AVENUE","NEW YORK","NY","10016","15-1052.00","Computer Systems Analysts, Non R&D (ACWIA Only)","DATA WAREHOUSE DEVELOPER","93000",,"Year","Y",1,"NEW YORK","NY","66872","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611310",6/15/2010 0:00:00
"I-200-10160-101817","CERTIFIED",6/9/2010 18:01:13,"H-1B",10/1/2010 0:00:00,7/26/2011 0:00:00,"NATIONAL INSTITUTES OF HEALTH, HHS","DIVISION OF INTERNATIONAL SERVICES/ORS","BETHESDA","MD","20892","19-1021.00","Biochemists and Biophysicists","RESEARCH FELLOW","68960",,"Year","Y",1,"BETHESDA","MD","41454.00","Year","OES",,"2010",,,,,,,,"541712",6/15/2010 0:00:00
"I-200-10160-000064","CERTIFIED",6/10/2010 14:41:27,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"SAMSUNG CHEMICAL USA INC","14251 E. FIRESTONE BLVD. #101","LA MIRADA","CA","90638","15-1051.00","Computer Systems Analysts","INFORMATION SYSTEMS ANALYST","55500",,"Year","Y",1,"LA MIRADA","CA","50232.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"423990",6/16/2010 0:00:00
"I-200-10160-455911","CERTIFIED",6/17/2010 17:40:58,"H-1B",7/15/2010 0:00:00,7/15/2013 0:00:00,"INTERNATIONAL TECHNOLOGIES PRO","1616 S. VOSS ROAD","HOUSTON","TX","77057","15-1061.00","Database Administrators","DATA SYSTEMS ANALYST","60000","70000","Year","Y",1,"HERNDON","VA","52998.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/23/2010 0:00:00
"I-200-10160-256581","DENIED",6/9/2010 17:56:37,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"HEDMAN ORCHARDS & VINEYARDS INC.","560 CHESTNUT STREET","ALTO PASS","IL","62905","11-2021",,"MARKETING MANAGER","65000","65000","Year","Y",1,"ALTO PASS","IL","62109","Year","OES",,"2009",,,,,,,,"111332",6/11/2010 15:38:06
"I-200-10160-147864","CERTIFIED",6/9/2010 18:00:07,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"HOWARD UNIVERSITY","2400 SIXTH STREET NW","WASHINGTON","DC","20059","29-1029.99","Dentists, All Other Specialists","SECOND YEAR DENTAL RESIDENT","46600",,"Year","Y",1,"WASHINGTON","DC","46600","Year","Other","ADA SURVEY SURVEY OF RESIDENTS/FELLOW STIPENDS & B","2009",,,,,,,,"611310",6/15/2010 0:00:00
"I-200-10160-069186","CERTIFIED",6/9/2010 18:06:31,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"SUNNYSIDE NURSING CENTER","22617 S. VERMONT AVENUE","TORRANCE","CA","90502","21-1091.00","Health Educators","HEALTH PROMOTION SPECIALIST","27",,"Hour","Y",1,"TORRANCE","CA","16.11","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"623110",6/15/2010 0:00:00
"I-200-10160-706129","CERTIFIED",6/9/2010 17:59:26,"H-1B",8/16/2010 0:00:00,8/15/2013 0:00:00,"LAWRENCE BERKELEY NATIONAL LABORATORY","1 CYCLOTRON ROAD, 65A","BERKELEY","CA","94720","19-2012.00","Physicists","STAFF PHYSICIST","128988",,"Year","Y",1,"BERKELEY","CA","87381.00","Year","OES","N/A","2010",,,,,,,,"541710",6/15/2010 0:00:00
"I-200-10160-718483","CERTIFIED",6/10/2010 17:19:00,"H-1B",6/15/2010 0:00:00,6/14/2013 0:00:00,"FABIT CORP.","1201 NORTH ORANGE ST.","WILMINGTON","DE","19801","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","37500","52000","Year","Y",1,"NORTH PALM BEACH","FL","37107","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/16/2010 0:00:00
"I-200-10160-719460","DENIED",6/9/2010 18:12:26,"H-1B",6/21/2010 0:00:00,6/20/2013 0:00:00,"ARCHITECTURAL LIGHTING DESIGN INC.","4230 AVONDALE AVENUE, SUITE 202","DALLAS","TX","75219","27-1025.00","Interior Designers","ASSOCIATE DESIGNER/PROJECT MANAGER","40000",,"Year","Y",1,"DALLAS","TX","30618","Year","Other","FLC DATA CENTER","2010",,,,,,,,"541310",6/15/2010 12:08:52
"I-200-10160-071174","CERTIFIED",6/9/2010 18:02:45,"H-1B",6/28/2010 0:00:00,6/28/2013 0:00:00,"TECH MAHINDRA (AMERICAS), INC.","2140 LAKE PARK BLVD.","RICHARDSON","TX","75080-2290","15-1071.00","Network and Computer Systems Administrators","SYSTEMS ADMINISTRATOR","60000",,"Year","Y",1,"GREENSBORO","NC","53810","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/15/2010 0:00:00
