"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10166-215427","CERTIFIED",6/15/2010 18:21:33,"H-1B",9/5/2010 0:00:00,9/4/2013 0:00:00,"KAIROS TECHNOLOGIES INC.","300 E ROYAL LN","IRVING","TX","75039","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER","62000",,"Year","Y",1,"IRVING","TX","61506.00","Year","OES","OFLC ONLINE DATA CENTER","2009","IRVING","TX","61506.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",6/23/2010 0:00:00
"I-200-10166-242541","CERTIFIED",6/15/2010 13:55:54,"H-1B",6/15/2010 0:00:00,6/15/2013 0:00:00,"ISR INFO WAY, INC.","559 D'ONOFRIO DRIVE, SUITE 101 &AMP; 102","MADISON","WI","53719","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","55557","75000","Year","Y",1,"CHICAGO","IL","55557.00","Year","Other","FLC DATA CENTER ONLINE WAGE SURVEY","2009",,,,,,,,"541511",6/23/2010 0:00:00
"I-200-10166-456713","CERTIFIED",6/15/2010 15:53:02,"H-1B",9/30/2010 0:00:00,12/28/2011 0:00:00,"WC SOFTWARE SERVICES, INC.","1895 CHATTAHOOCHEE RUN DRIVE","SUWANEE","GA","30024","15-1031.00","Computer Software Engineers, Applications","PROGRAMMER ANALYST","33.25",,"Hour","Y",1,"BOTHELL","WA","33.25","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/23/2010 0:00:00
"I-200-10166-765549","CERTIFIED",6/21/2010 13:07:10,"H-1B",7/12/2010 0:00:00,12/28/2012 0:00:00,"WESTERN UNION, LLC","20 CORPORATE HILLS DRIVE","ST. CHARLES","MO","63301","15-1031.00","Computer Software Engineers, Applications","APPLICATION ARCHITECT","80500",,"Year","Y",1,"MONTVALE","NJ","80475.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"522320",6/25/2010 0:00:00
"I-200-10166-040205","CERTIFIED-WITHDRAWN",6/18/2010 14:05:28,"H-1B",12/10/2010 0:00:00,12/9/2013 0:00:00,"SCANDENT GROUP, INC.","100 SOUTH JEFFERSON ROAD","WHIPPANY","NJ","07981","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","62000",,"Year","Y",1,"INDIANAPOLIS","IN","38022.00","Year","OES","OFLC DATA CENTER","2009",,,,,,,,"541511",6/24/2010 0:00:00
"I-200-10166-276935","CERTIFIED",6/15/2010 14:02:24,"H-1B",9/25/2010 0:00:00,9/24/2013 0:00:00,"VISCA, LLC","2301 W BIG BEAVER RD","DETROIT","MI","48084","17-2071.00","Electrical Engineers","SENIOR SCIENTIST","72100",,"Year","Y",1,"DETROIT","MI","69430","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541710",6/23/2010 0:00:00
"I-200-10166-251376","CERTIFIED",6/15/2010 13:57:31,"H-1B",10/25/2010 0:00:00,10/10/2011 0:00:00,"VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY","526 PRIICES FORK ROAD - IAO/VT","BLACKSBURG","VA","24061","25-1032.00","Engineering Teachers, Postsecondary","ASSOCIATE PROFESSOR","90000",,"Year","Y",1,"BLACKSBURG","VA","68973","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"611300",6/23/2010 0:00:00
"I-200-10166-413714","CERTIFIED",6/15/2010 14:00:20,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"ORACLE AMERICA, INC.","500 ORACLE PARKWAY","REDWOOD SHORES","CA","94065","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER (SOFTWARE DEVELOPER 1)","87000","89000","Year","Y",1,"PLEASANTON","CA","56500","Year","Other","TOWERS WATSON PROFESSIONAL SPECIALIZED SERVICES","2009",,,,,,,,"511210",6/23/2010 0:00:00
"I-200-10166-340991","CERTIFIED",6/16/2010 14:01:29,"H-1B",8/1/2010 0:00:00,7/31/2013 0:00:00,"CH2M HILL, INC.","9191 SOUTH JAMAICA STREET","ENGLEWOOD","CO","80112","17-2051.00","Civil Engineers","STAFF ENGINEER","58901.64",,"Year","Y",1,"GAINESVILLE","FL","45968.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"237990",6/23/2010 0:00:00
"I-200-10166-150959","CERTIFIED",6/15/2010 14:03:49,"H-1B",10/20/2010 0:00:00,9/30/2013 0:00:00,"SKYTERRA LP","10802 PARKRIDGE BOULEVARD","RESTON","VA","20191","11-1021.00","General and Operations Managers","EXECUTIVE  VICE PRESIDENT, OPERATIONS","156520","500000","Year","Y",1,"RESTON","VA","156520.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"517410",6/23/2010 0:00:00
