"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10169-917425","CERTIFIED",6/18/2010 17:39:55,"H-1B",6/18/2010 0:00:00,8/31/2012 0:00:00,"INFOGEN SOFTWARE INC","9631 WASHINGTON AVE","LAUREL","MD","20723","15-1021.00","Computer Programmers","PROGRAMMER/ANALYST","34",,"Hour","N",1,"WASHINGTON","DC","33.66","Hour","OES","OFLC ONLINE DATA CENTER","2010","LAUREL","MD","33.66","Hour","OES","OFLC ONLINE DATA CENTER","2010","541511",6/24/2010 0:00:00
"I-200-10169-580884","CERTIFIED-WITHDRAWN",6/18/2010 17:39:38,"H-1B",10/1/2010 0:00:00,9/30/2011 0:00:00,"NORTHWESTERN UNIVERSITY","630 DARTMOUTH PLACE","EVANSTON","IL","60208","19-1021.00","Biochemists and Biophysicists","CLINICAL RESEARCH ASSOCIATE","36996",,"Year","Y",1,"CHICAGO","IL","34154.00","Year","OES",,"2009",,,,,,,,"611310",6/24/2010 0:00:00
"I-200-10169-948965","CERTIFIED",6/18/2010 17:44:56,"H-1B",9/26/2010 0:00:00,9/26/2013 0:00:00,"EMPOWER TECHNOLOGY SOLUTIONS, INC.","196 PRINCETON HIGHTSTOWN ROAD","WEST WINDSOR","NJ","08550","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","69118",,"Year","Y",1,"RALEIGH","NC","59301.00","Year","OES","OFLC ONLINE DATA CENTER","2010","WEST WINDSOR","NJ","69118.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",6/24/2010 0:00:00
"I-200-10169-972943","DENIED",6/18/2010 17:59:29,"H-1B",6/25/2010 0:00:00,6/24/2013 0:00:00,"FAITH REHAB SOLUTIONS, LLC","15525 LAKESIDE VILLAGE DR.","CLINTON TOWNSHIP","MI","48038","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","26",,"Hour","N",1,"SOUTHFIELD","MI","25.16","Hour","OES","OFLC ONLINE DATA CENTER","2010","WARREN","MI","25.16","Hour","OES","OFLC ONLINE DATA CENTER","2010","621610",6/21/2010 13:53:54
"I-200-10169-566090","CERTIFIED",6/18/2010 17:44:37,"H-1B",10/26/2010 0:00:00,10/25/2013 0:00:00,"THE UNIVERSITY OF TEXAS MEDICAL BRANCH","301 UNIVERSITY BLVD","GALVESTON","TX","77555","19-1042.00","Medical Scientists, Except Epidemiologists","RESEARCH SCIENTIST","45504",,"Year","Y",1,"GALVESTON","TX","33155","Year","OES","N/A","2010",,,,,,,,"611310",6/24/2010 0:00:00
"I-200-10169-654745","CERTIFIED",6/18/2010 18:00:44,"H-1B",6/18/2010 0:00:00,6/18/2013 0:00:00,"UST GLOBAL INC.","120 VANTIS","ALISO VIEJO","CA","92656","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","53000","58500","Year","Y",2,"WOODLAND HILLS","CA","51584.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",6/24/2010 0:00:00
"I-200-10169-430260","CERTIFIED",6/22/2010 10:31:50,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"KOETTER, KIM & ASSOCIATES, INC.","356 BOYLSTON ST","BOSTON","MA","02116","17-1011.00","Architects, Except Landscape and Naval","SENIOR DESIGNER","70000",,"Year","Y",1,"BOSTON","MA","59301.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541310",6/28/2010 0:00:00
"I-200-10169-462885","CERTIFIED",6/25/2010 15:40:57,"H-1B",9/30/2010 0:00:00,12/11/2011 0:00:00,"GOLDMAN, SACHS & CO.","200 WEST STREET","NEW YORK","NY","10282","15-1011.00","Computer and Information Scientists, Research","SENIOR ANALYST/DEVELOPER","120400",,"Year","Y",1,"NEW YORK","NY","98800","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"523110",7/1/2010 0:00:00
"I-200-10169-305583","CERTIFIED",6/18/2010 21:20:49,"H-1B",7/1/2010 0:00:00,6/30/2013 0:00:00,"STATE UNIVERSITY OF NEW YORK AT BUFFALO","117 CARY HALL","BUFFALO","NY","14214","29-1069.99","Physicians and Surgeons, All Other","MEDICAL RESIDENT PGY-1","44000",,"Year","Y",1,"BUFFALO","NY","42257.00","Year","Other","AAMC SURVEY OF RESIDENT/FELLOW STIPENDS AND BENEFI","2009","BUFFALO","NY","42257.00","Year","Other","AAMC SURVEY OF RESIDENT/FELLOW STIPENDS AND BENEFI","2009","611310",6/24/2010 0:00:00
"I-200-10169-947864","CERTIFIED",6/18/2010 19:13:40,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"ENOLA HONG KONG BUFFET INC.","328 E. PENN DRIVE","ENOLA","PA","17025","11-2011.00","Advertising and Promotions Managers","MARKETING AND PROMOTIONS MANAGER","45000",,"Year","Y",1,"ENOLA","PA","44221","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"7221",6/24/2010 0:00:00
"I-200-10169-055078","CERTIFIED",6/18/2010 19:15:36,"H-1B",7/1/2010 0:00:00,7/1/2013 0:00:00,"XOOM CORPORATION","100 BUSH STREET","SAN FRANCISCO","CA","94104","15-1061.00","Database Administrators","SENIOR USER INTERFACE ENGINEER","125000",,"Year","Y",1,"SAN FRANCISCO","CA","107848.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"522320",6/24/2010 0:00:00
"I-200-10169-793869","CERTIFIED",6/25/2010 16:43:59,"H-1B",7/15/2010 0:00:00,7/14/2011 0:00:00,"SHARP GROSSMONT HOSPITAL","5555 GROSSMONT CENTER DRIVE","LA MESA","CA","91942","29-1127.00","Speech-Language Pathologists","LEAD REHABILITATION THERAPIST","88441.6",,"Year","Y",1,"LA MESA","CA","84178.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"622110",7/1/2010 0:00:00
"I-200-10169-353165","CERTIFIED",9/10/2010 14:03:14,"H-1B",12/15/2010 0:00:00,12/14/2013 0:00:00,"TRI-STATE EMPLOYMENT SERVICE, INC.","160 BROADWAY","NEW YORK","NY","10038","11-3021.00","Computer and Information Systems Managers","SERVICE ASSURANCE DEVELOPER (COMP/INFO SYSTEMS MNG","65",,"Hour","Y",1,"NEW YORK","NY","59.41","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"561320",9/16/2010 0:00:00
"I-200-10169-575106","CERTIFIED",6/18/2010 17:47:13,"H-1B",6/18/2010 0:00:00,6/18/2013 0:00:00,"TECHMAGIX, INC.","1300 W. WALNUT HILL LANE","IRVING","TX","75038","15-1021.00","Computer Programmers","COMPUTER SOFTWARE PROGRAMMER","54000",,"Year","Y",1,"SOUTH BRUNSWICK","NJ","53227.00","Year","OES","OFLC ONLINE DATA CENTER","2009","IRVING","TX","49317","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",6/24/2010 0:00:00
"I-200-10169-074680","CERTIFIED-WITHDRAWN",6/18/2010 17:48:00,"H-1B",7/12/2010 0:00:00,7/11/2013 0:00:00,"MINDLANCE, INC.","80 RIVER STREET","HOBOKEN","NJ","07030","15-1021.00","Computer Programmers","SENIOR JAVA DEVELOPER","100000",,"Year","Y",1,"HOBOKEN","NJ","63586","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",6/24/2010 0:00:00
"I-203-10169-007483","DENIED",6/18/2010 17:57:03,"E-3 Australian",6/30/2010 0:00:00,6/30/2012 0:00:00,"ENTER NEW MEDIA, LLC","60-62 E. 11TH ST","NEW YORK","NY","10003","27-1029.00","Designers, All Other","DESIGNER","70000",,"Year","Y",1,"NEW YORK","NY","61526.00","Year","OES",,"2010",,,,,,,,"541890",6/24/2010 15:56:02
"I-200-10169-938560","CERTIFIED",6/22/2010 11:52:51,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"STRATEGIC LEGAL RESOURCES, INC.","110 EAST 42ND STREET","NEW YORK","NY","10017","23-1011.00","Lawyers","JAPANESE LANGUAGE DOCUMENT REVIEWER","55",,"Hour","Y",1,"NEW YORK","NY","41.77","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"54119",6/28/2010 0:00:00
"I-200-10169-759406","CERTIFIED",6/21/2010 11:18:55,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"ALABAMA FAMILY MEDICAL CENTER L.L.C.","1718 VETERANS MEMORIAL PARKWAY","TUSCALOOSA","AL","35404","29-1062.00","Family and General Practitioners","FAMILY PRACTICE PHYSICIAN","115000",,"Year","Y",1,"TUSCALOOSA","AL","47445.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621111",6/25/2010 0:00:00
