"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-203-10174-832168","CERTIFIED",6/23/2010 22:04:15,"E-3 Australian",7/19/2010 0:00:00,7/18/2012 0:00:00,"CAPGEMINI FINANCIAL SERVICES USA INC.","6400 SHAFER COURT","ROSEMONT","IL","60018","11-3021.00","Computer and Information Systems Managers","LEAD CONSULTANT","116000",,"Year","Y",1,"NEW YORK","NY","97240.00","Year","OES","OFLC ONLINE DATA CENTER","2009","ROSEMONT","IL","75670.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",6/29/2010 0:00:00
"I-200-10174-418818","CERTIFIED",7/8/2010 22:53:13,"H-1B",7/23/2010 0:00:00,7/22/2013 0:00:00,"UNX LLC","175 EAST OLIVE AVENUE, SECOND FLOOR","BURBANK","CA","91502","11-3021.00","Computer and Information Systems Managers","MANAGING DIRECTOR, HEAD OF PRODUCT MANAGEMENT","169978","350000","Year","Y",1,"NEW YORK","NY","169978.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"522320",7/14/2010 0:00:00
"I-200-10174-500261","DENIED",6/23/2010 22:36:43,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"INTERNET SPECIALTY SERVICES, LLC.","13115 W. HARVEST LN. CT.","WICHITA","KS","67235","15-1021.00","Computer Programmers","GLOBALWEBCART DEVELOPER","21",,"Hour","Y",1,"WICHITA","KS","21","Hour","OES",,"2008",,,,,,,,"518111",6/28/2010 11:22:33
"I-200-10174-159841","CERTIFIED",6/23/2010 23:12:04,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"SCHILTKAMP INTERNATIONAL CONSULTANTS","24 WEST 71ST STREET","NEW YORK","NY","10023","13-1199.99","Business Operations Specialists, All Other","BUSINESS OPERATIONS SPECIALIST","24","28","Hour","N",1,"NEW YORK","NY","21.35","Hour","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"54161",6/29/2010 0:00:00
"I-200-10174-750724","CERTIFIED-WITHDRAWN",6/28/2010 19:09:26,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"QUALCOMM INCORPORATED","5775 MOREHOUSE DRIVE","SAN DIEGO","CA","92121","17-2061.00","Computer Hardware Engineers","HARDWARE ENGINEER, SENIOR","80350.4","117756","Year","Y",1,"SAN DIEGO","CA","80350.40","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334220",7/2/2010 0:00:00
"I-200-10174-663312","DENIED",6/23/2010 23:07:21,"H-1B",7/15/2010 0:00:00,2/28/2013 0:00:00,"LYNIT SOLUTIONS INC","900 S WASHINGTON ST SUITE G10","FALLS CHURCH","VA","22046","13-2011.00","Accountants and Auditors","FINANCIAL SYSTEM AUDITOR","50000","60000","Year","Y",1,"FALLS CHURCH","VA","47362.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",6/25/2010 11:41:23
"I-200-10174-701129","CERTIFIED",6/23/2010 22:36:03,"H-1B",6/28/2010 0:00:00,6/27/2013 0:00:00,"SUNERA TECHNOLOGIES, INC","631 E. BIG BEAVER, SUITE 109","TROY","MI","48083","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","79000",,"Year","Y",1,"VIENNA","VA","78042.00","Year","OES","OFLC ONLINE DATA CENTER","2010","TROY","MI","65894","Year","OES","OFLC ONLINE DATA CENTER","2010","5415",6/29/2010 0:00:00
"I-200-10174-394152","CERTIFIED",6/23/2010 22:38:41,"H-1B",8/1/2010 0:00:00,8/1/2013 0:00:00,"MY LEARNING SPRINGBOARD, INC.","202 WEST 81TH STREET","NEW YORK","NY","10024","25-3099.99","Teachers and Instructors, All Other","ACADEMIC TUTOR","75",,"Hour","N",1,"NEW YORK","NY","24.00","Hour","OES","OFLC ONLINE DATA CENTER (ANNUAL INCOME DIVIDED BY 2080 HOURS)","2009",,,,,,,,"611710",6/29/2010 0:00:00
"I-200-10174-286775","CERTIFIED-WITHDRAWN",6/28/2010 19:37:30,"H-1B",7/12/2010 0:00:00,7/11/2013 0:00:00,"QUALCOMM INCORPORATED","5775 MOREHOUSE DRIVE","SAN DIEGO","CA","92121","17-2072.00","Electronics Engineers, Except Computer","HARDWARE ENGINEER, STAFF","98758.4","147912","Year","Y",1,"SAN DIEGO","CA","98758.40","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"334220",7/2/2010 0:00:00
"I-200-10174-451083","CERTIFIED",6/23/2010 22:59:55,"H-1B",6/24/2010 0:00:00,6/24/2013 0:00:00,"@BUSINESS INC.","201 SOUTH LAKE AVENUE","PASADENA","CA","91101","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER","99299",,"Year","Y",1,"ROSEMEAD","CA","99299.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541519",6/29/2010 0:00:00
