"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10180-715775","CERTIFIED",6/29/2010 12:50:29,"H-1B",6/29/2010 0:00:00,6/28/2013 0:00:00,"DIVERSE LYNX, LLC","300 ALEXANDER PARK","PRINCETON","NJ","08540","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","69000",,"Year","Y",1,"PRINCETON","NJ","68786","Year","Other","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541511",7/6/2010 0:00:00
"I-200-10180-254440","CERTIFIED",6/29/2010 12:51:59,"H-1B",6/30/2010 0:00:00,6/30/2013 0:00:00,"KNP INC.","16651 REDMOND WAY","REDMOND","WA","98052","11-9051.00","Food Service Managers","EXECUTIVE CHEF","37.93",,"Hour","N",1,"REDMOND","WA","37.93","Hour","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"72211",7/6/2010 0:00:00
"I-200-10180-173510","CERTIFIED",6/29/2010 12:59:11,"H-1B",6/29/2010 0:00:00,6/28/2013 0:00:00,"UNIFY SOLUTIONS, INC.","4 WEST ROLLING CROSSROADS, SUITE # 9","CATONSVILLE","MD","21228","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","63300",,"Year","Y",1,"WARREN","NJ","63294.00","Year","OES","OFLC ONLINE DATA CENTER","2009","CATONSVILLE","MD","55827.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",7/6/2010 0:00:00
"I-200-10180-378881","CERTIFIED",7/1/2010 20:22:22,"H-1B",7/1/2010 0:00:00,10/9/2010 0:00:00,"SCANDENT GROUP, INC.","100 SOUTH JEFFERSON ROAD","WHIPPANY","NJ","07981","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","65000",,"Year","Y",1,"ESSEX","MD","63690.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/8/2010 0:00:00
"I-200-10180-701515","CERTIFIED",6/29/2010 14:14:44,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"UBERMIND INC","2400 NW 80TH STREET, #187","SEATTLE","WA","98117","15-1021.00","Computer Programmers","SOFTWARE DEVELOPER","60278",,"Year","Y",1,"SEATTLE","WA","60278","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541690",7/6/2010 0:00:00
"I-200-10180-928125","CERTIFIED",6/29/2010 13:17:58,"H-1B",9/28/2010 0:00:00,9/27/2013 0:00:00,"THE BERNSTEIN COMPANIES","3299 K STREET NW   #700","WASHINGTON","DC","20007","13-2011.00","Accountants and Auditors","STAFF ACCOUNTANT","46155",,"Year","Y",1,"WASHINGTON","DC","40400.00","Year","Other","WATSON WYATT: SURVEY REPORT ON PROFESSIONAL ADMINISTRATIVE SERVICES COMPENSATION","2009",,,,,,,,"5313",7/6/2010 0:00:00
"I-200-10180-359437","CERTIFIED",6/29/2010 13:31:10,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"EPITOPE DIAGNOSTICS, INC.","8940 ACTIVITY ROAD","SAN DIEGO","CA","92126","19-1029.00","Biological Scientists, All Other","BIOLOGICAL SCIENTIST","32000",,"Year","Y",1,"SAN DIEGO","CA","31824.00","Year","OES","OFLC ONLINE DATA CENTER","2009",,,,,,,,"541711",7/6/2010 0:00:00
"I-200-10180-664999","CERTIFIED-WITHDRAWN",6/29/2010 12:57:11,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"PHOENIX PACKAGING LLC","3900 PEMBROKE ROAD","HOLLYWOOD","FL","33021","17-2199.99","Engineers, All Other","PLANT MANAGER","60000",,"Year","Y",1,"DUBLIN","VA","51646.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"326150",7/6/2010 0:00:00
"I-200-10180-355452","CERTIFIED",6/29/2010 13:04:48,"H-1B",9/23/2010 0:00:00,9/22/2013 0:00:00,"ACME PORTABLE MACHINES, INC.","1330 MOUNTAIN VIEW CIRCLE","AZUSA","CA","91702","13-2011.00","Accountants and Auditors","ACCOUNTANT/FINANCIAL ANALYST","42600",,"Year","Y",1,"AZUSA","CA","42598.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"423990",7/6/2010 0:00:00
"I-200-10180-232735","CERTIFIED-WITHDRAWN",6/29/2010 12:56:59,"H-1B",8/1/2010 0:00:00,5/7/2012 0:00:00,"UNIVERSITY OF CALIFORNIA, DAVIS","ONE SHIELDS AVENUE","DAVIS","CA","95616","19-2099.99","Physical Scientists, All Other","ASSOCIATE PROJECT SCIENTIST","60700",,"Year","Y",1,"DAVIS","CA","38126.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",7/6/2010 0:00:00
