"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10187-256896","CERTIFIED",7/7/2010 16:17:37,"H-1B",7/30/2010 0:00:00,7/30/2013 0:00:00,"TEKNOSOL, INC.","2500 PLAZA 5","JERSEY CITY","NJ","07311","15-1021.00","Computer Programmers","PROGRAMMER ANALYST (SAP)","66000",,"Year","Y",1,"JERSEY CITY","NJ","65582.00","Year","OES","OFLC ONLINE DATA CENTER","2010","LYNCHBURG","VA","55245.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",7/13/2010 0:00:00
"I-200-10187-157926","CERTIFIED",7/6/2010 16:17:51,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"ABM WIRELESS","205 MARCUS BLVD","HAUPPAUGE","NY","11788","19-3021.00","Market Research Analysts","MARKET RESEARCH ANALYST","51000",,"Year","Y",1,"HAUPPAUGE","NY","44450.00","Year","Other","WWW.FLCDATACENTER.COM","2010",,,,,,,,"541511",7/12/2010 0:00:00
"I-200-10187-532466","CERTIFIED",7/7/2010 11:08:21,"H-1B",7/16/2010 0:00:00,7/15/2013 0:00:00,"ADS ALLIANCE DATA SYSTEMS, INC.","4445 LAKE FOREST DRIVE, STE. 200","CINCINNATI","OH","45242","15-1061.00","Database Administrators","DATABASE ADMINISTRATOR, SENIOR","108711.35",,"Year","Y",1,"IRVING","TX","88005.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541910",7/13/2010 0:00:00
"I-200-10187-202635","CERTIFIED",7/6/2010 16:14:27,"H-1B",12/3/2010 0:00:00,12/2/2013 0:00:00,"JASS & ASSOCIATES INC.","2099 GATEWAY PLACE, SUITE 340","SAN JOSE","CA","95110","15-1051.00","Computer Systems Analysts","IT ANALYST","65000",,"Year","Y",1,"SAN JOSE","CA","58427.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/12/2010 0:00:00
"I-200-10187-351748","CERTIFIED",7/12/2010 16:58:37,"H-1B",9/15/2010 0:00:00,9/14/2013 0:00:00,"NATIONAL FOUNDATION FOR CANCER RESEARCH","4600 EAST WEST HIGHWAY","BETHESDA","MD","20814","27-3099.99","Media and Communication Workers, All Other","MARKETING&COMMUNICATIONS ASSOCIATE","32000",,"Year","Y",1,"BETHESDA","MD","27102.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"813211",7/16/2010 0:00:00
"I-200-10187-890731","DENIED",7/6/2010 16:34:41,"H-1B",7/27/2010 0:00:00,2/28/2012 0:00:00,"INTERNATIONAL SOLUTIONS GROUP, INC.","1110 ELDEN STREET, SUITE #201","HERNDON","VA","20170","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","72000",,"Year","Y",1,"HERNDON","VA","70013.00","Year","Other","ONLINE WAGE LIBRARY","2010","NORTH WINDSOR","CT","71885.00","Year","Other","ONLINE WAGE LIBRARY","2010","541511",7/8/2010 15:56:46
"I-200-10187-802247","CERTIFIED",7/6/2010 16:28:10,"H-1B",8/21/2010 0:00:00,8/21/2013 0:00:00,"E-INFOTEK SOLUTIONS, INC.","42840 CHRISTY STREET, STE. 112","FREMONT","CA","94538","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","58100",,"Year","Y",1,"AUBURN HILLS","MI","58032","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"54151",7/12/2010 0:00:00
"I-200-10187-649954","CERTIFIED",8/18/2010 16:04:20,"H-1B",12/31/2010 0:00:00,12/31/2013 0:00:00,"SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE","10901 N. TORREY PINES ROAD","LA JOLLA","CA","92037","19-1029.99","Biological Scientists, All Other","STAFF SCIENTIST","55000",,"Year","Y",1,"LA JOLLA","CA","43784.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541711",8/24/2010 0:00:00
"I-200-10187-360523","DENIED",7/26/2010 16:59:52,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"GAUCHO LLC","37 WEST 17TH STREET, SUITE 7E","NEW YORK","NY","10011","27-3031.00","Public Relations Specialists","PUBLIC RELATIONS ANALYST","80000",,"Year","Y",1,"NEW YORK","NY","70574.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"551114",8/2/2010 10:35:50
"I-200-10187-657085","CERTIFIED",7/6/2010 16:25:02,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"MERCEDES CLS SERVICES INC.","PELICAN BAYS 117","DAVIE","FL","33314","11-3031.00","Financial Managers","FINANCE DIRECTOR","32.24",,"Hour","N",1,"DAVIE","FL","32.24","Hour","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"8111",7/12/2010 0:00:00
