"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10193-311158","CERTIFIED",7/12/2010 7:07:11,"H-1B",8/2/2010 0:00:00,7/31/2013 0:00:00,"INFOSYS TECHNOLOGIES LIMITED","6100, TENNYSON PKWY","PLANO","TX","75024","41-9031.00","Sales Engineers","BUSINESS DEVELOPMENT MANAGER","45.09","54.7","Hour","Y",100,"IRVINE","CA","45.09","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/16/2010 0:00:00
"I-200-10193-828741","CERTIFIED",7/12/2010 7:14:40,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1051.00","Computer Systems Analysts","BUSINESS SYSTEM ANALYST","58302","79000","Year","Y",10,"MIAMI","FL","58302","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/16/2010 0:00:00
"I-200-10193-581107","CERTIFIED",7/12/2010 7:25:28,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","59030","80000","Year","Y",10,"MIAMI","FL","59030","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/16/2010 0:00:00
"I-200-10193-066172","CERTIFIED",7/12/2010 7:33:14,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","54080","75000","Year","Y",10,"PITTSBURGH","PA","54080","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/16/2010 0:00:00
"I-200-10193-549317","CERTIFIED",7/12/2010 7:47:05,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","68078","89000","Year","Y",10,"NATICK","MA","68078","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/16/2010 0:00:00
"I-200-10193-419441","CERTIFIED",7/12/2010 7:38:40,"H-1B",7/12/2010 0:00:00,7/11/2013 0:00:00,"IBM INDIA PRIVATE LIMITED","3039 CORNWALLIS ROAD","DURHAM","NC","27709","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","74795","74795","Year","Y",1,"PHILADELPHIA","PA","67995","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541510",7/16/2010 0:00:00
"I-200-10193-553813","DENIED",7/12/2010 7:59:50,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"MY ARCH INC.","5102 WOODFORD DR.","CENTREVILLE","VA","20120","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","58000",,"Year","Y",1,"ROCKVILLE","MD","55349.00","Year","OES","OFLC ONLINE DATA CENTER","2010","CENTREVILLE","VA","55432.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",7/12/2010 12:42:47
"I-200-10193-548907","CERTIFIED",7/12/2010 7:56:15,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","68078","89000","Year","Y",10,"MARLBOROUGH","MA","68078","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/16/2010 0:00:00
"I-200-10193-565487","WITHDRAWN",7/12/2010 7:52:38,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"INSIGMA INC.","12040 SOUTH LAKES DRIVE","RESTON","VA","20191","15-1031",,".NET PROGRAMMER","66622",,"Year","Y",1,"MCLEAN","VA","66622","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",7/13/2010 0:00:00
"I-200-10193-362965","CERTIFIED",7/12/2010 8:05:18,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","57117","78000","Year","Y",10,"MASON","OH","57117","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/16/2010 0:00:00
