"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10196-712720","CERTIFIED",7/15/2010 13:49:54,"H-1B",7/15/2010 0:00:00,7/15/2013 0:00:00,"KNIGHT EQUITY MARKETS, L.P.","545 WASHINGTON BOULEVARD","JERSEY CITY","NJ","07310","15-1031.00","Computer Software Engineers, Applications","PROGRAMMER ANALYST, ELECTRONIC COMMUNICATION NETWO","130000",,"Year","Y",1,"JERSEY CITY","NJ","117312.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"523110",7/21/2010 0:00:00
"I-200-10196-764964","CERTIFIED",7/15/2010 11:55:23,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"ITDEZINE INC","13 MAPLE GLEN CT","WOOLWICH","NJ","08085","15-1021.00","Computer Programmers","IT ANALYST","66976",,"Year","Y",1,"SAN JOSE","CA","66976.00","Year","OES","OFLC ONLINE DATA CENTER","2009","WOOLWICH","NJ","51854.00","Year","OES","OFLC ONLINE DATA CENTER","2009","541511",7/21/2010 0:00:00
"I-200-10196-039887","CERTIFIED",8/11/2010 17:18:24,"H-1B",12/16/2010 0:00:00,3/8/2013 0:00:00,"LINEDATA SERVICES, INC.","260 FRANKLIN STREET, SUITE 1300","BOSTON","MA","02110","15-1051.00","Computer Systems Analysts","PROJECT CONSULTANT","91000","100000","Year","Y",1,"BOSTON","MA","90418.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/17/2010 0:00:00
"I-200-10196-081283","CERTIFIED",7/15/2010 11:46:43,"H-1B",9/24/2010 0:00:00,9/23/2013 0:00:00,"CYBER RESOURCE GROUP INC","208 NORTH CENTER DRIVE","NORTH BRUNSWICK","NJ","08902","15-1021.00","Computer Programmers","PROGRAMMER  ANALYST","63877",,"Year","Y",1,"MILLERSVILLE","MD","63877.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/21/2010 0:00:00
"I-200-10196-022045","WITHDRAWN",7/15/2010 12:14:47,"H-1B",7/30/2010 0:00:00,10/11/2010 0:00:00,"COSMOS SERVICES (AMERICA), INC.","65 BROADWAY","NEW YORK","NY","10006","13-1199.99","Business Operations Specialists, All Other","BUSINESS DEVELOPMENT ANALYST","20.71",,"Hour","Y",1,"NEW YORK","NY","20.71","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"524210",7/15/2010 0:00:00
"I-200-10196-867060","CERTIFIED",7/15/2010 17:50:36,"H-1B",7/20/2010 0:00:00,7/19/2013 0:00:00,"TENWOOD PT LLC","5101 PARK AVENUE","WEST NEW YORK","NJ","07093","13-1051.00","Cost Estimators","COST ESTIMATORS","45000","57000","Year","Y",1,"WEST NEW YORK","NJ","41163.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",7/21/2010 0:00:00
"I-200-10196-802993","CERTIFIED",7/15/2010 17:55:06,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"GENUINEIT LLC","9894 BISSONNET ST","HOUSTON","TX","77036","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","51875",,"Year","Y",1,"MAYFIELD VILLAGE","OH","51875.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",7/21/2010 0:00:00
"I-200-10196-403928","CERTIFIED",7/15/2010 11:53:01,"H-1B",8/2/2010 0:00:00,8/1/2013 0:00:00,"ICONSOFT INC.","101 CAMBRIDGE STREET","BURLINGTON","MA","01803","15-1021.00","Computer Programmers","SOFTWARE DEVELOPER","72000",,"Year","Y",1,"BURLINGTON","MA","61173.00","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2010","SAN FRANCISCO","CA","62150.00","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2010","541511",7/21/2010 0:00:00
"I-200-10196-197715","CERTIFIED",7/15/2010 15:23:49,"H-1B",9/28/2010 0:00:00,9/28/2013 0:00:00,"THE BOEDECKER COMPANY","1610 LAKE DRIVE WEST","CHANHASSEN","MN","55317","17-2041.00","Chemical Engineers","APPLICATION ENGINEER/REGIONAL SALES MANAGER","69495",,"Year","Y",1,"CHANHASSEN","MN","62317.00","Year","OES","APWD, INC.: OFLC ONLINE DATA CENTER","2010",,,,,,,,"333993",7/21/2010 0:00:00
"I-200-10196-003787","CERTIFIED",7/15/2010 11:50:31,"H-1B",7/16/2010 0:00:00,7/15/2013 0:00:00,"NEXIUS SOLUTIONS INC.","11951 FREEDOM DRIVE, SUITE 13","RESTON","VA","20190","17-2072.00","Electronics Engineers, Except Computer","SENIOR MICROWAVE ENGINEER","54000",,"Year","Y",1,"RESTON","VA","53710","Year","OES","OFLC ONLINE DATA CENTER","2009","PITTSBURGH","PA","53710","Year","OES","OFLC ONLINE DATA CENTER","2009","541330",7/21/2010 0:00:00
"I-200-10196-064330","CERTIFIED",7/15/2010 12:03:21,"H-1B",7/15/2010 0:00:00,7/15/2013 0:00:00,"MAGNA INFOTECH LTD","1 PADANARAM ROAD,SUITE 208","DANBURY","CT","06811","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","62000",,"Year","Y",1,"BOSTON","MA","61630.00","Year","Other","DOL ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",7/21/2010 0:00:00
"I-200-10196-913822","CERTIFIED",7/15/2010 11:48:04,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"EASTERN SCHOOL OF MUSIC & ART INC.","254-18 NORTHERN BLVD.","LITTLE NECK","NY","11362","25-1121.00","Art, Drama, and Music Teachers, Postsecondary","MUSIC INSTRUCTOR","26",,"Hour","N",1,"LITTLE NECK","NY","25.65","Hour","Other","O*NET","2010",,,,,,,,"611610",7/21/2010 0:00:00
"I-200-10196-125816","DENIED",7/15/2010 12:01:45,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"MCALLEN HOSPITALS, L.P.","1400 WEST TRENTON ROAD","EDINBURG","TX","78539","29-1111.00","Registered Nurses","CRITICAL CARE FLOAT TEAM REGISTERED NURSE","28.82",,"Hour","Y",4,"MCALLEN","TX","28.82","Hour","OES","FLC ONLINE WAGE DATABASE","2010","EDINBURG","TX","28.82","Hour","OES","FLC ONLINE DATA CENTER","2010","622110",7/19/2010 13:26:23
"I-200-10196-938225","CERTIFIED",7/22/2010 11:05:55,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"FABERGENT, INC.","63 RAMAPO VALLEY ROAD","MAHWAH","NJ","07430","15-2031.00","Operations Research Analysts","BUSINESS ANALYST","63378",,"Year","Y",1,"MAHWAH","NJ","57054.00","Year","OES","OFLC ONLINE DATA CENTER","2010","SAN JOSE","CA","63378.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",7/28/2010 0:00:00
"I-200-10196-910747","CERTIFIED-WITHDRAWN",7/15/2010 12:02:13,"H-1B",8/2/2010 0:00:00,8/1/2013 0:00:00,"VENSAI TECHNOLOGIES, INC","2450 ATLANTA HWY, SUITE 1002","CUMMING","GA","30040","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","50000",,"Year","Y",1,"BEAVERTON","OR","46155.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/21/2010 0:00:00
"I-200-10196-771459","CERTIFIED",7/15/2010 11:53:11,"H-1B",9/27/2010 0:00:00,9/26/2013 0:00:00,"KPIT INFOSYSTEMS, INC.","33 WOOD AVENUE SOUTH, 7TH FLOOR","ISELIN","NJ","08830","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","61300",,"Year","Y",1,"ISELIN","NJ","61214","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/21/2010 0:00:00
"I-200-10196-227384","CERTIFIED",7/15/2010 13:33:40,"H-1B",11/1/2010 0:00:00,10/31/2013 0:00:00,"SHINHAN BANK AMERICA","330 FIFTH AVENUE, 4TH FLOOR","NEW YORK","NY","10001","13-2071.00","Loan Counselors","LOAN ADMINISTRATION ASSOCIATES","15.5",,"Hour","Y",1,"NEW YORK","NY","32115.00","Year","OES","N/A","2010",,,,,,,,"522110",7/21/2010 0:00:00
"I-200-10196-350539","DENIED",8/4/2010 14:47:34,"H-1B",1/3/2011 0:00:00,1/2/2014 0:00:00,"DEUTSCH INDUSTRIAL, DEUTSCH ENGINEERED CONNECTING ","3850 INDUSTRIAL AVENUE","HEMET","CA","92545","17-2141.00","Mechanical Engineers","PRODUCT ENGINEER","52114.64",,"Year","Y",1,"HEMET","CA","50918.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"334515",8/10/2010 9:20:00
"I-200-10196-629567","CERTIFIED",7/16/2010 10:33:54,"H-1B",1/13/2011 0:00:00,1/13/2014 0:00:00,"HSBC BANK USA, N.A.","ONE HSBC CENTER, 11TH FLOOR","BUFFALO","NY","14203","13-2051.00","Financial Analysts","BUSINESS SUPPORT ANALYST","75000",,"Year","Y",1,"NEW YORK","NY","61942.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"522110",7/22/2010 0:00:00
"I-200-10196-335024","CERTIFIED",7/20/2010 16:39:00,"H-1B",7/23/2010 0:00:00,1/20/2013 0:00:00,"BAKER HUGHES INCORPORATED","2929 ALLEN PARKWAY","HOUSTON","TX","77019-2118","13-1072.00","Compensation, Benefits, and Job Analysis Specialis","HUMAN RESOURCES GENERALIST","78000",,"Year","Y",1,"SAND SPRINGS","OK","42910.00","Year","OES","OFLC ONLINE DATA SERVICES","2009","BARNSDALL","OK","42910","Year","OES","OFLC ONLINE DATA SERVICES","2009","541330",7/26/2010 0:00:00
"I-200-10196-600294","CERTIFIED",7/15/2010 11:56:07,"H-1B",7/23/2010 0:00:00,7/22/2013 0:00:00,"ADVENT GLOBAL SOLUTIONS INC.","12777 JONES ROAD","HOUSTON","TX","77070","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","60000",,"Year","Y",1,"SAN JOSE","CA","58427","Year","Other","'OFLC ONLINE DATA CENTER'","2010","CUPERTINO","CA","58427","Year","Other","'OFLC ONLINE DATA CENTER'","2010","541511",7/21/2010 0:00:00
"I-200-10196-135308","CERTIFIED",7/15/2010 12:14:11,"H-1B",9/30/2010 0:00:00,9/29/2011 0:00:00,"PCTEST ENGINEERING LABORATORY, INC.","6660-B DOBBIN ROAD","CLUMBIA","MD","21045","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","83200",,"Year","Y",1,"COLUMBIA","MD","63690.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",7/21/2010 0:00:00
"I-200-10196-638496","CERTIFIED",7/16/2010 19:13:10,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"GOOGLE INC.","1600 AMPHITHEATRE PARKWAY","MOUNTAIN VIEW","CA","94043","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","95000",,"Year","Y",1,"MOUNTAIN VIEW","CA","88356.00","Year","Other","AON CORPORATION RADFORD BENCHMARK SURVEY","2010",,,,,,,,"541512",7/22/2010 0:00:00
"I-200-10196-344661","CERTIFIED",7/19/2010 16:59:44,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"HSBC SECURITIES (USA), INC.","417 FIFTH AVENUE","NEW YORK","NY","10016","11-3021.00","Computer and Information Systems Managers","SENIOR PRODUCTION SUPPORT MANAGER","130000",,"Year","Y",1,"NEW YORK","NY","97718.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"525000",7/23/2010 0:00:00
"I-200-10196-781888","CERTIFIED",7/15/2010 11:50:43,"H-1B",8/27/2010 0:00:00,8/26/2013 0:00:00,"SOGETI USA, LLC","7735 PARAGON ROAD","DAYTON","OH","45459","15-1051.00","Computer Systems Analysts","SENIOR CONSULTANT","86000",,"Year","Y",1,"WESTCHESTER","IL","78520","Year","OES","OFLC ONLINE DATA CENTER","2010","CHICAGO","IL","78520","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",7/21/2010 0:00:00
"I-200-10196-458021","CERTIFIED",7/16/2010 16:44:40,"H-1B",8/1/2010 0:00:00,7/31/2013 0:00:00,"HCL GLOBAL SYSTEMS, INC.","32721 GRAND RIVER AVE.","FARMINGTON","MI","48336","15-1071.00","Network and Computer Systems Administrators","SYSTEMS ADMINISTRATOR","60000",,"Year","Y",1,"KING OF PRUSSIA","PA","52853.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/22/2010 0:00:00
"I-200-10196-656305","CERTIFIED-WITHDRAWN",7/15/2010 11:51:20,"H-1B",9/13/2010 0:00:00,9/12/2013 0:00:00,"MICRON TECHNOLOGY, INC.","8000 S. FEDERAL WAY, MAIL STOP 1-507","BOISE","ID","83716","17-2071.00","Electrical Engineers","DRAM PYA ENGINEER","79000",,"Year","Y",1,"MANASSAS","VA","66643","Year","OES",,"2010",,,,,,,,"334413",7/21/2010 0:00:00
"I-200-10196-414033","CERTIFIED",7/15/2010 11:51:50,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"JPMORGAN CHASE & CO.","10 S. DEARBORN","CHICAGO","IL","60603","15-2031.00","Operations Research Analysts","VICE PRESIDENT - PRODUCT MANAGER","155000",,"Year","Y",1,"NEW YORK","NY","103085","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"551112",7/21/2010 0:00:00
