"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10201-267369","DENIED",7/20/2010 17:47:53,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"ASTUTE BUSINESS SOLUTIONS, INC.","4637 CHABOT DRIVE","PLEASANTON","CA","94588","15-1099.99","Computer Specialists, All Other","PRINCIPAL CONSULTANT","105664","105664","Year","Y",1,"PLEASANTON","CA","105664.00","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",7/27/2010 14:40:46
"I-200-10201-334738","CERTIFIED",7/20/2010 16:08:54,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"ORACLE AMERICA, INC.","500 ORACLE PARKWAY","REDWOOD SHORES","CA","94065","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER (SENIOR CONSULTANT)","76078","76938","Year","Y",1,"REDWOOD SHORES","CA","74900.00","Year","Other","TOWERS WATSON PROFESSIONAL SPECIALIZED SERVICES","2009","SOUTH JORDAN","UT","71200","Year","Other","TOWERS WATSON PROFESSIONAL SPECIALIZED SERVICES","2009","511210",7/26/2010 0:00:00
"I-200-10201-259373","CERTIFIED",7/20/2010 16:06:03,"H-1B",9/17/2010 0:00:00,9/17/2013 0:00:00,"TECHNOSOFT, INC.","830 E. HIGGINS ROAD","SCHAUMBURG","IL","60173","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","67725",,"Year","Y",1,"NORTHBOROUGH","MA","67725.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"561330",7/26/2010 0:00:00
"I-200-10201-509991","CERTIFIED",7/20/2010 16:16:06,"H-1B",7/26/2010 0:00:00,6/15/2012 0:00:00,"PRODIGYSOFTWARE GROUP INC","SEVEN PARKWAY CENTER","PITTSBURGH","PA","15220","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","62795",,"Year","Y",1,"OAKLAND","CA","62795","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/26/2010 0:00:00
"I-200-10201-507569","CERTIFIED",7/29/2010 8:43:39,"H-1B",10/31/2010 0:00:00,10/30/2013 0:00:00,"PAYPAL, INC.","2211 NORTH FIRST STREET","SAN JOSE","CA","95131","15-1031.00","Computer Software Engineers, Applications","STAFF SOFTWARE ENGINEER","120381.5",,"Year","Y",1,"SAN JOSE","CA","108181.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"454111",8/4/2010 0:00:00
"I-200-10201-191650","DENIED",7/20/2010 16:30:21,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"RECAPPING, INC.","3000 SAND HILL ROAD, BLDG. 3","MENLO PARK","CA","94025","19-2032.00","Materials Scientists","SENIOR RESEARCH SCIENTIST","110000",,"Year","Y",1,"OAKLAND","CA","100069.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541710",7/22/2010 11:15:54
"I-200-10201-692734","CERTIFIED",7/26/2010 16:36:42,"H-1B",9/2/2010 0:00:00,9/1/2013 0:00:00,"JOHN CRANE INC.","6400 WEST OAKTON STREET","MORTON GROVE","IL","60053","17-2141.00","Mechanical Engineers","MECHANICAL ENGINEER III","70169",,"Year","Y",1,"MORTON GROVE","IL","65395","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"332999",7/30/2010 0:00:00
"I-200-10201-101034","CERTIFIED",8/3/2010 17:09:48,"H-1B",1/6/2011 0:00:00,1/5/2014 0:00:00,"HYDE ENGINEERING + CONSULTING, INC.","6260 LOOKOUT ROAD, SUITE 120","BOULDER","CO","80301","17-2041.00","Chemical Engineers","SENIOR PHARMACEUTICAL ENGINEER","125875",,"Year","Y",1,"SWIFTWATER","PA","85634.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541710",8/9/2010 0:00:00
"I-200-10201-879571","DENIED",7/27/2010 13:19:51,"H-1B",9/27/2010 0:00:00,9/26/2013 0:00:00,"FOOTHILL AIDS PROJECT","233 W. HARRISON AVENUE","CLAREMONT","CA","91711","13-1199.99","Business Operations Specialists, All Other","GRANT & ADMIN. COORDINATOR","21",,"Hour","Y",1,"CLAREMONT","CA","18.91","Hour","OES",,"2010",,,,,,,,"621999",8/2/2010 10:52:20
"I-200-10201-078319","CERTIFIED",7/20/2010 16:09:11,"H-1B",7/21/2010 0:00:00,7/21/2013 0:00:00,"COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","500 FRANK W BURR BLVD, 7TH FLOOR","TEANECK","NJ","07666","15-1051.00","Computer Systems Analysts","PROJECT MANAGER","91333",,"Year","Y",20,"CHICAGO","IL","91333","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",7/26/2010 0:00:00
"I-200-10201-525793","DENIED",7/20/2010 16:33:48,"H-1B",8/1/2010 0:00:00,8/1/2013 0:00:00,"SPORTCHASSIS, LLC","2300 SOUTH 13","CLINTON","OK","73601","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","39541","52500","Year","Y",1,"CLINTON","OK","39541.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"4841",7/21/2010 11:55:07
"I-200-10201-039343","CERTIFIED",7/22/2010 11:07:50,"H-1B",10/1/2010 0:00:00,4/12/2012 0:00:00,"WEILL CORNELL MEDICAL COLLEGE","1300 YORK AVENUE","NEW YORK","NY","10065","19-3039.99","Psychologists, All Other","POSTDOCTORAL ASSOCIATE OF PSYCHOLOGY","42827",,"Year","Y",1,"NEW YORK","NY","42827.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",7/28/2010 0:00:00
"I-200-10201-754876","CERTIFIED",7/20/2010 16:12:15,"H-1B",8/2/2010 0:00:00,8/1/2013 0:00:00,"FIRST TEK TECHNOLOGIES, INC.","1551 SOUTH WASHINGTON AVENUE","PISCATAWAY","NJ","08854","15-1051.00","Computer Systems Analysts","BUSINESS ANALYST","60000",,"Year","Y",1,"HOFFMAN ESTATES","IL","52894.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",7/26/2010 0:00:00
"I-200-10201-738318","CERTIFIED",7/20/2010 16:22:21,"H-1B",7/26/2010 0:00:00,4/18/2013 0:00:00,"UNIVERSAL SOFTWARE CORPORATION","20 INDUSTRIAL PARK DRIVE","NASHUA","NH","03062","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","61500",,"Year","Y",1,"NASHUA","NH","61360","Year","OES","OFLC ONLINE DATA CENTER","2010","WILMINGTON","DE","56056","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",7/26/2010 0:00:00
"I-200-10201-014718","CERTIFIED",7/20/2010 16:23:44,"H-1B",10/12/2010 0:00:00,10/11/2013 0:00:00,"PROTIRO, INC.","3401 QUEBEC ST.","DENVER","CO","80207-2324","17-2074.00","Electrical Engineers, R&D","RESEARCH ASSOCIATE","31.88",,"Hour","Y",1,"BOULDER","CO","31.88","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"561310",7/26/2010 0:00:00
"I-200-10201-238139","CERTIFIED",7/23/2010 16:46:16,"H-1B",7/30/2010 0:00:00,7/29/2013 0:00:00,"CIENA CORPORATION","1201 WINTERSON ROAD","LINTHICUM","MD","21090","15-1032.00","Computer Software Engineers, Systems Software","SENIOR ENGINEER","95000",,"Year","Y",1,"SPOKANE VALLEY","WA","83990","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",7/29/2010 0:00:00
"I-200-10201-147943","CERTIFIED",7/22/2010 16:41:15,"H-1B",7/22/2010 0:00:00,9/1/2011 0:00:00,"ERP ANALYSTS, INC.","425 METRO PLACE NORTH","DUBLIN","OH","43017","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","60000",,"Year","Y",1,"PLEASANTON","CA","54579.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",7/28/2010 0:00:00
"I-200-10201-195467","DENIED",7/20/2010 16:23:53,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"MED EXPRESS DRUG SYSTEMS,INC.","425 W. RIDER STREET, SUITE B-2","PERRIS","CA","92571","29-1051.00","Pharmacists","PHARMACIST-INTERN","50.68","50.68","Hour","Y",1,"PERRIS","CA","50.68","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"446110",7/21/2010 13:00:02
"I-200-10201-365140","CERTIFIED",7/20/2010 17:48:11,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"BIO CARE HOME HEALTH SERVICES, INC","2306 GUTHRIE ROAD","GARLAND","TX","75043","11-9111.00","Medical and Health Services Managers","OPERATIONS ADMINISTRATOR/NURSE SUPERVISOR","54200",,"Year","Y",1,"GARLAND","TX","54122","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621610",7/26/2010 0:00:00
"I-200-10201-618424","CERTIFIED",7/20/2010 16:22:42,"H-1B",8/16/2010 0:00:00,8/15/2013 0:00:00,"SAPPHIRE TECHNOLOGIES, LP","10 PRESIDENTIAL WAY SUITE 101","WOBURN","MA","01801","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","91000",,"Year","Y",1,"RANCHO CORDOVA","CA","58510","Year","Other","FLC WAGE LIBRARY","2010",,,,,,,,"541511",7/26/2010 0:00:00
"I-200-10201-783846","DENIED",7/20/2010 16:29:07,"H-1B",7/28/2010 0:00:00,7/28/2013 0:00:00,"KLEIN TOOLS","450 BOND STREET","LINCOLNSHIRE","IL","60069","15-1051.00","Computer Systems Analysts","COGNOS ENTERPRISE PLANNING ANALYST","105000",,"Year","Y",1,"LINCOLNSHIRE","IL","88920.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"33221",7/21/2010 11:06:02
"I-200-10201-966749","CERTIFIED",7/20/2010 16:16:18,"H-1B",7/21/2010 0:00:00,7/21/2013 0:00:00,"COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","500 FRANK W BURR BLVD, 7TH FLOOR","TEANECK","NJ","07666","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","60528",,"Year","Y",20,"BOSTON","MA","60528","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",7/26/2010 0:00:00
"I-200-10201-857819","CERTIFIED",8/3/2010 18:45:57,"H-1B",11/5/2010 0:00:00,11/4/2011 0:00:00,"CUMBERLAND MEDICAL CENTER, INC.","421 S. MAIN STREET","CROSSVILLE","TN","38555","29-1063.00","Internists, General","INTERNIST PHYSICIAN","137301",,"Year","Y",1,"CROSSVILLE","TN","137301.00","Year","OES","OFLC ONLINE DATA CENTER","2010","CROSSVILLE","TN","137301.00","Year","OES","OFLC ONLINE DATA CENTER","2010","622110",8/9/2010 0:00:00
"I-200-10201-057959","CERTIFIED",8/23/2010 16:46:46,"H-1B",9/29/2010 0:00:00,9/28/2013 0:00:00,"GENIE INDUSTRIES, INC.","18340 NE 76TH STREET","REDMOND","WA","98073","17-2112.00","Industrial Engineers","SENIOR LEAN WORKSHOP LEADER","70500","100506","Year","Y",1,"REDMOND","WA","70491","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"333120",8/27/2010 0:00:00
"I-200-10201-519525","CERTIFIED",7/20/2010 16:25:56,"H-1B",8/25/2010 0:00:00,8/25/2011 0:00:00,"JAMAICA HOSPITAL MEDICAL CENTER","8900 VAN WYCK EXPRESSWAY","JAMAICA","NY","11418","29-1064.00","Obstetricians and Gynecologists","ATTENDING PHYSICIAN OB/GYN","165000",,"Year","Y",1,"JAMAICA","NY","134992.00","Year","OES","OFLC ONLINE DATA CENTER","2010","ST. ALBANS","NY","134992.00","Year","OES","OFLC ONLINE DATA CENTER","2010","622110",7/26/2010 0:00:00
"I-200-10201-874438","CERTIFIED",7/20/2010 16:23:36,"H-1B",7/20/2010 0:00:00,10/31/2010 0:00:00,"VSG ACQUISITION CORP","1001 DURHAM AVE, STE 306","SOUTH PLAINFIELD","NJ","07080","15-1051.00","Computer Systems Analysts","BUSINESS SYSTEMS ANALYST","75000",,"Year","Y",1,"SOUTH PLAINFIELD","NJ","61214.00","Year","Other","OFLC ONLINE DATA CENTER","2010","NEW YORK","NY","59613.00","Year","Other","OFLC ONLINE DATA CENTER","2010","541511",7/26/2010 0:00:00
