"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10207-779125","DENIED",7/26/2010 13:32:30,"H-1B",1/15/2011 0:00:00,1/15/2014 0:00:00,"ACCOUTING - NET, INC.","1000 SOUTH 2ND STREET","HARRISON","NJ","07029","13-2011.01","Accountants","ACCOUNTANT","85000",,"Year","Y",1,"HARRISON","NJ","71302.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541219",7/26/2010 16:38:57
"I-200-10207-503744","CERTIFIED",8/4/2010 7:38:09,"H-1B",8/4/2010 0:00:00,8/4/2013 0:00:00,"HCL AMERICA, INC.","330 POTRERO AVENUE","SUNNYVALE","CA","94085","15-1061.00","Database Administrators","DATABASE ADMINISTRATOR","50752","80000","Year","Y",1,"WHITEHOUSE STATION","NJ","50752.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/10/2010 0:00:00
"I-200-10207-348168","CERTIFIED",7/26/2010 1:41:08,"H-1B",8/2/2010 0:00:00,8/1/2013 0:00:00,"MICROSOFT CORPORATION","1 MICROSOFT WAY","REDMOND","WA","98052","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE DEVELOPMENT ENGINEER","105000",,"Year","Y",1,"BELLEVUE","WA","88317","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"51121",7/30/2010 0:00:00
"I-200-10207-032541","CERTIFIED",7/26/2010 1:48:30,"H-1B",8/2/2010 0:00:00,8/1/2013 0:00:00,"MICROSOFT CORPORATION","1 MICROSOFT WAY","REDMOND","WA","98052","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE DEVELOPMENT ENGINEER","88000",,"Year","Y",1,"REDMOND","WA","75629","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"51121",7/30/2010 0:00:00
"I-200-10207-064157","CERTIFIED",7/26/2010 1:57:03,"H-1B",8/2/2010 0:00:00,8/1/2013 0:00:00,"MICROSOFT CORPORATION","1 MICROSOFT WAY","REDMOND","WA","98052","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE DEVELOPMENT ENGINEER","100000",,"Year","Y",1,"BELLEVUE","WA","88317","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"51121",7/30/2010 0:00:00
"I-200-10207-030393","CERTIFIED",7/29/2010 15:47:52,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"ISTREAM SOLUTIONS INC","13800 COPPERMINE ROAD","HERNDON","VA","20171","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","65000",,"Year","Y",1,"TAMPA","FL","50294.00","Year","OES","OFLC ONLINE DATACENTER","2010",,,,,,,,"541512",8/4/2010 0:00:00
"I-200-10207-575174","CERTIFIED",7/26/2010 2:41:30,"H-1B",8/2/2010 0:00:00,8/1/2013 0:00:00,"TECHWAVE CONSULTING INC","1 E UWCHLAN AVE","EXTON","PA","19341","15-1051.00","Computer Systems Analysts","SENIOR PROGRAMMER ANALYST","70000",,"Year","Y",1,"TOLEDO","OH","55390","Year","Other","OES ONLINE WAGE SURVEY","2010","EXTON","PA","69971","Year","Other","OES ONLINE WAGE SURVEY","2010","541511",7/30/2010 0:00:00
"I-200-10207-550363","CERTIFIED",7/26/2010 2:16:43,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"MICROSOFT CORPORATION","1 MICROSOFT WAY","REDMOND","WA","98052","11-9199.99","Managers, All Other","SENIOR PROGRAM MANAGER","123300",,"Year","Y",1,"REDMOND","WA","106226","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"51121",7/30/2010 0:00:00
"I-203-10207-234992","CERTIFIED",7/26/2010 2:29:50,"E-3 Australian",9/1/2010 0:00:00,8/31/2012 0:00:00,"WNS NORTH AMERICA INC.","420 LEXINGTON AVENUE, SUITE 2515","NEW YORK","NY","10170","11-2021.00","Marketing Managers","HEAD OF SALES","201500",,"Year","Y",1,"NEW YORK","NY","154149.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"518210",7/30/2010 0:00:00
"I-200-10207-003203","CERTIFIED",7/26/2010 2:20:56,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"LARSEN & TOUBRO INFOTECH LIMITED","2035 LINCOLN HIGHWAY, EDISON SQUARE WEST","EDISON","NJ","08817","13-1199.99","Business Operations Specialists, All Other","IT CONSULTANT / COMPUTER PROGRAMMER","46041",,"Year","Y",1,"DALLAS","TX","42266","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",7/30/2010 0:00:00
