"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10210-469342","CERTIFIED",7/29/2010 19:30:16,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"VIVOTECH INC.","451 EL CAMINO REAL, SUITE 200","SANTA CLARA","CA","95050","15-1031.00","Computer Software Engineers, Applications","PRINCIPAL SOFTWARE ENGINEER","132000",,"Year","Y",1,"SANTA CLARA","CA","131518.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"334419",8/4/2010 0:00:00
"I-200-10210-330526","CERTIFIED",8/5/2010 12:11:20,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"LEVEL 3 COMMUNICATIONS LLC","1025 ELDORADO BOULEVARD","BROOMFIELD","CO","80021","15-1081.00","Network Systems and Data Communications Analysts","NOC TECHNICIAN","20.21","25.02","Hour","Y",1,"BLOOMINGTON","CO","20.21","Hour","Other","BUREAU OF LABOR STATISTICS: NATIONAL COMPENSATION SURVEY","2010",,,,,,,,"517212",8/11/2010 0:00:00
"I-200-10210-925404","CERTIFIED",8/2/2010 17:51:32,"H-1B",9/12/2010 0:00:00,9/11/2013 0:00:00,"ADVANTEST AMERICA, INC.","3201 SCOTT BLVD.","SANTA CLARA","CA","95054","41-9031.00","Sales Engineers","SYSTEMS ENGINEER","86752",,"Year","Y",1,"SANTA CLARA","CA","86752","Year","Other","RADFORD BENCHMARK SURVEY","2010",,,,,,,,"334413",8/6/2010 0:00:00
"I-200-10210-309613","CERTIFIED",7/29/2010 17:47:39,"H-1B",8/16/2010 0:00:00,8/15/2013 0:00:00,"T-FORCE, INC.","19800 MACARTHUR BLVD., STE. 300","IRVINE","CA","92612","17-2072.00","Electronics Engineers, Except Computer","RF ENGINEER","78478",,"Year","Y",1,"PLANO","TX","78478","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"517212",8/4/2010 0:00:00
"I-200-10210-610649","CERTIFIED",8/10/2010 15:54:25,"H-1B",1/3/2011 0:00:00,1/2/2014 0:00:00,"NOKIA INC.","12278 SCRIPPS SUMMIT DRIVE","SAN DIEGO","CA","92131","15-1099.02","Computer Systems Engineers/Architects","SYSTEM DESIGNER","111555.08",,"Year","Y",1,"IRVING","TX","52229.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"517212",8/16/2010 0:00:00
"I-200-10210-548330","CERTIFIED",7/29/2010 17:56:28,"H-1B",9/22/2010 0:00:00,9/21/2013 0:00:00,"INTELLECT BUSINESS SOLUTIONS, LLC","1303 W WALNUT HILL LANE","IRVING","TX","75038","15-1021.00","Computer Programmers","SOFTWARE PROGRAMMER ANALYST","56000",,"Year","Y",1,"ROCKVILLE","MD","55349.00","Year","OES","OFLC ONLINE DATA CENTER","2010","IRVING","TX","52395","Year","OES","OFLC ONLINE DATA CENTER","2010","54151",8/4/2010 0:00:00
"I-200-10210-230385","CERTIFIED",7/29/2010 17:59:16,"H-1B",10/8/2010 0:00:00,10/8/2013 0:00:00,"YAHOO! INC.","701 FIRST AVENUE","SUNNYVALE","CA","94089","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER (TECHNICAL YAHOO!)","74900","108300","Year","Y",1,"SUNNYVALE","CA","74900","Year","Other","TOWERS WATSON PROFESSIONAL SPECIALIZED SERVICES","2009",,,,,,,,"518112",8/4/2010 0:00:00
"I-200-10210-940764","WITHDRAWN",7/30/2010 15:08:56,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"FEIN ACADEMY LLC","99 MARION STREET","BROOKLINE","MA","02446","27-2041.01","Music Directors","MUSIC DIRECTOR","15",,"Hour","Y",1,"BROOKLINE","MA","13.69","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"6116",7/30/2010 0:00:00
"I-200-10210-413835","WITHDRAWN",7/29/2010 18:04:33,"H-1B",9/21/2010 0:00:00,9/20/2013 0:00:00,"PELICAN PRODUCTS, INC.","23215 EARLY AVENUE","TORRANCE","CA","90505","19-3021.00","Market Research Analysts","MARKETING RESEARCH ANALYST","62244",,"Year","Y",1,"TORRANCE","CA","52354.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"3261",8/4/2010 0:00:00
"I-200-10210-774013","CERTIFIED",7/29/2010 18:00:06,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"VASONOVA, INC.","155 JEFFERSON DR.","MENLO PARK","CA","94025","19-3021.00","Market Research Analysts","SR. MARKET RESEARCH ANALYST","101213","190000","Year","Y",1,"MENLO PARK","CA","101213.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"5417",8/4/2010 0:00:00
"I-200-10210-741141","WITHDRAWN",7/29/2010 17:55:10,"H-1B",8/9/2010 0:00:00,8/8/2013 0:00:00,"PAYPAL, INC.","2211 NORTH FIRST STREET","SAN JOSE","CA","95131","15-1051.00","Computer Systems Analysts","SENIOR BUSINESS SYSTEMS ANALYST","110032",,"Year","Y",1,"SAN JOSE","CA","110032","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"454111",7/30/2010 0:00:00
"I-200-10210-131846","CERTIFIED",7/29/2010 18:18:51,"H-1B",8/6/2010 0:00:00,3/23/2012 0:00:00,"MERRIMACK PHARMACEUTICALS, INC.","ONE KENDALL SQUARE","CAMBRIDGE","MA","02139","19-1021.00","Biochemists and Biophysicists","SENIOR ASSOCIATE SCIENTIST","70000","80000","Year","Y",1,"CAMBRIDGE","MA","65749.00","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"325412",8/4/2010 0:00:00
