"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10216-343928","CERTIFIED",8/6/2010 12:39:03,"H-1B",9/15/2010 0:00:00,9/15/2013 0:00:00,"GOLDMAN, SACHS & CO.","200 WEST STREET","NEW YORK","NY","10282","15-1051.00","Computer Systems Analysts","ANALYST/DEVELOPER","107600",,"Year","Y",1,"NEW YORK","NY","74360","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"523110",8/12/2010 0:00:00
"I-200-10216-849020","CERTIFIED",8/17/2010 15:59:56,"H-1B",10/1/2010 0:00:00,9/1/2013 0:00:00,"AMERICAN EXPRESS TRS CO., INC.","200 VESEY STREET","NEW YORK","NY","10285","19-3021.00","Market Research Analysts","SENIOR MANAGER, MARKETING","101956",,"Year","Y",1,"NEW YORK","NY","87277.00","Year","OES","OFLC DATA CENTER","2010",,,,,,,,"522210",8/23/2010 0:00:00
"I-200-10216-161341","CERTIFIED",8/4/2010 14:34:36,"H-1B",9/30/2010 0:00:00,9/29/2013 0:00:00,"CHRISTIAN TSE CORPORATION","1940 E WALNUT STREET","PASADENA","CA","91107","17-2112.00","Industrial Engineers","COMMERCIAL JEWELRY DESIGNER","60000",,"Year","Y",1,"PASADENA","CA","59197.00","Year","Other","FOREIGN LABOR CERTIFICATION DATA CENTER","2010",,,,,,,,"339911",8/10/2010 0:00:00
"I-200-10216-437780","DENIED",8/4/2010 17:25:21,"H-1B",8/4/2010 0:00:00,8/3/2013 0:00:00,"RISHI & SRIKANTH P.A.","P.O. BOX 560361","ROCKLEDGE","FL","32956-0361","29-1069.99","Physicians and Surgeons, All Other","PHYSICIAN","250000",,"Year","Y",1,"ROCKLEDGE","FL","182790","Year","OES","OFLC ONLINE DATA CENTER","2008",,,,,,,,"621111",8/6/2010 15:27:30
"I-200-10216-938792","CERTIFIED",8/4/2010 16:51:25,"H-1B",9/20/2010 0:00:00,9/19/2013 0:00:00,"SAPPHIRE TECHNOLOGIES, LP","10 PRESIDENTIAL WAY SUITE 101","WOBURN","MA","01801","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","85000",,"Year","Y",1,"SIMI VALLEY","CA","54621","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/10/2010 0:00:00
"I-200-10216-690720","CERTIFIED",8/5/2010 9:06:32,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"HIGHPOINT SOLUTIONS LLC","1150 FIRST AVENUE","KING OF PRUSSIA","PA","19406","15-1051.00","Computer Systems Analysts","TECHNICAL CONSULTANT","105000",,"Year","Y",1,"WARREN","NJ","75379.00","Year","OES","OFLC ONLINE DATA CENTER","2010","KING OF PRUSSIA","PA","70658.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541512",8/11/2010 0:00:00
"I-200-10216-587399","CERTIFIED",8/4/2010 16:42:41,"H-1B",9/16/2010 0:00:00,9/16/2013 0:00:00,"GHENT MONTESSORI SCHOOL, INC.","610 MOWBRAY ARCH","NORFOLK","VA","23507","25-3099.00","Teachers and Instructors, All Other","PHYSICAL EDUCATION INSTRUCTOR","12.75",,"Hour","N",1,"NORFOLK","VA","11.04","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611100",8/10/2010 0:00:00
"I-200-10216-445757","CERTIFIED",8/5/2010 8:40:30,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"TATA CONSULTANCY SERVICES LIMITED","12300 TWINBROOK PARKWAY","ROCKVILLE","MD","20852","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","61200",,"Year","Y",7,"SAN ANTONIO","TX","59571","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/11/2010 0:00:00
"I-200-10216-616044","CERTIFIED",8/23/2010 10:59:41,"H-1B",2/18/2011 0:00:00,2/18/2014 0:00:00,"PRICELINE.COM","800 CONNECTICUT AVENUE","NORWALK","CT","06854","15-1032.00","Computer Software Engineers, Systems Software","SENIOR SOFTWARE ENGINEER","107453","113009.28","Year","Y",1,"NORWALK","CT","107453.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"454112",8/27/2010 0:00:00
"I-200-10216-682524","CERTIFIED",8/4/2010 16:53:59,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"AUTO MAX II LLC","5519 MIDLOTHIAN TURNPIKE","RICHMOND","VA","23235","11-1021.00","General and Operations Managers","GENERAL MANAGER","26.28",,"Hour","Y",1,"RICHMOND","VA","26.28","Hour","Other","OWL","2010",,,,,,,,"441120",8/10/2010 0:00:00
"I-200-10216-887789","CERTIFIED",8/5/2010 15:05:37,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"SINOVISION INCORPORATED","15 EAST 40TH STREET","NEW YORK","NY","10016","27-3022.00","Reporters and Correspondents","REPORTER","14.64",,"Hour","Y",1,"FLUSHING","NY","14.64","Hour","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"515120",8/11/2010 0:00:00
"I-200-10216-770025","DENIED",8/4/2010 16:53:46,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"SUNALS INTERNATIONAL INC.","409 MINNISINK ROAD SUITE B","TOTOWA","NJ","07512","13-1199.99","Business Operations Specialists, All Other","BUSINESS OPERATION SPECIALIST","43500",,"Year","Y",1,"TOTOWA","NJ","43077","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"5313",8/11/2010 11:28:33
"I-200-10216-187803","CERTIFIED",8/4/2010 16:46:07,"H-1B",8/9/2010 0:00:00,8/8/2013 0:00:00,"AGILONE LLC","50 UNIVERSITY AVE","LOS GATOS","CA","65030","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","58427",,"Year","Y",1,"LOS GATOS","CA","58427","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",8/10/2010 0:00:00
"I-200-10216-405068","CERTIFIED-WITHDRAWN",8/6/2010 9:43:14,"H-1B",8/26/2010 0:00:00,8/26/2013 0:00:00,"DOOSAN INFRACORE INTERNATIONAL, INC.","400 PERIMETER CENTER TERRACE","ATLANTA","GA","30346","23-1011.00","Lawyers","CORPORATE COUNSEL","100000",,"Year","Y",1,"ATLANTA","GA","68931.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"333120",8/12/2010 0:00:00
"I-200-10216-945875","CERTIFIED",8/4/2010 17:24:49,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"GENERAL HOSPITAL CORPORATION","PARTNERS INTERNATIONAL OFFICE","BOSTON","MA","02114","19-1042.00","Medical Scientists, Except Epidemiologists","RESEARCH SCIENTIST","45000",,"Year","Y",1,"BOSTON","MA","39229","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"622110",8/10/2010 0:00:00
"I-200-10216-510672","CERTIFIED",8/5/2010 10:39:54,"H-1B",9/4/2010 0:00:00,9/3/2013 0:00:00,"PROVISIONS LEARNING PROJECT","1875 CONNECTICUT AVENUE, NW","WASHINGTON","DC","20009","27-1011.00","Art Directors","DIRECTOR OF INTERNATIONAL MULTIMEDIA PROJECTS","26.18","30","Hour","N",1,"BROOKLYN","NY","26.18","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"712110",8/11/2010 0:00:00
"I-200-10216-908608","CERTIFIED",8/4/2010 18:02:32,"H-1B",8/14/2010 0:00:00,8/14/2013 0:00:00,"VISHAY SILICONIX, INC.","2201 LAURELWOOD ROAD","SANTA CLARA","CA","95054","17-2072.00","Electronics Engineers, Except Computer","STAFF DESIGN ENGINEER","108415",,"Year","Y",1,"SANTA CLARA","CA","92331","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"334400",8/10/2010 0:00:00
