"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10221-772897","CERTIFIED",8/9/2010 20:04:49,"H-1B",8/30/2010 0:00:00,8/29/2013 0:00:00,"NVIDIA CORPORATION","2701 SAN TOMAS EXPRESSWAY","SANTA CLARA","CA","95050","15-1051.00","Computer Systems Analysts","SAP APO ANALYST","133000",,"Year","Y",1,"SANTA CLARA","CA","70200.00","Year","Other","WATSON WYATT SURVEY REPORT ON INFORMATION TECHNOLOGY & E-COMMERCE PERSONNEL COMPENSATION","2010",,,,,,,,"334111",8/13/2010 0:00:00
"I-200-10221-459859","CERTIFIED",8/9/2010 17:58:50,"H-1B",8/9/2010 0:00:00,3/14/2011 0:00:00,"HOSPITALIST GROUP OF SOUTHWEST FLORIDA, P.A.","708 DEL PRADO BLVD. S.","CAPE CORAL","FL","33990","29-1063.00","Internists, General","HOSPITALIST","200000",,"Year","Y",1,"CAPE CORAL","FL","166400.00","Year","OES","N/A","2010",,,,,,,,"621111",8/13/2010 0:00:00
"I-200-10221-563373","CERTIFIED",8/9/2010 18:06:33,"H-1B",8/18/2010 0:00:00,8/17/2013 0:00:00,"DIVIHN INTEGRATION INC.","2500 W HIGGINS ROAD, SUITE # 870","HOFFMAN ESTATES","IL","60169","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","60000",,"Year","Y",1,"CARMEL","IN","57970.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/13/2010 0:00:00
"I-200-10221-135836","CERTIFIED",8/9/2010 18:01:32,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"THE BROOKLYN WALDORF SCHOOL","126 SAINT FELIX STREET","BROOKLYN","NY","11217","25-2021.00","Elementary School Teachers, Except Special Educati","SPECIALTY TEACHER","27",,"Hour","N",1,"BROOKLYN","NY","26.84","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611110",8/13/2010 0:00:00
"I-200-10221-230450","CERTIFIED",8/13/2010 14:27:48,"H-1B",12/6/2010 0:00:00,12/5/2013 0:00:00,"HEWLETT-PACKARD COMPANY","19483 PRUNERIDGE AVE.","CUPERTINO","CA","95014","15-1051.00","Computer Systems Analysts","TECHNOLOGY CONSULTANT IV","103834","147345","Year","Y",25,"NEW YORK","NY","103834.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"33411",8/19/2010 0:00:00
"I-200-10221-104303","CERTIFIED",8/9/2010 17:55:24,"H-1B",9/14/2010 0:00:00,9/13/2013 0:00:00,"IDEXCEL, INC.","459 HERNDON PARKWAY","HERNDON","VA","20170","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","62000",,"Year","Y",1,"PALO ALTO","CA","58427.00","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",8/13/2010 0:00:00
"I-200-10221-048050","DENIED",8/9/2010 17:54:41,"H-1B",12/15/2010 0:00:00,12/14/2013 0:00:00,"THE UNIVERSITY OF SOUTHERN CALIFORNIA","OIS/FSVS, STU 300","LOS ANGELES","CA","90089","19-1042.00","Medical Scientists, Except Epidemiologists","RESEARCH ASSOCIATE","59808",,"Year","Y",1,"LOS ANGELES","CA","46335","Year","Other","EMPLOYEE'S ACTUAL WAGE","2010",,,,,,,,"611310",8/12/2010 12:11:27
"I-200-10221-548301","CERTIFIED",8/12/2010 12:50:36,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"QUALCOMM INCORPORATED","5775 MOREHOUSE DRIVE","SAN DIEGO","CA","92121","15-1032.00","Computer Software Engineers, Systems Software","SOFTWARE ENGINEER","79497.6","95520","Year","Y",1,"SAN DIEGO","CA","79497.60","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"334220",8/18/2010 0:00:00
"I-200-10221-281315","CERTIFIED",8/11/2010 15:45:13,"H-1B",8/13/2010 0:00:00,8/13/2013 0:00:00,"ORACLE AMERICA, INC.","500 ORACLE PARKWAY","REDWOOD SHORES","CA","94065","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","54600","173668","Year","Y",100,"BURLINGTON","MA","54600.00","Year","Other","TOWERS WATSON:PROFESSIONAL SPECIALIZED SERVICES","2009",,,,,,,,"511210",8/17/2010 0:00:00
"I-200-10221-825338","CERTIFIED",8/9/2010 17:56:22,"H-1B",8/31/2010 0:00:00,8/31/2012 0:00:00,"DALLAS INDEPENDENT SCHOOL DISTRICT","3807 ROSS AVENUE","DALLAS","TX","75204","25-2021.00","Elementary School Teachers, Except Special Educati","BILINGUAL ELEMENTARY TEACHER","46051",,"Year","Y",1,"DALLAS","TX","38930.00","Year","OES",,"2010",,,,,,,,"611110",8/13/2010 0:00:00
"I-200-10221-570677","CERTIFIED",8/9/2010 18:17:47,"H-1B",8/11/2010 0:00:00,8/10/2013 0:00:00,"NEXT GENERATION TECHNOLOGY, INC.","116 SOUTH ARLINGTON ROAD","ARLINGTON HEIGHTS","IL","60005","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","52894",,"Year","Y",1,"ARLINGTON HEIGHTS","IL","52894","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541519",8/13/2010 0:00:00
"I-200-10221-219343","CERTIFIED",8/9/2010 18:20:04,"H-1B",8/16/2010 0:00:00,8/15/2013 0:00:00,"INDUS VALLEY CONSULTANTS, INC.","1430 YANKEE PARK PLACE","DAYTON","OH","45458","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","65000",,"Year","Y",1,"DAYTON","OH","56742.00","Year","OES","'OFLC ONLINE DATA CENTER'","2010","ROCKVILLE","MD","64230.00","Year","OES","'OFLC ONLINE DATA CENTER'","2010","541519",8/13/2010 0:00:00
"I-200-10221-027301","CERTIFIED",8/9/2010 17:56:42,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"MAYO CLINIC ROCHESTER","200 FIRST STREET SW","ROCHESTER","MN","55905","29-1062.00","Family and General Practitioners","STAFF PHYSICIAN","85",,"Hour","N",1,"ROCHESTER","MN","52.77","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",8/13/2010 0:00:00
"I-200-10221-447124","CERTIFIED",8/23/2010 15:39:28,"H-1B",10/1/2010 0:00:00,1/13/2012 0:00:00,"QUEENS LUMBER CO., INC.","34-41 COLLEGE POINT BLVD.","FLUSHING","NY","11354","27-1024.00","Graphic Designers","GRAPHIC DESIGNER","40000",,"Year","Y",1,"FLUSHING","NY","36358.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"4233",8/27/2010 0:00:00
"I-200-10221-742235","CERTIFIED",8/9/2010 18:02:25,"H-1B",8/16/2010 0:00:00,6/30/2011 0:00:00,"UTAH VALLEY UNIVERSITY","800 WEST UNIVERSITY PARKWAY","OREM","UT","84058","25-1124.00","Foreign Language and Literature Teachers, Postseco","CHINESE LECTURER","43040",,"Year","Y",1,"OREM","UT","43040.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",8/13/2010 0:00:00
"I-200-10221-677465","CERTIFIED",9/2/2010 12:03:31,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"LEDCOR CMI INC.","6405 MIRA MESA BLVD.","SAN DIEGO","CA","92121","11-2021.00","Marketing Managers","BUSINESS DEVELOPMENT MANAGER","71500","88000","Year","Y",1,"SAN DIEGO","CA","71490.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"230000",9/9/2010 0:00:00
"I-200-10221-441011","WITHDRAWN",8/9/2010 18:06:54,"H-1B",8/16/2010 0:00:00,8/15/2013 0:00:00,"STUDENT EXCHANGE INC","23355 MIRABELLA CIR SOUTH","BOCA RATON","FL","33433","13-1199.99","Business Operations Specialists, All Other","BUSINESS OPS & DEVELOPMENT SPECIALIST","29203",,"Year","Y",1,"BOCA RATON","FL","29203.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"519130",8/9/2010 0:00:00
"I-200-10221-789390","CERTIFIED",8/9/2010 18:01:24,"H-1B",9/16/2010 0:00:00,9/15/2013 0:00:00,"DELASOFT, INC","630 CHURCHMANS RD","NEWARK","DE","19702","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","68598",,"Year","Y",1,"NEWARK","DE","68598.00","Year","OES","OFLC ONLINE DATA CENTER","2010","MONMOUTH JUNCTION","NJ","56326.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541511",8/13/2010 0:00:00
"I-200-10221-066175","CERTIFIED",8/10/2010 19:24:53,"H-1B",8/23/2010 0:00:00,8/23/2013 0:00:00,"EXPEDIA, INC.","333 108TH AVENUE NE","BELLEVUE","WA","98004","15-1099.01","Software Quality Assurance Engineers and Testers","SOFTWARE ENGINEER IN TEST","81432","100000","Year","Y",1,"BELLEVUE","WA","81432.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541500",8/16/2010 0:00:00
"I-200-10221-792922","CERTIFIED",8/9/2010 18:00:35,"H-1B",8/11/2010 0:00:00,9/10/2012 0:00:00,"IDEXCEL, INC.","459 HERNDON PARKWAY","HERNDON","VA","20170","15-1031.00","Computer Software Engineers, Applications","PROGRAMMER ANALYST","63300",,"Year","Y",1,"GLENDALE","AZ","53747.00","Year","Other","ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",8/13/2010 0:00:00
"I-200-10221-196506","WITHDRAWN",8/9/2010 18:09:51,"H-1B",8/15/2010 0:00:00,8/15/2013 0:00:00,"LMB STEEL STRUCTURES, INC.","3905 ELAINE DRIVE","BRYAN","TX","77808","13-1051.00","Cost Estimators","COST ESTIMATOR","36000",,"Year","Y",1,"BRYAN","TX","27934.00","Year","OES","FLC DATA CENTER ONLINE WAGE LIBRARY","2010",,,,,,,,"332312",8/13/2010 0:00:00
"I-200-10221-252286","CERTIFIED",8/9/2010 18:09:30,"H-1B",8/9/2010 0:00:00,8/8/2013 0:00:00,"DGN TECHNOLOGIES INC","46500 FREMONT BLVD","FREMONT","CA","94538","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","60000",,"Year","Y",1,"PITTSBURG","PA","51376","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/13/2010 0:00:00
"I-200-10221-219765","CERTIFIED",8/9/2010 18:09:19,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"DELFIN GROUP USA LLC","4950 VIRGINIA AVE","NORTH CHARLESTON","SC","29405","15-1021.00","Computer Programmers","COMPUTER PROGRAMERS","45000",,"Year","Y",1,"NORTH CHARLESTON","SC","44658.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"324191",8/13/2010 0:00:00
"I-200-10221-154461","CERTIFIED",8/11/2010 17:08:36,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"THE NIELSEN COMPANY (US), LLC","770 BROADWAY","NEW YORK","NY","10003","19-3021.00","Market Research Analysts","CLIENT SOLUTIONS ASSOCIATE","55000",,"Year","Y",1,"NEW YORK","NY","43784.00","Year","OES","OFLC ONLINE DATA CENTER","2010","CHICAGO","IL","36171.00","Year","OES","OFLC ONLINE DATA CENTER","2010","541910",8/17/2010 0:00:00
"I-200-10221-017626","CERTIFIED",8/9/2010 18:04:18,"H-1B",8/31/2010 0:00:00,12/1/2011 0:00:00,"DALLAS INDEPENDENT SCHOOL DISTRICT","3807 ROSS AVENUE","DALLAS","TX","75204","25-2021.00","Elementary School Teachers, Except Special Educati","BILINGUAL ELEMENTARY TEACHER","47751",,"Year","Y",1,"DALLAS","TX","38930.00","Year","OES",,"2010",,,,,,,,"611110",8/13/2010 0:00:00
