"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10225-631192","CERTIFIED",8/19/2010 12:38:08,"H-1B",8/23/2010 0:00:00,8/22/2013 0:00:00,"GLOBAL IT ASSOCIATES, LLC.","1110 SOUTH AVENUE","STATEN ISLAND","NY","10314","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","52000",,"Year","Y",1,"STATEN ISLAND","NY","50752.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",8/25/2010 0:00:00
"I-200-10225-328798","CERTIFIED",8/13/2010 9:32:37,"H-1B",8/13/2010 0:00:00,8/12/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","62379","83000","Year","Y",3,"AUSTIN","TX","62379.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/19/2010 0:00:00
"I-200-10225-485452","CERTIFIED",8/13/2010 9:30:35,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","65582","86000","Year","Y",20,"HOBOKEN","NJ","65582","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/19/2010 0:00:00
"I-200-10225-059285","CERTIFIED",8/25/2010 10:32:38,"H-1B",10/1/2010 0:00:00,7/31/2013 0:00:00,"QUEST DIAGNOSTICS INCORPORATED","3 GIRALDA FARMS","MADISON","NJ","07940","15-1021.00","Computer Programmers","WEB DEVELOPER","80475","97750","Year","Y",1,"PITTSBURGH","PA","80475.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541380",8/31/2010 0:00:00
"I-200-10225-744279","CERTIFIED",8/13/2010 9:37:55,"H-1B",10/14/2010 0:00:00,10/14/2013 0:00:00,"ROTHSTEIN, KASS & COMPANY","4 BECKER FARM ROAD","ROSELAND","NJ","07068","13-2011.01","Accountants","SENIOR ACCOUNTANT","114500",,"Year","Y",1,"ROSELAND","NJ","67683.00","Year","OES",,"2010",,,,,,,,"541211",8/19/2010 0:00:00
"I-200-10225-848141","CERTIFIED",8/13/2010 9:33:25,"H-1B",8/23/2010 0:00:00,8/23/2013 0:00:00,"HSBC BANK USA, N.A.","ONE HSBC CENTER, 11TH FLOOR","BUFFALO","NY","14203","11-3031.00","Financial Managers","MANAGER CREDIT POLICY AND RISK","95778.3",,"Year","Y",1,"SALINAS","CA","91083.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"522110",8/19/2010 0:00:00
"I-200-10225-888898","CERTIFIED",8/13/2010 9:31:50,"H-1B",8/13/2010 0:00:00,8/12/2013 0:00:00,"IBM CORPORATION","3039 CORNWALLIS ROAD","RTP","NC","27709","13-1111",,"MANAGING CONSULTANT","97989","97989","Year","Y",1,"WEST CHESTER","PA","97989","Year","OES","OFLC ONLINE DATACENTER","2010",,,,,,,,"541510",8/19/2010 0:00:00
"I-200-10225-681795","CERTIFIED",8/13/2010 9:33:05,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"WIPRO LIMITED","2 TOWER CENTER BLVD.","EAST BRUNSWICK","NJ","08816","15-1051.00","Computer Systems Analysts","BUSINESS SYSTEM ANALYST","63003","84000","Year","Y",20,"O FALLON","MO","63003","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/19/2010 0:00:00
"I-200-10225-997156","CERTIFIED",8/13/2010 9:39:10,"H-1B",8/14/2010 0:00:00,8/13/2013 0:00:00,"FUJITSU AMERICA, INC.","1250 EAST ARQUES AVENUE","SUNNYVALE","CA","94085","15-1031.00","Computer Software Engineers, Applications","COMPUTER SOFTWARE ENGINEER, APPLICATIONS","96886",,"Year","Y",8,"TOWSON","MD","96886","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541510",8/19/2010 0:00:00
"I-200-10225-996905","CERTIFIED",8/13/2010 9:34:44,"H-1B",9/19/2010 0:00:00,9/18/2013 0:00:00,"HANU SOFTWARE SOLUTIONS INC","5 INDEPENDENCE WAY","PRINCETON","NJ","08540","13-1111.00","Management Analysts","BUSINESS ANALYST","60000",,"Year","Y",1,"NEW YORK","NY","57782","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/19/2010 0:00:00
