"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10230-150336","CERTIFIED",9/14/2010 12:03:22,"H-1B",9/15/2010 0:00:00,9/3/2013 0:00:00,"NATIXIS NORTH AMERICA LLC","9 WEST 57TH STREET","NEW YORK","NY","10019","13-2051.00","Financial Analysts","TRADER, VICE PRESIDENT","100000",,"Year","Y",1,"NEW YORK","NY","86965.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"523930",9/20/2010 0:00:00
"I-203-10230-792840","CERTIFIED",8/18/2010 15:02:04,"E-3 Australian",9/23/2010 0:00:00,9/23/2012 0:00:00,"MORGAN STANLEY & CO. INC.","787 SEVENTH AVENUE","NEW YORK","NY","10019","15-1032.00","Computer Software Engineers, Systems Software","EXECUTIVE DIRECTOR, TECHNOLOGY","165000",,"Year","Y",1,"PURCHASE","NY","120037","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"523110",8/24/2010 0:00:00
"I-200-10230-706966","CERTIFIED",8/18/2010 23:35:43,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"VIGNA INC","2775 CRUSE RD","LAWRENCEVILLE","GA","30044","15-1051.00","Computer Systems Analysts","COMPUTER SYSTEMS ANALYST","63000",,"Year","Y",1,"MCLEAN","VA","62067.00","Year","Other","OFLC ONLINE DATA CENTER","2010","LAWRENCEVILLE","GA","54974.00","Year","Other","OFLC ONLINE DATA CENTER","2010","541511",8/24/2010 0:00:00
"I-200-10230-532988","CERTIFIED",8/23/2010 14:39:35,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"CIENA CORPORATION","1201 WINTERSON ROAD","LINTHICUM","MD","21090","17-2072.00","Electronics Engineers, Except Computer","ENGINEER P&T","80000",,"Year","Y",1,"SAN JOSE","CA","74110","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541330",8/27/2010 0:00:00
"I-200-10230-378334","CERTIFIED",8/18/2010 15:04:10,"H-1B",9/23/2010 0:00:00,9/22/2013 0:00:00,"VISTAAR TECHNOLOGIES, INC.","200 LANIDEX PLAZA","PARSIPPANY","NJ","07054","15-1031.00","Computer Software Engineers, Applications","APPLICATION ENGINEER","72450",,"Year","Y",1,"PARSIPPANY","NJ","62546","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/24/2010 0:00:00
"I-200-10230-915744","CERTIFIED",8/18/2010 14:54:01,"H-1B",8/18/2010 0:00:00,8/18/2013 0:00:00,"COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","500 FRANK W BURR BLVD, 7TH FLOOR","TEANECK","NJ","07666","15-1051.00","Computer Systems Analysts","SENIOR SYSTEMS ANALYST","58490",,"Year","Y",20,"GREEN BAY","WI","58490","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",8/24/2010 0:00:00
"I-200-10230-807861","CERTIFIED",8/23/2010 15:55:59,"H-1B",10/1/2010 0:00:00,10/1/2013 0:00:00,"SYMANTEC CORPORATION","350 ELLIS STREET","MOUNTAIN VIEW","CA","94043","11-3021.00","Computer and Information Systems Managers","MANAGER, DEVELOPMENT","132465","160800","Year","Y",1,"MOUNTAIN VIEW","CA","132465","Year","Other","RADFORD GLOBAL TECHNOLOGY SURVEY","2010","MOUNTAIN VIEW","CA","132465","Year","Other","RADFORD GLOBAL TECHNOLOGY SURVEY","2010","541511",8/27/2010 0:00:00
"I-200-10230-493854","CERTIFIED",8/18/2010 14:58:33,"H-1B",9/5/2010 0:00:00,9/5/2013 0:00:00,"UST GLOBAL INC.","120 VANTIS","ALISO VIEJO","CA","92656","15-1051.00","Computer Systems Analysts","SYSTEMS ANALYST","57500",,"Year","Y",1,"WOODLAND HILLS","CA","55827.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/24/2010 0:00:00
"I-200-10230-830775","CERTIFIED",8/19/2010 13:41:30,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"TATA CONSULTANCY SERVICES LIMITED","C/O TCSL 12300 TWINBROOK PARKWAY","ROCKVILLE","MD","20852","15-1099.04","Web Developers","WEB DEVELOPER","60029",,"Year","Y",1,"WARREN","NJ","60029","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/25/2010 0:00:00
"I-200-10230-708895","CERTIFIED",8/18/2010 14:54:52,"H-1B",8/30/2010 0:00:00,8/29/2013 0:00:00,"APOLLO GROUP, INC.","4025 SOUTH RIVERPOINT PARKWAY","PHOENIX","AZ","85040","15-1031.00","Computer Software Engineers, Applications","IT ENGINEER I","76000",,"Year","Y",1,"PHOENIX","AZ","68910.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"611310",8/24/2010 0:00:00
