"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10236-569966","CERTIFIED",8/24/2010 4:41:27,"H-1B",9/13/2010 0:00:00,9/12/2013 0:00:00,"LARSEN & TOUBRO INFOTECH LIMITED","2035 LINCOLN HIGHWAY, EDISON SQUARE WEST","EDISON","NJ","08817","13-1199.99","Business Operations Specialists, All Other","IT CONSULTANT / COMPUTER PROGRAMMER","59508",,"Year","Y",1,"CUPERTINO","CA","46738","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",8/30/2010 0:00:00
"I-200-10236-362732","CERTIFIED",9/3/2010 16:33:03,"H-1B",3/3/2011 0:00:00,3/2/2014 0:00:00,"THOMSON REUTERS (TAX & ACCOUNTING) INC.","2395 MIDWAY ROAD","CARROLLTON","TX","75006","15-1031.00","Computer Software Engineers, Applications","IMPLEMENTATION CONSULTANT","70000","100000","Year","Y",1,"LAKE OSWEGO","OR","65707.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"511210",9/10/2010 0:00:00
"I-200-10236-006360","CERTIFIED",8/27/2010 6:56:55,"H-1B",9/6/2010 0:00:00,9/25/2011 0:00:00,"HUGHES SYSTIQUE CORPORATION","15245 SHADY GROVE ROAD, SUITE 330","ROCKVILLE","MD","20850","15-1032.00","Computer Software Engineers, Systems Software","SENIOR ENGINEER","71760",,"Year","Y",1,"SAN DIEGO","CA","63648.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"334290",9/2/2010 0:00:00
"I-200-10236-840780","CERTIFIED",8/24/2010 5:12:58,"H-1B",9/10/2010 0:00:00,9/9/2011 0:00:00,"PATNI AMERICAS,INC","ONE BROADWAY","CAMBRIDGE","MA","02142","41-9031.00","Sales Engineers","SALES ENGINEERS","124000",,"Year","Y",1,"JERSEY CITY","NJ","123947","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",8/30/2010 0:00:00
"I-200-10236-349852","CERTIFIED",8/24/2010 5:33:57,"H-1B",1/15/2011 0:00:00,10/15/2013 0:00:00,"CYBAGE SOFTWARE INC","2639 151ST PLACE NE","REDMOND","WA","98052","11-9199.99","Managers, All Other","PROJECT MANAGER","80000",,"Year","Y",1,"EDEN PRAIRIE","MN","67829.00","Year","OES","OFLC DATA CENTER","2010",,,,,,,,"541512",8/30/2010 0:00:00
"I-200-10236-407124","CERTIFIED",9/1/2010 15:02:12,"H-1B",2/12/2011 0:00:00,2/11/2014 0:00:00,"THE MATHWORKS, INC.","THREE APPLE HILL DRIVE","NATICK","MA","01760","15-1099.04","Web Developers","EMBEDDED TOOLS DEVELOPER","110400",,"Year","Y",1,"NATICK","MA","94905.00","Year","Other","PEARL MEYER & PARTNERS LLC CHIPS ONE TOTAL COMPENSATION SURVEY","2010",,,,,,,,"511210",9/8/2010 0:00:00
"I-200-10236-215616","CERTIFIED",8/24/2010 6:19:15,"H-1B",11/1/2010 0:00:00,10/31/2013 0:00:00,"CYBAGE SOFTWARE INC","2639 151ST PLACE NE","REDMOND","WA","98052","15-1051.00","Computer Systems Analysts","SYSTEMS / QA ANALYST","70000",,"Year","Y",1,"NEW YORK","NY","59613","Year","OES","OFLC DATA CENTER","2010",,,,,,,,"541512",8/30/2010 0:00:00
"I-200-10236-450562","CERTIFIED",9/1/2010 14:57:49,"H-1B",10/4/2010 0:00:00,10/3/2013 0:00:00,"THE MATHWORKS, INC.","THREE APPLE HILL DRIVE","NATICK","MA","01760","15-1031.00","Computer Software Engineers, Applications","APPLICATION INTEGRATION DEVELOPER","105000",,"Year","Y",1,"NATICK","MA","97856","Year","Other","PEARL MEYER & PARTNERS LLC CHIPS ONE TOTAL COMPENSATION SURVEY","2010",,,,,,,,"511210",9/8/2010 0:00:00
"I-200-10236-814114","CERTIFIED",8/24/2010 6:40:05,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"LARSEN & TOUBRO INFOTECH LIMITED","2035 LINCOLN HIGHWAY, EDISON SQUARE WEST","EDISON","NJ","08817","15-1021.00","Computer Programmers","COMPUTER PROGRAMMER","63269",,"Year","Y",1,"SANTA ANA","CA","46883.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",8/30/2010 0:00:00
"I-200-10236-962930","CERTIFIED",9/7/2010 9:34:49,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"THOMSON REUTERS (MARKETS) LLC","3 TIMES SQUARE","NEW YORK","NY","10036","15-1099.01","Software Quality Assurance Engineers and Testers","SOFTWARE QUALITY ASSURANCE ENGINEER","83554","89760","Year","Y",1,"ROCKVILLE","MD","83554","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"516110",9/13/2010 0:00:00
