"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10239-928023","CERTIFIED",8/27/2010 18:34:02,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"SJA, INC.","274 THWEATT INDUSTRIAL BOULEVARD","DADEVILLE","AL","36853","13-2011.01","Accountants","ACCOUNTANT","18.27",,"Hour","Y",1,"DADEVILLE","AL","17.10","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"336399",9/2/2010 0:00:00
"I-203-10239-157817","DENIED",8/27/2010 18:50:27,"E-3 Australian",8/27/2010 0:00:00,8/27/2012 0:00:00,"WATKINS LANDMARK CONSTRUCTION","2195 SAN DIEGUITO DRIVE","DEL MAR","CA","92014","11-9021.00","Construction Managers","PROJECT ENGINEER/ASSISTANT SUPERINTENDENT","1250","1250","Week","Y",1,"DEL MAR","CA",,,,,,,,,,,,,"236220",9/1/2010 16:29:38
"I-200-10239-952652","WITHDRAWN",8/27/2010 20:00:11,"H-1B",9/1/2010 0:00:00,8/31/2013 0:00:00,"ADVANCED DYNAMICS, INC.","1500 BULL LEA ROAD, STE 203","LEXINGTON","KY","40511","17-2144.00","Mechanical Engineers, R&D","RESEARCH SCIENTIST","60000","70000","Year","Y",1,"LEXINGTON","KY","54558.00","Year","OES",,"2010",,,,,,,,"541712",8/31/2010 0:00:00
"I-200-10239-371037","CERTIFIED",8/27/2010 18:31:13,"H-1B",9/29/2010 0:00:00,9/28/2013 0:00:00,"LAW OFFICES OF GENE W. CHOE, P.C.","3699 WILSHIRE BOULEVARD","LOS ANGELES","CA","90010","23-1011.00","Lawyers","LAWYER","41.19",,"Hour","N",1,"GARDENA","CA","41.19","Hour","Other","OFLC ONLINLE DATA CENTER","2010",,,,,,,,"541110",9/2/2010 0:00:00
"I-200-10239-514232","DENIED",8/27/2010 18:35:29,"H-1B",10/10/2010 0:00:00,10/1/2013 0:00:00,"JJHD LLC","1111 PARK CENTER BLVD.","MIAMI GARDENS","FL","33169","13-2051.00","Financial Analysts","FINANCE ANALYST","23.1",,"Hour","N",1,"MIAMI GARDENS","FL","23.09","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"54121",8/31/2010 14:33:46
"I-200-10239-727288","DENIED",8/27/2010 18:38:07,"H-1B",2/1/2011 0:00:00,1/31/2014 0:00:00,"SLING MEDIA, INC.","1051 EAST HILLSDALE BLVD.","FOSTER CITY","CA","94404","15-1031.00","Computer Software Engineers, Applications","SR. SOFTWARE ENGINEER WEB APPLICATIONS","138600",,"Year","Y",1,"FOSTER CITY","CA","120806","Year","Other","OFLC DATA CENTER","2010",,,,,,,,"54151",9/2/2010 15:36:24
"I-200-10239-720980","CERTIFIED",8/27/2010 18:31:33,"H-1B",9/20/2010 0:00:00,9/19/2013 0:00:00,"DEUTSCHE BANK SECURITIES INC.","60 WALL STREET","NEW YORK","NY","10005","13-2051.00","Financial Analysts","ASSOCIATE 3","150000",,"Year","Y",1,"NEW YORK","NY","85842.00","Year","Other","OES ONLINE WAGE DATA SURVEY","2010",,,,,,,,"523110",9/2/2010 0:00:00
"I-200-10239-074713","CERTIFIED",8/27/2010 18:35:28,"H-1B",10/8/2010 0:00:00,10/7/2013 0:00:00,"QUANTUM INTEGRATORS GROUP, LLC","116 VILLAGE BLVD., SUITE # 200-18","PRINCETON","NJ","08540","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","55000",,"Year","Y",1,"CORAL GABLES","FL","47154","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541512",9/2/2010 0:00:00
"I-203-10239-201899","DENIED",8/28/2010 8:05:53,"E-3 Australian",9/1/2010 0:00:00,8/31/2012 0:00:00,"SOLID QUALITY USA INC.","11921 FREEDOM DRIVE, SUITE 550","RESTON","VA","20190","15-1051.00","Computer Systems Analysts","MENTOR (VOCATIONAL COMPUTER SCIENCE INSTRUCTOR)","120000",,"Year","Y",1,"RESTON","VA","113797.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541600",9/1/2010 12:17:25
"I-200-10239-991874","CERTIFIED",9/14/2010 18:37:52,"H-1B",9/14/2010 0:00:00,9/13/2013 0:00:00,"ACCENTURE TECHNOLOGY SOLUTIONS","161 N. CLARK ST.","CHICAGO","IL","60601","15-1099.01","Software Quality Assurance Engineers and Testers","COMPUTER SPECIALIST/TESTING AND QUALITY ANALYST 3","77900",,"Year","Y",5,"MASON","OH","77813.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"5416",9/20/2010 0:00:00
