"LCA_CASE_NUMBER","STATUS","LCA_CASE_SUBMIT","VISA_CLASS","LCA_CASE_EMPLOYMENT_START_DATE","LCA_CASE_EMPLOYMENT_END_DATE","LCA_CASE_EMPLOYER_NAME","LCA_CASE_EMPLOYER_ADDRESS","LCA_CASE_EMPLOYER_CITY","LCA_CASE_EMPLOYER_STATE","LCA_CASE_EMPLOYER_POSTAL_CODE","LCA_CASE_SOC_CODE","LCA_CASE_SOC_NAME","LCA_CASE_JOB_TITLE","LCA_CASE_WAGE_RATE_FROM","LCA_CASE_WAGE_RATE_TO","LCA_CASE_WAGE_RATE_UNIT","FULL_TIME_POS","TOTAL_WORKERS","LCA_CASE_WORKLOC1_CITY","LCA_CASE_WORKLOC1_STATE","PW_1","PW_UNIT_1","PW_SOURCE_1","OTHER_WAGE_SOURCE_1","YR_SOURCE_PUB_1","LCA_CASE_WORKLOC2_CITY","LCA_CASE_WORKLOC2_STATE","PW_2","PW_UNIT_2","PW_SOURCE_2","OTHER_WAGE_SOURCE_2","YR_SOURCE_PUB_2","LCA_CASE_NAICS_CODE","Decision_Date"
"I-200-10245-521688","CERTIFIED",9/2/2010 15:05:55,"H-1B",9/3/2010 0:00:00,9/2/2013 0:00:00,"REHAB MAXX, LLC","615 MILWAUKEE AVENUE","GLENVIEW","IL","60025","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","80000",,"Year","Y",1,"GLENVIEW","IL","70138.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621340",9/9/2010 0:00:00
"I-200-10245-337980","CERTIFIED",9/2/2010 15:07:24,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"UNIVERSITY OF HAWAII","2565 MCCARTHY MALL, PSB 106","HONOLULU","HI","96822","11-9033.00","Education Administrators, Postsecondary","DEAN","80952",,"Year","Y",1,"KANEOHE","HI","80933.00","Year","OES","N/A","2010",,,,,,,,"611310",9/9/2010 0:00:00
"I-200-10245-460624","DENIED",9/8/2010 9:58:19,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"INVISION POWER SERVICES, INC.","110 VISTA CENTRE DR STE 4","FOREST","VA","24551","15-1051.00","Computer Systems Analysts","PROGRAMMING ANALYST","47403",,"Year","Y",1,"FOREST","VA","47403.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"518111",9/8/2010 10:19:39
"I-200-10245-288361","CERTIFIED",9/2/2010 17:57:06,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"TOWERS WATSON PENNSYLVANIA INC.","CENTRE SQUARE EAST","PHILADELPHIA","PA","19102-4790","11-3041.00","Compensation and Benefits Managers","EXECUTIVE COMPENSATION CONSULTANT","119600",,"Year","Y",1,"NEW YORK","NY","116958","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"54161",9/9/2010 0:00:00
"I-200-10245-619907","CERTIFIED",9/2/2010 15:13:55,"H-1B",9/14/2010 0:00:00,9/13/2013 0:00:00,"SUMMITWORKS TECHNOLOGIES INC","50 CRAGWOOD ROAD","SOUTH PLAINFIELD","NJ","7080","15-1021.00","Computer Programmers","PROGRAMMER ANALYST","60000",,"Year","Y",1,"SOUTH PLAINFIELD","NJ","54163","Year","Other","FLC DATA CENTER ONLINE WAGE LIBRARY","2010",,,,,,,,"541511",9/9/2010 0:00:00
"I-200-10245-786436","CERTIFIED",9/2/2010 15:10:44,"H-1B",12/4/2010 0:00:00,12/3/2013 0:00:00,"SOUTHEAST MISSOURI HEALTH NETWORK","311 MAIN STREET","NEW MADRID","MO","63869","29-1062.00","Family and General Practitioners","FAMILY MEDICINE PHYSICIAN","95",,"Hour","N",1,"SIKESTON","MO","51.30","Hour","OES","OFLC ONLINE DATA CENTER","2010","SIKESTON","MO","51.30","Hour","OES","OFLC ONLINE DATA CENTER","2010","621111",9/9/2010 0:00:00
"I-200-10245-873367","CERTIFIED",9/3/2010 10:35:49,"H-1B",12/28/2010 0:00:00,12/28/2013 0:00:00,"OBJECTNET TECHNOLOGIES, INC.","1117 PERIMETER CENTER WEST","ATLANTA","GA","30338","15-1031.00","Computer Software Engineers, Applications","SOFTWARE ENGINEER","78000",,"Year","Y",1,"ATLANTA","GA","77834.00","Year","Other","OFLC ONLINE DATA CENTER","2010",,,,,,,,"54151",9/10/2010 0:00:00
"I-200-10245-380328","DENIED",9/2/2010 15:10:03,"H-1B",10/1/2010 0:00:00,9/30/2013 0:00:00,"CARELINK HEALTH SERVICES, INC.","620 NORTH RIVER ROAD","NAPERVILLE","IL","60563","29-1123.00","Physical Therapists","PHYSICAL THERAPIST","35",,"Hour","Y",1,"NAPERVILLE","IL","33.72","Hour","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"621610",9/3/2010 12:07:12
"I-200-10245-842567","CERTIFIED",9/2/2010 15:20:01,"H-1B",9/24/2010 0:00:00,9/23/2013 0:00:00,"VISION IT SERVICES USA INC","38345 W 10 MILE RD","FARMINGTON HILLS","MI","48335","15-1051.00","Computer Systems Analysts","PROGRAMMER ANALYST","62000",,"Year","Y",1,"REDMOND","CA","61880.00","Year","Other","FLC DATA CENTER","2010",,,,,,,,"541511",9/9/2010 0:00:00
"I-200-10245-799479","CERTIFIED",9/2/2010 15:18:00,"H-1B",9/30/2010 0:00:00,9/30/2013 0:00:00,"PROFESSIONAL POWER CONSULTING, INC.","304 WHITNEY LANE","DURHAM","NC","27713","15-1099.01","Software Quality Assurance Engineers and Testers","SQA TESTER","43500",,"Year","Y",1,"DURHAM","NC","43306.00","Year","OES","OFLC ONLINE DATA CENTER","2010",,,,,,,,"541511",9/9/2010 0:00:00
